sr no.,namc_id,namc_code,namc_term,namc_term_diacritical,namc_term_devanagari,short_definition,long_definition,ontology_branches,name english,name english under index,primary index related,namc_code_raw,tm2_code
421,420,BI,rAjayakShmA,(a) rājayakṣmā,राजयक्ष्मा,-,"It is characterised by continuous low grade fever for a prolonged period of time along with dry skin, sunken cheeks and eyes, anorexia, gradual loss of strength. This may be explained by: (a) Vitiation of all three dosha (predominantly kapha) leading to obstruction of channels gradually depleting all the seven tissues.",-,Consumptive disorder (TM2),-,Primary,SP5B (BI),SP5B
422,420,BI,rAjayakShmA,(a) rājayakṣmā,राजयक्ष्मा,-,"It is characterised by continuous low grade fever for a prolonged period of time along with dry skin, sunken cheeks and eyes, anorexia, gradual loss of strength. This may be explained by: (a) Vitiation of all three dosha (predominantly kapha) leading to obstruction of channels gradually depleting all the seven tissues.",-,Consumptive disorder (TM2),-,Primary,SP5B (BI),SP5B
449,447,CA-1,mUtravRuddhiH,mūtrakṣayaḥ,मूत्रक्षयः,-,"It is characterized by dysuria, pricking pain in urinary bladder, oliguria, discolouration of urine, hematuria, thirst and dryness of mouth. This may be explained by abnormal decrease in urine production resulting in local and systemic manifestations.",-,Reduced urine pattern (TM2),-,Primary,SR83 (CA-1),SR83
450,447,CA-1,mUtravRuddhiH,mūtrakṣayaḥ,मूत्रक्षयः,-,"It is characterized by dysuria, pricking pain in urinary bladder, oliguria, discolouration of urine, hematuria, thirst and dryness of mouth. This may be explained by abnormal decrease in urine production resulting in local and systemic manifestations.",-,Reduced urine pattern (TM2),-,Primary,SR83 (CA-1),SR83
877,905,ED-4.3.10,vicarcikA,(a) vicarcikā,विचर्चिका,-,"It is characterised by crusted eruptions, intense burning resembling flame of fire, itching, dryness of the skin, blackish discolouration may be associated with discharge. This may be explained by: (a)Vitiation of all the three dosha with a predominance of kaphadosha.",Note: Also Classifed under #san@kShudrarogaH#[O],Eczema disorder (TM2),-,Primary,SN43 (ED-4.3.10),SN43
878,905,ED-4.3.10,vicarcikA,(a) vicarcikā,विचर्चिका,-,"It is characterised by crusted eruptions, intense burning resembling flame of fire, itching, dryness of the skin, blackish discolouration may be associated with discharge. This may be explained by: (a)Vitiation of all the three dosha with a predominance of kaphadosha.",Note: Also Classifed under #san@kShudrarogaH#[O],Eczema disorder (TM2),-,Primary,SN43 (ED-4.3.10),SN43
1109,1147,EF-2.5.6,sarShapikA-pramehapiDakA,(a) sarṣapikā,सर्षपिका-प्रमेहपिडका,-,It is characterised by mustard seed like boils in the penis. This may be explained by: (a) Vitiated kapha and blood localising over the penis.,-,Mustard- size boils on penis disorder (TM2),-,primary,SN04 (EF-2.5.6),SN04
1110,1147,EF-2.5.6,sarShapikA-pramehapiDakA,(a) sarṣapikā,सर्षपिका-प्रमेहपिडका,-,It is characterised by mustard seed like boils in the penis. This may be explained by: (a) Vitiated kapha and blood localising over the penis.,-,Mustard- size boils on penis disorder (TM2),-,primary,SN04 (EF-2.5.6),SN04
1127,1164,EF-5,svedavaha-srotoduShTi,(a) svedavahasrotoduṣṭiḥ,स्वेदवह-स्रोतोदुष्टि,-,"It is characterized by absence of perspiration, excess perspiration, excessive roughness, excessive smoothness, burning sensation all over the body and horripilation. This may be explained by derangement of channels (functional or anatomical or both) sweat.",-,Derangement of channels producing sweat pattern (TM2),-,Primary,SR5C (EF-5),SR5C
1128,1164,EF-5,svedavaha-srotoduShTi,(a) svedavahasrotoduṣṭiḥ,स्वेदवह-स्रोतोदुष्टि,-,"It is characterized by absence of perspiration, excess perspiration, excessive roughness, excessive smoothness, burning sensation all over the body and horripilation. This may be explained by derangement of channels (functional or anatomical or both) sweat.",-,Derangement of channels producing sweat pattern (TM2),-,Primary,SR5C (EF-5),SR5C
1472,1521,EM-11,BramaH,(a) bhramaḥ,भ्रमः,-,"it is characterised by experience of darkness and vertigo and dizzines on standing. May be associated with difficulty in intake of food, hypersalivation, cough and dyspnoea. This may be explained by: (a) aggravation of pittadosha, vatadosha or decrease of kapha affecting the ear faculty.",-,Vertigo and giddiness disorder (TM2),-,Primary,SK10 (EM-11),SK10
1473,1521,EM-11,BramaH,(a) bhramaḥ,भ्रमः,-,"it is characterised by experience of darkness and vertigo and dizzines on standing. May be associated with difficulty in intake of food, hypersalivation, cough and dyspnoea. This may be explained by: (a) aggravation of pittadosha, vatadosha or decrease of kapha affecting the ear faculty.",-,Vertigo and giddiness disorder (TM2),-,Primary,SK10 (EM-11),SK10
1507,1556,GA-2,pittaja-oShThaprakopaH,(a) pittaja-ōṣṭhaprakōpaḥ,पित्तज-ओष्ठप्रकोपः,-,"It is characterised by desquamation of lips and may be associated with bleeding, blistering. This may be explained by: (a) Vitiation of vata, pitta affecting lips.",-,Lip chapping and bleeding disorder (TM2),-,Primary,SM1K (GA-2),SM1K
1508,1556,GA-2,pittaja-oShThaprakopaH,(a) pittaja-ōṣṭhaprakōpaḥ,पित्तज-ओष्ठप्रकोपः,-,"It is characterised by desquamation of lips and may be associated with bleeding, blistering. This may be explained by: (a) Vitiation of vata, pitta affecting lips.",-,Lip chapping and bleeding disorder (TM2),-,Primary,SM1K (GA-2),SM1K
1552,1601,GD-5,upajihvikA,(a) upajihvikā,उपजिह्विका,-,It is characterised by cystic swelling either above or below the tongue. This may be explained by: (a) Vitiated all three dosha localising near the base of the tongue.,-,Ranula disorder (TM2),-,Primary,SM1C (GD-5),SM1C
