algorithm,Top1,Top3,Top5
TFIDF,0.8776371308016878,0.9662447257383966,0.9873417721518988
TFIDF+RERANK,0.9324894514767933,0.9915611814345991,1.0
BM25,0.4810126582278481,0.5443037974683544,0.6075949367088608
BM25+RERANK,0.5232067510548524,0.8945147679324894,0.9282700421940928
BERT,0.21940928270042195,0.2911392405063291,0.31645569620253167
HYBRID,0.6751054852320675,0.7257383966244726,0.7510548523206751
