tm2_code,false_positive_count,code,title
SK20,1,SK20,Facial palsy disorder (TM2)
SR85,1,SR85,Anhidrosis pattern (TM2)
SM70,1,SM70,Flank pain disorder (TM2)
SK54,1,SK54,Numbness disorder (TM2)
SL2Y,1,SL2Y,"Other specified eye, ear, nose, throat and neck disorders (TM2)"
SM32,1,SM32,Ascites disorder (TM2)
SK83,1,SK83,Pruritus of ear disorder (TM2)
SR1W,1,SR1W,Burning of humors pattern (TM2)
SK64,1,SK64,Night blindness disorder (TM2)
SQ03,1,SQ03,Insanity disorder (TM2)
SS2B,1,SS2B,Supression of exertional hyperpnea pattern (TM2)
SP70,1,SP70,Lipoma disorder (TM2)
SL70,1,SL70,Varicose veins disorder (TM2)
SK92,1,SK92,Dry nose disorder (TM2)
SK87,1,SK87,Otalgia disorder (TM2)
SP52,1,SP52,Fever disorder with excessive salivation (TM2)
SP5B,1,SP5B,Consumptive disorder (TM2)
SR4L,1,SR4L,Increased secretion of breast milk pattern (TM2)
SL81,1,SL81,Bleeding disorder disorder (TM2)
SM99,1,SM99,Uterine polyps disorder (TM2)
SN0Z,1,SN0Z,"Male Reproductive System disorders (TM2), unspecified"
SR1S,1,SR1S,Blood thinning pattern (TM2)
SR86,1,SR86,Faeces with undigested food residues pattern (TM2)
SM3J,1,SM3J,Retching disorder (TM2)
SL08,1,SL08,Lymphadenopathy in throat region disorder (TM2)
SP91,1,SP91,Generalised oedema disorder (TM2)
SR15,1,SR15,Vitiation of pitta pattern (TM2)
SR17,1,SR17,Aggravation of pitta pattern (TM2)
SN7Y,1,SN7Y,Other specified hair disorders (TM2)
SM15,1,SM15,Halitosis disorder (TM2)
SM13,1,SM13,Pyorrhoea disorder (TM2)
SM1Y,1,SM1Y,Other specified oral cavity disorders (TM2)
SL60,1,SL60,Slow heart disorder (TM2)
SN07,1,SN07,Priapism disorder (TM2)
SS53,1,SS53,Vata-Pitta constitution pattern (TM2)
SN60,1,SN60,Brittle nails disorder (TM2)
SR4J,1,SR4J,Increased menstrual flow pattern (TM2)
SP92,1,SP92,Oedema disorder (TM2)
SM83,1,SM83,Renal colic disorder (TM2)
SM75,1,SM75,Dynamic intestinal obstruction disorder (TM2)
SS2A,1,SS2A,Suppression of stool pattern (TM2)
SQ2Y,1,SQ2Y,Other specified behavioural disorders (TM2)
SR10,1,SR10,Vitiation of vāta pattern (TM2)
SM42,1,SM42,Hepatomegaly disorder (TM2)
SR8A,1,SR8A,Urine like colour of raw-meat washings pattern (TM2)
SM86,1,SM86,Wound of the urinary bladder disorder (TM2)
SS81,1,SS81,Pitta predominant age pattern (TM2)
SM8B,1,SM8B,Urinary incontinence disorder (TM2)
SK51,1,SK51,Cervicobrachial pain disorder (TM2)
SK6S,1,SK6S,Periorbital polyp disorder (TM2)
