namc_code,namc_term_diacritical,query
EA-3.6,kṣayajakāsaḥ,"kṣayajakāsaḥ kṣayajakāsaḥ kshayajakasah क्षयजकासः the disorder is characterized by dēhakṣayapradam kṣīṇānāṁ dēhanāśanaḥ [emaciated], durgandhaṁ visraṁ kaphaṁ ṣṭhīvēt [spits sputum with bad smell smeeling like raw meat], haritaṁ kaphaṁ ṣṭhīvēt [spits green coloured sputum], raktaṁ kaphaṁ ṣṭhīvēt [spits sputum with blood], haritalōhitaṁ kaphaṁ ṣṭhīvēt [spits sputum with green colour and blood], pūyōpamaṁ pūtipūyōpamaṁ kaphaṁ ṣṭhīvēt [spits sputum with pus putrid sputum], pītaṁ kaphaṁ ṣṭhīvēt [spits sputum with yellow colour], utkāsamānaśca hr̥dayaṁ sthānāt cyutaṁ manyatē [feels as if heart is displaced from its site due to coughing], akasmāt uṣṇaśītārtaḥ [afflicted with sudden hot cold], akasmāt uṣṇaśītēcchā [sudden desire for hot cold], bahvāśitvam bahvāśī [person with polyphagia], durbalaḥ [loss of physical strength or weakness], kr̥śaḥ [emaciated thin malnourished], snigdhācchamukhaḥ snigdhaprasannavaktratvam [unctuous, clear face unctuous, charming face], snigdhācchatvak [pleasant], śrīmaddarśanalōcanaḥ śrīmaddarśananētratā [charming eyes,], ślakṣṇapāṇitalaḥ [glossiness of palms], ślakṣṇapādatalaḥ [glossiness of sole], satatāsuyakaḥ [always displeased], ghr̥ṇī [abusing others], jvaraḥ [fever], miśrākr̥tiḥ [dvandvaja type of jvara], pārśvaruk [pain in sides of chest flanks], pīnasaḥ [cold, catarrh], aruciḥ [tastelessness], bhinnavarcastvam [passage of unformed (loose) feces], saṁhatavarcastvam [compact formed stools], animittataḥ svarabhēdaḥ [hoarseness of voice without any reason], gātraśūlam [body pain], dāhaḥ [burning sensation], mōhaḥ [confusion delirium], prāṇakṣayam upalabhēta [attains death], śuṣyan viniṣṭhīvati [spitting of pus and blood], prakṣīṇamāṁsaḥ [depletion wasting of māṁsa], prakṣīṇarudhiraṁ sapūyam [depletion of rakta, with pus], lupyē(cyē)ta iva pārśvē [breaking pain in flanks], hr̥dayaṁ patatīva [feels as if heart is displaced from its site due to coughing], balakṣayaḥ [loss of physical strength or weakness]"
EA-3.7,kāsa-upadravaḥ,"kāsa upadravaḥ kāsa upadravaḥ kasa upadravah कास उपद्रवः the disorder is characterized by śvāsaḥ [breathlessness difficult breathing], kṣayaḥ [consumption tuberculosis], chardiḥ [vomiting], svarasādaḥ [loss of voice]"
EA-3.8,kāsa-ariṣṭaḥ,"kāsa ariṣṭaḥ kāsa ariṣṭaḥ kasa arishtah कास अरिष्टः the disorder is characterized by atisārō jvarō hikkā chardiḥ śūnāṇḍamēḍhratā [diarrhoea, fever, hiccup, vomiting, swelling of testis and penis], jvaraccharditr̥ṣṇātīsāraśōphinam [fever, vomiting, diarrhoea, thirst, swelling]"
SL42(EA-4),(a) śvāsaḥ,"(a) śvāsaḥ (a) śvāsaḥ svasah श्वासः it is characterised by pain and tightness in the chest, breathlessness. this may be explained by: (a) obstruction to the channels of respiration by vata and kapha."
EA-4.1,śvāsa-pūrvarūpam,"śvāsa pūrvarūpam śvāsa pūrvarūpam svasa purvarupam श्वास पूर्वरूपम् the disorder is characterized by ānāhaḥ [barborygmus with distention], pārśvaśūlam [pain in sides of chest flanks], pīḍanaṁ hr̥dayasya hr̥tpīḍā [pain in the cardiac region], hr̥cchūlam śūlam [pain in the precordium cardiac region], ādhmānam [abdominal distension], prāṇasya ca vilōmatvam prāṇavilōmatā [reversion of the respirato reverse direction of pranavāyu inspiration?], bhaktadvēṣaḥ [aversion to food], aratiḥ parā [severe distress dicontent restlessness], vadanasya vairasyam [tastelessness], śaṅkhabhēdaḥ [breaking type of pain in temporal regions]"
EA-4.2,mahāśvāsaḥ,"mahāśvāsaḥ mahāśvāsaḥ mahasvasah महाश्वासः the disorder is characterized by uccaiḥ śvasiti saṁrabdhō mattarṣabha ivāniśam uddhūyamānaḥ saṁrabdhō mattarṣabha ivāniśam [takes deep respiration incessantly produce a sound just like an excited and restrained], uddhūyamānavātō yaḥ śabdavadduḥkhitō naraḥ [person on account of vāyu], pranaṣṭajñānavijñānaḥ [loss of knowledge, wisdom conciousness], vibhrāntalōcanaḥ vibhāntanayanaḥ [one who rolls the eyes or casts side glances], vibhrāntānanaḥ [confused face wide open mouth], vikr̥tākṣi [distorted eyes dilated eyes], vikr̥tānanaḥ [ugly faced], baddhamūtraḥ [retention of urine], baddhavarcaḥ [retained stool contipation], viśīrṇavāk [shattered voice], dīnaḥ [timid or apathy], dūrāt vijñāyatē bhr̥śaṁ praśvasitam [dyspnoea is recognized from far distance also], niḥsaṁjñaḥ muhurmuhyan [frequent fainting unconsciousness], pārśvaśūlārtaḥ [pain in sides of chest flanks], śuṣkakaṇṭhaḥ [dryness of throat], atighōṣavān [with high sound], saṁrabdhanētraḥ [bulging of eyes], āyamya yaḥ śvasyāt [stretching of body on breathing], mahatā nādēna śvasiti [breathing with high sound], krathan [snoring due to obstruction to respiration], vakṣaḥ samākṣipan [convulsive movement of chest], karṇātiruk [severe pain in ears], śaṅkhātiruk [severe pain in temporal region], śirōऽtiruk [severe pain in head]"
EA-4.3,ūrdhvaśvāsaḥ,"ūrdhvaśvāsaḥ ūrdhvaśvāsaḥ urdhvasvasah ऊर्ध्वश्वासः the disorder is characterized by dīrghaṁ śvasiti yastūrdhvaṁ na ca pratyāharatyadhaḥ dīrghaṁ ūrdhvaṁ śvasiti ūrdhvāt na ca pratyāharatyadhaḥ [not able to deep breathing, only shallow breathing], ūrdhvadr̥ṣṭirvipaśyan [his eyes turns upwards upward gaze], vibhrāntākṣa itastataḥ vīkṣatē bhrāntam akṣiṇī paritaḥ kṣipan [rolling of eyes in all directions], pramuhyan [fainting], vēdanārtaḥ paridēvī [severe pain], śuṣkāsyaḥ (śuklāsyaḥ iti pāṭhabhēdaḥ) [dryness of mouth whitishness of mouth], aratipīḍitaḥ [severe distress dicontent restlessness], ūrdhvaśvāsē prakupitē hi adhaḥśvāsō nirudhyatē [deep breathing is hampered due to shortness of breath], muhyataḥ muhuśca mūḍhaḥ [fainting], tāmyataḥ [distressed], asūn hanti [leads to death], ūrdhvaprēkṣī ūrdhvadr̥k [upward gaze], hataravaḥ niruddhavāk [obstructed suffocated voice]"
EA-4.4,chinnaśvāsaḥ,"chinnaśvāsaḥ chinnaśvāsaḥ cinnasvasah छिन्नश्वासः the disorder is characterized by ānāhaḥ ādhmātaḥ sānāhaḥ [barborygmus with distention], svēdārtaḥ sasvēdaḥ [with perspiration], mūrcchārtaḥ samūrcchaḥ [syncope attacks of swooning], dahyamānēna bastinā bastidāhaḥ [burning in the bladder], viplutākṣaḥ [confused dilated eyes], parikṣīṇaḥ śvasan [excessively weak respiration], raktaikalōcanaḥ [redness of one eye], vicētaḥ vicētanaḥ [senseless unconciousness], pariśuṣkāsyaḥ śuṣkāsyaḥ [dryness of mouth], vivarṇaḥ [discolouration of face], pralapan [excess talking irrelevant speech incoherent speech], vicchinnaḥ (vimuktasandhibandhaḥ) [afflicted with (loosening of joints ligaments)], sarujam marmacchēdarujārditaḥ [with pain pain due to affliction of marma vital points], bastinirōdhavān [supression of urine], adhōdr̥k [downward gaze], muhyan [fainting], dīnaḥ [timid or apathy], naṣṭacchāyaḥ [loss of lustre charm], vijahāti asūn prajahāti asūn [leads to death]"
SL40(EA-4.5),(a) tamakaśvāsaḥ,"(a) tamakaśvāsaḥ (a) tamakaśvāsaḥ tamakasvasah तमकश्वासः it is characterised by difficult rapid respiration, tightness of chest,wheezing, cough with difficulty to expel sputum. this may be explained by: (a) obstruction of respiratory passages due to vitiation of kapha and vata."
EA-4.5.1(SL40),(a)pratamakaśvāsaḥ,(a)pratamakaśvāsaḥ (a)pratamakaśvāsaḥ pratamakasvasah प्रतमकश्वासः
EA-4.5.2(SL40),(a)santamakaśvāsaḥ,(a)santamakaśvāsaḥ (a)santamakaśvāsaḥ santamakasvasah सन्तमकश्वासः
EA-4.6,,kshudrasvasah क्षुद्रश्वासः
EA-4.7,,svasa upadrava श्वास उपद्रव
EA-4.8,,svasa arishtah श्वास अरिष्टः
SL03(EA-5),(a) svarabhedaḥ,"(a) svarabhedaḥ (a) svarabhedaḥ svarabedah स्वरभेदः it is characterised by abnormal quality,pitch or volume of voice. this may be explained by: (a) vitiated dosha affecting the speech faculties."
EA-5.1,,vatajasvarabedah वातजस्वरभेदः
EA-5.2,,pittajasvarabedah पित्तजस्वरभेदः
EA-5.3,,kapajasvarabedah कफजस्वरभेदः
EA-5.4,,sannipatajasvarabedah सान्निपातजस्वरभेदः
EA-5.5,,kshayajasvarabedah क्षयजस्वरभेदः
EA-5.6,,medojasvarabedah मेदोजस्वरभेदः
EA-5.7,,raktajasvarabedah रक्तजस्वरभेदः
EA-5.8,,kasajanyasvarabedah कासजन्यस्वरभेदः
EA-5.9,,pinasajanyasvarabedah पीनसजन्यस्वरभेदः
EA-6,,urahkshatah kshatakshina उरःक्षतः क्षतक्षीण
EB,,annavahasrotovikarah अन्नवहस्रोतोविकारः
SR59(EB-1),(a) annavahasrotoduṣṭiḥ,"(a) annavahasrotoduṣṭiḥ (a) annavahasrotoduṣṭiḥ annavahasrotodushtih अन्नवहस्रोतोदुष्टिः it is characterized by disinclination for food, tastelessness, indigestion, vomiting. this may be explained by derangement (functional or anatomical or both) digestive tract."
SM37(EB-2),(a) atisāraḥ,(a) atisāraḥ (a) atisāraḥ atisarah अतिसारः it is characterised by passage of loose stools may or may not be mixed with blood and pus. this may be explained by: (a) weakness of digestive and metabolic factors followed by increased vata moving the watery components downwards in the intestine.
EB-2.1,atisāra-pūrvarūpam,"atisāra pūrvarūpam atisāra pūrvarūpam atisara purvarupam अतिसार पूर्वरूपम् the disorder is characterized by hr̥ttōdaḥ [needling pain in heart], nābhitōdaḥ [needling pain in umbilicus], pāyutōdaḥ gudatōdaḥ [needling pain in anus], udaratōdaḥ [needling pain in abdomen], kukṣitōdaḥ [needling pain in abdomen sides], kōṣṭhatōdaḥ [needing pain in abdominal organs], gātrāvasādaḥ gātrasādaḥ [exhaustion or tirednes to body], anilasannirōdhaḥ [supression of flatus], viṭsaṅgaḥ malagrahaḥ [retension of faeces], ādhmānam [abdominal distension], avipākaḥ [indigestion]"
EB-2.2,vātaja-atisāraḥ,"vātaja atisāraḥ vātaja atisāraḥ vataja atisarah वातज अतिसारः the disorder is characterized by vijjalaṁ purīṣam (pravr̥ttiḥ) [defecation of feces with more water content watery stools], āmaṁ purīṣam (pravr̥ttiḥ) [feces with āma unformed stools], viplutaṁ purīṣam (pravr̥ttiḥ) [broken unformed stools], avasādi purīṣam (pravr̥ttiḥ) [stools sinks in water], rūkṣaṁ purīṣam (pravr̥ttiḥ) [dry stools], dravaṁ purīṣam (pravr̥ttiḥ) [watery stools], saśūlaṁ śūlāviṣṭaṁ purīṣam (pravr̥ttiḥ) śūlāḍhyam upavēśyatē [defecation with pain], āmagandhaṁ purīṣam (pravr̥ttiḥ) [stools with odour of āma (smelling like raw meat)], īṣatśabdam aśabdaṁ vā purīṣam (pravr̥ttiḥ) [defecation with little sound], vibaddhamūtram saktamūtram [supression of urine], vibaddhavātam [supression of flatus], antrakūjī [barborygmus gurgling sound of intestines], srastāpānaḥ bhraṣṭapāyuḥ [anal prolapse rectal prolapse], sannakaṭiḥ [exhausted back], sanna ūruḥ [exhausted thighs], sannajaṅghaḥ [exhausted calf muscles], alpamalpaṁ varcaḥ muñcati alpamalpaṁ śakr̥t(pravr̥ttiḥ) [small quantities], saphēnaṁ varcaḥ muñcati phēnila śakr̥t (pravr̥ttiḥ) [frothy faecal matter], rūkṣaṁ varcaḥ muñcati rūkṣaṁ śakr̥t (pravr̥ttiḥ) [dry faecal matter], śyāvaṁ varcaḥ muñcati [dark brown colour], sānilaṁ varcaḥ muñcati [feces with flatus], śabdāḍhyam upavēśyatē [defecation with large sound], vibaddham upavēśyatē [formed stools], accham upavēśyatē [clear stools], grathitam upavēśyatē [compact stools], muhurmuhuḥ upavēśyatē muhurmuhuḥ śakr̥t (pravr̥ttiḥ) [frequent defecation], dagdhaguḍābhāsam upavēśyatē [stools as burnt jaggary], sapicchāparikartikam [frothy stools with cutting pain in anus], śuṣkāsyaḥ [dry mouth], hr̥ṣṭarōmaḥ [horripilation], aruṇa śakr̥t (pravr̥ttiḥ) [slightly reddish faecal matter], saruk śakr̥t (pravr̥ttiḥ) [griping pain], saśabda śakr̥t(pravr̥ttiḥ) [gurgling sound], viniṣṭanan [groan loudly]"
EB-2.2.1,pakvavātikātisāraḥ,"pakvavātikātisāraḥ pakvavātikātisāraḥ pakvavatikatisarah पक्ववातिकातिसारः the disorder is characterized by āmātisāraviparītaliṅgāni [opposite features of āmātisāra], lāghavam [feeling of lightness], vibaddham [formed stools], alpālpam [scanty stools], saśabdam [with sound], saśūlaphēnapicchāparikartikam [defecation of stools with mucus and cutting pain in anus], hr̥ṣṭarōmaḥ [horripilation], viniḥśvasan [defecation with expiratory sound], śuṣkamukhaḥ [dryness of mouth], kaṭiśūlam [low backpain], ūruśūlam [pain in thighs], trikaśūlam [pain in sacroiliac region], jānuśūlam [pain in knees], pr̥ṣṭhaśūlam [pain in back], pārśvaśūlam [pain in sides of chest flanks], bhraṣṭagudaḥ [rectal prolapse], muhurmuhuḥ vigrathitaṁ purīṣam upavēśyatē [frequent defecation of formed hard stools]"
EB-2.3,pittaja-atisāraḥ,"pittaja atisāraḥ pittaja atisāraḥ pittaja atisarah पित्तज अतिसारः the disorder is characterized by hāridraṁ purīṣam atisāryatē [defecation of yellow coloured stools], hāritaṁ purīṣam atisāryatē [defecation of greenish stools], nīlaṁ purīṣam atisāryatē [bluish stools], kr̥ṣṇaṁ purīṣam atisāryatē [black stools], raktapittōpahitaṁ purīṣam atisāryatē [stools with blood and pitta], atidurgandhaṁ purīṣam atisāryatē durgandhi [foul stools], tr̥ṣṇā [thirst], dāhaḥ (sarvāṅgaḥ) [burning sensation], svēdaḥ svinnadēhaḥ [perspiration], mūrcchā [syncope attacks of swooning], śūlam [colicky pain in the abdomen], bradhnasantāpaḥ pāyusantāpaḥ [burning sensation of anus], bradhnapākaḥ pāyupākaḥ [suppuration of anus], uṣṇam [hot], vēgavat [with speed], māṁsatōyaprakhyam [resemble raw meat washings], bhinnam [watery stools unformed], atitīkṣṇam [severe form], pītaṁ varcaḥ muñcati pīta śakr̥t(pravr̥ttiḥ) [yellowish stool], nīlaṁ varcaḥ muñcati śakr̥t(pravr̥ttiḥ) [bluish stool], ālōhitaṁ saraktaṁ varcaḥ muñcati [bloody stool], jvaraḥ [fever], śādvalaprabhaṁ upavēśyatē [defecation of grassy stools]"
EB-2.4,kaphaja-atisāraḥ,"kaphaja atisāraḥ kaphaja atisāraḥ kapaja atisarah कफज अतिसारः the disorder is characterized by snigdhaṁ purīṣam atisāryatē [defecation of greasy unctuous stools], śvētaṁ śuklaṁ purīṣam atisāryatē [whitish faeces], picchilaṁ purīṣam atisāryatē [slimy feces], tantumat purīṣam atisāryatē [feces with fibres thready], āmaṁ purīṣam atisāryatē [feces with ama unformed stools], guru purīṣam atisāryatē [heavy stools], durgandhaṁ purīṣam atisāryatē [foul odour], ślēṣmōpahitaṁ ślēṣmayuktaṁ purīṣam atisāryatē [faeces mixed with mucus], anubaddhaśūlaṁ purīṣam atisāryatē anubaddharuk [associated with pain], alpālpaṁ purīṣam atisāryatē [scanty stools], abhīkṣṇaṁ purīṣam atisāryatē [frequent defecation], sapravāhikaṁ purīṣam atisāryatē [defecation with straining], udaragurutā [heavyness in abdomen], gudagurutā [heaviness in anus], bastigurutā [heaviness in basti urinary bladder], vaṅkṣaṇadēśagurutā [heaviness in groins], kr̥tēऽpi akr̥tasaṁjñaḥ [feeling of incompleted defecation], lōmaharṣaḥ rōmaharṣaḥ hr̥ṣṭarōmā [horripilation], utklēśaḥ [nausea provocation of dōṣa], nidrāparītaḥ nidrāluḥ [sleepiness], tantumat purīṣam atisāryatē [feces with fibres thready], sadanaḥ sādī [exhaustion], annadvēṣī bhaktadvēṣī [person having aversion towards food], tandrā [drowsiness lassitude], sr̥ṣṭaviṭkōऽpi bhūyaḥ vēgāśaṅkī [loose stools], sāndraṁ varcō muñcati [viscid faeces], niḥsvanaḥ [without sound], ghanaṁ upavēśyatē [thick stools], vibaddham upavēśyatē [formed stools], śīta śakr̥t [defecation of faeces of cold nature]"
EB-2.5,sānnipātaja-atisāraḥ,"sānnipātaja atisāraḥ sānnipātaja atisāraḥ sannipataja atisarah सान्निपातज अतिसारः the disorder is characterized by tandrāyuktaḥ [having lassitude], mōhaḥ [confusion delirium], sādaḥ [exhaustion or tirednes of body], āsyaśōṣī [dryness in mouth], naikavarṇaṁ varcaḥ [stools of various colours], tr̥ṣārtaḥ [thirst], varāhasnēha sadr̥śaṁ śakr̥t [boar fat like stools], māṁsambu sadr̥śaṁ śakr̥t [meat washing like stools]"
EB-2.6,bhayaja-atisāraḥ,"bhayaja atisāraḥ bhayaja atisāraḥ bayaja atisarah भयज अतिसारः the disorder is characterized by kṣipram [spontaneously], uṣṇam [stool hot to touch], dravam [loose motion], plavam apsu plavati [floats on water]"
EB-2.7,śōkaja-atisāraḥ,"śōkaja atisāraḥ śōkaja atisāraḥ sokaja atisarah शोकज अतिसारः the disorder is characterized by kākaṇantīprakāśaṁ raktaṁ varcōmiśraṁ niḥpurīṣaṁ (viḍvimiśram aviḍvā) vā kr̥cchrāt sāryatē [defecation of reddish blood (resembling kākaṇatī) with or without stool], nirgandhaṁ sagandhaṁ (nirgandhaṁ gandhavat) vā raktaṁ kr̥cchrāt sāryatē [defecation of blood with or without an odour with difficulty]"
EB-2.8,āmātisāraḥ,"āmātisāraḥ āmātisāraḥ amatisarah आमातिसारः the disorder is characterized by nānāvarṇaṁ naikaśaḥ sārayanti [variegated colouration], śūlōpētam (purīṣa pravr̥ttiḥ) [pain during defecation], nyastamapsvavasīdati gauravāt śakr̥t apsu majjati [stools sink when dropped in water], bhr̥śadurgandhi purīṣam śakr̥ddurgandham [very foul smelling stool], āṭōpaḥ [gurgling sound of the intestines barborygmus], viṣṭambhaḥ [constipation fullness in the abdomen], artiḥ [pain], prasēkī [excessive salivation], vicchinnaṁ purīṣam [split, broken unformed stools], picchilaṁ purīṣam [stools with mucus]"
EB-2.9,jvarātisāraḥ,jvarātisāraḥ jvarātisāraḥ jvaratisarah ज्वरातिसारः
EB-2.10,raktātisāraḥ,"raktātisāraḥ raktātisāraḥ raktatisarah रक्तातिसारः the disorder is characterized by raktamiśritam [mixed with blood], tr̥ṣṇā tr̥ṣā [thirst], śūlam [colicky pain in the abdomen], vidāham [internal burning sensation], gudapākaḥ [proctitis], jvaram [fever], dāham [burning sensation]"
EB-2.11,kr̥cchrasādhya-atisāraḥ,"kr̥cchrasādhya atisāraḥ kr̥cchrasādhya atisāraḥ kruccrasadhya atisarah कृच्छ्रसाध्य अतिसारः the disorder is characterized by hāridraṁ śakr̥d upavēśyatē [defecation of yellowish stools], haritaṁ śakr̥d upavēśyatē [greenish stools], nīlaṁ śakr̥d upavēśyatē [bluish stools], māñjiṣṭhaṁ śakr̥d upavēśyatē [reddish stools], māṁsadhāvanasannikāśaṁ śakr̥d upavēśyatē [raw meat washings stools], raktaṁ śakr̥d upavēśyatē [stools with blood], kr̥ṣṇaṁ śakr̥d upavēśyatē [blackish stools], śvētaṁ śakr̥d upavēśyatē [whitish faeces], varāhamēdaḥsadr̥śaṁ śakr̥d upavēśyatē [boar fat like stools], anubaddhavēdanamavēdanaṁ vā śakr̥d upavēśyatē [painful or painless defecation], grathitaṁ śakr̥d upavēśyatē [compact stools], sakr̥t āmaṁ śakr̥d upavēśyatē [stools with āma], anatikṣīṇaśōṇitam [not too much depletion of blood], anatikṣīṇabalam [not too much depletion of strength], mandāgniḥ [diminution of agni], vihatamukharasaḥ [loss of taste of mouth]"
EB-2.12,asādhya-atisāraḥ,"asādhya atisāraḥ asādhya atisāraḥ asadhya atisarah असाध्य अतिसारः the disorder is characterized by pakvaśōṇitābhaṁ atisāryamāṇam [defecation of stool resembling mature blood], yakr̥tkhaṇḍōpamaṁ yakr̥tkhaṇḍanibhaṁ atisāryamāṇam [resembles the piece of liver reddish black colour], mēdōmāṁsōdakasannikāśam atisāryamāṇam [resembling raw meat fatty meat washing], pakvajāmbavasaṅkāśam atisāryamāṇam [resembling ripe jambu fruit], dadhyābham atisāryamāṇam [resembles curd], ghr̥tābham atisāryamāṇam [resembles ghee], majjābham atisāryamāṇam [resembles majja], tailābham atisāryamāṇam [resembles oil], vasābham atisāryamāṇam [resembles musle fat], kṣīrābham atisāryamāṇam [resembles milk], mañjiṣṭhābham sravēt [resembles mañjiṣṭha], añjanābham sravēt [resembles añjana ( collyrium)], kardamābham sravēt [resembles kardama], aruṇaprabham [resembles aruṇa (rising sun colour)], vēsavārābham vēsavārāmbutulyam atisāryamāṇam [resembles the vēsavāra condiment], āsavatulyam [resembles āsava], mastuluṅgatulyam [resembles mastuluṅga], maṣītulyam [resembles maṣi], mākṣikatulyam kṣaudrarūpam [resembles mākśika], atinīlaṁ atisāryamāṇam [dark blue coloured], atiraktaṁ atisāryamāṇam [dark red coloured], atikr̥ṣṇaṁ asitaṁ atisāryamāṇam [dark black coloured], udakamivācchaṁ atisāryamāṇam [watery stool], mēcakābhaṁ atisāryamāṇam [resembles mēcaka (as like eyes of peacocks tail or collyrium)], atisnigdhaṁ atisāryamāṇam [unctuous stool], niṣpurīṣaḥ [not having fecal material], ativiṭ [heavy stool material], atighanam [very thick], haritavarṇaṁ atisāryamāṇam [greenish stools], nīlavarṇaṁ atisāryamāṇam [bluish stool], kaṣāyavarṇaṁ atisāryamāṇam [reddish brown], karburaṁ atisāryamāṇam [various colours], āvilaṁ atisāryamāṇam [turbid stools], picchilaṁ atisāryamāṇam [slimy feces], tantumat atisāryamāṇam [thready with filaments], āmaṁ atisāryamāṇam [mucus material], candrakōpagataṁ candrikairyutaḥ candrakaiḥ santatam atisāryamāṇam [fecal material with shiny particles], rājimān atisāryamāṇam [mixed with lines], atikuṇapagandhiṁ atisāryamāṇam [cadaveric smell], atipūtigandhiṁ atisāryamāṇam [putrid smell], atipūyagandhiṁ atisāryamāṇam [putrid smell], āmagandhiṁ atisāryamāṇam [raw meat smell like stool], matsyagandhiṁ atisāryamāṇam [fishy smell stool], sugandhi durgandhi visram [excessive foul smell], prētagandhi sravēt [cadaveric smell], makṣikākāntaṁ makṣikākrāntaṁ atisāryamāṇam [receptacle for flies, bees], kuthitaṁ atisāryamāṇam [straining at defecation], bahudhātusrāvaṁ atisāryamāṇam [loosing dhatus through feces], alpapurīṣaṁ atisāryamāṇam [less quantity of stool], apurīṣaṁ atisāryamāṇam [no stools], tr̥ṣṇānubandham [associated with thirst], dāhānubandham [burning sensation], jvarānubandham [pyrexia], bhramānubandham [giddiness], tamakānubandham [blackouts], hikkānubandham [hiccup], śvāsānubandham [breathlessness difficult breathing], sachardiḥ [vomiting], sānāhaḥ [distention due to obstruction of excreta], sapravāhikaḥ [with bearing and gripping pain], ativēdanam [painful defecation], avēdanam [painless], srastagudam [prolapse], pakvagudam [suppuration of anus], patitagudavaliṁ śīrṇapāyuvalim [lax anal verge], asaṁvr̥tagudam [exposed anus], muktanālam [completed prolapse of rectum], annamēva upavēśayan [mixed with food articles], kṣīṇam [emaciated thin malnourished], atikṣīṇabalam [depletion of strength], atikṣīṇamāṁsam [depletion of māṁsa], atikṣīṇaśōṇitam [depletion of blood], sarvaparvāsthiśūlinam [pain in all joints and bones], pārśvaśūlinam [pain in sides of chest flanks], asthiśūlinam [pain in the bones], arōcakaparītam [tastelessness], aratiparītam [severe distress dicontent restlessness], pralāpaparītam [excess talking irrelevant speech incoherent speech], sammōhaparītam [unconsciousness confusion], gatōṣmāṇam [diminution of agni], tanu [thin watery stools], bahu [large quantity stools], pralāpayuktam [excess talking irrelevant speech incoherent speech], dūrādhmātam [severly distended abdomen], uṣṇam sravēt [stools hot in nature], śītam sravēt [stools cold in nature], upadrutam [along with complications]"
EB-2.13,atisāramuktiḥ,"atisāramuktiḥ atisāramuktiḥ atisaramuktih अतिसारमुक्तिः the disorder is characterized by uccārāt vinā mūtraṁ vāyuśca gacchati [without defecation], dīptāgniḥ [having agni well kindled i.e. digesting well], laghukōṣṭhaḥ [digest easily]"
EB-2.14,pakva-atisāraḥ,"pakva atisāraḥ pakva atisāraḥ pakva atisarah पक्व अतिसारः the disorder is characterized by āma malaviparītaliṅgāni [opposite features of āmaliṅga], lāghavam [feeling of lightness]"
EB-2.15,dōṣavibandhaja-atisāraḥ,dōṣavibandhaja atisāraḥ dōṣavibandhaja atisāraḥ doshavibandhaja atisarah दोषविबन्धज अतिसारः the disorder is characterized by nyastamapsvavasīdati purīṣam [faecal matter is sinks in water]
EB-2.16,snēhōlvaṇa-atisāraḥ,snēhōlvaṇa atisāraḥ snēhōlvaṇa atisāraḥ sneholvana atisarah स्नेहोल्वण अतिसारः the disorder is characterized by bahuśūlapravāhikaḥ [very serious dysentery with excessive coliky pain]
EB-2.17,atisāra-ariṣṭaḥ,atisāra ariṣṭaḥ atisāra ariṣṭaḥ atisara arishtah अतिसार अरिष्टः
SM3B(EB-3),(a) ajīrṇam,"(a) ajīrṇam (a) ajīrṇam ajirnam अजीर्णम् it is characterised by difficulty to digest food and may be associated with stomach pain, bloating, belching, and hiccup. his may be explained by: (a) vitiation of digestion by kapha, pitta or vata."
EB-3.1,viṣṭabdhajanya-ajīrṇam/vātaja-ajīrṇam,"viṣṭabdhajanya ajīrṇam vātaja ajīrṇam viṣṭabdhajanya ajīrṇam vātaja ajīrṇam vishtabdhajanya ajirnam vataja ajirnam विष्टब्धजन्य अजीर्णम् वातज अजीर्णम् the disorder is characterized by bhr̥śa tōdaḥ [severe needling type of pain], bhr̥śa śūlam [severe colicky pain], viṣṭabdham [obstructed flatus], ānaddhaviruddhavātam [reverse movements of vāyu due to obstruction], vibandhaḥ [constipation], ādhmānam [abdominal distension], sādaḥ [exhaustion or tirednes of body], vividhā vātavēdanāḥ [various other vātika disorders], mala apravr̥ttiḥ [faces are not passed], vāta apravr̥ttiḥ [flatus not passed], stambhaḥ [rigidity stiffness], mōhaḥ [confusion delirium], aṅgapīḍanam [bodyache]"
EB-3.2,vidagdhajanya-ajīrṇam/pittaja-ajīrṇam,"vidagdhajanya ajīrṇam pittaja ajīrṇam vidagdhajanya ajīrṇam pittaja ajīrṇam vidagdhajanya ajirnam pittaja ajirnam विदग्धजन्य अजीर्णम् पित्तज अजीर्णम् the disorder is characterized by kiñcid vipakvam [partly digested], amlabhāvagatam [turns into acid], tr̥ḍ [thirst], mōhaḥ [confusion delirium], bhramaḥ [giddiness or dizziness], amlōdgāraḥ [sour belching eructation], dāhaḥ [burning sensations], mūrcchā [syncope attacks of swooning], vividhā rujaḥ [various other disorders], sadhūmāmlōdgāraḥ [smoky and acidic eructations], svēdaḥ [perspiration]"
EB-3.3,āmaja-ajīrṇam/kaphaja-ajīrṇam,"āmaja ajīrṇam kaphaja ajīrṇam āmaja ajīrṇam kaphaja ajīrṇam amaja ajirnam kapaja ajirnam आमज अजीर्णम् कफज अजीर्णम् the disorder is characterized by akṣiśōphaḥ akṣikūṭa śōthaḥ [swelling around the eyes], gaṇḍa śōthaḥ śōphaḥ [swelling in the cheeck], yathābhuktamudgāraḥ udgāraśca yathābhuktam [eructations appear of the same nature of food], sadyōbhukta iva udgāraḥ [eructations appear as if just had food], prasēkaḥ [excessive salivation], utklēśaḥ utklēdaḥ [nausea provocation of dōṣa], gauravam gurutā [heaviness], avidagdhōdgāraḥ [non sour eructation]"
