namc_term_diacritical,tm2_code,count
(a) pūyaraktam (a) pūyaśoṇitam,SK95,1
(a) pūtināsā,SK98,1
(a) dīptaḥ,SK9Y,1
(a) bhraṃśathuḥ,SK96,1
(a) nāsāgata-raktapittam,SK90,1
(a) nāsārśaḥ,SK94,1
(a) puṭakaḥ,SK92,1
(a) bhṛśakṣavaḥ,SL20,1
(a) vātajakarṇarogaḥ (a) vātajakarṇaśūla,SK8Y,1
(a) pittajakarṇarogaḥ,SK8Y,1
(a) kaphajakarṇarogaḥ,SK8Y,1
(a) sānnipātajakarṇarogaḥ (a) sannipātika-karṇaśūlaḥ,SK8Y,1
(a) raktajakarṇarogaḥ (a) raktajakarṇaśūla,SK8Y,1
(a) karṇa-kaṇḍū,SK83,1
(a) karṇa-kṣveḍaḥ,SK86,1
(a) karṇa-gūthakaḥ,SK85,1
(a) karṇa-nādaḥ (a) aśabdaśravaṇam,SK86,1
(a) karṇapākaḥ,SK88,1
(a) karṇa-pratināhaḥ,SK8Y,1
(a) karṇa-vidradhiḥ,SK80,1
(a) karṇa-śophaḥ (a) karṇaśothaḥ,SK88,1
(a) karṇa-srāvaḥ,SK82,1
(a) karṇārbudaḥ,SK8Y,1
(a) karṇārśaḥ,SK8Y,1
(a) kṛmikarṇakaḥ,SK8Y,1
(a) pūtikarṇaḥ,SK88,1
(a) bādhiryam,SK81,1
(a) karṇaśūlaḥ,SK87,1
(a) utpātaḥ,SK8Y,1
(a) paripoṭakaḥ,SK8Y,1
(a) Parilehi,SK89,1
(a) tantrikaḥ,SK8Y,1
(a) vraṇaḥ,SN4W,1
(a) vraṇaśophaḥ,SP5A,1
(a) nijavraṇaḥ,SN9Y,1
(a) vraṇa-upadravaḥ,SN9Y,1
(a)sirāgatavraṇaḥ,SL71,1
(a) nāḍīvraṇaḥ,SN9Y,1
(a) marmaviddhaḥ,ST20,1
(a) āmaśophachedaḥ,SN9Y,1
(a) nāḍīkalpana-vyāpat,SN1Y,1
(a) Skanda Apasmara,SR03,1
(a) dantodgamaḥ (a) dantotbhedaḥ,SM1Y,1
(a) dantaghātaḥ,SM12,1
"(a) ahipūtanā, (a) ahipūtanakaḥ",SN5Y,1
(a) mukhasrāvaḥ (a) praseka,SM16,1
(a) gudapākaḥ (a) gudakuṭṭanam,SM54,1
(a) tālukaṇṭakaḥ,SK50,1
(a) vicchinnaḥ,SK9A,1
(a) pārigarbhikaḥ,SR05,1
(a) daurbalyam,SP9A,1
(a) kumāraśoṣaḥ,SR00,1
(a) śayyāmūtratvam,SR01,1
(a) kukūṇakaḥ,SR04,1
(a) mahāpadmaḥ,SN5Y,1
(a) phakka-rogaḥ,SR0Y,1
(a) kṣīrālasakaḥ,SM73,1
(a) hṛdayaruk,SM0Y,1
(a) guhyaruk,SN3Y,1
(a) kṛmiḥ (a) sañjātakṛmi,SQ50,1
(a) udarāveṣṭaḥ,SM3Y,1
(a) purīṣajakṛmiḥ,SQ50,1
(a) ajagallikā,SN5Y,1
(a) anuśayī,SP9Y,1
"(a) andhālajī, (a) antrālajī",SN5Y,1
(a) avapīḍakaḥ,SN0Y,1
(a) alasaḥ,SN48,1
(a) arūṃṣikā,SN70,1
(a) indraviddhā,SN5Y,1
(a) utkoṭhaḥ,SN5Y,1
(a) koṭhaḥ,SN4L,1
(a) irivellikā,SN5Y,1
(a) kakṣāḥ,SN4T,1
(a) kacchapikā,SN9Y,1
(a) kadaraḥ,SN9Y,1
(a) kunakhaḥ,SN6Y,1
"(a) gandhanāmā, (a) gandhamālā",SN5Y,1
(a) gardabhikā,SN5Y,1
(a) gudabhraṃśaḥ,SM55,1
(a) carmakīlaḥ,SN4S,1
"(a) cipyam, (a) akṣatā, (a) upanakha",SN6Y,1
(a) jatumaṇiḥ,SN4F,1
(a) jālagardabhaḥ,SM0Y,1
(a) tilakaḥ (a) tilakālaka,SN4E,1
(a) nyacchaḥ,SN5Y,1
(a) niruddhaprakaśaḥ,SN0A,1
(a) nīlikā,SN41,1
(a) prasuptiḥ,SK54,1
(a) padminīkaṇṭakaḥ,SN5Y,1
(a) parivartikā,SN0A,1
(a) pāṣāṇagardabhaḥ,SM1D,1
(a) yavaprakhyā,SN5Y,1
(a) yuvānapiḍakā,SN4V,1
(a) rājikā,SN4N,1
(a) lāñchanam,SN5Y,1
(a) rakasā,SN40,1
(a) indraluptaḥ,SN90,1
(a) varāhadaṃṣṭrakaḥ,SN5Y,1
(a) valmīkaḥ,SN5Y,1
(a) vyaṅgaḥ,SN4G,1
(a) vidārikā,SP9Y,1
(a) vivṛtā,SN5Y,1
(a) viddhā,SN5Y,1
(a) visphoṭakaḥ,SN4P,1
(a) vṛṣaṇakacchūḥ,SN40,1
(a) śarkarārbudaḥ,SP71,1
(a) sanniruddhagudaḥ,SM5Y,1
(a) śyāvapiṇḍikā,SN5Y,1
(a) utkleśaḥ,SM3H,1
(a) glāniḥ,SP9Y,1
(a) sthāvaraviṣaḥ,SQ6Y,1
(a) dhātu-viṣaḥ,SQ6Y,1
(a) jaṅgamaviṣaḥ,SQ6Y,1
(a) śaṅkhaviṣaḥ,SQ60,1
(a) garaviṣaḥ,SQ61,1
(a) hīnamātrāhāraḥ,SQ80,1
"(a) atimātrāhāraḥ, (a) āhārātiyogaḥ",SQ2Y,1
"(a) viruddhānnabhojanam, (a) viruddhāhāraḥ",SQ2Y,1
(a) jāṅgalamāṃsātyupayogaḥ,SQ2Y,1
"(a) uṣṇavīrya-dravyātiyogaḥ, (a) āgneya-dravyātiyogaḥ",SQ2Y,1
(a) navaguḍa-atyupayogaḥ,SQ2Y,1
(a) śālidhānya-atiyogaḥ,SQ2Y,1
(a) tailasevana-atiyogaḥ,SQ2Y,1
(a) dadhi-mithyopayogaḥ,SQ2Y,1
(a) rasātiyogaḥ,SQ2Y,1
(a) vihāravaiṣamyam,SQ8Y,1
(a) nidrānāśaḥ (a) asvapnaḥ,SQ24,1
(a) akālaśayanam,SQ2Y,1
(a) divāsvapna-upadravaḥ,SQ2Y,1
(a) ṛtucaryā-vaiṣamyam,SQ8Y,1
(a) ṛtu-apacāraḥ,SQ8Y,1
(a) adhovātavegāvarodhaḥ,SS2E,1
(a) aśruvegarodhaḥ,SS28,1
(a) chardivegarodhaḥ,SS29,1
(a) jṛmbhāvegarodhaḥ,SS21,1
(a) kṣavathuvegarodhaḥ,SS27,1
(a) mūtravegarodhaḥ,SS25,1
(a) nidrāvegarodhaḥ,SS26,1
(a) purīṣavegarodhaḥ,SS2A,1
(a) śramaśvāsavegarodhaḥ,SS2B,1
(a) śukravegarodhaḥ,SS23,1
(a) tṛṣṇāvegarodhaḥ,SS2D,1
(a) kṣudvegarodhaḥ,SS2C,1
"(a) vyavāyamithyāyogaḥ, (a) mithyāvyavāya",SN3Y,1
(a) vyavāyātiyogaḥ,SN3Y,1
(a) vyāyāma-vaiṣamyam,SQ8Y,1
"(a) ativyāyāmaḥ, (a) vyāyāmātiyogaḥ",SQ8Y,1
(a) avyāyāmaḥ,SQ8Y,1
(a) vātaprakr̥tiḥ,SS50,1
(a) pittaprakr̥tiḥ,SS51,1
(a) kaphaprakr̥tiḥ,SS52,1
(a) vātapittaprakr̥tiḥ,SS53,1
(a) pittakaphaprakr̥tiḥ,SS54,1
(a) kaphavātaprakr̥tiḥ,SS55,1
"(a) tridōṣajaprakr̥tiḥ, (a) samaprakr̥tiḥ",SS56,1
(a) brahmakāyaḥ (a) brāhmasattvaṃ,SS60,1
(a) māhēndrakāyaḥ (a) aindrasattvaṃ,SS60,1
(a) vāruṇakāyaḥ (a) vāruṇasattvaṃ,SS60,1
(a) kaubērakāyaḥ (a) kauberasattvaṃ,SS60,1
(a) gandharvakāyaḥ (a) gāndharvasattvaṃ,SS60,1
(a) yāmyakāyaḥ (a) yāmyasattvaṃ,SS60,1
"(a) r̥ṣikāyaḥ (a) ṛṣisattvaṃ, (a) ārṣasattvaṃ",SS60,1
(a) rājasikakāya,SS61,1
(a) āsurakāyaḥ (a) āsurasattvaṃ,SS61,1
(a) sarpakāyaḥ (a) sarpasattvaṃ,SS61,1
(a) śākunikāyaḥ (a) śākunasattvaṃ,SS61,1
(a) rākṣasakāyaḥ/(a) rākṣasasattvaṃ,SS61,1
(a) paiśācakāyaḥ/(a) paiśācasasattvaṃ,SS61,1
(a) prētakāyaḥ/(a) pretasattvaṃ,SS61,1
(a) tāmasikakāya,SS62,1
(a) pāśavakāyaḥ (a) pāśavasattvaṃ,SS62,1
(a) matsyakāyaḥ (a) mātsyasattvaṃ,SS62,1
(a) vānaspatyakāyaḥ,SS62,1
(a) grīvāhuṇḍanam,SK52,1
(a) vibandha (a) malavibandha,SM34,1
