namc_code,namc_term_diacritical,short_definition,long_definition
EC-5,(a) pāṇḍurogaḥ,-,"It is characterised by palor, fatigue, aversion to cold and palpitation. This may be explained by: (a) Vitiated pitta or kapha which further vitiates the blood resulting in pallor of the skin."
EC-5.1,pāṇḍu-pūrvarūpam,-,"the disorder is characterized by hr̥dayaspandanam [palpitation of heart], raukṣyam [dryness], svēdābhāvaḥ/ [lack of sweating], śramaḥ [exhaustion/fatigue], svēdābādhā [excessive sweating], tvaksphōṭanam [cracking of skin], ṣṭhīvanam [spitting/excess expectoration], gātrasādaḥ/sādaḥ [exhaustion or tiredness of body], mr̥dbhakṣaṇam [tendency to eat clay/pica (geophagia)], prēkṣaṇakūṭaśōthaḥ [supraorbital oedema], viṭ pītatvam [yellowishness of feces], mūtra pītatvam [yellowishness of urine], avipākaḥ [indigestion], tvaci rūkṣatā [dryness of skin], alpavahnitā [diminution of agni/reduced digestive power], aruciḥ [tastelessness]"
EC-5.2,vātajapāṇḍurōgaḥ,-,"the disorder is characterized by kr̥ṣṇapāṇḍutvam [pale black], rūkṣāṅgatvam [dryness of the body], aruṇāṅgatvam [slight reddish discoloration of the body], aṅgamardaḥ [generalised bodyache], rujā/gātraruka [pain], tōdaḥ/gātratōdaḥ [pricking pain], pārśvarujā/pārśvaruk [pain in sides of chest/flanks], śirōrujā/mūrdharuk [headache], kampaḥ [tremors], varcaśōṣaḥ [decreased amount of fecal matter], āsyavairasyam [distaste of mouth], śōphaḥ [oedema], ānāhaḥ [barborygmus with distention], balakṣayaḥ [loss of physical strength or weakness], kr̥̄ṣṇēkṣaṇam/kr̥ṣṇanētratā [blackish discoloration of eyes], kr̥ṣṇasirāvanaddhatā [covered with blackish veins], kr̥̄ṣṇaviṭ [blackish discolouration of faeces], kr̥ṣṇamūtratā [blackish disoloration of urine], kr̥ṣṇanakhaḥ [blackish disoloration of nails], kr̥ṣṇānanam [blackish discolouration of face], kr̥ṣṇasirā [blackish disoloration of veins], aruṇaviṭ [slightly reddish discoloration of faeces], aruṇamūtratā [slightly reddish discoloration of urine], aruṇanakhaḥ [slightly reddish discoloration of nails], aruṇanētratā [slightly reddish discoloration of eyes], aruṇasirā [slightly reddish discoloration of veins], rūkṣaviṭ [dryness of fecal matter], rūkṣamūtratā [reduced unctuousness of urine], rūkṣanakhaḥ [dryness of nails], rūkṣanētratā [dry eyes], rūkṣasirā [dryness of veins], bhramaḥ [giddiness or dizziness]"
EC-5.3,pittajapāṇḍurōgaḥ,-,"the disorder is characterized by sapītaviṭ [yellowish discoloration of faeces], sapītamūtram [yellowish discoloration of urine], sapītanētram/pītēkṣaṇam [yelllowish discoloration of eyes], sapītasirā [yellowish veins], pītasirāvanaddham [covered with yellow veins], sapītānanam [yellowish discoloration of face], haritābhaviṭ [greenish discoloration of faeces], haritābhamūtram [greenish discoloration of urine], haritābhasirā [greenish discoloration of veins], haritābhanakham [greenish discoloration of nails], haritābhānanam [greenish discoloration of face], jvaraḥ [fever], dāhaḥ [burning sensation], tr̥̄ṣṇā [thirst], mūrcchā [syncope/attacks of swooning], pipāsā [thirst], svēdanaḥ [excessive sweating], śītakāmaḥ/śītēcchā [desire for cold], na annaṁ abhinandati [lack of desire for food], kaṭukāsyatā [pungent taste in mouth], uṣṇānupaśayam [aggravation of clinical features due to exposure to heat], amlānupaśayam [aggravation of clinical features due to intake of sour taste], amlōdgāraḥ [sour belching/eructation], vidagdhānnatvam [indigestion leading to acidic food], daurgandhyam [bad odour from the body], bhinnavarcastvam [passage of unformed (loose) feces], daurbalyam [weakness], tamaḥ [blackouts], atipītābhaḥ [excessive yellowish tinge]"
EC-5.4,kaphajapāṇḍurōgaḥ,-,"the disorder is characterized by gauravam/atigauravam [heaviness], tandrā [drowsiness/lassitude], chardiḥ [vomiting], śvētāvabhāsatā [whitish discoloration of body], śuklēkṣaṇam [whitish discoloration of eyes], śuklasirāvanaddham [covered with whitish veins], śuklaviṭ [whitish discoloration of faeces], śuklamūtratā [whitish discoloration of urine], śuklanakham [whitish discoloration of nails], śuklānanam [whitish discoloration of face], prasēkaḥ [excessive salivation], lōmaharṣaḥ [horripilation], sādaḥ [exhaustion or tirednes of body], mūrcchā [syncope/attacks of swooning], bhramaḥ [giddiness or dizziness], klamaḥ [exhaustion without exertion], śvāsaḥ [breathlessness/difficult breathing], kāsaḥ [cough], ālasyam [lethargy], aruciḥ [tastelessness], vāggrahaḥ [obstructed speech], svaragrahaḥ [obstructed voice], kaṭukāmatā [desire for pungent taste], rūkṣakāmatā [desire for dryness], uṣaṇakāmatā [desire for heat], śvayathuḥ [oedema], madhurāsyatvam [sweet taste in the mouth], lavaṇavaktratvam [salty taste in the mouth], svarakṣayaḥ [diminution of voice/loss of voice], śuklatvak [whitish discoloration of skin]"
EC-5.5,sannipātajapāṇḍurōgaḥ,-,-
EC-5.6,mr̥dbhakṣaṇajanya pāṇḍurōgaḥ/kr̥mijapāṇḍurōgaḥ,-,"the disorder is characterized by balanāśanam [loss of strength], agnināśanam [loss of agni (digestive power)], varṇanāśanama [loss of normal body colour], śūnagaṇḍaḥ [swelling of malar region], śūnākṣikūṭaḥ [supraorbital swelling], śūnabhrūḥ [swelling of eyebrows], śūnapādaḥ [pedal oedema], śūnanābhiḥ [periumbilical oedema], śūnamēhanam [oedema of penis], kr̥mikōṣṭhaḥ [worm infestation in abdomen], atisāryatē malam/bhinnapurīṣaḥ [diarrhoea/altered stools], purīṣaṁ kr̥mimanmuñcēt [worms in fecal matter], śūnāsyaḥ [oedema of face], sāsr̥k-purīṣaḥ [blood mixed fecal matter], sakapha-purīṣaḥ [mucous mixed fecal matter], agnināśanam [loss of agni (digestive power)], varṇanāśanama [loss of normal body colour], śūnagaṇḍaḥ [swelling of malar region], śūnākṣikūṭaḥ [supraorbital swelling], śūnabhrūḥ [swelling of eyebrows], śūnapādaḥ [pedal oedema], śūnanābhiḥ [periumbilical oedema], śūnamēhanam [oedema of penis], kr̥mikōṣṭhaḥ [worm infestation in abdomen], atisāryatē malam/bhinnapurīṣaḥ [diarrhoea/altered stools], purīṣaṁ kr̥mimanmuñcēt [worms in fecal matter], śūnāsyaḥ [oedema of face], sāsr̥k-purīṣaḥ [blood mixed fecal matter], sakapha-purīṣaḥ [mucous mixed fecal matter]"
EC-5.7,pānakī,-,"the disorder is characterized by santāpaḥ [burning sensation], bhinnavarcastvaṁ [passage of unformed (loose) feces], bahirantaśca pītatā [yellowish discoloration of internal and external body parts], pāṇḍutā nētrayōryasya/nētrarōgaḥ [paleness in eyes/disease of eyes]"
EC-5.8,asādhya-pāṇḍurōgaḥ,-,"the disorder is characterized by kālaprakarṣāt śūnaḥ [swollen due to chronicity], kharībhūtaḥ [hardened swelling], baddhaviṭ [retained stool/contipation], alpaviṭ [reduced quantity of fecal matter], sakaphātisāraḥ [mucous diarrhoea], haritātisāraḥ [greenish diarrhoea], dīnaḥ [timid or apathy], śvētatvam [whitish discoloration], atidigdhāṅgaḥ [excessive stickiness of body], chardiḥ [vomiting], mūrcchā [syncope/attacks of swooning], tr̥ṣā [thirst], pāṇḍudantaḥ [whitish discoloration of teeth], pāṇḍunakhaḥ [pale nails], pāṇḍunētraḥ [pallor in eyes], pāṇusaṁghātadarśī [sees objects as white], antēṣuśunam parihīnamadhyam [swollen extremities with weak/emaciated trunk], mlānam tathāntēṣu ca madhyaśūnam [emaciated/weak extremities with swollen trunk], gudaśōphaḥ [anal oedema], muṣkaśōphaḥ [scrotal oedema], pratāmyati [fainting], asaṁjñakalpam [looking as if dead], atisāraḥ [diarrhoea]"
EC-5.9,pāṇḍu-upadravaḥ,-,"the disorder is characterized by aruciḥ [tastelessness], pipāsā [thirst], jvaraḥ [fever], mūrdharujā [headache], agnisādaḥ [diminution of agni (digestive power)], kaṇṭhagataśōphaḥ [swelling of throat region], abalatvam [lack of strength], klamaḥ [exhaustion without exertion], hr̥di avapīḍanam [pressing sensation in the heart region]"
EC-5.10,pāṇḍu-ariṣṭaḥ,-,-
EC-6,(a) āmavātaḥ,-,"It is characterised by inflammation and pain of joints, fever with chills and rigors, involvement of other organs such as heart. This may be explained by: (a) Increased vata associated with ama."
EC-6.1,vātika-āmavātaḥ,-,the disorder is characterized by saśūlam [asociated with pain]
EC-6.2,paittika-āmavātaḥ,-,"the disorder is characterized by sadāhaḥ [associated with burning sensation], rāgaḥ [redness/congestion]"
EC-6.3,kaphaja-āmavātaḥ,-,"the disorder is characterized by stimitam [feeling as if covered with wet cloth], guruḥ [heaviness], kaṇḍūḥ [itching]"
EC-6.4,ativr̥ddha-āmavātaḥ,-,"the disorder is characterized by hastasandhiruk [pain in joints of hands], pādasandhiruk [pain in joints of feet], śirōsandhiruk [pain in joints of head], gulphasandhiruk [pain in ankle joint], trikasandhiruk [pain in joints of the sacroiliac region], jānusandhiruk [pain in knee joint], ūrusandhiruk [pain in the hip joint], hastasandhiśōphaḥ [swelling in joints of hands], pādasandhiśōphaḥ [swelling in joints of feet], śirōsandhiśōphaḥ [swelling in joints of head], gulphasandhiśōphaḥ [swelling in ankle joint], trikasandhiśōphaḥ [swelling in joints of the sacroiliac region], jānusandhiśōphaḥ [swelling in knee joint], ūrusandhiśōphaḥ [pain in the hip joint], vr̥ścika vidhda iva rujā [pain similar to scorpion bite], agnidaurbalyam [diminution of agni], prasēkaḥ [excessive salivation], aruciḥ [tastelessness], gauravam [heaviness of body], utsāhahāni [lack of enthusiasm], vairasyam [altered taste sensation], dāhaḥ [burning sensation], bahumūtratā [frequent excessive micturition], kukṣikāṭhinyam [hardness of abdomen], śūlam [colicky pain in the abdomen], nidrāviparyayam [altered sleep], tr̥ṭ [thirst], chardiḥ [vomiting], bhramaḥ [giddiness or dizziness], mūrcchā [syncope/attacks of swooning], hr̥dgraham [stiffness in cardiac region], viṭ vibaddhatā [constipation], jāḍyam [dullness/frigidity/inactiveness], āntrakūjanam [barborygmus/gurgling sound of intestines], ānāham [barborygmus with distention]"
EC-7,aruciḥ,-,-
EC-8,kēśarōgaḥ,-,the disorder is characterized by kuṣṭhaḥ [skin disease]
ED,raktavahasrōtōvikāraḥ,-,"the disorder is characterized by visarpaḥ [a dermatological condition characterized by spreading skin lesions], piḍakā [papule/eruptions], raktapittam [bleeding disorder], asr̥gdaraḥ [irregular or excessive menstruation], gudapākaḥ [proctitis], mēḍhrapākaḥ [inflamation of penis], āsyapākaḥ [stomatitis], plīhā [plīha (spleenomegaly)], gulmaḥ [palpable glandular enlargment in abdomen/abdominal lump], vidradhiḥ [abscess], nīlikā [blackish patch on any part of the body], kāmalā [clinical features of jaundice], vyaṅgaḥ [blackish patch on the face], piplu [elevated skin patch], tilakālakaḥ [moles], dadru [skin disease having circular patches], carmadalaḥ [type of skin disease], śvitraḥ [leucoderma], pāmā [scabies], kōṭhaḥ [wheal like skin eruptions], asramaṇḍalam [reddish circular patches on skin]"
ED-1,(a) raktavahasrotoduṣṭiḥ,-,"It is characterized by cyanosis, fever, burning sensation, pallor, haemorrhage and blood-red eyes. This may be explained by derangement of channels (functional or anatomical or both) carrying blood."
ED-2,,-,-
ED-2.1,,-,-
ED-2.2,(a) kaṇḍūḥ,-,"It is characterised by itching of the body without the appearance of eruptions or rashes. This may be explained by: (a) Excess of vitiated kapha, pitta affecting the skin"
ED-2.3,krōdhapracuratā,-,-
ED-2.4,klamaḥ,-,-
ED-2.5,gurugātratā,-,-
ED-2.6,tandrātiyōgaḥ,-,-
ED-2.7,tamapravēśaḥ/tamaḥ-atidarśanam,-,-
ED-2.8,nidrānāśaḥ/asvapnaḥ,-,-
ED-2.9,(a) piḍakā,-,"It is characterised by red eruptions with suppuration and multiple openings, severe burning sensation. This may be explained by: (a) Vitiation of blood, flesh and fat."
ED-2.10,pipāsā,-,-
ED-2.11,pūtigandhatā,-,-
ED-2.12,pūtighrāṇagandhatā,-,-
ED-2.13,pramīlakaḥ,-,-
ED-2.14,(a) buddhisaṁmōhaḥ,-,It is characterised by mental confusion and hallucinations. This may be explained by: (a) Vitiation of blood.
ED-2.15,lavaṇāsyatā,-,-
ED-2.16,vivarṇatā,-,-
ED-2.17,svarakṣayaḥ,-,-
ED-2.18,śarīradaurgandhyam,-,-
ED-2.19,śirōruk,-,-
ED-2.20,santāpaḥ,-,-
ED-2.21,raktapākaḥ,-,"the disorder is characterized by aspaṣṭapakvaliṅgam [unclear signs of suppuration], śītaśōphatā [cold-swelling], tvak-sāvarṇyam [colour same as that of skin], alparujā [mild pain], aśmavat ghanasparśatvam [stony hard on touch]"
ED-3,(a) kāmalā,-,"It is characterised by yellowish discoloration of skin, eyes, nails, urine and feces associated with loss of appetite, fatigue and bilous vomiting. This may be explained by: (a) Weak digestive and metabolic factors, vitiation of pitta and blood affecting liver."
ED-3.1,(a) koṣṭhāśrita-kāmalā,-,-
ED-3.2,(a) kumbhakāmalā,-,-
ED-3.3,(a) śākhāśrita-kāmalā,-,-
ED-3.4,(a) lakharaka,-,-
ED-3.5,(a) halīmaka,-,-
ED-3.6,asādhya-kāmalā,-,"the disorder is characterized by naṣṭāgniḥ [loss of agni], ānāhaḥ [barborygmus with distention], aruciḥ [tastelessness], dāhaḥ [burning sensation], kr̥ṣṇaśakr̥t [black coloured feces], kuṣṇamūtram [black coloured urine], mōhaḥ [semiconsciousness or stupefaction], pītaśakr̥t [yellow colour stool], pītamūtram [yellowish urine], saraktākṣi [urine with the colour of blood], saraktamukhaḥ [reddish appearance of face], saraktaśchardiḥ [vomitus with blood], saraktaviṭ [stools with blood], saraktamūtram [haematuria], naṣṭasaṁjā [loss of consciousness], bhr̥śaṁ śūnatā [excessively swelling], tamaḥ [blackouts], tandrā [drowsiness/lassitude], tr̥̄ṣā [thirst], kṣipraṁ vipadyatē [sudden death]"
ED-3.7,asādhya-kuṁbhakāmalā,-,"the disorder is characterized by chardiḥ [vomiting], arōcakaḥ [tastelessness], hr̥llāsaḥ [nausea], jvaraḥ [fever], klamaḥ [exhaustion without exertion], śvāsaḥ [breathlessness/difficult breathing], kāsaḥ [cough], viṭbhēdaḥ [altered bowels/loose stools]"
ED-3.8,kāmalā-ariṣṭaḥ,-,"the disorder is characterized by mukhapūrṇatā [whole mouth yellowishness], śaṁkhayōḥ muktamāṁsatā [wasting], santrāsaḥ [irritation], aṁgōṣṇatā [hotness]"
ED-4,kuṣṭham,-,-
ED-4.1,kuṣṭha-pūrvarūpam,-,"the disorder is characterized by sparśājñatvam [inablitity to percive touch sensation], atisvēdaḥ [excessive sweating], asvēdaḥ [anhidrosis/lack of sweating], vaivarṇyam/vivarṇatā [discolouration], kōṭhānām unnatiḥ [raised reddish patches], lōmaharṣaḥ [horripilation], kaṇḍūḥ [itching], tōdaḥ [pricking pain], śramaḥ [exhaustion/fatigue], klamaḥ [exhaustion without exertion], vraṇānāmadhikaṁ śūlam [excessive pain in the wounds], śīghrōtpattiḥ [sudden onset], cirasthitiḥ [chronic nature], dāhaḥ [burning sensation], suptāṅgatā [loss of sensation of body parts], atiślakṣṇasparśaḥ [excessive smoothness of skin], atikharasparśaḥ [excessive roughness of skin], rūḍhānāmapi rūkṣatvam [improper healing of wounds], nimittē alpē api kōpanam [aggravation by minor causative factors], asr̥jaḥ kārṣṇyam [blackish colour of blood]"
ED-4.2,mahākuṣṭhaḥ,-,"the disorder is characterized by tvaksaṅkōcaḥ [contraction of skin], tvagbhēdaḥ [cracking of skin], tvagsvapanam [numbness of skin], aṅgasādaḥ [exhaustion or tirednes to body /inability to perform physical activities]"
ED-4.2.1,"(a) kapālaḥ, (a) aruṇa-kuṣṭhaḥ, (a) vātikakuṣṭhaḥ",-,-
ED-4.2.2,,-,-
ED-4.2.3,"(a) udumbara-kuṣṭhaḥ, (a) paittika-kuṣṭhaḥ",-,-
ED-4.2.4,"(a) maṇḍalakuṣṭhaḥ, (a) kaphajakuṣṭhaḥ",-,-
ED-4.2.5,(a) ṛṣyajihvakaḥ,-,-
ED-4.2.6,(a) puṇḍarīkaḥ,-,-
ED-4.2.7,(a) sidhmaḥ,-,"It is characterised by roughening and hardening of part of skin, whitish scaling, less itching, dryness of skin. This may be explained by: (a) Vitiated vatadosha and kapadosha affecting the skin."
ED-4.2.8,kākaṇakaḥ,-,"the disorder is characterized by kākaṇāntikāvarṇaḥ/kākaṇāntikāphalasadr̥śaḥ [colour of a kākaṇāntikā], sarvakuṣṭhaliṅgasamanvitaḥ [with symptoms of all the kuṣṭha], atīvaraktaḥ [dark red in colour], atīvakr̥ṣṇaḥ [dark black in colour], tīvradāhaḥ [severe burning sensation], tīvraruk [severe pain]"
ED-4.3,kṣudrakuṣṭham,-,-
ED-4.3.1,(a) ekakuṣṭhaḥ,-,"It is characterised by appearance of skin similar to scales of fish, roughness of skin, sloughing of skin, absence of sweating. This may be explained by: (a) Vitiated vata and kapa dosha affecting the skin."
ED-4.3.2,(a) carmakuṣṭhaḥ,-,-
ED-4.3.3,(a) kiṭibhaḥ,-,-
ED-4.3.4,(a) vipādikā,-,-
ED-4.3.5,,-,-
ED-4.3.6,(a) dadru-kuṣṭhaḥ,-,"It is characterised by itching, roughness of skin, elevated ring shaped lesion with or without scaling, and blackish or reddish discoloration. This may be explained by: (a) Vitiation of kapha."
ED-4.3.7,(a) carmadala-kuṣṭhaḥ,-,-
ED-4.3.8,(a) pāmā (kacchū),-,"It is characterised by red papular eruptions over the skin with severe itching and burning and involve mostly hands between fingers, legs, groin and sometimes whole body. This may be explained by: (a) Indigestion, weak digestive and metabolic factors, vitiation of kapha, pitta affecting the skin, integuments."
ED-4.3.9,(a) śatāru-kuṣṭhaḥ,-,-
ED-4.3.10,(a) vicarcikā,-,"It is characterised by crusted eruptions, intense burning resembling flame of fire, itching, dryness of the skin, blackish discolouration may be associated with discharge. This may be explained by: (a)Vitiation of all the three dosha with a predominance of kaphadosha."
ED-4.3.10,(a) vicarcikā,-,"It is characterised by crusted eruptions, intense burning resembling flame of fire, itching, dryness of the skin, blackish discolouration may be associated with discharge. This may be explained by: (a)Vitiation of all the three dosha with a predominance of kaphadosha."
ED-4.3.11,(a) sthūlāruṣka,-,-
ED-4.4,(a) dhātugatakuṣṭhaḥ,-,"It is characterised by hypopigmented patches of the skin, loss of sensation, deformity and derangement of shape of the organs with or without purulent discharge. This may be explained by: (a) Vitiation of all the three dosha and seven tissues."
ED-4.4.1,tvaggatakuṣṭhaḥ,-,"the disorder is characterized by sparṣahāniḥ [loss of tactile sensation], svēdanatvam [sweating], īśat kaṇḍū [minimal itching], vaivarṇyam/aṅga-vaivarṇam [discolouration], rūkṣabhāvaḥ/rūkṣatā [dryness], tōdaḥ [pricking pain]"
ED-4.4.2,raktagatakuṣṭhaḥ,-,"the disorder is characterized by tvak-svāpaḥ [numbness at the site], rōmaharṣaḥ [horripilation], svēdābhipravartanam/svēdātipravartanam/svēdaḥ [excessive sweating], kaṇḍūḥ [itching], vipūyakaḥ [putrid suppuration], śvayathuḥ [oedema]"
ED-4.4.3,māṁsagatakuṣṭhaḥ,-,"the disorder is characterized by bāhulyam [large circular patches], vaktraśōṣaḥ [dryness of mouth], kārkaśyam [roughness], piḍakōdgamaḥ [appearance of eruptions], tōdaḥ [pricking pain], sphōṭāḥ [blisters], sthiratvam [fixity], pāṇyāśritasphōṭāḥ [blisters on palms], pādāśritasphōṭāḥ [blisters on sole], sandhiṣu adhikaṁ klēdaḥ [discharge, secretion at joint places]"
ED-4.4.4,mēdōgatakuṣṭhaḥ,-,"the disorder is characterized by daurgandhyam [bad odour], upadēhaḥ [rheum], pūyaḥ [pus formation], krimisaṁbhavaḥ [production of maggots], gātrāṇāṁ bhēdanam [breaking pain in body], kauṇyam [falling off of the fingers and toes], gatikṣayaḥ [restricted movements of the limbs], aṅgānāṁ dalanam [putrifaction], saṁbhēdaḥ [tearing sensation], kṣatasarpaṇam [spreading of the lesions]"
ED-4.4.5,asthigatakuṣṭhaḥ,-,"the disorder is characterized by nāsābhaṅgaḥ [depression of nasal bridge], akṣirāgaḥ/nētrarāgaḥ [redness in the eyes], krimisaṁbhavaḥ (kṣatēṣu ) [production of maggots in the lesion], svarōpaghātaḥ [loss of speech], svarakṣayaḥ [diminution of voice/loss of voice]"
ED-4.4.6,majjāgatakuṣṭhaḥ,-,"the disorder is characterized by nāsābhaṅgaḥ [depression of nasal bridge], akṣirāgaḥ [redness in the eyes], krimisaṁbhavaḥ (kṣatēṣu ) [production of maggots in the lesion], svarōpaghātaḥ [loss of speech], svarakṣayaḥ [diminution of voice/loss of voice]"
ED-4.4.7,śukragatakuṣṭhaḥ,-,"the disorder is characterized by kauṇyam [falling off of the fingers and toes], gatikṣayaḥ [restricted movements of the limbs], aṅgānāṁ sambhēdaḥ [tearing sensation of the limbs], kṣatasarpaṇam [spreading of the lesions], prāguktalakṣaṇāni [clinical features mentioned as above/earlier], dārābādhanam [affliction to spouse], apatyabādhanam/apatyaṁ bhavati kuṣṭhitam [affliction to progeny]"
ED-4.5,asādhyakuṣṭhaḥ,-,"the disorder is characterized by sarvaliṁgairyutatvam [clinical features of all types of dōṣa], abalatvam [lack of strength], tr̥ṣṇā [thirst], dāhaḥ [burning sensation], śāntāgniḥ [loss of digestive power], jantujagdham [affected with worms], sarvadōṣōlbaṇatā [predominance of all three dōṣa], riṣṭōktalakṣaṇayuktam [associated with fatal signs], asthisamāśrayam [involving asthi dhātu], majjāsamāśrayam [involving majjā dhātu], śukrasamāśrayam [involving śukra dhātu]"
ED-4.6,kuṣṭha-upadravaḥ,-,"the disorder is characterized by prasravaṇam [discharge], aṁgabhēdaḥ [cracking of skin/body parts], aṁgāvayavānāṁ patanam [suppuration, falling of body parts], tr̥ṣṇā [thirst], jvaraḥ [fever], atisāraḥ [diarrhoea], dāhaḥ [burning sensation], daurbalyam [weakness], arōcakaḥ [tastelessness], avipākaḥ [indigestion]"
ED-4.7,kuṣṭha-ariṣṭaḥ,-,-
ED-5,(a) śvitraḥ,-,-
ED-5.1,vātika-śvitraḥ,-,"the disorder is characterized by maṇḍalam [circular patches], aruṇam [slightly reddish coloured], paruṣam [rough/dry], paridhvaṁsi [ruining], rūkṣam [dry]"
ED-5.2,paittika-śvitraḥ/kilāsaḥ,-,"the disorder is characterized by padmapatrapratīkāśam/kamalapatravat [like the petals of a lotus], saparidāhaḥ [burning sensation], tāmraḥ [copper coloured], dāhaḥ [burning sensation], rōmavidhvaṁsanam [loss of hairs]"
ED-5.3,kaphajaśvitraḥ/kilāsaḥ,-,"the disorder is characterized by śvētaḥ [whitish discoloration], snigdhaḥ [smooth/unctuous /oily], bahalaḥ [large in size], kaṇḍūḥ [itching], ghanaḥ [thick and dense lesion], guruḥ [heaviness]"
ED-5.4,raktajaśvitraḥ-daruṇaḥ,-,the disorder is characterized by raktavarṇaḥ [red colour]
ED-5.5,māṁsajaśvitraḥ-cāruṇaḥ,-,the disorder is characterized by tāmravarṇaḥ [coppery colour lesions]
ED-5.6,mēdōjaśvitraḥ,-,the disorder is characterized by śvētavarṇaḥ [white colour lesions]
ED-5.7,asādhyakilāsa,-,"the disorder is characterized by sambaddhamaṇḍalam [non overlapping lesions], antējātam [lesions developing on extremities, lips etc.], raktarōmaḥ [in which the terminal hairs are red], agnidagdhajanyaśrvitram [those which developed after burns]"
ED-6,masūrikā,-,"the disorder is characterized by masūrākr̥ti-piḍakā [lentil form pustules on skin], masūrasaṁsthāna-piḍakā [lentil size pustules on skin]"
ED-6.1,masūrikāpūrvarūpam,-,"the disorder is characterized by jvaram [fever], kaṇḍūḥ [itching], gātrabhaṅgaḥ [breaking pain in body], aratiḥ [distress/dicontent/restlessness], bhramaḥ [giddiness or dizziness], tvaci śōthaḥ [oedema on skin], vaivarṇyam [discolouration], nētrarāgaḥ [redness of eyes]"
ED-6.2,vātajamasūrikā,-,"the disorder is characterized by śyāva-sphōṭaḥ [blackish eruptions], aruṇa-sphōṭaḥ [slightly reddish eruptions], rūkṣa-sphōṭaḥ [dry eruptions], tīvravēdanā (sphōṭaḥ) [severe pain], kaṭhina-sphōṭaḥ [hard eruptions], cirapākaḥ [take a long time to suppurate], sandhi-bhēdaḥ [breaking/splitting pain in joints], asthi-bhēdaḥ [breaking/splitting type of pain in the bones], parva-bhēdaḥ [breaking type of pain in small joints], kāsaḥ [cough], kampaḥ [tremors], aratiḥ [distress/dicontent/restlessness], klamaḥ [exhaustion without exertion], tālu-śōṣaḥ [dryness of palate], ōṣṭha-śōṣaḥ [dryness of the lips], jihvā-śōṣaḥ [dryness of the tongue], tr̥ṣṇā [thirst], aruciḥ [tastelessness]"
ED-6.3,pittajamasūrikā,-,"the disorder is characterized by rakta-sphōṭaḥ [red eruptions], pīta-sphōṭāḥ [yellow eruptions], asita-sphōṭaḥ [blackish eruptions], dāhaḥ [burning sensation], tīvravēdanā [severe pain], acirapākaḥ [suppurates quickly], viḍbhēdaḥ [altered stools/loose motions], aṅgamardaḥ [generalised bodyache], dāhaḥ [burning sensation], tr̥ṣṇā [thirst], aruciḥ [tastelessness], mukhapākaḥ [stomatitis], akṣirāgaḥ [redness in the eyes], tīvra jvaraḥ [severe fever], sudāruṇajvaraḥ [very distressing and high fever]"
ED-6.4,kaphajamasūrikā,-,"the disorder is characterized by kaphaprasēkaḥ [salivation], staimityam [a sensation of being covered with wet clothes], śirōruk [headache], gātragauravam [heaviness of the limbs], hr̥llāsaḥ [nausea], aruciḥ [tastelessness], nidrā [sleep], tandrā [drowsiness/lassitude], ālasyam [lethargy], śvētapiḍakā [white], snigdhapiḍakā [unctuous apprearance of eruptions], sthūlapiḍakā/bhr̥śasthūlaḥ [large eruptions], kaṇḍūraḥ [associated with an itching sensation], mandavēdanā [mild pain], cirapākī [take a long time to suppurate]"
ED-6.5,tridōṣajamasūrikā,-,"the disorder is characterized by nīlā [blue eruptions], cipiṭavistīrṇā [flat eruption], madhyē nimnā [depresssed in the centre], mahārujā [severe pain], cirapākā [take a long time to suppurate], prabhūtapūtisrāvaḥ [exccessive pus discharge], kaṇṭharōdhaḥ [obstruction of throat], aruciḥ [tastelessness], stambhaḥ [rigidity/stiffness], pralāpaḥ [excess talking/irrelevant speech/incoherent speech], aratiḥ [distress/dicontent/restlessness]"
ED-6.6,raktajamasūrikā,-,"the disorder is characterized by rakta-sphōṭaḥ [red eruptions], pīta-sphōṭāḥ [yellow eruptions], asita-sphōṭaḥ [blackish eruptions], dāhaḥ [burning sensation], tīvravēdanā [severe pain], acirapākaḥ [suppurates quickly], viḍbhēdaḥ [altered stools/loose motions], aṅgamardaḥ [generalised bodyache], dāhaḥ [burning sensation], tr̥ṣṇā [thirst], aruciḥ [tastelessness], mukhapākaḥ [stomatitis], akṣirāgaḥ [redness in the eyes], tīvra jvaraḥ [severe fever], sudāruṇajvaraḥ [very distressing and high fever]"
ED-6.7,saptadhātugatamasūrikā,-,-
ED-6.7.1,tvakgatamasūrikā/rasadhātugatamasūrikā,-,"the disorder is characterized by tōyabudbudasaṅkāśapiḍakā [vesicles appear like bubble in the water], bhinnē tōyasrāvaḥ [watery discharge on rupture of vesicles], svalpadōṣaḥ [less severity]"
ED-6.7.2,raktajamasūrikā,-,"the disorder is characterized by lōhitākārapiḍakā [blood like appearance], śīghrapākāḥ [sudden onset of suppuration], tanutvak [thin skin], bhinnā raktaṁ sravanti [discharge of blood on rupture], na atyarthaduṣṭaḥ [not much severe]"
ED-6.7.3,māṁsagatamasūrikā,-,"the disorder is characterized by kaṭhina-piḍakā [hard eruptions], snigdha-piḍakā [unctuous apprearance of eruptions], cirapākaḥ [take a long time to suppurate], ghanatvak [thick skin], gātraśūlaḥ [body pain], tr̥ṣā [thirst], kaṇḍūḥ [itching], jvaraḥ [fever], aratiḥ [distress/dicontent/restlessness]"
