namc_code,namc_term_diacritical,short_definition,long_definition
AAB-28,kubjatvam (kēvalavāta),-,-
AAB-29,(a) kārśyam,-,"It is characterised by sudden or gradual loss of body weight, loss of muscle. This may be explained by: (a) Emaciation in the body due to vitiation of vāta."
AAB-30,(a) keśabhūmisphuṭanam,-,It is characterised by scaling of scalp / forehead skin. This may be explained by: (a) Increased vatadosha.
AAB-31,khañjaḥ/khañjatvam (kēvalavāta),-,-
AAB-32,garbhanāśaḥ (kēvalavāta),-,-
AAB-33,(a) grīvāstambhaḥ,-,"It is characterised by pain, stiffness of the neck. This may be explained by: (a) Vitiation of vata causing stiffness of neck muscles."
AAB-34,gudabhraṁśaḥ (kēvalavāta),-,-
AAB-35,(a) gudārtiḥ,-,It is characterised by pain in the anal region radiating to rest of perineum and lower back. This may be explained by: (a) Severe vitiation of Descending vata affecting the anal region.
AAB-36,(a) gulpha-grahaḥ,-,-
AAB-37,gr̥dhrasī (kēvalavāta),-,"the disorder is characterized by kramāt sphik-kaṭi-pr̥ṣṭha-ūru-jānu-jaṅghā-padēṣu stambhaḥ [gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet], spandatē muhuḥ [constant/frequent throbbing/twiching sensation], sakthi-nigr̥hṇana [supression/holding down of thighs], jānusaṁdhi-sphuraṇam [twitching sensation in knee], jānusaṁdhi-stabdhatā [stiffness in knee joint], kaṭisaṁdhi-sphuraṇam [twitching sensation in waist], kaṭisaṁdhi-stabdhatā [stiffness of lowback], ūrusaṁdhi-sphuraṇam [twitching sensation in thigh], ūrusaṁdhi-stabdhatā [stiffness in thigh], tōdaḥ [pricking pain], dēha-pravakratā [bending/flexion of the body]"
AAB-38,(a) ghrāṇanāśaḥ,-,"It is characterised by decreased or loss of the smell. It may be explained by: (a) Vatadosha, kaphadosha blocking nasal passages"
AAB-39,(a) jānubhedaḥ,-,-
AAB-40,(a) jānuviśleṣaḥ,-,-
AAB-41,(a) jr̥mbhā,-,It is characterised by morbid excessive yawning. This may be explained by: (a) Increased vatadosha.
AAB-42,(a) tamaḥ,-,-
AAB-43,timiraḥ (kēvalavāta),-,-
AAB-44,(a) prasuptiḥ (a) tvakśūnyatā,-,-
AAB-45,(a) todaḥ,-,-
AAB-46,(a) daṇḍakaḥ,-,-
AAB-47,dantabhēdaḥ (kēvalavāta),-,-
AAB-48,(a) dantaśaithilyam,-,-
AAB-49,(a) nakhabhedaḥ,-,"It is characterised by whitish, mica coloured discoloration, brittleness of nails. This may be explained by: (a) Vitiated digestive and metabolic factors resulting in non absorption of nutrients leading to vitiation of vatadosha."
AAB-50,(a) hrasvakeśaḥ,-,-
AAB-51,nirāmavātaḥ,-,-
AAB-52,pakṣāghātaḥ/pakṣavadhaḥ (kēvalavāta),-,-
AAB-53,(a) pāṅgulyam,-,-
AAB-54,(a) pādabhraṃśaḥ,-,-
AAB-55,(a) pādaśūlaḥ,-,-
AAB-56,(a) pādasuptatā,-,-
AAB-57,(a) pāruṣyam,-,It is characterised by roughness and thickness of skin may be associated with itching. This may be explained by: (a) Vitiated vatadosha.
AAB-58,pārśvāvamardaḥ (kēvalavāta),-,-
AAB-59,(a) piṇḍikodveṣṭanam,-,-
AAB-60,purīṣātigāḍhatvam (kēvalavāta),-,-
AAB-61,(a) pṛṣṭha-grahaḥ,-,"It is characterised by backache of various degrees associated with stiffness and immobility. This may be explained by: (a) Vitiation of vata, kapha affecting the local muscle tissue."
AAB-62,pralāpakaḥ (kēvalavāta),-,-
AAB-63,bādhiryam (kēvalavāta),-,-
AAB-64,(a) bāhuśoṣaḥ,-,-
AAB-65,(a) balahāniḥ,-,-
AAB-66,(a) bhedaḥ,-,-
AAB-67,,-,-
AAB-68,(a) mala-apravṛtiḥ,-,-
AAB-69,mūkatvam (kēvalavāta),-,-
AAB-70,mōhaḥ (kēvalavāta),-,-
AAB-71,bhramaḥ (kēvalavāta),-,-
AAB-72,(a) bhrūvyudāsaḥ,-,-
AAB-73,,-,-
AAB-74,(a) mukhaśoṣaḥ,-,"It is characterised by dryness of the tongue and may be associated with dryness of mouth, bitterness, heartburn. This may be explained by: (a) Vitiation of kapha, vata affecting the tongue."
AAB-75,(a) mūtranigrahaḥ,-,"It is characterised by retention of urine, inability to urinate, abdominal pain. This may be explained by: (a) Retention of the urine due to vātadosha."
AAB-76,rajōnāśaḥ (kēvalavāta),-,-
AAB-77,(a) raukṣyam,-,"It is characterised by dryness, scaliness and cracking of extremities and face. This may be explained by: (a) Increased vata affecting skin"
AAB-78,(a) lomaharṣaḥ,-,-
AAB-79,(a) lalāṭabhedaḥ,-,-
AAB-80,(a) trikagrahaḥ,-,-
AAB-81,vartmastambhaḥ (kēvalavāta),-,-
AAB-82,(a) vartmasaṅkocaḥ,-,-
AAB-83,(a) vakṣoparodhaḥ,-,-
AAB-84,(a) vakṣastodaḥ,-,-
