Sr No.,NAMC_ID,NAMC_CODE,NAMC_TERM,Tamil_term,Short_definition,Long_definition,Reference,query,normalized_term,system,code,term,display_name,NUMC_ID,NUMC_CODE,Arabic_term,NUMC_TERM
1,1,SID,Siddha,சித்தா,Siddha,,,siddha siddha siddha siddha சித்தா சித்தா சித்தா சித்தா siddha siddha siddha,siddha,siddha,SID,Siddha,Siddha,,,,
2,2,DIS,Disorder,நோய்,Disorder,,,disorder disorder disorder disorder நோய் நோய் நோய் நோய் disorder disorder disorder,disorder,siddha,DIS,Disorder,Disorder,,,,
3,3,A,Vaḷarcitai Māṟṟa Nōykaḷ,வளர்சிதை மாற்ற நோய்கள்,Metabolic disorders,,,vaḷarcitai māṟṟa nōykaḷ vaḷarcitai māṟṟa nōykaḷ vaḷarcitai māṟṟa nōykaḷ vaḷarcitai māṟṟa nōykaḷ வளர்சிதை மாற்ற நோய்கள் வளர்சிதை மாற்ற நோய்கள் வளர்சிதை மாற்ற நோய்கள் வளர்சிதை மாற்ற நோய்கள் metabolic disorders metabolic disorders metabolic disorders,vaḷarcitai māṟṟa nōykaḷ,siddha,A,Vaḷarcitai Māṟṟa Nōykaḷ,Vaḷarcitai Māṟṟa Nōykaḷ,,,,
4,4,AA,Kallīral Nōy,கல்லீரல் நோய்,Hepatic disease,,,kallīral nōy kallīral nōy kallīral nōy kallīral nōy கல்லீரல் நோய் கல்லீரல் நோய் கல்லீரல் நோய் கல்லீரல் நோய் hepatic disease hepatic disease hepatic disease,kallīral nōy,siddha,AA,Kallīral Nōy,Kallīral Nōy,,,,
5,5,AAA,Vaḷi,வளி,Hepatic disease classified under vali humour,,,vaḷi vaḷi vaḷi vaḷi வளி வளி வளி வளி hepatic disease classified under vali humour hepatic disease classified under vali humour hepatic disease classified under vali humour,vaḷi,siddha,AAA,Vaḷi,Vaḷi,,,,
6,6,AAA1.1,Vaḷi Kallīral Nōy,வளி கல்லீரல் நோய்,"Hepatomegaly due to vali, if chronic leads to anaemia","It is characterized by fever, emaciation, blackish discoloration of the body, abdominal, engorged veins, lymph node enlargement abdomen, neck, chest and inguinal region, decreased blood volume, pallor and peripheral edema leading to fatal. It is explaine","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No: 338-339","vaḷi kallīral nōy vaḷi kallīral nōy vaḷi kallīral nōy vaḷi kallīral nōy வளி கல்லீரல் நோய் வளி கல்லீரல் நோய் வளி கல்லீரல் நோய் வளி கல்லீரல் நோய் hepatomegaly due to vali, if chronic leads to anaemia hepatomegaly due to vali, if chronic leads to anaemia hepatomegaly due to vali, if chronic leads to anaemia it is characterized by fever, emaciation, blackish discoloration of the body, abdominal, engorged veins, lymph node enlargement abdomen, neck, chest and inguinal region, decreased blood volume, pallor and peripheral edema leading to fatal. it is explaine k. n. kuppusamy mudaliar (2007). siddha maruthuvam - pothu (7th ed.)chennai; department of indian medicine & homeopathy, page no: 338-339",vaḷi kallīral nōy,siddha,AAA1.1,Vaḷi Kallīral Nōy,Vaḷi Kallīral Nōy,,,,
7,7,AAB,Aẕal,அழல்,Hepatic disease classified under azhal humour,,,aẕal aẕal aẕal aẕal அழல் அழல் அழல் அழல் hepatic disease classified under azhal humour hepatic disease classified under azhal humour hepatic disease classified under azhal humour,aẕal,siddha,AAB,Aẕal,Aẕal,,,,
8,8,AAB1.1,Aẕal Kallīral Nōy,அழல் கல்லீரல் நோய்,"Hepatomegaly due to azhal, if chronic leads to ascites","It is characterized by full blown icterus, bitter taste, bilious vomiting, shrunken face, peripheral oedema and pallor. It is explained by increased Aẕal influencing iyam and vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets affect","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No: 339","aẕal kallīral nōy aẕal kallīral nōy aẕal kallīral nōy aẕal kallīral nōy அழல் கல்லீரல் நோய் அழல் கல்லீரல் நோய் அழல் கல்லீரல் நோய் அழல் கல்லீரல் நோய் hepatomegaly due to azhal, if chronic leads to ascites hepatomegaly due to azhal, if chronic leads to ascites hepatomegaly due to azhal, if chronic leads to ascites it is characterized by full blown icterus, bitter taste, bilious vomiting, shrunken face, peripheral oedema and pallor. it is explained by increased aẕal influencing iyam and vali. among the seven uṭaṟtātukkaḷ cāram, cennīr, ūṉ and koẕuppu gets affect k. n. kuppusamy mudaliar (2007). siddha maruthuvam - pothu (7th ed.)chennai; department of indian medicine & homeopathy, page no: 339",aẕal kallīral nōy,siddha,AAB1.1,Aẕal Kallīral Nōy,Aẕal Kallīral Nōy,,,,
9,9,AAC,Aiyam,ஐயம்,Hepatic disease classified under iya humour,,,aiyam aiyam aiyam aiyam ஐயம் ஐயம் ஐயம் ஐயம் hepatic disease classified under iya humour hepatic disease classified under iya humour hepatic disease classified under iya humour,aiyam,siddha,AAC,Aiyam,Aiyam,,,,
10,10,AAC1,Aiya Kallīral Nōy,ஐய கல்லீரல் நோய்,"Hepatomegaly due to aiyam, and nodular liver on palpation","It is characterised by massive hepatomegaly with nodules, fever,vomiting, headache, oliguria, jaundice, anasarca, pallor followed by ascites. It is explained by increased Aẕal, vali ( vyanan,samanan,abanan,udanan) influencing iyam . Among the seven Uṭaṟ","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No: 339","aiya kallīral nōy aiya kallīral nōy aiya kallīral nōy aiya kallīral nōy ஐய கல்லீரல் நோய் ஐய கல்லீரல் நோய் ஐய கல்லீரல் நோய் ஐய கல்லீரல் நோய் hepatomegaly due to aiyam, and nodular liver on palpation hepatomegaly due to aiyam, and nodular liver on palpation hepatomegaly due to aiyam, and nodular liver on palpation it is characterised by massive hepatomegaly with nodules, fever,vomiting, headache, oliguria, jaundice, anasarca, pallor followed by ascites. it is explained by increased aẕal, vali ( vyanan,samanan,abanan,udanan) influencing iyam . among the seven uṭaṟ k. n. kuppusamy mudaliar (2007). siddha maruthuvam - pothu (7th ed.)chennai; department of indian medicine & homeopathy, page no: 339",aiya kallīral nōy,siddha,AAC1,Aiya Kallīral Nōy,Aiya Kallīral Nōy,,,,
11,11,AB,Mañcaḷ Nōy,மஞ்சள்,Jaundice,,,mañcaḷ nōy mañcaḷ nōy mañcaḷ nōy mañcaḷ nōy மஞ்சள் மஞ்சள் மஞ்சள் மஞ்சள் jaundice jaundice jaundice,mañcaḷ nōy,siddha,AB,Mañcaḷ Nōy,Mañcaḷ Nōy,,,,
12,12,ABA,Vaḷi,வளி,Jaundice classified under vali humour,,,vaḷi vaḷi vaḷi vaḷi வளி வளி வளி வளி jaundice classified under vali humour jaundice classified under vali humour jaundice classified under vali humour,vaḷi,siddha,ABA,Vaḷi,Vaḷi,,,,
13,13,ABA1.1,Vaḷi Mañcaḷ Nōy,வளி மஞ்சள் நோய்,Jaundice caused by increased by vali,"It is characterised by dyspepsia, peripheral oedema, emaciation of the body and eyes, diminished vision malaise, loss of appetite and sleep. It is explained by increased vali (vyanan ) influencing Aẕal. Among the seven Uṭaṟtātukkaḷ,Cāram and seneer gets","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976 (2nd ed.), Chennai: Dept of Indian Medicine & Homeopathy, Page No: 367","vaḷi mañcaḷ nōy vaḷi mañcaḷ nōy vaḷi mañcaḷ nōy vaḷi mañcaḷ nōy வளி மஞ்சள் நோய் வளி மஞ்சள் நோய் வளி மஞ்சள் நோய் வளி மஞ்சள் நோய் jaundice caused by increased by vali jaundice caused by increased by vali jaundice caused by increased by vali it is characterised by dyspepsia, peripheral oedema, emaciation of the body and eyes, diminished vision malaise, loss of appetite and sleep. it is explained by increased vali (vyanan ) influencing aẕal. among the seven uṭaṟtātukkaḷ,cāram and seneer gets yugi munivar vaidhya chinthamani (perunool 800) first part; 1976 (2nd ed.), chennai: dept of indian medicine & homeopathy, page no: 367",vaḷi mañcaḷ nōy,siddha,ABA1.1,Vaḷi Mañcaḷ Nōy,Vaḷi Mañcaḷ Nōy,,,,
14,14,ABA1.2,Kumpa Mañcaḷ Nōy,கும்ப மஞ்சள் நோய்,Jaundice with dysentery,"It is characterised by heaviness of the body, fatigue, yellowish discoloration of urine, evening sweating, redness of the eyes, flagging like an garland, sleeps in a standing position as peacock, passes stools as in dysentery. It is explained by increased","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976, (2nd ed.), Chennai: Dept of Indian Medicine & Homeopathy, Page No:371-372","kumpa mañcaḷ nōy kumpa mañcaḷ nōy kumpa mañcaḷ nōy kumpa mañcaḷ nōy கும்ப மஞ்சள் நோய் கும்ப மஞ்சள் நோய் கும்ப மஞ்சள் நோய் கும்ப மஞ்சள் நோய் jaundice with dysentery jaundice with dysentery jaundice with dysentery it is characterised by heaviness of the body, fatigue, yellowish discoloration of urine, evening sweating, redness of the eyes, flagging like an garland, sleeps in a standing position as peacock, passes stools as in dysentery. it is explained by increased yugi munivar vaidhya chinthamani (perunool 800) first part; 1976, (2nd ed.), chennai: dept of indian medicine & homeopathy, page no:371-372",kumpa mañcaḷ nōy,siddha,ABA1.2,Kumpa Mañcaḷ Nōy,Kumpa Mañcaḷ Nōy,,,,
15,15,ABA1.3,,வாத கப காமாலை,Jaundice due to increased vali and aiyam,"This is characterised by dyspepsia,Pallor of eyes & tongue,dyspnoea on exertion,clubbing of fingers,cough.This can be explained by deranged vali influences iyam affects samanan,udanan,vyanan. Among the seven udal thathukkal saram to seneer is affected.","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976, (2nd ed.), Chennai: Dept of Indian Medicine & Homeopathy, Page No:371-372","வாத கப காமாலை வாத கப காமாலை வாத கப காமாலை வாத கப காமாலை jaundice due to increased vali and aiyam jaundice due to increased vali and aiyam jaundice due to increased vali and aiyam this is characterised by dyspepsia,pallor of eyes & tongue,dyspnoea on exertion,clubbing of fingers,cough.this can be explained by deranged vali influences iyam affects samanan,udanan,vyanan. among the seven udal thathukkal saram to seneer is affected. yugi munivar vaidhya chinthamani (perunool 800) first part; 1976, (2nd ed.), chennai: dept of indian medicine & homeopathy, page no:371-372",,siddha,ABA1.3,,,,,,
16,16,ABB,Aẕal,அழல்,Jaundice classified under azhal Humour,,,aẕal aẕal aẕal aẕal அழல் அழல் அழல் அழல் jaundice classified under azhal humour jaundice classified under azhal humour jaundice classified under azhal humour,aẕal,siddha,ABB,Aẕal,Aẕal,,,,
17,17,ABB1.1,Aẕal Mañcaḷ Nōy,அழல் மஞ்சள் நோய்,Jaundice caused by increased azhal,"It is characterised by dryness of the skin, insomnia, dyspepsia, generalised bodyache, diarrhoea, borborygmus and weakness of extremities. It is explained by increased Aẕal influences iyam, increased vali ( abanan ,vyanan ).Among the seven Uṭaṟtātukkaḷ C","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976, (2nd ed.), Chennai: Dept of Indian Medicine & Homeopathy, Page No: 367","aẕal mañcaḷ nōy aẕal mañcaḷ nōy aẕal mañcaḷ nōy aẕal mañcaḷ nōy அழல் மஞ்சள் நோய் அழல் மஞ்சள் நோய் அழல் மஞ்சள் நோய் அழல் மஞ்சள் நோய் jaundice caused by increased azhal jaundice caused by increased azhal jaundice caused by increased azhal it is characterised by dryness of the skin, insomnia, dyspepsia, generalised bodyache, diarrhoea, borborygmus and weakness of extremities. it is explained by increased aẕal influences iyam, increased vali ( abanan ,vyanan ).among the seven uṭaṟtātukkaḷ c yugi munivar vaidhya chinthamani (perunool 800) first part; 1976, (2nd ed.), chennai: dept of indian medicine & homeopathy, page no: 367",aẕal mañcaḷ nōy,siddha,ABB1.1,Aẕal Mañcaḷ Nōy,Aẕal Mañcaḷ Nōy,,,,
18,18,ABB1.2,Aẕal Aiya Mañcaḷ Nōy,அழல் ஐய மஞ்சள் நோய்,Jaundice caused by increased azhal aiyam,"It is characterised by yellowish discoloration of the body, vomiting, headache, dysentery like milk, dyspepsia, anasarca and pallor of extremities.It is explained by increased Aẕal and iyam causing increased vali( vyanan). Among the seven Uṭaṟtātukkaḷ C","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976, (2nd ed.), Chennai: Dept of Indian Medicine & Homeopathy, Page No:369","aẕal aiya mañcaḷ nōy aẕal aiya mañcaḷ nōy aẕal aiya mañcaḷ nōy aẕal aiya mañcaḷ nōy அழல் ஐய மஞ்சள் நோய் அழல் ஐய மஞ்சள் நோய் அழல் ஐய மஞ்சள் நோய் அழல் ஐய மஞ்சள் நோய் jaundice caused by increased azhal aiyam jaundice caused by increased azhal aiyam jaundice caused by increased azhal aiyam it is characterised by yellowish discoloration of the body, vomiting, headache, dysentery like milk, dyspepsia, anasarca and pallor of extremities.it is explained by increased aẕal and iyam causing increased vali( vyanan). among the seven uṭaṟtātukkaḷ c yugi munivar vaidhya chinthamani (perunool 800) first part; 1976, (2nd ed.), chennai: dept of indian medicine & homeopathy, page no:369",aẕal aiya mañcaḷ nōy,siddha,ABB1.2,Aẕal Aiya Mañcaḷ Nōy,Aẕal Aiya Mañcaḷ Nōy,,,,
19,19,ABB1.3,Ūtu Mañcaḷ Nōy,ஊதுமஞ்சள் நோய்,Jaundice with anasarca,"It is characterised by anasarca, mucus secretion in eyes, unctuous sweating and numbness . It is explained by increased Aẕal influencing Iyam and vali (vyanan). Among the seven Uṭaṟtātukkaḷ Cāram and seneer gets affected.","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976,(2nd ed.), Chennai: Dept of Indian Medicine & Homeopathy, Page No: 365-366","ūtu mañcaḷ nōy ūtu mañcaḷ nōy ūtu mañcaḷ nōy ūtu mañcaḷ nōy ஊதுமஞ்சள் நோய் ஊதுமஞ்சள் நோய் ஊதுமஞ்சள் நோய் ஊதுமஞ்சள் நோய் jaundice with anasarca jaundice with anasarca jaundice with anasarca it is characterised by anasarca, mucus secretion in eyes, unctuous sweating and numbness . it is explained by increased aẕal influencing iyam and vali (vyanan). among the seven uṭaṟtātukkaḷ cāram and seneer gets affected. yugi munivar vaidhya chinthamani (perunool 800) first part; 1976,(2nd ed.), chennai: dept of indian medicine & homeopathy, page no: 365-366",ūtu mañcaḷ nōy,siddha,ABB1.3,Ūtu Mañcaḷ Nōy,Ūtu Mañcaḷ Nōy,,,,
20,20,ABB1.4,Vaṟaṭṭu Mañcaḷ Nōy,வறட்டு மஞ்சள் நோய்,Jaundice with gait distutbances and night blindness,"It is characterised by shortening of both upper and lower limbs, difficulty in walking, passing blue coloured faeces, dysuria, burning micturition, tasteless, dimness of vision in the evening, blackish discoloration of the body. It is explained by decreas","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976, (2nd ed.), Chennai: Dept of Indian Medicine & Homeopathy, Page No: 366","vaṟaṭṭu mañcaḷ nōy vaṟaṭṭu mañcaḷ nōy vaṟaṭṭu mañcaḷ nōy vaṟaṭṭu mañcaḷ nōy வறட்டு மஞ்சள் நோய் வறட்டு மஞ்சள் நோய் வறட்டு மஞ்சள் நோய் வறட்டு மஞ்சள் நோய் jaundice with gait distutbances and night blindness jaundice with gait distutbances and night blindness jaundice with gait distutbances and night blindness it is characterised by shortening of both upper and lower limbs, difficulty in walking, passing blue coloured faeces, dysuria, burning micturition, tasteless, dimness of vision in the evening, blackish discoloration of the body. it is explained by decreas yugi munivar vaidhya chinthamani (perunool 800) first part; 1976, (2nd ed.), chennai: dept of indian medicine & homeopathy, page no: 366",vaṟaṭṭu mañcaḷ nōy,siddha,ABB1.4,Vaṟaṭṭu Mañcaḷ Nōy,Vaṟaṭṭu Mañcaḷ Nōy,,,,
21,21,ABB1.5,Peru Mañcaḷ Nōy,பெரு மஞ்சள் நோய்,Jaundice with male sterility,"It is characterised by yellowish discoloration of urine, anasarca, yellowish discoloration of face, hands, feet and uvula, weight loss, depression, dyspnoea, impotence and constipation. It can be explained by deranged Aẕal influencing vali,affects vyanan,","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976,(2nd ed.), Chennai: Dept of Indian Medicine & Homeopathy, Page No: 370","peru mañcaḷ nōy peru mañcaḷ nōy peru mañcaḷ nōy peru mañcaḷ nōy பெரு மஞ்சள் நோய் பெரு மஞ்சள் நோய் பெரு மஞ்சள் நோய் பெரு மஞ்சள் நோய் jaundice with male sterility jaundice with male sterility jaundice with male sterility it is characterised by yellowish discoloration of urine, anasarca, yellowish discoloration of face, hands, feet and uvula, weight loss, depression, dyspnoea, impotence and constipation. it can be explained by deranged aẕal influencing vali,affects vyanan, yugi munivar vaidhya chinthamani (perunool 800) first part; 1976,(2nd ed.), chennai: dept of indian medicine & homeopathy, page no: 370",peru mañcaḷ nōy,siddha,ABB1.5,Peru Mañcaḷ Nōy,Peru Mañcaḷ Nōy,,,,
22,22,ABB1.6,Aẕaku Mañcaḷ Nōy,அழகு மஞ்சள் நோய்,Jaundice with urethritis,"It is characterised by yellowish discoloration of urine, greenish hue as that of a bonduc nut of eyes and eyebrows, dysuria and dyspepsia and increased body heat.It is explained by increased Aẕal and iyam and decreased vali (vyanan,abanan). Among the s","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976, (2nd ed.), Chennai: Dept of Indian Medicine & Homeopathy, Page No: 370-371","aẕaku mañcaḷ nōy aẕaku mañcaḷ nōy aẕaku mañcaḷ nōy aẕaku mañcaḷ nōy அழகு மஞ்சள் நோய் அழகு மஞ்சள் நோய் அழகு மஞ்சள் நோய் அழகு மஞ்சள் நோய் jaundice with urethritis jaundice with urethritis jaundice with urethritis it is characterised by yellowish discoloration of urine, greenish hue as that of a bonduc nut of eyes and eyebrows, dysuria and dyspepsia and increased body heat.it is explained by increased aẕal and iyam and decreased vali (vyanan,abanan). among the s yugi munivar vaidhya chinthamani (perunool 800) first part; 1976, (2nd ed.), chennai: dept of indian medicine & homeopathy, page no: 370-371",aẕaku mañcaḷ nōy,siddha,ABB1.6,Aẕaku Mañcaḷ Nōy,Aẕaku Mañcaḷ Nōy,,,,
23,23,ABB1.7,Ceṅkamala Mañcaḷ Nōy,செங்கமல மஞ்சள் நோய்,Jaundice with cardiac dysfunction,"It is characterised by yellowish hue in uvula, tongue, saliva becomes yellowish hue, cardiac dysfunction, malaise, decreased and concentrated urine, pallor of nails, emaciation followed by fever, It is explained by increased Aẕal and iyam and vali (udanan","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976, (2nd ed.), Chennai: Dept of Indian Medicine & Homeopathy, Page No:371","ceṅkamala mañcaḷ nōy ceṅkamala mañcaḷ nōy ceṅkamala mañcaḷ nōy ceṅkamala mañcaḷ nōy செங்கமல மஞ்சள் நோய் செங்கமல மஞ்சள் நோய் செங்கமல மஞ்சள் நோய் செங்கமல மஞ்சள் நோய் jaundice with cardiac dysfunction jaundice with cardiac dysfunction jaundice with cardiac dysfunction it is characterised by yellowish hue in uvula, tongue, saliva becomes yellowish hue, cardiac dysfunction, malaise, decreased and concentrated urine, pallor of nails, emaciation followed by fever, it is explained by increased aẕal and iyam and vali (udanan yugi munivar vaidhya chinthamani (perunool 800) first part; 1976, (2nd ed.), chennai: dept of indian medicine & homeopathy, page no:371",ceṅkamala mañcaḷ nōy,siddha,ABB1.7,Ceṅkamala Mañcaḷ Nōy,Ceṅkamala Mañcaḷ Nōy,,,,
24,24,ABC,Aiyam,ஐயம்,Jaundice classified under aiyam humour,,,aiyam aiyam aiyam aiyam ஐயம் ஐயம் ஐயம் ஐயம் jaundice classified under aiyam humour jaundice classified under aiyam humour jaundice classified under aiyam humour,aiyam,siddha,ABC,Aiyam,Aiyam,,,,
25,25,ABC1.1,Aiya Mañcaḷ Nōy,ஐய மஞ்சள் நோய்,Jaundice due to aiyam,"It is characterised by generalised icterus, continuous cough, sweating in the forehead, difficulty in walking, giddiness on intake of betelnut, dyspnoea on exertion, rigor, heaviness of the chest. It is explained by increased iyam , Aẕal followed by vali","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976,(2nd ed.), Chennai: Dept of Indian Medicine & Homeopathy, Page No: 370","aiya mañcaḷ nōy aiya mañcaḷ nōy aiya mañcaḷ nōy aiya mañcaḷ nōy ஐய மஞ்சள் நோய் ஐய மஞ்சள் நோய் ஐய மஞ்சள் நோய் ஐய மஞ்சள் நோய் jaundice due to aiyam jaundice due to aiyam jaundice due to aiyam it is characterised by generalised icterus, continuous cough, sweating in the forehead, difficulty in walking, giddiness on intake of betelnut, dyspnoea on exertion, rigor, heaviness of the chest. it is explained by increased iyam , aẕal followed by vali yugi munivar vaidhya chinthamani (perunool 800) first part; 1976,(2nd ed.), chennai: dept of indian medicine & homeopathy, page no: 370",aiya mañcaḷ nōy,siddha,ABC1.1,Aiya Mañcaḷ Nōy,Aiya Mañcaḷ Nōy,,,,
26,26,ABC1.2,Kuṉma Mañcaḷ Nōy,குன்ம மஞ்சள் நோய்,Jaundice with dysentery,"This is characterised by pallor of eyes, greenish hue in the eyes, yellowish discoloration of urine and broth-like consistency.Abdominal pain precedes before vomitting at the time of digestion of food. Anosmia, frequent wheeze , dyspnoea and cough, sleeps","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976,(2nd ed.), Chennai: Dept of Indian Medicine & Homeopathy, Page No: 372","kuṉma mañcaḷ nōy kuṉma mañcaḷ nōy kuṉma mañcaḷ nōy kuṉma mañcaḷ nōy குன்ம மஞ்சள் நோய் குன்ம மஞ்சள் நோய் குன்ம மஞ்சள் நோய் குன்ம மஞ்சள் நோய் jaundice with dysentery jaundice with dysentery jaundice with dysentery this is characterised by pallor of eyes, greenish hue in the eyes, yellowish discoloration of urine and broth-like consistency.abdominal pain precedes before vomitting at the time of digestion of food. anosmia, frequent wheeze , dyspnoea and cough, sleeps yugi munivar vaidhya chinthamani (perunool 800) first part; 1976,(2nd ed.), chennai: dept of indian medicine & homeopathy, page no: 372",kuṉma mañcaḷ nōy,siddha,ABC1.2,Kuṉma Mañcaḷ Nōy,Kuṉma Mañcaḷ Nōy,,,,
27,27,ABD,Mukkuṟṟam,முக்குற்றம்,,,,mukkuṟṟam mukkuṟṟam mukkuṟṟam mukkuṟṟam முக்குற்றம் முக்குற்றம் முக்குற்றம் முக்குற்றம்,mukkuṟṟam,siddha,ABD,Mukkuṟṟam,Mukkuṟṟam,,,,
28,28,ABD1.1,,தொந்த காமாலை,Jaundice due to mukuttram,"This is characterised by burning sensation all over the body,malaise,frequent cough,bodyache,sour taste in the tongue, rigor,distention of lower abdomen.This can be explained by deranged mukkutram affects vyanan,udanan.Among the seven udal thathukkal sara","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976,(2nd ed.), Chennai: Dept of Indian Medicine & Homeopathy, Page No: 372","தொந்த காமாலை தொந்த காமாலை தொந்த காமாலை தொந்த காமாலை jaundice due to mukuttram jaundice due to mukuttram jaundice due to mukuttram this is characterised by burning sensation all over the body,malaise,frequent cough,bodyache,sour taste in the tongue, rigor,distention of lower abdomen.this can be explained by deranged mukkutram affects vyanan,udanan.among the seven udal thathukkal sara yugi munivar vaidhya chinthamani (perunool 800) first part; 1976,(2nd ed.), chennai: dept of indian medicine & homeopathy, page no: 372",,siddha,ABD1.1,,,,,,
29,29,AC,Maṇṇīral Nōy,மண்ணீரல் மஞ்சள் நோய்,Spleen disease,,,maṇṇīral nōy maṇṇīral nōy maṇṇīral nōy maṇṇīral nōy மண்ணீரல் மஞ்சள் நோய் மண்ணீரல் மஞ்சள் நோய் மண்ணீரல் மஞ்சள் நோய் மண்ணீரல் மஞ்சள் நோய் spleen disease spleen disease spleen disease,maṇṇīral nōy,siddha,AC,Maṇṇīral Nōy,Maṇṇīral Nōy,,,,
30,30,ACA,Vaḷi,வளி,Spleen disease classified under vali humour,,,vaḷi vaḷi vaḷi vaḷi வளி வளி வளி வளி spleen disease classified under vali humour spleen disease classified under vali humour spleen disease classified under vali humour,vaḷi,siddha,ACA,Vaḷi,Vaḷi,,,,
31,31,ACA1.1,Vaḷi Maṇṇīral Nōy,வளி மண்ணீரல் நோய்,"Spleenomegaly due to vali, if chronic leads to ascites","It is characterized by enlargement of abdomen, engorged veins over the abdomen with greenish hue, dislike to eat, bitter taste in the tongue, frequent fever, blackish discoloration of face or whole body, borborygmus, muscle wasting in extremities, constip","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No: 335 - 336","vaḷi maṇṇīral nōy vaḷi maṇṇīral nōy vaḷi maṇṇīral nōy vaḷi maṇṇīral nōy வளி மண்ணீரல் நோய் வளி மண்ணீரல் நோய் வளி மண்ணீரல் நோய் வளி மண்ணீரல் நோய் spleenomegaly due to vali, if chronic leads to ascites spleenomegaly due to vali, if chronic leads to ascites spleenomegaly due to vali, if chronic leads to ascites it is characterized by enlargement of abdomen, engorged veins over the abdomen with greenish hue, dislike to eat, bitter taste in the tongue, frequent fever, blackish discoloration of face or whole body, borborygmus, muscle wasting in extremities, constip k. n. kuppusamy mudaliar (2007). siddha maruthuvam - pothu (7th ed.)chennai; department of indian medicine & homeopathy, page no: 335 - 336",vaḷi maṇṇīral nōy,siddha,ACA1.1,Vaḷi Maṇṇīral Nōy,Vaḷi Maṇṇīral Nōy,,,,
32,32,ACB,Aẕal,அழல்,Spleen disease classified under azhal humour,,,aẕal aẕal aẕal aẕal அழல் அழல் அழல் அழல் spleen disease classified under azhal humour spleen disease classified under azhal humour spleen disease classified under azhal humour,aẕal,siddha,ACB,Aẕal,Aẕal,,,,
33,33,ACB1.1,Aẕal Maṇṇīral Nōy,அழல் மண்ணீரல் நோய்,Spleenomegaly due to azhal with massive enlargement,"It is characterized by icterus, spleenomegaly, hypersalivation, bitter taste in the tongue, hatred towards food, bilious vomiting, diarrhoea and frequent giddiness. It is explained by increased Aẕal and vali (udanan,vyanan,abanan). Among the seven Uṭaṟtā","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No: 336","aẕal maṇṇīral nōy aẕal maṇṇīral nōy aẕal maṇṇīral nōy aẕal maṇṇīral nōy அழல் மண்ணீரல் நோய் அழல் மண்ணீரல் நோய் அழல் மண்ணீரல் நோய் அழல் மண்ணீரல் நோய் spleenomegaly due to azhal with massive enlargement spleenomegaly due to azhal with massive enlargement spleenomegaly due to azhal with massive enlargement it is characterized by icterus, spleenomegaly, hypersalivation, bitter taste in the tongue, hatred towards food, bilious vomiting, diarrhoea and frequent giddiness. it is explained by increased aẕal and vali (udanan,vyanan,abanan). among the seven uṭaṟtā k. n. kuppusamy mudaliar (2007). siddha maruthuvam - pothu (7th ed.)chennai; department of indian medicine & homeopathy, page no: 336",aẕal maṇṇīral nōy,siddha,ACB1.1,Aẕal Maṇṇīral Nōy,Aẕal Maṇṇīral Nōy,,,,
34,34,ACC,Aiyam,ஐயம்,Spleen disease classified under aiyam humour,,,aiyam aiyam aiyam aiyam ஐயம் ஐயம் ஐயம் ஐயம் spleen disease classified under aiyam humour spleen disease classified under aiyam humour spleen disease classified under aiyam humour,aiyam,siddha,ACC,Aiyam,Aiyam,,,,
