Sr No.,NAMC_ID,NAMC_CODE,NAMC_TERM,Tamil_term,Short_definition,Long_definition,Reference,query,normalized_term,system,code,term,display_name,NUMC_ID,NUMC_CODE,Arabic_term,NUMC_TERM
1078,1078,RPB1.2,Pakka Pauttiram,பக்க பவுத்திரம்,Ano vesical fistula due to increasing Azhal,"It is characterized by a fistula present inbetween ano-vesical region or both sides of the genital region. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.","K.S.Uthamarayan(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.77","pakka pauttiram pakka pauttiram pakka pauttiram pakka pauttiram பக்க பவுத்திரம் பக்க பவுத்திரம் பக்க பவுத்திரம் பக்க பவுத்திரம் ano vesical fistula due to increasing azhal ano vesical fistula due to increasing azhal ano vesical fistula due to increasing azhal it is characterized by a fistula present inbetween ano-vesical region or both sides of the genital region. it is explained by increased vali. among the seven uṭaṟtātukkaḷ cāram, cennīr and ūṉ gets affected. k.s.uthamarayan(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.77",pakka pauttiram,siddha,RPB1.2,Pakka Pauttiram,Pakka Pauttiram,,,,
1079,1079,RPC,Aiyam,ஐயம்,Fistula classified under Aiyam,,,aiyam aiyam aiyam aiyam ஐயம் ஐயம் ஐயம் ஐயம் fistula classified under aiyam fistula classified under aiyam fistula classified under aiyam,aiyam,siddha,RPC,Aiyam,Aiyam,,,,
1080,1080,RPC1.1,Kiranti Pauttiram,கிரந்தி பவுத்திரம்,Penile urithral fistula due to increasing Aiyam,"It is characterized by a fistula present inbetween the penile and urethral region with bleeding, penile ulcers. It is explained by increased Aẕal with aiyam. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.","K.S.Uthamarayan(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.77","kiranti pauttiram kiranti pauttiram kiranti pauttiram kiranti pauttiram கிரந்தி பவுத்திரம் கிரந்தி பவுத்திரம் கிரந்தி பவுத்திரம் கிரந்தி பவுத்திரம் penile urithral fistula due to increasing aiyam penile urithral fistula due to increasing aiyam penile urithral fistula due to increasing aiyam it is characterized by a fistula present inbetween the penile and urethral region with bleeding, penile ulcers. it is explained by increased aẕal with aiyam. among the seven uṭaṟtātukkaḷ cāram, cennīr and ūṉ gets affected. k.s.uthamarayan(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.77",kiranti pauttiram,siddha,RPC1.1,Kiranti Pauttiram,Kiranti Pauttiram,,,,
1081,1081,RPC1.2,Carakaṇṭa Mālai Pauttiram,சரகண்ட மாலை பவுத்திரம்,Anal cancer due to increasing Aiyam,"It is characterized by a malignancy growth in the rectum with fistula present in the peri anal region, fecal and urine incontinence along with bleeding. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.","K.S.Uthamarayan(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.78","carakaṇṭa mālai pauttiram carakaṇṭa mālai pauttiram carakaṇṭa mālai pauttiram carakaṇṭa mālai pauttiram சரகண்ட மாலை பவுத்திரம் சரகண்ட மாலை பவுத்திரம் சரகண்ட மாலை பவுத்திரம் சரகண்ட மாலை பவுத்திரம் anal cancer due to increasing aiyam anal cancer due to increasing aiyam anal cancer due to increasing aiyam it is characterized by a malignancy growth in the rectum with fistula present in the peri anal region, fecal and urine incontinence along with bleeding. it is explained by increased aẕal. among the seven uṭaṟtātukkaḷ cāram, cennīr and ūṉ gets affected. k.s.uthamarayan(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.78",carakaṇṭa mālai pauttiram,siddha,RPC1.2,Carakaṇṭa Mālai Pauttiram,Carakaṇṭa Mālai Pauttiram,,,,
1082,1082,RQ,Ucci Vaḷi,உச்சி வளி,Vertex disease,,,ucci vaḷi ucci vaḷi ucci vaḷi ucci vaḷi உச்சி வளி உச்சி வளி உச்சி வளி உச்சி வளி vertex disease vertex disease vertex disease,ucci vaḷi,siddha,RQ,Ucci Vaḷi,Ucci Vaḷi,,,,
1083,1083,RQA,Vaḷi,வளி,Disease occuring around vertex classified under Vali,,,vaḷi vaḷi vaḷi vaḷi வளி வளி வளி வளி disease occuring around vertex classified under vali disease occuring around vertex classified under vali disease occuring around vertex classified under vali,vaḷi,siddha,RQA,Vaḷi,Vaḷi,,,,
1084,1084,RQA1.1,Maṇṭai Ucci Vaḷi,மண்டை உச்சி வளி,Disease occuring around vertex caused by increased Vali,"It is characterized by heaviness in occipital region with pricking pain in the eyebrow, nasal obstruction, hearing block, pain around the eyes, loss of vision. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ, Koẕuppu an","K.S.Uthamarayan(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.124","maṇṭai ucci vaḷi maṇṭai ucci vaḷi maṇṭai ucci vaḷi maṇṭai ucci vaḷi மண்டை உச்சி வளி மண்டை உச்சி வளி மண்டை உச்சி வளி மண்டை உச்சி வளி disease occuring around vertex caused by increased vali disease occuring around vertex caused by increased vali disease occuring around vertex caused by increased vali it is characterized by heaviness in occipital region with pricking pain in the eyebrow, nasal obstruction, hearing block, pain around the eyes, loss of vision. it is explained by increased vali. among the seven uṭaṟtātukkaḷ cāram, cennīr, ūṉ, koẕuppu an k.s.uthamarayan(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.124",maṇṭai ucci vaḷi,siddha,RQA1.1,Maṇṭai Ucci Vaḷi,Maṇṭai Ucci Vaḷi,,,,
1085,1085,RQA1.2,Maṇṭai Ucci Vaḷi Aẕal,மண்டை உச்சி வளி அழல்,Disease occuring around vertex caused by increased Vali azhal,"It is characterized by pricking pain around the vertex with pain in occipital region, numbness in tongue. It is explained by increased vali along with Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ,Koẕuppu and Eṉpu gets affected.","K.S.Uthamarayan(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.129","maṇṭai ucci vaḷi aẕal maṇṭai ucci vaḷi aẕal maṇṭai ucci vaḷi aẕal maṇṭai ucci vaḷi aẕal மண்டை உச்சி வளி அழல் மண்டை உச்சி வளி அழல் மண்டை உச்சி வளி அழல் மண்டை உச்சி வளி அழல் disease occuring around vertex caused by increased vali azhal disease occuring around vertex caused by increased vali azhal disease occuring around vertex caused by increased vali azhal it is characterized by pricking pain around the vertex with pain in occipital region, numbness in tongue. it is explained by increased vali along with aẕal. among the seven uṭaṟtātukkaḷ cāram, cennīr, ūṉ,koẕuppu and eṉpu gets affected. k.s.uthamarayan(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.129",maṇṭai ucci vaḷi aẕal,siddha,RQA1.2,Maṇṭai Ucci Vaḷi Aẕal,Maṇṭai Ucci Vaḷi Aẕal,,,,
1086,1086,RQA1.3,Maṇṭai UcciParica Vali,மண்டை உச்சி பாரிச வளி,Disease occuring around vertex caused by increased Vali associated with numbness,"It is characterized by disease in the vertex associated with hyperhydrosis, pricking pain in and around the eyebrow, ulcer in the ear. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ, Koẕuppu and Eṉpu gets affected.","K.S.Uthamarayan(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.128","maṇṭai ucciparica vali maṇṭai ucciparica vali maṇṭai ucciparica vali maṇṭai ucciparica vali மண்டை உச்சி பாரிச வளி மண்டை உச்சி பாரிச வளி மண்டை உச்சி பாரிச வளி மண்டை உச்சி பாரிச வளி disease occuring around vertex caused by increased vali associated with numbness disease occuring around vertex caused by increased vali associated with numbness disease occuring around vertex caused by increased vali associated with numbness it is characterized by disease in the vertex associated with hyperhydrosis, pricking pain in and around the eyebrow, ulcer in the ear. it is explained by increased vali. among the seven uṭaṟtātukkaḷ cāram, cennīr, ūṉ, koẕuppu and eṉpu gets affected. k.s.uthamarayan(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.128",maṇṭai ucciparica vali,siddha,RQA1.3,Maṇṭai UcciParica Vali,Maṇṭai UcciParica Vali,,,,
1087,1087,RQA1.4,Maṇṭai Ucci Vaḷi Aiyam,மண்டை உச்சி வளி ஐயம்,Disease occuring around vertex caused by increased Vali aiyam,"It is characterized by disease of the vertex associated with pallor face, sunken eyes. It is explained by increased vali along with aiyam. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ,Koẕuppu and Eṉpu gets affected.","K.S.Uthamarayan(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.129","maṇṭai ucci vaḷi aiyam maṇṭai ucci vaḷi aiyam maṇṭai ucci vaḷi aiyam maṇṭai ucci vaḷi aiyam மண்டை உச்சி வளி ஐயம் மண்டை உச்சி வளி ஐயம் மண்டை உச்சி வளி ஐயம் மண்டை உச்சி வளி ஐயம் disease occuring around vertex caused by increased vali aiyam disease occuring around vertex caused by increased vali aiyam disease occuring around vertex caused by increased vali aiyam it is characterized by disease of the vertex associated with pallor face, sunken eyes. it is explained by increased vali along with aiyam. among the seven uṭaṟtātukkaḷ cāram, cennīr, ūṉ,koẕuppu and eṉpu gets affected. k.s.uthamarayan(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.129",maṇṭai ucci vaḷi aiyam,siddha,RQA1.4,Maṇṭai Ucci Vaḷi Aiyam,Maṇṭai Ucci Vaḷi Aiyam,,,,
