code,title,fully_specified_name,description,inclusions,exclusions,index_terms,chapter,search_text,normalized_title,term
CA60.9,Stannosis,,Stannosis is a benign non-fibrotic pneumoconiosis caused by exposure to tin oxides including stannous oxide (SnO) and stannic oxide (SnO2).,,,Stannosis; lung fibrosis with stannosis; tin miners' lung; tin oxide pneumoconiosis; tin pneumoconiosis; tin-miner's lung,chapter12,stannosis stannosis stannosis stannosis; lung fibrosis with stannosis; tin miners' lung; tin oxide pneumoconiosis; tin pneumoconiosis; tin-miner's lung stannosis; lung fibrosis with stannosis; tin miners' lung; tin oxide pneumoconiosis; tin pneumoconiosis; tin-miner's lung stannosis; lung fibrosis with stannosis; tin miners' lung; tin oxide pneumoconiosis; tin pneumoconiosis; tin-miner's lung stannosis is a benign non-fibrotic pneumoconiosis caused by exposure to tin oxides including stannous oxide (sno) and stannic oxide (sno2).,stannosis,Stannosis
CA70,Hypersensitivity pneumonitis due to organic dust,,"Hypersensitivity pneumonitis due to organic dust is an inflammation of the alveoli, terminal bronchioli and the interstitium within caused by hypersensitivity to inhaled organic dusts, such as allergens derived from fungal, bacterial, animal protein.",,"Airway disease due to specific organic dust; pneumonitis due to inhalation of chemicals, gases, fumes or vapours",,chapter12,"hypersensitivity pneumonitis due to organic dust hypersensitivity pneumonitis due to organic dust hypersensitivity pneumonitis due to organic dust hypersensitivity pneumonitis due to organic dust is an inflammation of the alveoli, terminal bronchioli and the interstitium within caused by hypersensitivity to inhaled organic dusts, such as allergens derived from fungal, bacterial, animal protein. airway disease due to specific organic dust; pneumonitis due to inhalation of chemicals, gases, fumes or vapours",hypersensitivity pneumonitis due to organic dust,Hypersensitivity pneumonitis due to organic dust
CA70.0,Farmer lung,,"Farmer's lung disease is a hypersensitivity pneumonitis, caused by inhalation of organic dust containing spores of microorganisms, often thermophilic actinomycetes and less commonly Saccharopolyspora rectivirgula, living in mouldy hay, straw, or grain. Typical symptoms include dyspnoea, cough, tiredness, headaches and occasional fever/night sweats, with acute, sub-acute or chronic clinical course and can result in chronic disability with granulomatous disease.",,,Farmer lung; farmers' lung; farmers' lung disease; fibrosis of lung with farmers' lung; harvester lung; harvesters' hypersensitivity pneumonitis; haymaker lung; haymakers' hypersensitivity pneumonitis; moldy hay disorder; moldy hay pneumoconiosis; mouldy hay disease; threshers' lung,chapter12,"farmer lung farmer lung farmer lung farmer lung; farmers' lung; farmers' lung disease; fibrosis of lung with farmers' lung; harvester lung; harvesters' hypersensitivity pneumonitis; haymaker lung; haymakers' hypersensitivity pneumonitis; moldy hay disorder; moldy hay pneumoconiosis; mouldy hay disease; threshers' lung farmer lung; farmers' lung; farmers' lung disease; fibrosis of lung with farmers' lung; harvester lung; harvesters' hypersensitivity pneumonitis; haymaker lung; haymakers' hypersensitivity pneumonitis; moldy hay disorder; moldy hay pneumoconiosis; mouldy hay disease; threshers' lung farmer lung; farmers' lung; farmers' lung disease; fibrosis of lung with farmers' lung; harvester lung; harvesters' hypersensitivity pneumonitis; haymaker lung; haymakers' hypersensitivity pneumonitis; moldy hay disorder; moldy hay pneumoconiosis; mouldy hay disease; threshers' lung farmer's lung disease is a hypersensitivity pneumonitis, caused by inhalation of organic dust containing spores of microorganisms, often thermophilic actinomycetes and less commonly saccharopolyspora rectivirgula, living in mouldy hay, straw, or grain. typical symptoms include dyspnoea, cough, tiredness, headaches and occasional fever/night sweats, with acute, sub-acute or chronic clinical course and can result in chronic disability with granulomatous disease.",farmer lung,Farmer lung
CA70.1,Bagassosis,,Bagassosis is hypersensitivity pneumonitis due to inhalation of dust from bagasse (the residue of cane after extraction of sugar).,,,Bagassosis; Bagasse disease; Bagasse disease or pneumonitis; Bagasse pneumonitis; Bagasse workers' disease; Sugar cane workers' hypersensitivity pneumonitis; bagasse workers' lung; fibrosis of lung with bagassosis; hypersensitivity pneumonitis with bagassosis,chapter12,bagassosis bagassosis bagassosis bagassosis; bagasse disease; bagasse disease or pneumonitis; bagasse pneumonitis; bagasse workers' disease; sugar cane workers' hypersensitivity pneumonitis; bagasse workers' lung; fibrosis of lung with bagassosis; hypersensitivity pneumonitis with bagassosis bagassosis; bagasse disease; bagasse disease or pneumonitis; bagasse pneumonitis; bagasse workers' disease; sugar cane workers' hypersensitivity pneumonitis; bagasse workers' lung; fibrosis of lung with bagassosis; hypersensitivity pneumonitis with bagassosis bagassosis; bagasse disease; bagasse disease or pneumonitis; bagasse pneumonitis; bagasse workers' disease; sugar cane workers' hypersensitivity pneumonitis; bagasse workers' lung; fibrosis of lung with bagassosis; hypersensitivity pneumonitis with bagassosis bagassosis is hypersensitivity pneumonitis due to inhalation of dust from bagasse (the residue of cane after extraction of sugar).,bagassosis,Bagassosis
CA70.2,Bird fancier lung,,"Bird fancier lung, also called Pigeon-breeder's lung disease, is an allergic alveolitis caused by inhalation of particulate avian emanations, sometimes specified by avian species. Presentation can be acute with chills, cough, fever, shortness of breath, chest tightness usually resolving within 24h after cessation of antigen exposure, sub-acute with cough and dyspnoea over several days to weeks, whereas chronic form results in breathlessness, coughing, lack of appetite and weight loss.",,,Bird fancier lung; BFL - [bird fancier lung]; avian protein hypersensitivity; bird breeders' disease; bird breeders' lung; bird fanciers' disease; bird fanciers' lung; fanciers' disease; fanciers' lung; Budgerigar fanciers' lung; Budgerigar fanciers' disease; Budgerigar fanciers' hypersensitivity pneumonitis; budgerigar breeders' lung; Pigeon fanciers' lung; pigeon breeders' disease; pigeon breeders' lung; pigeon fanciers' disease; pigeon fanciers' hypersensitivity pneumonitis,chapter12,"bird fancier lung bird fancier lung bird fancier lung bird fancier lung; bfl - [bird fancier lung]; avian protein hypersensitivity; bird breeders' disease; bird breeders' lung; bird fanciers' disease; bird fanciers' lung; fanciers' disease; fanciers' lung; budgerigar fanciers' lung; budgerigar fanciers' disease; budgerigar fanciers' hypersensitivity pneumonitis; budgerigar breeders' lung; pigeon fanciers' lung; pigeon breeders' disease; pigeon breeders' lung; pigeon fanciers' disease; pigeon fanciers' hypersensitivity pneumonitis bird fancier lung; bfl - [bird fancier lung]; avian protein hypersensitivity; bird breeders' disease; bird breeders' lung; bird fanciers' disease; bird fanciers' lung; fanciers' disease; fanciers' lung; budgerigar fanciers' lung; budgerigar fanciers' disease; budgerigar fanciers' hypersensitivity pneumonitis; budgerigar breeders' lung; pigeon fanciers' lung; pigeon breeders' disease; pigeon breeders' lung; pigeon fanciers' disease; pigeon fanciers' hypersensitivity pneumonitis bird fancier lung; bfl - [bird fancier lung]; avian protein hypersensitivity; bird breeders' disease; bird breeders' lung; bird fanciers' disease; bird fanciers' lung; fanciers' disease; fanciers' lung; budgerigar fanciers' lung; budgerigar fanciers' disease; budgerigar fanciers' hypersensitivity pneumonitis; budgerigar breeders' lung; pigeon fanciers' lung; pigeon breeders' disease; pigeon breeders' lung; pigeon fanciers' disease; pigeon fanciers' hypersensitivity pneumonitis bird fancier lung, also called pigeon-breeder's lung disease, is an allergic alveolitis caused by inhalation of particulate avian emanations, sometimes specified by avian species. presentation can be acute with chills, cough, fever, shortness of breath, chest tightness usually resolving within 24h after cessation of antigen exposure, sub-acute with cough and dyspnoea over several days to weeks, whereas chronic form results in breathlessness, coughing, lack of appetite and weight loss.",bird fancier lung,Bird fancier lung
CA70.3,Suberosis,,"Suberosis also known as corkhandler disease or corkworker lung is a type of hypersensitivity pneumonitis usually caused by the fungus Penicillium glabrum (formerly called Penicillium frequentans) from exposure to moldy cork dust. Chrysonilia sitophila, Aspergillus fumigatus, uncontaminated cork dust, and Mucor macedo may also have significant roles in the pathogenesis of the disease.",,,Suberosis; cork-handler disease; cork-handler lung; corkhandler disease; corkhandler hypersensitivity pneumonitis; corkworker lung,chapter12,"suberosis suberosis suberosis suberosis; cork-handler disease; cork-handler lung; corkhandler disease; corkhandler hypersensitivity pneumonitis; corkworker lung suberosis; cork-handler disease; cork-handler lung; corkhandler disease; corkhandler hypersensitivity pneumonitis; corkworker lung suberosis; cork-handler disease; cork-handler lung; corkhandler disease; corkhandler hypersensitivity pneumonitis; corkworker lung suberosis also known as corkhandler disease or corkworker lung is a type of hypersensitivity pneumonitis usually caused by the fungus penicillium glabrum (formerly called penicillium frequentans) from exposure to moldy cork dust. chrysonilia sitophila, aspergillus fumigatus, uncontaminated cork dust, and mucor macedo may also have significant roles in the pathogenesis of the disease.",suberosis,Suberosis
CA70.4,Malt worker lung,,"A disease of the pulmonary system, caused by the fungi Aspergillus clavatus or Aspergillus fumigatus. This disease commonly presents with fever, chills, fatigue, weight loss, cough, headache, myalgia, or shortness of breath. Transmission is by inhalation of fungal spores. Confirmation is by identification of Aspergillus in a sputum, blood, or skin sample.",Alveolitis due to Aspergillus clavatus,,Malt worker lung; Alveolitis due to Aspergillus clavatus; Extrinsic allergic alveolitis due to Aspergillus spp; alveolitis due to Aspergillus fumigatus; malt fever; malt house workers' cough; malt workers' lung; malt-workers' alveolitis; malt-workers' lung disease,chapter12,"malt worker lung malt worker lung malt worker lung malt worker lung; alveolitis due to aspergillus clavatus; extrinsic allergic alveolitis due to aspergillus spp; alveolitis due to aspergillus fumigatus; malt fever; malt house workers' cough; malt workers' lung; malt-workers' alveolitis; malt-workers' lung disease malt worker lung; alveolitis due to aspergillus clavatus; extrinsic allergic alveolitis due to aspergillus spp; alveolitis due to aspergillus fumigatus; malt fever; malt house workers' cough; malt workers' lung; malt-workers' alveolitis; malt-workers' lung disease malt worker lung; alveolitis due to aspergillus clavatus; extrinsic allergic alveolitis due to aspergillus spp; alveolitis due to aspergillus fumigatus; malt fever; malt house workers' cough; malt workers' lung; malt-workers' alveolitis; malt-workers' lung disease alveolitis due to aspergillus clavatus alveolitis due to aspergillus clavatus a disease of the pulmonary system, caused by the fungi aspergillus clavatus or aspergillus fumigatus. this disease commonly presents with fever, chills, fatigue, weight loss, cough, headache, myalgia, or shortness of breath. transmission is by inhalation of fungal spores. confirmation is by identification of aspergillus in a sputum, blood, or skin sample.",malt worker lung,Malt worker lung
CA70.5,Mushroom worker lung,,Mushroom-worker's lung is occupational hypersensitivity pneumonitis due to mushroom spores and moldy compost.,,,Mushroom worker lung; mushroom pickers' disease; mushroom-worker's disease or lung; mushroom-workers' disease,chapter12,mushroom worker lung mushroom worker lung mushroom worker lung mushroom worker lung; mushroom pickers' disease; mushroom-worker's disease or lung; mushroom-workers' disease mushroom worker lung; mushroom pickers' disease; mushroom-worker's disease or lung; mushroom-workers' disease mushroom worker lung; mushroom pickers' disease; mushroom-worker's disease or lung; mushroom-workers' disease mushroom-worker's lung is occupational hypersensitivity pneumonitis due to mushroom spores and moldy compost.,mushroom worker lung,Mushroom worker lung
CA70.6,Maple bark stripper lung,,Maple-bark-stripper's lung is occupational hypersensitivity pneumonitis due to moldy maple bark containing Cryptostroma corticale.,Alveolitis due to Cryptostroma corticale; Cryptostromosis,,Maple bark stripper lung; Alveolitis due to Cryptostroma corticale; Cryptostromosis; maple-bark disease; maple-bark strippers' disease,chapter12,maple bark stripper lung maple bark stripper lung maple bark stripper lung maple bark stripper lung; alveolitis due to cryptostroma corticale; cryptostromosis; maple-bark disease; maple-bark strippers' disease maple bark stripper lung; alveolitis due to cryptostroma corticale; cryptostromosis; maple-bark disease; maple-bark strippers' disease maple bark stripper lung; alveolitis due to cryptostroma corticale; cryptostromosis; maple-bark disease; maple-bark strippers' disease alveolitis due to cryptostroma corticale; cryptostromosis alveolitis due to cryptostroma corticale; cryptostromosis maple-bark-stripper's lung is occupational hypersensitivity pneumonitis due to moldy maple bark containing cryptostroma corticale.,maple bark stripper lung,Maple bark stripper lung
CA70.7,Air conditioner or humidifier lung,,A form of the sick building syndrome caused by organisms that contaminate humidifiers and the piping of air conditioner ducts. The air conditioner blows cold air containing spores of the organisms throughout the building.,,,"Air conditioner or humidifier lung; air conditioner lung; air conditioner pneumonitis; air humidifier lung; air humidifier pneumonitis; humidifier lung; humidifier pneumonitis; sauna takers lung; ventilation pneumonitis; Allergic alveolitis due to fungi, thermophilic actinomycetes and other organisms growing in ventilation [air-conditioning] systems",chapter12,"air conditioner or humidifier lung air conditioner or humidifier lung air conditioner or humidifier lung air conditioner or humidifier lung; air conditioner lung; air conditioner pneumonitis; air humidifier lung; air humidifier pneumonitis; humidifier lung; humidifier pneumonitis; sauna takers lung; ventilation pneumonitis; allergic alveolitis due to fungi, thermophilic actinomycetes and other organisms growing in ventilation [air-conditioning] systems air conditioner or humidifier lung; air conditioner lung; air conditioner pneumonitis; air humidifier lung; air humidifier pneumonitis; humidifier lung; humidifier pneumonitis; sauna takers lung; ventilation pneumonitis; allergic alveolitis due to fungi, thermophilic actinomycetes and other organisms growing in ventilation [air-conditioning] systems air conditioner or humidifier lung; air conditioner lung; air conditioner pneumonitis; air humidifier lung; air humidifier pneumonitis; humidifier lung; humidifier pneumonitis; sauna takers lung; ventilation pneumonitis; allergic alveolitis due to fungi, thermophilic actinomycetes and other organisms growing in ventilation [air-conditioning] systems a form of the sick building syndrome caused by organisms that contaminate humidifiers and the piping of air conditioner ducts. the air conditioner blows cold air containing spores of the organisms throughout the building.",air conditioner or humidifier lung,Air conditioner or humidifier lung
