Sr No.,NUMC_ID,NUMC_CODE,Arabic_term,NUMC_TERM,Short_definition,Long_definition,query,normalized_term
1,0,O-6,رطوبت غریزیہ,Ruṭūbat Gharīziyya,Innate humour,"The moistness of an organ which remains in equilibrium, qualitatively and quantitatively, in accordance to the temperament of that organ.","ruṭūbat gharīziyya ruṭūbat gharīziyya ruṭūbat gharīziyya ruṭūbat gharīziyya رطوبت غریزیہ رطوبت غریزیہ رطوبت غریزیہ رطوبت غریزیہ innate humour innate humour innate humour the moistness of an organ which remains in equilibrium, qualitatively and quantitatively, in accordance to the temperament of that organ.",ruṭūbat gharīziyya
2,1,UM,,,Unani Medicine,,unani medicine unani medicine unani medicine,nan
3,2,UM-DIS,,,Disorders,,disorders disorders disorders,nan
4,3,A,امراض نظام اعصاب و دماغ,Amrāḍ-i-Niẓām-i-A‘ṣāb-o-Dimāgh,Diseases of Nervous System,,amrāḍ-i-niẓām-i-a‘ṣāb-o-dimāgh amrāḍ-i-niẓām-i-a‘ṣāb-o-dimāgh amrāḍ-i-niẓām-i-a‘ṣāb-o-dimāgh amrāḍ-i-niẓām-i-a‘ṣāb-o-dimāgh امراض نظام اعصاب و دماغ امراض نظام اعصاب و دماغ امراض نظام اعصاب و دماغ امراض نظام اعصاب و دماغ diseases of nervous system diseases of nervous system diseases of nervous system,amrāḍ-i-niẓām-i-a‘ṣāb-o-dimāgh
5,4,A-1,بيضہ و خوذہ,Bayḍa-o-Khūdha,Organic headache/Helmet headache,A severe type of chronic headache which involves the whole head. The patient feels that someone is hammering his head. Most of the physicians are of the view that both these types are same but <em>Dā’ūd Anṭākī</em> differentiates them by the site of pain as <em>Bayḍa</em> is a headache which occurs in the central part of head while <em>Khūdha</em> is a headache which is experienced on the periphery of head.,bayḍa-o-khūdha bayḍa-o-khūdha bayḍa-o-khūdha bayḍa-o-khūdha بيضہ و خوذہ بيضہ و خوذہ بيضہ و خوذہ بيضہ و خوذہ organic headache/helmet headache organic headache/helmet headache organic headache/helmet headache a severe type of chronic headache which involves the whole head. the patient feels that someone is hammering his head. most of the physicians are of the view that both these types are same but <em>dā’ūd anṭākī</em> differentiates them by the site of pain as <em>bayḍa</em> is a headache which occurs in the central part of head while <em>khūdha</em> is a headache which is experienced on the periphery of head.,bayḍa-o-khūdha
6,5,A-2,شقيقہ,Shaqīqa,Migraine,A type of severe headache which involves one half of head whether it is right or left. It is an episodic type of pain accompanied with nausea and vomiting.,shaqīqa shaqīqa shaqīqa shaqīqa شقيقہ شقيقہ شقيقہ شقيقہ migraine migraine migraine a type of severe headache which involves one half of head whether it is right or left. it is an episodic type of pain accompanied with nausea and vomiting.,shaqīqa
7,6,A-2.1,شقيقہ حارہ,Shaqīqa Ḥārra,Acute migraine,A type of migraine which is caused by predominance of <em>Ṣafrā’</em> (yellow bile) and <em>Dam</em> (blood/sanguine) in the body.,shaqīqa ḥārra shaqīqa ḥārra shaqīqa ḥārra shaqīqa ḥārra شقيقہ حارہ شقيقہ حارہ شقيقہ حارہ شقيقہ حارہ acute migraine acute migraine acute migraine a type of migraine which is caused by predominance of <em>ṣafrā’</em> (yellow bile) and <em>dam</em> (blood/sanguine) in the body.,shaqīqa ḥārra
8,7,A-2.2,شقيقہ باردہ,Shaqīqa Bārida,Chronic migraine,A type of migraine which is caused by predominance of <em>Balgham</em> (phlegm) and <em>Sawdā’</em> (black bile) in the body.,shaqīqa bārida shaqīqa bārida shaqīqa bārida shaqīqa bārida شقيقہ باردہ شقيقہ باردہ شقيقہ باردہ شقيقہ باردہ chronic migraine chronic migraine chronic migraine a type of migraine which is caused by predominance of <em>balgham</em> (phlegm) and <em>sawdā’</em> (black bile) in the body.,shaqīqa bārida
9,8,A-3,عصابہ,‘Iṣāba,Frontal headache,It is a type of severe headache which occurs on the forehead above the eyebrow. It can involve either sides or both sides. The intensity of pain gradually reduces with the sunset.,‘iṣāba ‘iṣāba ‘iṣāba ‘iṣāba عصابہ عصابہ عصابہ عصابہ frontal headache frontal headache frontal headache it is a type of severe headache which occurs on the forehead above the eyebrow. it can involve either sides or both sides. the intensity of pain gradually reduces with the sunset.,‘iṣāba
10,9,A-4,حس دماغ,Ḥiss-i-Dimāgh,sensation of itching in brain,,ḥiss-i-dimāgh ḥiss-i-dimāgh ḥiss-i-dimāgh ḥiss-i-dimāgh حس دماغ حس دماغ حس دماغ حس دماغ sensation of itching in brain sensation of itching in brain sensation of itching in brain,ḥiss-i-dimāgh
11,10,A-5,سرسام,Sarsām,Meningitis,The inflammation of meninges of brain or brain itself.,sarsām sarsām sarsām sarsām سرسام سرسام سرسام سرسام meningitis meningitis meningitis the inflammation of meninges of brain or brain itself.,sarsām
12,11,A-5.1,سرسام دموي/ قرانیطس,Sarsām Damawī/ Qarānīṭus,Acute meningitis,The inflammation of meninges of brain due to predominance of <em>Dam</em> (blood/sanguine).,sarsām damawī/ qarānīṭus sarsām damawī/ qarānīṭus sarsām damawī/ qarānīṭus sarsām damawī/ qarānīṭus سرسام دموي/ قرانیطس سرسام دموي/ قرانیطس سرسام دموي/ قرانیطس سرسام دموي/ قرانیطس acute meningitis acute meningitis acute meningitis the inflammation of meninges of brain due to predominance of <em>dam</em> (blood/sanguine).,sarsām damawī/ qarānīṭus
13,12,A-5.2,سرسام صفراوي/قرانیطس خالص,Sarsām Ṣafrāwī/ Qarānīṭus Khāliṣ,Bilious meningitis,The inflammation of meninges of brain due to predominance of <em>Ṣafrā’</em> (yellow bile).,sarsām ṣafrāwī/ qarānīṭus khāliṣ sarsām ṣafrāwī/ qarānīṭus khāliṣ sarsām ṣafrāwī/ qarānīṭus khāliṣ sarsām ṣafrāwī/ qarānīṭus khāliṣ سرسام صفراوي/قرانیطس خالص سرسام صفراوي/قرانیطس خالص سرسام صفراوي/قرانیطس خالص سرسام صفراوي/قرانیطس خالص bilious meningitis bilious meningitis bilious meningitis the inflammation of meninges of brain due to predominance of <em>ṣafrā’</em> (yellow bile).,sarsām ṣafrāwī/ qarānīṭus khāliṣ
14,13,A-5.3,سرسام سوداوي,Sarsām Sawdāwī,Melancholic meningitis,The inflammation of meninges of brain due to predominance of <em>Sawdā’</em> (black bile).,sarsām sawdāwī sarsām sawdāwī sarsām sawdāwī sarsām sawdāwī سرسام سوداوي سرسام سوداوي سرسام سوداوي سرسام سوداوي melancholic meningitis melancholic meningitis melancholic meningitis the inflammation of meninges of brain due to predominance of <em>sawdā’</em> (black bile).,sarsām sawdāwī
15,14,A-5.4,سرسام بلغمي/ لیثرغس,Sarsām Balghamī/ Lītharghus,Phlegmatic meningitis,The inflammation of meninges of brain due to predominance of <em>Balgham</em> (phlegm).,sarsām balghamī/ lītharghus sarsām balghamī/ lītharghus sarsām balghamī/ lītharghus sarsām balghamī/ lītharghus سرسام بلغمي/ لیثرغس سرسام بلغمي/ لیثرغس سرسام بلغمي/ لیثرغس سرسام بلغمي/ لیثرغس phlegmatic meningitis phlegmatic meningitis phlegmatic meningitis the inflammation of meninges of brain due to predominance of <em>balgham</em> (phlegm).,sarsām balghamī/ lītharghus
16,15,A-5.5,سرسام حقيقي,Sarsām Ḥaqīqī,inflammation of brain or its meninges,The inflammation of meninges or tissues of brain.,sarsām ḥaqīqī sarsām ḥaqīqī sarsām ḥaqīqī sarsām ḥaqīqī سرسام حقيقي سرسام حقيقي سرسام حقيقي سرسام حقيقي inflammation of brain or its meninges inflammation of brain or its meninges inflammation of brain or its meninges the inflammation of meninges or tissues of brain.,sarsām ḥaqīqī
17,16,A-5.6,سرسام غير حقيقي,Sarsām Ghayr Ḥaqīqī,Meningismus,"In this condition, symptom of <em>Sarsām</em> (meningitis) occurs without any inflammatory changes in the brain. This is caused by other reason e.g. accumulation of <em>Bukhārāt</em> (gases) in the brain.","sarsām ghayr ḥaqīqī sarsām ghayr ḥaqīqī sarsām ghayr ḥaqīqī sarsām ghayr ḥaqīqī سرسام غير حقيقي سرسام غير حقيقي سرسام غير حقيقي سرسام غير حقيقي meningismus meningismus meningismus in this condition, symptom of <em>sarsām</em> (meningitis) occurs without any inflammatory changes in the brain. this is caused by other reason e.g. accumulation of <em>bukhārāt</em> (gases) in the brain.",sarsām ghayr ḥaqīqī
18,17,A-6,فلغمونى دماغي,Falghamūnī Dimāghī,Phlegmon,A type of acute inflammation of brain tissues caused by accumulation of putrified blood in the brain.,falghamūnī dimāghī falghamūnī dimāghī falghamūnī dimāghī falghamūnī dimāghī فلغمونى دماغي فلغمونى دماغي فلغمونى دماغي فلغمونى دماغي phlegmon phlegmon phlegmon a type of acute inflammation of brain tissues caused by accumulation of putrified blood in the brain.,falghamūnī dimāghī
19,18,A-7,شفا قلوس دماغي,Shafāqalūs Dimāghī,inflammation of vessels of brain,A type of inflammation of the vessels of brain caused by the accumulation of <em>Muḥtariq Dam</em> (burnt blood/sanguine) in the vessels.,shafāqalūs dimāghī shafāqalūs dimāghī shafāqalūs dimāghī shafāqalūs dimāghī شفا قلوس دماغي شفا قلوس دماغي شفا قلوس دماغي شفا قلوس دماغي inflammation of vessels of brain inflammation of vessels of brain inflammation of vessels of brain a type of inflammation of the vessels of brain caused by the accumulation of <em>muḥtariq dam</em> (burnt blood/sanguine) in the vessels.,shafāqalūs dimāghī
20,19,A-8,حمرہ دماغيہ,Ḥumra Dimāghiyya,Cerebral congestion,A type of inflammation of brain tissues caused by the accumulation of <em>Muḥtariq Sawdā’</em> (burnt black bile) or sanguine mixed with <em>Ṣafrā’</em> (yellow bile) in the brain.,ḥumra dimāghiyya ḥumra dimāghiyya ḥumra dimāghiyya ḥumra dimāghiyya حمرہ دماغيہ حمرہ دماغيہ حمرہ دماغيہ حمرہ دماغيہ cerebral congestion cerebral congestion cerebral congestion a type of inflammation of brain tissues caused by the accumulation of <em>muḥtariq sawdā’</em> (burnt black bile) or sanguine mixed with <em>ṣafrā’</em> (yellow bile) in the brain.,ḥumra dimāghiyya
21,20,A-9,عطاش,‘Uṭāsh,sub acute inflammation of brain,"Literal meaning of <em> ‘Uṭāsh</em> is excessive thirst. It is a disease which occurs commonly in children. In Unani System of Medicine, it is considered to be a sub acute type of inflammation of brain in which the child experiences an increased thirst.","‘uṭāsh ‘uṭāsh ‘uṭāsh ‘uṭāsh عطاش عطاش عطاش عطاش sub acute inflammation of brain sub acute inflammation of brain sub acute inflammation of brain literal meaning of <em> ‘uṭāsh</em> is excessive thirst. it is a disease which occurs commonly in children. in unani system of medicine, it is considered to be a sub acute type of inflammation of brain in which the child experiences an increased thirst.",‘uṭāsh
22,21,A-10,ماشریٰ,Māshrā,Erysipelas,<em>Māshrā</em> is a <em>Suryānī</em> word which literally means acute inflammation of any part of body due to predominance of <em>Dam</em> (blood/sanguine) and <em>Ṣafrā’</em> (yellow bile). Ancient Unani physicians have used this word for the inflammation of face and forehead. <em>Ibn Sīnā</em> had included this term for the acute inflammation of liver which is caused exclusively by the predominance of <em>Ṣafrā’</em> (yellow bile). But most recent Unani physicians describe this as an acute inflammation of face and forehead in which the face becomes red and swollen accompanied with pain and itching.,māshrā māshrā māshrā māshrā ماشریٰ ماشریٰ ماشریٰ ماشریٰ erysipelas erysipelas erysipelas <em>māshrā</em> is a <em>suryānī</em> word which literally means acute inflammation of any part of body due to predominance of <em>dam</em> (blood/sanguine) and <em>ṣafrā’</em> (yellow bile). ancient unani physicians have used this word for the inflammation of face and forehead. <em>ibn sīnā</em> had included this term for the acute inflammation of liver which is caused exclusively by the predominance of <em>ṣafrā’</em> (yellow bile). but most recent unani physicians describe this as an acute inflammation of face and forehead in which the face becomes red and swollen accompanied with pain and itching.,māshrā
23,22,A-11,ماء الراس,Mā’ al-Ra’s,Hydrocephalus,"Accumulation of fluid in the head. This can be of two types, either the accumulation is beneath the scalp or inside the head. If it occurs inside the head, the patient experiences heaviness of head, eyes remain open with continuous lacrimation and this is usually a fatal condition. When the fluid is accumulated beneath the scalp due to bad obstetric procedure, it is usually curable and subsides gradually (caput succeedenum).","mā’ al-ra’s mā’ al-ra’s mā’ al-ra’s mā’ al-ra’s ماء الراس ماء الراس ماء الراس ماء الراس hydrocephalus hydrocephalus hydrocephalus accumulation of fluid in the head. this can be of two types, either the accumulation is beneath the scalp or inside the head. if it occurs inside the head, the patient experiences heaviness of head, eyes remain open with continuous lacrimation and this is usually a fatal condition. when the fluid is accumulated beneath the scalp due to bad obstetric procedure, it is usually curable and subsides gradually (caput succeedenum).",mā’ al-ra’s
24,23,A-12,سبات,Subāt,Coma,A prolonged phase of deep unconsciousness.,subāt subāt subāt subāt سبات سبات سبات سبات coma coma coma a prolonged phase of deep unconsciousness.,subāt
25,24,A-12.1,سبات سهرى,Subāt Sahrī,Coma vigil,A type of deep sleep with phases of consciousness in between. This type of unconsciousness is due to the predominance of <em>Balgham</em> (phlegm). According to <em>Qarshī</em> and most Unani physicians this is a type of inflammation of brain which is due to predominance of <em>Ṣafrā’</em> (yellow bile) and <em>Balgham</em> (phlegm).,subāt sahrī subāt sahrī subāt sahrī subāt sahrī سبات سهرى سبات سهرى سبات سهرى سبات سهرى coma vigil coma vigil coma vigil a type of deep sleep with phases of consciousness in between. this type of unconsciousness is due to the predominance of <em>balgham</em> (phlegm). according to <em>qarshī</em> and most unani physicians this is a type of inflammation of brain which is due to predominance of <em>ṣafrā’</em> (yellow bile) and <em>balgham</em> (phlegm).,subāt sahrī
26,25,A-12.2,سبات بارد,Subāt Bārid,coma due to coldness of brain,A type of coma or unconsciousness which is caused either by the exposure of cold environment or by the intake of narcotic drugs.,subāt bārid subāt bārid subāt bārid subāt bārid سبات بارد سبات بارد سبات بارد سبات بارد coma due to coldness of brain coma due to coldness of brain coma due to coldness of brain a type of coma or unconsciousness which is caused either by the exposure of cold environment or by the intake of narcotic drugs.,subāt bārid
27,26,A-12.3,سبات رطوبى,Subāt Ruṭūbī,coma due to moistness of brain,A type of coma which is caused by the predominance of <em>Ruṭūbat</em> (moistness) in the body which in turn causes hindrance in the process of oxygenation.,subāt ruṭūbī subāt ruṭūbī subāt ruṭūbī subāt ruṭūbī سبات رطوبى سبات رطوبى سبات رطوبى سبات رطوبى coma due to moistness of brain coma due to moistness of brain coma due to moistness of brain a type of coma which is caused by the predominance of <em>ruṭūbat</em> (moistness) in the body which in turn causes hindrance in the process of oxygenation.,subāt ruṭūbī
28,27,A-12.4,سبات دموي,Subāt Damawī,Sanguineous coma,A type of coma which is caused by the predominance of <em>Dam</em> (blood/sanguine) in the body.,subāt damawī subāt damawī subāt damawī subāt damawī سبات دموي سبات دموي سبات دموي سبات دموي sanguineous coma sanguineous coma sanguineous coma a type of coma which is caused by the predominance of <em>dam</em> (blood/sanguine) in the body.,subāt damawī
29,28,A-12.5,سبات بخارى,Subāt Bukhārī,Coma due to vapours,"A type of coma which is caused by the gases produced by bad humours of stomach, lungs, intestine and uterus.","subāt bukhārī subāt bukhārī subāt bukhārī subāt bukhārī سبات بخارى سبات بخارى سبات بخارى سبات بخارى coma due to vapours coma due to vapours coma due to vapours a type of coma which is caused by the gases produced by bad humours of stomach, lungs, intestine and uterus.",subāt bukhārī
30,29,A-12.6,سبات ضعفي,Subāt Ḍu‘fī,coma due to weakness of brain,A type of coma which is caused by the weakness of brain and nerves.,subāt ḍu‘fī subāt ḍu‘fī subāt ḍu‘fī subāt ḍu‘fī سبات ضعفي سبات ضعفي سبات ضعفي سبات ضعفي coma due to weakness of brain coma due to weakness of brain coma due to weakness of brain a type of coma which is caused by the weakness of brain and nerves.,subāt ḍu‘fī
31,30,A-12.7,سبات ضربى,Subāt Ḍarbī,Traumatic coma,A type of coma due to injury of head and brain especially of temporal region.,subāt ḍarbī subāt ḍarbī subāt ḍarbī subāt ḍarbī سبات ضربى سبات ضربى سبات ضربى سبات ضربى traumatic coma traumatic coma traumatic coma a type of coma due to injury of head and brain especially of temporal region.,subāt ḍarbī
32,31,A-13,سهر,Sahar,Insomnia,A disease in which the patient remains in wakeful state all the time.,sahar sahar sahar sahar سهر سهر سهر سهر insomnia insomnia insomnia a disease in which the patient remains in wakeful state all the time.,sahar
33,32,A-13.1,سهر يابس,Sahar Yābis,Insomnia due to dryness,A state of wakefulness which is caused by the predominance of <em>Yubūsat</em> (dryness) either in terms of <em>Mādda</em> or matter i.e. <em>Sawdā’</em> (black bile) and <em>Ṣafrā’</em> (yellow bile) or simple.,sahar yābis sahar yābis sahar yābis sahar yābis سهر يابس سهر يابس سهر يابس سهر يابس insomnia due to dryness insomnia due to dryness insomnia due to dryness a state of wakefulness which is caused by the predominance of <em>yubūsat</em> (dryness) either in terms of <em>mādda</em> or matter i.e. <em>sawdā’</em> (black bile) and <em>ṣafrā’</em> (yellow bile) or simple.,sahar yābis
34,33,A-13.2,سهر رطوبى,Sahar Ruṭūbī,Insomnia due to moistness,A state of wakefulness which is due to accumulation of <em>Ruṭūbat</em> (moistness) in the brain.,sahar ruṭūbī sahar ruṭūbī sahar ruṭūbī sahar ruṭūbī سهر رطوبى سهر رطوبى سهر رطوبى سهر رطوبى insomnia due to moistness insomnia due to moistness insomnia due to moistness a state of wakefulness which is due to accumulation of <em>ruṭūbat</em> (moistness) in the brain.,sahar ruṭūbī
35,34,A-14,نسيان,Nisyān,Amnesia,A state of forgetfulness.,nisyān nisyān nisyān nisyān نسيان نسيان نسيان نسيان amnesia amnesia amnesia a state of forgetfulness.,nisyān
36,35,A-14.1,نسيان باردرطب,Nisyān Bārid Raṭb,forgetfulness due to coldness and moistness/ Reterograde Amnesia,A state of forgetfulness caused by the predominance of <em>Burūdat</em> (coldness) or Ruṭūbat (moistness) which is either simple or compound.,nisyān bārid raṭb nisyān bārid raṭb nisyān bārid raṭb nisyān bārid raṭb نسيان باردرطب نسيان باردرطب نسيان باردرطب نسيان باردرطب forgetfulness due to coldness and moistness/ reterograde amnesia forgetfulness due to coldness and moistness/ reterograde amnesia forgetfulness due to coldness and moistness/ reterograde amnesia a state of forgetfulness caused by the predominance of <em>burūdat</em> (coldness) or ruṭūbat (moistness) which is either simple or compound.,nisyān bārid raṭb
37,36,A-14.2,نسيان بارد يابس,Nisyān Bārid Yābis,forgetfulness due to coldness and dryness/Anterograde Amnesia,A state of forgetfulness caused by the predominance of <em>Burūdat</em> (coldness) or <em>Yubūsat</em> (dryness).,nisyān bārid yābis nisyān bārid yābis nisyān bārid yābis nisyān bārid yābis نسيان بارد يابس نسيان بارد يابس نسيان بارد يابس نسيان بارد يابس forgetfulness due to coldness and dryness/anterograde amnesia forgetfulness due to coldness and dryness/anterograde amnesia forgetfulness due to coldness and dryness/anterograde amnesia a state of forgetfulness caused by the predominance of <em>burūdat</em> (coldness) or <em>yubūsat</em> (dryness).,nisyān bārid yābis
38,37,A-14.3,نسيان حار يابس,Nisyān Ḥārr Yābis,forgetfulness due to heat and dryness,A state of forgetfulness which is caused by the predominance of <em>Yubūsat</em> (dryness) in the brain tissues. This state is incurable if there is a decrease in tissue of brain.,nisyān ḥārr yābis nisyān ḥārr yābis nisyān ḥārr yābis nisyān ḥārr yābis نسيان حار يابس نسيان حار يابس نسيان حار يابس نسيان حار يابس forgetfulness due to heat and dryness forgetfulness due to heat and dryness forgetfulness due to heat and dryness a state of forgetfulness which is caused by the predominance of <em>yubūsat</em> (dryness) in the brain tissues. this state is incurable if there is a decrease in tissue of brain.,nisyān ḥārr yābis
39,38,A-15,اختلاط الذهن,Ikhtlāṭ al-Dhahn,mental derangement,A confused state of mind not reaching the level of <em>Junūn</em>. This is also a type of melancholia.,ikhtlāṭ al-dhahn ikhtlāṭ al-dhahn ikhtlāṭ al-dhahn ikhtlāṭ al-dhahn اختلاط الذهن اختلاط الذهن اختلاط الذهن اختلاط الذهن mental derangement mental derangement mental derangement a confused state of mind not reaching the level of <em>junūn</em>. this is also a type of melancholia.,ikhtlāṭ al-dhahn
40,39,A-16,هذيان,Hadhayān,Delirium,A state of stupor in which the patient talks continuously and irrelevantly.,hadhayān hadhayān hadhayān hadhayān هذيان هذيان هذيان هذيان delirium delirium delirium a state of stupor in which the patient talks continuously and irrelevantly.,hadhayān
41,40,A-17,حمق,Ḥumq,Dementia,The weakness of the thinking faculties of brain which in turn leads to distraction of mind. These patients can not make a balanced state or equilibrium in social environment. The patient usually makes himself busy in doing irrelevant chores similar to children.,ḥumq ḥumq ḥumq ḥumq حمق حمق حمق حمق dementia dementia dementia the weakness of the thinking faculties of brain which in turn leads to distraction of mind. these patients can not make a balanced state or equilibrium in social environment. the patient usually makes himself busy in doing irrelevant chores similar to children.,ḥumq
42,41,A-18,رعونت,Ru‘ūnat,egomania,A type of weakness of the thinking faculties of brain in which the patient becomes egoistic. The patient usually expresses violent behaviour and feels himself superior to others.,ru‘ūnat ru‘ūnat ru‘ūnat ru‘ūnat رعونت رعونت رعونت رعونت egomania egomania egomania a type of weakness of the thinking faculties of brain in which the patient becomes egoistic. the patient usually expresses violent behaviour and feels himself superior to others.,ru‘ūnat
43,42,A-19,مالنخوليا,Mālankhūliyā,Melancholia,"This word is a combination of two words. <em>Mālan</em>, meaning black and <em>Khūliyā</em>, meaning <em>Ṣafrā’</em> (yellow bile). According to ancient Unani physicians this is a form of severe depression caused by the accumulation of <em>Muḥtariq Sawdā’</em> (burnt black bile) or <em>Muḥtariq Ṣafrā’</em> (burnt yellow bile) in the brain. Patients experience false perceptions.","mālankhūliyā mālankhūliyā mālankhūliyā mālankhūliyā مالنخوليا مالنخوليا مالنخوليا مالنخوليا melancholia melancholia melancholia this word is a combination of two words. <em>mālan</em>, meaning black and <em>khūliyā</em>, meaning <em>ṣafrā’</em> (yellow bile). according to ancient unani physicians this is a form of severe depression caused by the accumulation of <em>muḥtariq sawdā’</em> (burnt black bile) or <em>muḥtariq ṣafrā’</em> (burnt yellow bile) in the brain. patients experience false perceptions.",mālankhūliyā
44,43,A-19.1,مالنخوليا دموي,Mālankhūliyā Damawī,Sanguineous melancholia,"A type of melancholia caused by the accumulation of <em>Muḥtariq Dam</em> (burnt sanguine) in the brain. It is characterized by redness of eyes, pulsus magnus and confused state of mind along with feeling of happiness.","mālankhūliyā damawī mālankhūliyā damawī mālankhūliyā damawī mālankhūliyā damawī مالنخوليا دموي مالنخوليا دموي مالنخوليا دموي مالنخوليا دموي sanguineous melancholia sanguineous melancholia sanguineous melancholia a type of melancholia caused by the accumulation of <em>muḥtariq dam</em> (burnt sanguine) in the brain. it is characterized by redness of eyes, pulsus magnus and confused state of mind along with feeling of happiness.",mālankhūliyā damawī
45,44,A-19.2,مالنخوليا بلغمي,Mālankhūliyā Balghamī,Phlegmatic melancholia,"A type of melancholia caused by the accumulation of <em>Muḥtariq Balgham</em> (burnt phlegm) in brain. It is characterized by laziness, comparatively cold and clammy skin along with other features of melancholia.","mālankhūliyā balghamī mālankhūliyā balghamī mālankhūliyā balghamī mālankhūliyā balghamī مالنخوليا بلغمي مالنخوليا بلغمي مالنخوليا بلغمي مالنخوليا بلغمي phlegmatic melancholia phlegmatic melancholia phlegmatic melancholia a type of melancholia caused by the accumulation of <em>muḥtariq balgham</em> (burnt phlegm) in brain. it is characterized by laziness, comparatively cold and clammy skin along with other features of melancholia.",mālankhūliyā balghamī
46,45,A-19.3,مالنخوليا صفراوي,Mālankhūliyā Ṣafrāwī,Bilious melancholia,"A type of melancholia caused by the accumulation of <em>Muḥtariq Ṣafrā’</em> (burnt yellow bile) in brain. It is characterized by insanity, anger, delirium, restlessness and insomnia.","mālankhūliyā ṣafrāwī mālankhūliyā ṣafrāwī mālankhūliyā ṣafrāwī mālankhūliyā ṣafrāwī مالنخوليا صفراوي مالنخوليا صفراوي مالنخوليا صفراوي مالنخوليا صفراوي bilious melancholia bilious melancholia bilious melancholia a type of melancholia caused by the accumulation of <em>muḥtariq ṣafrā’</em> (burnt yellow bile) in brain. it is characterized by insanity, anger, delirium, restlessness and insomnia.",mālankhūliyā ṣafrāwī
47,46,A-19.4,مالنخوليا سوداوي,Mālankhūliyā Sawdāwī,Melancholic melancholia,"A type of melancholia caused by the accumulation of <em>Muḥtariq Sawdā’</em> (burnt black bile) and <em>Sawdā’</em> (black bile) in the brain. It is characterized by fear, disturbing thoughts, and crying disposition","mālankhūliyā sawdāwī mālankhūliyā sawdāwī mālankhūliyā sawdāwī mālankhūliyā sawdāwī مالنخوليا سوداوي مالنخوليا سوداوي مالنخوليا سوداوي مالنخوليا سوداوي melancholic melancholia melancholic melancholia melancholic melancholia a type of melancholia caused by the accumulation of <em>muḥtariq sawdā’</em> (burnt black bile) and <em>sawdā’</em> (black bile) in the brain. it is characterized by fear, disturbing thoughts, and crying disposition",mālankhūliyā sawdāwī
48,47,A-19.5,قطرب/ علة الذئب/ جنون ذئبي,Quṭrub/ ‘Illa al-Dhi’b/ Junūn Dhi’bī,Lycanthropy,"A type of melancholia caused by <em>Muḥtariq Ṣafrā’</em> (burnt yellow bile). It is a chronic condition as its causative humour is more viscous and acute in nature. In this condition patient likes to live in isolation. During the daytime he stays in graveyards and comes out at night. He becomes irritative, emaciated and pale. Sometimes, he attacks other persons due to irritation. He makes noises resembling with dog and cock. Ulcers of calf muscles are also observed in these patients.","quṭrub/ ‘illa al-dhi’b/ junūn dhi’bī quṭrub/ ‘illa al-dhi’b/ junūn dhi’bī quṭrub/ ‘illa al-dhi’b/ junūn dhi’bī quṭrub/ ‘illa al-dhi’b/ junūn dhi’bī قطرب/ علة الذئب/ جنون ذئبي قطرب/ علة الذئب/ جنون ذئبي قطرب/ علة الذئب/ جنون ذئبي قطرب/ علة الذئب/ جنون ذئبي lycanthropy lycanthropy lycanthropy a type of melancholia caused by <em>muḥtariq ṣafrā’</em> (burnt yellow bile). it is a chronic condition as its causative humour is more viscous and acute in nature. in this condition patient likes to live in isolation. during the daytime he stays in graveyards and comes out at night. he becomes irritative, emaciated and pale. sometimes, he attacks other persons due to irritation. he makes noises resembling with dog and cock. ulcers of calf muscles are also observed in these patients.",quṭrub/ ‘illa al-dhi’b/ junūn dhi’bī
49,48,A-19.6,مالنخوليا مراقي /نفخ مراقی /مراقیہ /علّت نافخہ/شرسوفیہ,Mālankhūliya Marāqī/ Nafkh Marāqī/ Marāqiyya/ ‘Illat Nāfikha/Sharsūfiya,Psychoneurosis,This type of disorder occurs when burnt humour get accumulated in the peritoneum because of internal heat and leads to the formation of <em>Bukhārāt</em> (gases) of bad quality. These vapours cause the disturbance in the brain.,mālankhūliya marāqī/ nafkh marāqī/ marāqiyya/ ‘illat nāfikha/sharsūfiya mālankhūliya marāqī/ nafkh marāqī/ marāqiyya/ ‘illat nāfikha/sharsūfiya mālankhūliya marāqī/ nafkh marāqī/ marāqiyya/ ‘illat nāfikha/sharsūfiya mālankhūliya marāqī/ nafkh marāqī/ marāqiyya/ ‘illat nāfikha/sharsūfiya مالنخوليا مراقي /نفخ مراقی /مراقیہ /علّت نافخہ/شرسوفیہ مالنخوليا مراقي /نفخ مراقی /مراقیہ /علّت نافخہ/شرسوفیہ مالنخوليا مراقي /نفخ مراقی /مراقیہ /علّت نافخہ/شرسوفیہ مالنخوليا مراقي /نفخ مراقی /مراقیہ /علّت نافخہ/شرسوفیہ psychoneurosis psychoneurosis psychoneurosis this type of disorder occurs when burnt humour get accumulated in the peritoneum because of internal heat and leads to the formation of <em>bukhārāt</em> (gases) of bad quality. these vapours cause the disturbance in the brain.,mālankhūliya marāqī/ nafkh marāqī/ marāqiyya/ ‘illat nāfikha/sharsūfiya
