Sr No.,NUMC_ID,NUMC_CODE,Arabic_term,NUMC_TERM,Short_definition,Long_definition,query,normalized_term
1457,1457,O-24.1,امراض دمویہ,Amrāḍ Damawiyya,diseases due to predominance of sanguine humour either qualitative or quantitative,the diseases which arise due to the abnormal quantity or quality of the sanguine humour. These diseases are considered to be of hot and moist temperament,amrāḍ damawiyya amrāḍ damawiyya amrāḍ damawiyya amrāḍ damawiyya امراض دمویہ امراض دمویہ امراض دمویہ امراض دمویہ diseases due to predominance of sanguine humour either qualitative or quantitative diseases due to predominance of sanguine humour either qualitative or quantitative diseases due to predominance of sanguine humour either qualitative or quantitative the diseases which arise due to the abnormal quantity or quality of the sanguine humour. these diseases are considered to be of hot and moist temperament,amrāḍ damawiyya
1458,1458,O-24.2,امراض صفراویہ,Amrāḍ  Ṣafrāwiyya,diseases due to predominance of bilious humour either qualitative or quantitative,the diseases which arise due to the abnormal quantity or quality of the bilious humour. These diseases are considered to be of hot and dry temperament,amrāḍ ṣafrāwiyya amrāḍ ṣafrāwiyya amrāḍ ṣafrāwiyya amrāḍ ṣafrāwiyya امراض صفراویہ امراض صفراویہ امراض صفراویہ امراض صفراویہ diseases due to predominance of bilious humour either qualitative or quantitative diseases due to predominance of bilious humour either qualitative or quantitative diseases due to predominance of bilious humour either qualitative or quantitative the diseases which arise due to the abnormal quantity or quality of the bilious humour. these diseases are considered to be of hot and dry temperament,amrāḍ ṣafrāwiyya
1459,1459,O-24.3,امراض بلغمیہ,Amrāḍ Balghamiyya,diseases due to predominance of phlegmatic humour either qualitative or quantitative,the diseases which arise due to the abnormal quantity or quality of the phlegmatic humour. These diseases are considered to be of cold and moist temperament,amrāḍ balghamiyya amrāḍ balghamiyya amrāḍ balghamiyya amrāḍ balghamiyya امراض بلغمیہ امراض بلغمیہ امراض بلغمیہ امراض بلغمیہ diseases due to predominance of phlegmatic humour either qualitative or quantitative diseases due to predominance of phlegmatic humour either qualitative or quantitative diseases due to predominance of phlegmatic humour either qualitative or quantitative the diseases which arise due to the abnormal quantity or quality of the phlegmatic humour. these diseases are considered to be of cold and moist temperament,amrāḍ balghamiyya
1460,1460,O-24.4,امراض سوداویہ,Amrāḍ Sawdāwiyya,diseases due to predominance of melancholic humour either qualitative or quantitative,the diseases which arise due to the abnormal quantity or quality of the melancholic humour. These diseases are considered to be of cold and moist temperament,amrāḍ sawdāwiyya amrāḍ sawdāwiyya amrāḍ sawdāwiyya amrāḍ sawdāwiyya امراض سوداویہ امراض سوداویہ امراض سوداویہ امراض سوداویہ diseases due to predominance of melancholic humour either qualitative or quantitative diseases due to predominance of melancholic humour either qualitative or quantitative diseases due to predominance of melancholic humour either qualitative or quantitative the diseases which arise due to the abnormal quantity or quality of the melancholic humour. these diseases are considered to be of cold and moist temperament,amrāḍ sawdāwiyya
1461,1461,O-25,نبض طويل,Nabḍ Ṭawīl,long pulse,"pulse, the parts of which are perceived to be greater in length when compared with absolutely normal pulse","nabḍ ṭawīl nabḍ ṭawīl nabḍ ṭawīl nabḍ ṭawīl نبض طويل نبض طويل نبض طويل نبض طويل long pulse long pulse long pulse pulse, the parts of which are perceived to be greater in length when compared with absolutely normal pulse",nabḍ ṭawīl
1462,1462,O-26,نبض قصير,Nabḍ Qaṣīr,short pulse,"pulse, the parts of which are perceived to be shorter in length when compared with absolutely normal pulse","nabḍ qaṣīr nabḍ qaṣīr nabḍ qaṣīr nabḍ qaṣīr نبض قصير نبض قصير نبض قصير نبض قصير short pulse short pulse short pulse pulse, the parts of which are perceived to be shorter in length when compared with absolutely normal pulse",nabḍ qaṣīr
1463,1463,O-27,نبض عريض,Nabḍ ‘Arīḍ,broad pulse,"pulse, the parts of which are perceived to be broader in breadth when compared with absolutely normal pulse","nabḍ ‘arīḍ nabḍ ‘arīḍ nabḍ ‘arīḍ nabḍ ‘arīḍ نبض عريض نبض عريض نبض عريض نبض عريض broad pulse broad pulse broad pulse pulse, the parts of which are perceived to be broader in breadth when compared with absolutely normal pulse",nabḍ ‘arīḍ
1464,1464,O-28,نبض ضيق,Nabḍ Ḍayyiq,constricted pulse,"pulse, the parts of which are perceived to be narrower in breadth when compared with absolutely normal pulse","nabḍ ḍayyiq nabḍ ḍayyiq nabḍ ḍayyiq nabḍ ḍayyiq نبض ضيق نبض ضيق نبض ضيق نبض ضيق constricted pulse constricted pulse constricted pulse pulse, the parts of which are perceived to be narrower in breadth when compared with absolutely normal pulse",nabḍ ḍayyiq
1465,1465,O-29,نبض مشرف,Nabḍ Mushrif,elevated pulse,"pulse, the parts of which are perceived to be more elevated in height when compared with absolutely normal pulse","nabḍ mushrif nabḍ mushrif nabḍ mushrif nabḍ mushrif نبض مشرف نبض مشرف نبض مشرف نبض مشرف elevated pulse elevated pulse elevated pulse pulse, the parts of which are perceived to be more elevated in height when compared with absolutely normal pulse",nabḍ mushrif
1466,1466,O-30,نبض منخفض,Nabḍ Munkhafiḍ,low pulse,"pulse, the parts of which are perceived to be less elevated in height when compared with absolutely normal pulse","nabḍ munkhafiḍ nabḍ munkhafiḍ nabḍ munkhafiḍ nabḍ munkhafiḍ نبض منخفض نبض منخفض نبض منخفض نبض منخفض low pulse low pulse low pulse pulse, the parts of which are perceived to be less elevated in height when compared with absolutely normal pulse",nabḍ munkhafiḍ
1467,1467,O-31,نبض عظيم,Nabḍ ‘Aẓīm,large pulse,pulse increased both in length and breadth as well as in elevation,nabḍ ‘aẓīm nabḍ ‘aẓīm nabḍ ‘aẓīm nabḍ ‘aẓīm نبض عظيم نبض عظيم نبض عظيم نبض عظيم large pulse large pulse large pulse pulse increased both in length and breadth as well as in elevation,nabḍ ‘aẓīm
1468,1468,O-32,نبض صغير,Nabḍ Ṣaghīr,small pulse,pulse diminished both in length and breadth as well as in elevation,nabḍ ṣaghīr nabḍ ṣaghīr nabḍ ṣaghīr nabḍ ṣaghīr نبض صغير نبض صغير نبض صغير نبض صغير small pulse small pulse small pulse pulse diminished both in length and breadth as well as in elevation,nabḍ ṣaghīr
1469,1469,O-33,نبض غليظ,Nabḍ Ghalīẓ,thick pulse,pulse increased both in breadth and height,nabḍ ghalīẓ nabḍ ghalīẓ nabḍ ghalīẓ nabḍ ghalīẓ نبض غليظ نبض غليظ نبض غليظ نبض غليظ thick pulse thick pulse thick pulse pulse increased both in breadth and height,nabḍ ghalīẓ
1470,1470,O-34,نبض دقيق,Nabḍ Daqīq,slender pulse,pulse decreased both in breadth and height,nabḍ daqīq nabḍ daqīq nabḍ daqīq nabḍ daqīq نبض دقيق نبض دقيق نبض دقيق نبض دقيق slender pulse slender pulse slender pulse pulse decreased both in breadth and height,nabḍ daqīq
1471,1471,O-35,نبض قوي,Nabḍ Qawī,strong pulse,"pulse, which resists the fingers of physician during palpation","nabḍ qawī nabḍ qawī nabḍ qawī nabḍ qawī نبض قوي نبض قوي نبض قوي نبض قوي strong pulse strong pulse strong pulse pulse, which resists the fingers of physician during palpation",nabḍ qawī
1472,1472,O-36,نبض ضعيف,Nabḍ Ḍa‘īf,weak pulse,pulse which does not resist the fingers of physician during palpation,nabḍ ḍa‘īf nabḍ ḍa‘īf nabḍ ḍa‘īf nabḍ ḍa‘īf نبض ضعيف نبض ضعيف نبض ضعيف نبض ضعيف weak pulse weak pulse weak pulse pulse which does not resist the fingers of physician during palpation,nabḍ ḍa‘īf
1473,1473,O-37,نبض سريع,Nabḍ Sarī‘,swift pulse,pulse whose movement is completed in a short space of time,nabḍ sarī‘ nabḍ sarī‘ nabḍ sarī‘ nabḍ sarī‘ نبض سريع نبض سريع نبض سريع نبض سريع swift pulse swift pulse swift pulse pulse whose movement is completed in a short space of time,nabḍ sarī‘
1474,1474,O-38,نبض بطي,Nabḍ Baṭī',sluggish pulse,pulse whose movement is completed in a long space of time,nabḍ baṭī' nabḍ baṭī' nabḍ baṭī' nabḍ baṭī' نبض بطي نبض بطي نبض بطي نبض بطي sluggish pulse sluggish pulse sluggish pulse pulse whose movement is completed in a long space of time,nabḍ baṭī'
