Sr No.,NAMC_ID,NAMC_CODE,NAMC_term,NAMC_term_diacritical,NAMC_term_DEVANAGARI,Short_definition,Long_definition,Ontology_branches,Name English,Name English Under Index,Primary Index Related,query,normalized_term
224,221,AAD-3.2(SR20),mAMsAvRutavAtaH,(a) māṃsāvṛtavātaḥ,मांसावृतवातः,-,-,-,Pattern of vāta occluded by muscle tissue (TM2) ⇒,-,Index,(a) māṃsāvṛtavātaḥ (a) māṃsāvṛtavātaḥ (a) māṃsāvṛtavātaḥ (a) māṃsāvṛtavātaḥ mamsavrutavatah mamsavrutavatah mamsavrutavatah pattern of vāta occluded by muscle tissue (tm2) ⇒ pattern of vāta occluded by muscle tissue (tm2) ⇒ index index मांसावृतवातः,(a) māṃsāvṛtavātaḥ
225,222,AAD-3.3(SR20),medasAvRutavAtaH,(a) medasāvṛtavātaḥ,मेदसावृतवातः,-,-,-,Pattern of vāta occluded by fat (TM2) ⇒,-,Index,(a) medasāvṛtavātaḥ (a) medasāvṛtavātaḥ (a) medasāvṛtavātaḥ (a) medasāvṛtavātaḥ medasavrutavatah medasavrutavatah medasavrutavatah pattern of vāta occluded by fat (tm2) ⇒ pattern of vāta occluded by fat (tm2) ⇒ index index मेदसावृतवातः,(a) medasāvṛtavātaḥ
226,223,AAD-3.4(SR20),asthyAvRutavAtaH,(a) asthyāvṛtavātaḥ,अस्थ्यावृतवातः,-,-,-,Pattern of vāta occluded by bone tissue (TM2) ⇒,-,Index,(a) asthyāvṛtavātaḥ (a) asthyāvṛtavātaḥ (a) asthyāvṛtavātaḥ (a) asthyāvṛtavātaḥ asthyavrutavatah asthyavrutavatah asthyavrutavatah pattern of vāta occluded by bone tissue (tm2) ⇒ pattern of vāta occluded by bone tissue (tm2) ⇒ index index अस्थ्यावृतवातः,(a) asthyāvṛtavātaḥ
227,224,AAD-3.5(SR20),majjAvRutavAtaH,(a) majjāvṛtavātaḥ,मज्जावृतवातः,-,-,-,Pattern of vāta occluded by bone marrow (TM2) ⇒,-,Index,(a) majjāvṛtavātaḥ (a) majjāvṛtavātaḥ (a) majjāvṛtavātaḥ (a) majjāvṛtavātaḥ majjavrutavatah majjavrutavatah majjavrutavatah pattern of vāta occluded by bone marrow (tm2) ⇒ pattern of vāta occluded by bone marrow (tm2) ⇒ index index मज्जावृतवातः,(a) majjāvṛtavātaḥ
228,225,AAD-3.6(SR20),SukrAvRutavAtaH,(a) śukrāvṛtavātaḥ,शुक्रावृतवातः,-,-,-,Pattern of vāta occluded by reproductive tisses (TM2) ⇒,-,Index,(a) śukrāvṛtavātaḥ (a) śukrāvṛtavātaḥ (a) śukrāvṛtavātaḥ (a) śukrāvṛtavātaḥ sukravrutavatah sukravrutavatah sukravrutavatah pattern of vāta occluded by reproductive tisses (tm2) ⇒ pattern of vāta occluded by reproductive tisses (tm2) ⇒ index index शुक्रावृतवातः,(a) śukrāvṛtavātaḥ
229,226,AAD-3.7(SR20),sarvadhAtvAvRutavAtaH,sarvadhātvāvṛtavātaḥ,सर्वधात्वावृतवातः,-,-,-,Pattern of vāta occluded by all primary structural components of the body (TM2) ⇒,-,Index,sarvadhātvāvṛtavātaḥ sarvadhātvāvṛtavātaḥ sarvadhātvāvṛtavātaḥ sarvadhātvāvṛtavātaḥ sarvadhatvavrutavatah sarvadhatvavrutavatah sarvadhatvavrutavatah pattern of vāta occluded by all primary structural components of the body (tm2) ⇒ pattern of vāta occluded by all primary structural components of the body (tm2) ⇒ index index सर्वधात्वावृतवातः,sarvadhātvāvṛtavātaḥ
230,227,AAD-4(SR20),malAvRutavAtaH,(a) malāvṛtavātaḥ,मलावृतवातः,-,-,-,Pattern of occlusion of vāta by faeces (TM2) ⇒,-,Index,(a) malāvṛtavātaḥ (a) malāvṛtavātaḥ (a) malāvṛtavātaḥ (a) malāvṛtavātaḥ malavrutavatah malavrutavatah malavrutavatah pattern of occlusion of vāta by faeces (tm2) ⇒ pattern of occlusion of vāta by faeces (tm2) ⇒ index index मलावृतवातः,(a) malāvṛtavātaḥ
231,228,AAD-4.1(SR20),mUtrAvRutavAtaH,(a) mūtrāvṛtavātaḥ,मूत्रावृतवातः,-,-,-,Pattern of vāta occluded by urine (TM2) ⇒,-,Index,(a) mūtrāvṛtavātaḥ (a) mūtrāvṛtavātaḥ (a) mūtrāvṛtavātaḥ (a) mūtrāvṛtavātaḥ mutravrutavatah mutravrutavatah mutravrutavatah pattern of vāta occluded by urine (tm2) ⇒ pattern of vāta occluded by urine (tm2) ⇒ index index मूत्रावृतवातः,(a) mūtrāvṛtavātaḥ
232,229,AAD-4.2,varcasAvRutavAtaH,varcasāvr̥tavātaḥ,वर्चसावृतवातः,-,"the disorder is characterized by ativibandhaḥ [severe constipation], svē sthānē parikr̥ntati [cutting type of pain in svasthana i.e. rectum/pakvāśaya], vrajatyāśu jarāṁ snēhaḥ [instantaneous digestion of the ingested fat], bhuktē cānahyatē naraḥ [abdominal distention on consumption of food], cirāt pīḍitamannēna duḥkhaṁ śuṣkaṁ śakr̥t sr̥jēt [due to pressure of the undigested food, the patient voids after along time. the voiding is painfull and the stool is dry], śrōṇivaṅkṣaṇapr̥ṣṭhēṣu ruk [pain in the hips, groin, and back], vilōmaḥ mārutaḥ [upward movement of vāyu (flatus or gas) in the abdomen], asvasthaṁ hr̥dayam [discomfort in the cardiac region/heart]",-,disorders of vāta occluded by faeces,-,-,"varcasāvr̥tavātaḥ varcasāvr̥tavātaḥ varcasāvr̥tavātaḥ varcasāvr̥tavātaḥ varcasavrutavatah varcasavrutavatah varcasavrutavatah disorders of vāta occluded by faeces disorders of vāta occluded by faeces the disorder is characterized by ativibandhaḥ [severe constipation], svē sthānē parikr̥ntati [cutting type of pain in svasthana i.e. rectum/pakvāśaya], vrajatyāśu jarāṁ snēhaḥ [instantaneous digestion of the ingested fat], bhuktē cānahyatē naraḥ [abdominal distention on consumption of food], cirāt pīḍitamannēna duḥkhaṁ śuṣkaṁ śakr̥t sr̥jēt [due to pressure of the undigested food, the patient voids after along time. the voiding is painfull and the stool is dry], śrōṇivaṅkṣaṇapr̥ṣṭhēṣu ruk [pain in the hips, groin, and back], vilōmaḥ mārutaḥ [upward movement of vāyu (flatus or gas) in the abdomen], asvasthaṁ hr̥dayam [discomfort in the cardiac region/heart] वर्चसावृतवातः",varcasāvr̥tavātaḥ
233,230,AAD-5(SR20),annAvRutavAtaH,(a) annāvṛtavātaḥ,अन्नावृतवातः,-,-,-,Pattern of vāta occluded by food (TM2) ⇒,-,Index,(a) annāvṛtavātaḥ (a) annāvṛtavātaḥ (a) annāvṛtavātaḥ (a) annāvṛtavātaḥ annavrutavatah annavrutavatah annavrutavatah pattern of vāta occluded by food (tm2) ⇒ pattern of vāta occluded by food (tm2) ⇒ index index अन्नावृतवातः,(a) annāvṛtavātaḥ
234,232,AAE,sthAnaviSeSha-kupitavAtaH,sthānaviśēṣa-kupitavātaḥ,स्थानविशेष-कुपितवातः,-,-,-,location specific vitiated vāta,-,-,sthānaviśēṣa-kupitavātaḥ sthānaviśēṣa-kupitavātaḥ sthānaviśēṣa-kupitavātaḥ sthānaviśēṣa-kupitavātaḥ sthanavisesha-kupitavatah sthanavisesha-kupitavatah sthanavisesha-kupitavatah location specific vitiated vāta location specific vitiated vāta स्थानविशेष-कुपितवातः,sthānaviśēṣa-kupitavātaḥ
235,233,AAE-1,koShThASritavAtakopaH,kōṣṭhāśritavātakōpaḥ,कोष्ठाश्रितवातकोपः,-,"the disorder is characterized by arśaḥ [hemorrhoids], gulmaḥ [palpable glandular enlargment in abdomen/abdominal lump], pārśvaśūlam [pain in sides of chest/flanks], bradhnaḥ [inguinal swelling/herniation], mūtranigrahaḥ [retention of urine], varca-nigrahaḥ [retention of faeces], hr̥drōgaḥ [diseases of heart]",-,vitiated vāta in kōṣṭha,-,-,"kōṣṭhāśritavātakōpaḥ kōṣṭhāśritavātakōpaḥ kōṣṭhāśritavātakōpaḥ kōṣṭhāśritavātakōpaḥ koshthasritavatakopah koshthasritavatakopah koshthasritavatakopah vitiated vāta in kōṣṭha vitiated vāta in kōṣṭha the disorder is characterized by arśaḥ [hemorrhoids], gulmaḥ [palpable glandular enlargment in abdomen/abdominal lump], pārśvaśūlam [pain in sides of chest/flanks], bradhnaḥ [inguinal swelling/herniation], mūtranigrahaḥ [retention of urine], varca-nigrahaḥ [retention of faeces], hr̥drōgaḥ [diseases of heart] कोष्ठाश्रितवातकोपः",kōṣṭhāśritavātakōpaḥ
236,234,AAE-2,sarvA~ggakupitavAtaH,sarvāṅgakupitavātaḥ,सर्वाङ्गकुपितवातः,-,"the disorder is characterized by gātrasphuraṇam [flickering/twitching in various parts of body], sandhisphuṭanam [bursting type of pain in joints], gātrabhañjanam [feeling as if limbs are being broken], vēdanā-parītaḥ [severe pain], tōdaḥ [pricking pain], bhēdaḥ [breaking type of pain], sphuraṇam [pulsating sensation], stambhanam [stiffening of body], ākṣēpaṇam [convulsion], sandhi-ākuñcanam [contraction of joint], sandhi-kampanam [trembling of joint]",-,vitiated vāta in entire body,-,-,"sarvāṅgakupitavātaḥ sarvāṅgakupitavātaḥ sarvāṅgakupitavātaḥ sarvāṅgakupitavātaḥ sarva~ggakupitavatah sarva~ggakupitavatah sarva~ggakupitavatah vitiated vāta in entire body vitiated vāta in entire body the disorder is characterized by gātrasphuraṇam [flickering/twitching in various parts of body], sandhisphuṭanam [bursting type of pain in joints], gātrabhañjanam [feeling as if limbs are being broken], vēdanā-parītaḥ [severe pain], tōdaḥ [pricking pain], bhēdaḥ [breaking type of pain], sphuraṇam [pulsating sensation], stambhanam [stiffening of body], ākṣēpaṇam [convulsion], sandhi-ākuñcanam [contraction of joint], sandhi-kampanam [trembling of joint] सर्वाङ्गकुपितवातः",sarvāṅgakupitavātaḥ
237,235,AAE-3,gudasthitavAtaH,gudasthitavātaḥ,गुदस्थितवातः,-,"the disorder is characterized by viḍgrahaḥ [retention of feces], mūtragrahaḥ [obstruction/retention in the passage of urine], vātagrahaḥ [retention of flatus], śūlam [sharp pain in anus], ādhmānam [abdominal distension], aśmarī [urolithiasis], śarkarā [mutiple gravely particles in urine], jaṅghārōgaḥ(rujā) [pain in calf muscles], jaṅghāśōṣaḥ [wasting of calf region], ūrurōgaḥ(rujā) [pain in thighs], ūruśōṣaḥ [wasting of thighs], trik-rōgaḥ(rujā) [pain in sacral iliac region of back], trik-śōṣaḥ [wasting of sacroiliac region of back], pādarōgaḥ(rujā) [pain in legs/feet], pādaśōṣaḥ [wasting of legs], pr̥ṣṭharōgaḥ(rujā) [pain in back], pr̥ṣṭhaśōṣaḥ [wasting of back]",-,vitiated vāta in rectum,-,-,"gudasthitavātaḥ gudasthitavātaḥ gudasthitavātaḥ gudasthitavātaḥ gudasthitavatah gudasthitavatah gudasthitavatah vitiated vāta in rectum vitiated vāta in rectum the disorder is characterized by viḍgrahaḥ [retention of feces], mūtragrahaḥ [obstruction/retention in the passage of urine], vātagrahaḥ [retention of flatus], śūlam [sharp pain in anus], ādhmānam [abdominal distension], aśmarī [urolithiasis], śarkarā [mutiple gravely particles in urine], jaṅghārōgaḥ(rujā) [pain in calf muscles], jaṅghāśōṣaḥ [wasting of calf region], ūrurōgaḥ(rujā) [pain in thighs], ūruśōṣaḥ [wasting of thighs], trik-rōgaḥ(rujā) [pain in sacral iliac region of back], trik-śōṣaḥ [wasting of sacroiliac region of back], pādarōgaḥ(rujā) [pain in legs/feet], pādaśōṣaḥ [wasting of legs], pr̥ṣṭharōgaḥ(rujā) [pain in back], pr̥ṣṭhaśōṣaḥ [wasting of back] गुदस्थितवातः",gudasthitavātaḥ
238,236,AAE-4,AmASayagatavAtaH,āmāśayagatavātaḥ,आमाशयगतवातः,-,"the disorder is characterized by hr̥daya-ruk [pain in the pericordial region/angina pectoris], nābhi- ruk [pain in the umbilical region], pārśvaruk [pain in sides of chest/flanks], udararuk [pain in the abdomen], tr̥ṣṇā [thirst], udgāraḥ [eructation], visūcikā [loose motions and vomitings caused by ama], kāsaḥ [cough], kaṇṭha-śōṣaḥ [dryness in the throat], āsyaśōṣaḥ [dryness in mouth], śvāsaḥ [breathlessness/difficult breathing], vamathuḥ [vomiting], kaṇṭhōparōdhaḥ [choking sensation of throat/obstruction of throat], nābhērūrdhvavyādhayaḥ [diseases of above nabhi/umbilicus]",-,vitiated vāta in stomach,-,-,"āmāśayagatavātaḥ āmāśayagatavātaḥ āmāśayagatavātaḥ āmāśayagatavātaḥ amasayagatavatah amasayagatavatah amasayagatavatah vitiated vāta in stomach vitiated vāta in stomach the disorder is characterized by hr̥daya-ruk [pain in the pericordial region/angina pectoris], nābhi- ruk [pain in the umbilical region], pārśvaruk [pain in sides of chest/flanks], udararuk [pain in the abdomen], tr̥ṣṇā [thirst], udgāraḥ [eructation], visūcikā [loose motions and vomitings caused by ama], kāsaḥ [cough], kaṇṭha-śōṣaḥ [dryness in the throat], āsyaśōṣaḥ [dryness in mouth], śvāsaḥ [breathlessness/difficult breathing], vamathuḥ [vomiting], kaṇṭhōparōdhaḥ [choking sensation of throat/obstruction of throat], nābhērūrdhvavyādhayaḥ [diseases of above nabhi/umbilicus] आमाशयगतवातः",āmāśayagatavātaḥ
239,237,AAE-5,pakvASayagatavAtaH,pakvāśayagatavātaḥ,पक्वाशयगतवातः,-,"the disorder is characterized by antrakūjanam [barborygmus/gurgling sound of intestines], śūlaḥ [colicky pain in the abdomen], āṭōpaḥ [gurgling sound of the intestines/barborygmus], mūtrakr̥cchram [dysuria], kr̥cchrapurīṣatvam [diffuculty in passing stool], ānāhaḥ [barborygmus with distention], trikavēdanām [pain in the sacroiliac region], malarōdhaḥ [constipation], aśmarī [urolithiasis], vardhma [herniation], arśas [haemorrhoids], trikagraham [stiffness of sacroiliac region], pr̥ṣṭhagraham [stiffness of back], kaṭigraham [stiffness of low back]",-,vitiated vāta in colon,-,-,"pakvāśayagatavātaḥ pakvāśayagatavātaḥ pakvāśayagatavātaḥ pakvāśayagatavātaḥ pakvasayagatavatah pakvasayagatavatah pakvasayagatavatah vitiated vāta in colon vitiated vāta in colon the disorder is characterized by antrakūjanam [barborygmus/gurgling sound of intestines], śūlaḥ [colicky pain in the abdomen], āṭōpaḥ [gurgling sound of the intestines/barborygmus], mūtrakr̥cchram [dysuria], kr̥cchrapurīṣatvam [diffuculty in passing stool], ānāhaḥ [barborygmus with distention], trikavēdanām [pain in the sacroiliac region], malarōdhaḥ [constipation], aśmarī [urolithiasis], vardhma [herniation], arśas [haemorrhoids], trikagraham [stiffness of sacroiliac region], pr̥ṣṭhagraham [stiffness of back], kaṭigraham [stiffness of low back] पक्वाशयगतवातः",pakvāśayagatavātaḥ
240,238,AAE-6,SrotrAdIndriyagatavAtaH,śrōtrādīndriyagatavātaḥ,श्रोत्रादीन्द्रियगतवातः,-,the disorder is characterized by indriyavadham [impairment of the functions of sense organs],-,vitiated vāta in ears,-,-,śrōtrādīndriyagatavātaḥ śrōtrādīndriyagatavātaḥ śrōtrādīndriyagatavātaḥ śrōtrādīndriyagatavātaḥ srotradindriyagatavatah srotradindriyagatavatah srotradindriyagatavatah vitiated vāta in ears vitiated vāta in ears the disorder is characterized by indriyavadham [impairment of the functions of sense organs] श्रोत्रादीन्द्रियगतवातः,śrōtrādīndriyagatavātaḥ
241,239,AAE-7,tvak^-gatavAtaH,tvak^-gatavātaḥ,त्वक्^-गतवातः,-,"the disorder is characterized by tvak-rūkṣatvam [dryness of skin], tvak- sphuṭitā [cracking of skin], tvak-suptatvam [numbness in skin], tvak-kr̥śatvam [thining of skin/skin atrophy], tvak- kr̥ṣṇatvam [blackening of skin], tudyatē/nistōdanam [pricking pain in skin], ātanyatē sarāgā [stretching and redness of skin], parvaruk [pain in small joints], cumacumāyanam [skin irritation as if application of mustard paste], tvagbhēdam [cracking of skin], vaivarṇyam [discolouration], paripōṭanam [scaling of skin]",-,vitiated vāta in skin,-,-,"tvak^-gatavātaḥ tvak^-gatavātaḥ tvak^-gatavātaḥ tvak^-gatavātaḥ tvak^-gatavatah tvak^-gatavatah tvak^-gatavatah vitiated vāta in skin vitiated vāta in skin the disorder is characterized by tvak-rūkṣatvam [dryness of skin], tvak- sphuṭitā [cracking of skin], tvak-suptatvam [numbness in skin], tvak-kr̥śatvam [thining of skin/skin atrophy], tvak- kr̥ṣṇatvam [blackening of skin], tudyatē/nistōdanam [pricking pain in skin], ātanyatē sarāgā [stretching and redness of skin], parvaruk [pain in small joints], cumacumāyanam [skin irritation as if application of mustard paste], tvagbhēdam [cracking of skin], vaivarṇyam [discolouration], paripōṭanam [scaling of skin] त्वक्^-गतवातः",tvak^-gatavātaḥ
