code,title,fsn,definition,inclusions,exclusions,icd_index_terms,chapter,index_terms
SK9A,adenoiditis disorder tm2,,,,,adenoiditis disorder tm2 a kaṇṭhaśālūkaḥ c iltihāb i tajāwīf ḥulqūmī anfī early state of adenoids disorder tm2 a vicchinnaḥ,,adenoiditis disorder tm2 adenoiditis disorder tm2 adenoiditis disorder tm2 adenoiditis disorder tm2 a kaṇṭhaśālūkaḥ c iltihāb i tajāwīf ḥulqūmī anfī early state of adenoids disorder tm2 a vicchinnaḥ adenoiditis disorder tm2 a kaṇṭhaśālūkaḥ c iltihāb i tajāwīf ḥulqūmī anfī early state of adenoids disorder tm2 a vicchinnaḥ adenoiditis disorder tm2 a kaṇṭhaśālūkaḥ c iltihāb i tajāwīf ḥulqūmī anfī early state of adenoids disorder tm2 a vicchinnaḥ
SL00,throat tumour disorder tm2,,,,,throat tumour disorder tm2 a galārbudaḥ b toṇṭai puṟṟu hypopharyngeal growth disorder tm2 a valayaḥ posterior pharyngeal wall tumour disorder tm2 a māṃsatānaḥ,,throat tumour disorder tm2 throat tumour disorder tm2 throat tumour disorder tm2 throat tumour disorder tm2 a galārbudaḥ b toṇṭai puṟṟu hypopharyngeal growth disorder tm2 a valayaḥ posterior pharyngeal wall tumour disorder tm2 a māṃsatānaḥ throat tumour disorder tm2 a galārbudaḥ b toṇṭai puṟṟu hypopharyngeal growth disorder tm2 a valayaḥ posterior pharyngeal wall tumour disorder tm2 a māṃsatānaḥ throat tumour disorder tm2 a galārbudaḥ b toṇṭai puṟṟu hypopharyngeal growth disorder tm2 a valayaḥ posterior pharyngeal wall tumour disorder tm2 a māṃsatānaḥ
SL01,retropharyngeal abscess disorder tm2,,,,,retropharyngeal abscess disorder tm2 a śataghnī c khurāj ḥalaqī khalfī,,retropharyngeal abscess disorder tm2 retropharyngeal abscess disorder tm2 retropharyngeal abscess disorder tm2 retropharyngeal abscess disorder tm2 a śataghnī c khurāj ḥalaqī khalfī retropharyngeal abscess disorder tm2 a śataghnī c khurāj ḥalaqī khalfī retropharyngeal abscess disorder tm2 a śataghnī c khurāj ḥalaqī khalfī
SL02,hoarseness of voice disorder tm2,,,,,hoarseness of voice disorder tm2 a kaṇṭhodhvaṃsaḥ b kural kammal c buḥḥa al ṣawt c buḥūḥa al ṣawt,,hoarseness of voice disorder tm2 hoarseness of voice disorder tm2 hoarseness of voice disorder tm2 hoarseness of voice disorder tm2 a kaṇṭhodhvaṃsaḥ b kural kammal c buḥḥa al ṣawt c buḥūḥa al ṣawt hoarseness of voice disorder tm2 a kaṇṭhodhvaṃsaḥ b kural kammal c buḥḥa al ṣawt c buḥūḥa al ṣawt hoarseness of voice disorder tm2 a kaṇṭhodhvaṃsaḥ b kural kammal c buḥḥa al ṣawt c buḥūḥa al ṣawt
SL03,indistinct abnormal voice disorder tm2,,,,,indistinct abnormal voice disorder tm2 a svarabhedaḥ c khalal al ṣawt dysphonia disorder tm2 a svaraghnam tremulous voice disorder tm2 c khushūna al ṣawt,,indistinct abnormal voice disorder tm2 indistinct abnormal voice disorder tm2 indistinct abnormal voice disorder tm2 indistinct abnormal voice disorder tm2 a svarabhedaḥ c khalal al ṣawt dysphonia disorder tm2 a svaraghnam tremulous voice disorder tm2 c khushūna al ṣawt indistinct abnormal voice disorder tm2 a svarabhedaḥ c khalal al ṣawt dysphonia disorder tm2 a svaraghnam tremulous voice disorder tm2 c khushūna al ṣawt indistinct abnormal voice disorder tm2 a svarabhedaḥ c khalal al ṣawt dysphonia disorder tm2 a svaraghnam tremulous voice disorder tm2 c khushūna al ṣawt
SL04,severe throat inflammation disorder tm2,,,,,severe throat inflammation disorder tm2 a rohiṇī b varaṭ kaṇam c khunāq wabā’ī c waram al ḥanjara ḥādd ghishā’ī khunāqī,,severe throat inflammation disorder tm2 severe throat inflammation disorder tm2 severe throat inflammation disorder tm2 severe throat inflammation disorder tm2 a rohiṇī b varaṭ kaṇam c khunāq wabā’ī c waram al ḥanjara ḥādd ghishā’ī khunāqī severe throat inflammation disorder tm2 a rohiṇī b varaṭ kaṇam c khunāq wabā’ī c waram al ḥanjara ḥādd ghishā’ī khunāqī severe throat inflammation disorder tm2 a rohiṇī b varaṭ kaṇam c khunāq wabā’ī c waram al ḥanjara ḥādd ghishā’ī khunāqī
SL05,pharyngitis disorder tm2,,,,,pharyngitis disorder tm2 a balāsaḥ b kāca pittam c waram i ḥalq hypo pharyngeal inflammation disorder tm2 a galaughaḥ,,pharyngitis disorder tm2 pharyngitis disorder tm2 pharyngitis disorder tm2 pharyngitis disorder tm2 a balāsaḥ b kāca pittam c waram i ḥalq hypo pharyngeal inflammation disorder tm2 a galaughaḥ pharyngitis disorder tm2 a balāsaḥ b kāca pittam c waram i ḥalq hypo pharyngeal inflammation disorder tm2 a galaughaḥ pharyngitis disorder tm2 a balāsaḥ b kāca pittam c waram i ḥalq hypo pharyngeal inflammation disorder tm2 a galaughaḥ
SL06,tonsillitis disorder tm2,,,,,tonsillitis disorder tm2 a tuṇḍikerī c waram al lawzatayn b niṇak kural kammal,,tonsillitis disorder tm2 tonsillitis disorder tm2 tonsillitis disorder tm2 tonsillitis disorder tm2 a tuṇḍikerī c waram al lawzatayn b niṇak kural kammal tonsillitis disorder tm2 a tuṇḍikerī c waram al lawzatayn b niṇak kural kammal tonsillitis disorder tm2 a tuṇḍikerī c waram al lawzatayn b niṇak kural kammal
SL07,speech disorder tm2,,,,,speech disorder tm2 a mūkatvam c inqiṭā‘ al ṣawt,,speech disorder tm2 speech disorder tm2 speech disorder tm2 speech disorder tm2 a mūkatvam c inqiṭā‘ al ṣawt speech disorder tm2 a mūkatvam c inqiṭā‘ al ṣawt speech disorder tm2 a mūkatvam c inqiṭā‘ al ṣawt
SL08,lymphadenopathy in throat region disorder tm2,,,,,lymphadenopathy in throat region disorder tm2 a gaṇḍamālā b kaṇṭamālai c khanāzīr scrofula incurable lymphadenopathy disorder tm2 a asādhya gaṇḍamālā,,lymphadenopathy in throat region disorder tm2 lymphadenopathy in throat region disorder tm2 lymphadenopathy in throat region disorder tm2 lymphadenopathy in throat region disorder tm2 a gaṇḍamālā b kaṇṭamālai c khanāzīr scrofula incurable lymphadenopathy disorder tm2 a asādhya gaṇḍamālā lymphadenopathy in throat region disorder tm2 a gaṇḍamālā b kaṇṭamālai c khanāzīr scrofula incurable lymphadenopathy disorder tm2 a asādhya gaṇḍamālā lymphadenopathy in throat region disorder tm2 a gaṇḍamālā b kaṇṭamālai c khanāzīr scrofula incurable lymphadenopathy disorder tm2 a asādhya gaṇḍamālā
SL09,laryngitis disorder tm2,,,,,laryngitis disorder tm2 b kaṇṭa pittam c waram al ḥanjara,,laryngitis disorder tm2 laryngitis disorder tm2 laryngitis disorder tm2 laryngitis disorder tm2 b kaṇṭa pittam c waram al ḥanjara laryngitis disorder tm2 b kaṇṭa pittam c waram al ḥanjara laryngitis disorder tm2 b kaṇṭa pittam c waram al ḥanjara
SL20,excessive sneezing disorder tm2,,,,,excessive sneezing disorder tm2 a kṣavathuḥ c ’uṭās b cilēṭṭuma pittam c otas induced sneezing disorder tm2 a bhṛśakṣavaḥ,,excessive sneezing disorder tm2 excessive sneezing disorder tm2 excessive sneezing disorder tm2 excessive sneezing disorder tm2 a kṣavathuḥ c ’uṭās b cilēṭṭuma pittam c otas induced sneezing disorder tm2 a bhṛśakṣavaḥ excessive sneezing disorder tm2 a kṣavathuḥ c ’uṭās b cilēṭṭuma pittam c otas induced sneezing disorder tm2 a bhṛśakṣavaḥ excessive sneezing disorder tm2 a kṣavathuḥ c ’uṭās b cilēṭṭuma pittam c otas induced sneezing disorder tm2 a bhṛśakṣavaḥ
SL21,hypernasal speech disorder tm2,,,,,hypernasal speech disorder tm2 a minminaḥ c khunān b nācikāpīṭam,,hypernasal speech disorder tm2 hypernasal speech disorder tm2 hypernasal speech disorder tm2 hypernasal speech disorder tm2 a minminaḥ c khunān b nācikāpīṭam hypernasal speech disorder tm2 a minminaḥ c khunān b nācikāpīṭam hypernasal speech disorder tm2 a minminaḥ c khunān b nācikāpīṭam
SL40,bronchial asthma disorder tm2,,,,,bronchial asthma disorder tm2 a tamakaśvāsaḥ b iraippu nōy c ḍīq al nafas b iraippu irumal c dama c nafas ḍayyiq bronchial asthma with fever fainting disorder tm2 c pratamakaśvāsaḥ bronchial asthma aggravating with darkness disorder tm2 c santamakaśvāsaḥ catarrh induced asthma disorder tm2 c rabw nazlī c rabw e nazli asthma due to balgham disorder tm2 c rabw balghamī c rabw e balghami,,bronchial asthma disorder tm2 bronchial asthma disorder tm2 bronchial asthma disorder tm2 bronchial asthma disorder tm2 a tamakaśvāsaḥ b iraippu nōy c ḍīq al nafas b iraippu irumal c dama c nafas ḍayyiq bronchial asthma with fever fainting disorder tm2 c pratamakaśvāsaḥ bronchial asthma aggravating with darkness disorder tm2 c santamakaśvāsaḥ catarrh induced asthma disorder tm2 c rabw nazlī c rabw e nazli asthma due to balgham disorder tm2 c rabw balghamī c rabw e balghami bronchial asthma disorder tm2 a tamakaśvāsaḥ b iraippu nōy c ḍīq al nafas b iraippu irumal c dama c nafas ḍayyiq bronchial asthma with fever fainting disorder tm2 c pratamakaśvāsaḥ bronchial asthma aggravating with darkness disorder tm2 c santamakaśvāsaḥ catarrh induced asthma disorder tm2 c rabw nazlī c rabw e nazli asthma due to balgham disorder tm2 c rabw balghamī c rabw e balghami bronchial asthma disorder tm2 a tamakaśvāsaḥ b iraippu nōy c ḍīq al nafas b iraippu irumal c dama c nafas ḍayyiq bronchial asthma with fever fainting disorder tm2 c pratamakaśvāsaḥ bronchial asthma aggravating with darkness disorder tm2 c santamakaśvāsaḥ catarrh induced asthma disorder tm2 c rabw nazlī c rabw e nazli asthma due to balgham disorder tm2 c rabw balghamī c rabw e balghami
SL41,cough disorder tm2,,,,,cough disorder tm2 a kāsaḥ b irumal nōy c su‘āl o surfa acute bronchitis disorder tm2 c iltihāb al shu‘ab ḥādd chronic bronchitis disorder tm2 c iltihāb al shu‘ab muzmin bronchitis disorder tm2 b cuvāca pittam asthmatic cough disorder tm2 b cuvāca irumal nōy cough due to derangement of vaḷi and aẕal disorder tm2 b vātapitta irumal nōy cough due to derangement of aẕal and aiyam disorder tm2 b pittakapa irumal nōy cough due to derangement of mukkuṟṟam disorder tm2 b mukkuṟṟa irumal nōy cough disorder due to haemophobia tm2 b irattakācam irumal nōy cough disorder due to increased aiyam tm2 b kapa irumal nōy cough disorder due to increased aẕal tm2 b pitta irumal nōy cough disorder due to increased vaḷi tm2 b vāta irumal nōy cough disorder due to seasonal variations tm2 b mantārakācam irumal nōy cough disorder due to waxing and wanning of moon tm2 b pakka mantāra irumal nōy cough disorder occuring in sinusitis tm2 b pīṉica irumal nōy post puerperal cough disorder tm2 b cuṭar irumal nōy aggravated aiyam lodging in chest and face leading respiratory ailments disorder tm2 b irumal,,cough disorder tm2 cough disorder tm2 cough disorder tm2 cough disorder tm2 a kāsaḥ b irumal nōy c su‘āl o surfa acute bronchitis disorder tm2 c iltihāb al shu‘ab ḥādd chronic bronchitis disorder tm2 c iltihāb al shu‘ab muzmin bronchitis disorder tm2 b cuvāca pittam asthmatic cough disorder tm2 b cuvāca irumal nōy cough due to derangement of vaḷi and aẕal disorder tm2 b vātapitta irumal nōy cough due to derangement of aẕal and aiyam disorder tm2 b pittakapa irumal nōy cough due to derangement of mukkuṟṟam disorder tm2 b mukkuṟṟa irumal nōy cough disorder due to haemophobia tm2 b irattakācam irumal nōy cough disorder due to increased aiyam tm2 b kapa irumal nōy cough disorder due to increased aẕal tm2 b pitta irumal nōy cough disorder due to increased vaḷi tm2 b vāta irumal nōy cough disorder due to seasonal variations tm2 b mantārakācam irumal nōy cough disorder due to waxing and wanning of moon tm2 b pakka mantāra irumal nōy cough disorder occuring in sinusitis tm2 b pīṉica irumal nōy post puerperal cough disorder tm2 b cuṭar irumal nōy aggravated aiyam lodging in chest and face leading respiratory ailments disorder tm2 b irumal cough disorder tm2 a kāsaḥ b irumal nōy c su‘āl o surfa acute bronchitis disorder tm2 c iltihāb al shu‘ab ḥādd chronic bronchitis disorder tm2 c iltihāb al shu‘ab muzmin bronchitis disorder tm2 b cuvāca pittam asthmatic cough disorder tm2 b cuvāca irumal nōy cough due to derangement of vaḷi and aẕal disorder tm2 b vātapitta irumal nōy cough due to derangement of aẕal and aiyam disorder tm2 b pittakapa irumal nōy cough due to derangement of mukkuṟṟam disorder tm2 b mukkuṟṟa irumal nōy cough disorder due to haemophobia tm2 b irattakācam irumal nōy cough disorder due to increased aiyam tm2 b kapa irumal nōy cough disorder due to increased aẕal tm2 b pitta irumal nōy cough disorder due to increased vaḷi tm2 b vāta irumal nōy cough disorder due to seasonal variations tm2 b mantārakācam irumal nōy cough disorder due to waxing and wanning of moon tm2 b pakka mantāra irumal nōy cough disorder occuring in sinusitis tm2 b pīṉica irumal nōy post puerperal cough disorder tm2 b cuṭar irumal nōy aggravated aiyam lodging in chest and face leading respiratory ailments disorder tm2 b irumal cough disorder tm2 a kāsaḥ b irumal nōy c su‘āl o surfa acute bronchitis disorder tm2 c iltihāb al shu‘ab ḥādd chronic bronchitis disorder tm2 c iltihāb al shu‘ab muzmin bronchitis disorder tm2 b cuvāca pittam asthmatic cough disorder tm2 b cuvāca irumal nōy cough due to derangement of vaḷi and aẕal disorder tm2 b vātapitta irumal nōy cough due to derangement of aẕal and aiyam disorder tm2 b pittakapa irumal nōy cough due to derangement of mukkuṟṟam disorder tm2 b mukkuṟṟa irumal nōy cough disorder due to haemophobia tm2 b irattakācam irumal nōy cough disorder due to increased aiyam tm2 b kapa irumal nōy cough disorder due to increased aẕal tm2 b pitta irumal nōy cough disorder due to increased vaḷi tm2 b vāta irumal nōy cough disorder due to seasonal variations tm2 b mantārakācam irumal nōy cough disorder due to waxing and wanning of moon tm2 b pakka mantāra irumal nōy cough disorder occuring in sinusitis tm2 b pīṉica irumal nōy post puerperal cough disorder tm2 b cuṭar irumal nōy aggravated aiyam lodging in chest and face leading respiratory ailments disorder tm2 b irumal
SL42,dyspnoea disorder tm2,,,,,dyspnoea disorder tm2 a śvāsaḥ b iraippu nōy c ’ usr al tanaffus breathlessness tm2,,dyspnoea disorder tm2 dyspnoea disorder tm2 dyspnoea disorder tm2 dyspnoea disorder tm2 a śvāsaḥ b iraippu nōy c ’ usr al tanaffus breathlessness tm2 dyspnoea disorder tm2 a śvāsaḥ b iraippu nōy c ’ usr al tanaffus breathlessness tm2 dyspnoea disorder tm2 a śvāsaḥ b iraippu nōy c ’ usr al tanaffus breathlessness tm2
SL60,slow heart disorder tm2,,,,,slow heart disorder tm2 a hṛnmohaḥ c buṭū’ al qalb,,slow heart disorder tm2 slow heart disorder tm2 slow heart disorder tm2 slow heart disorder tm2 a hṛnmohaḥ c buṭū’ al qalb slow heart disorder tm2 a hṛnmohaḥ c buṭū’ al qalb slow heart disorder tm2 a hṛnmohaḥ c buṭū’ al qalb
SL61,heart pain disorder tm2,,,,,heart pain disorder tm2 a hṛdrogaḥ b tamaraka nōy c waja‘ al qalb congestive cardiac failure disorder tm2 b ūrttuva vātam cardiac disease due to aẕal with vomiting giddiness profuse sweating disorder tm2 b pitta tamaraka nōy,,heart pain disorder tm2 heart pain disorder tm2 heart pain disorder tm2 heart pain disorder tm2 a hṛdrogaḥ b tamaraka nōy c waja‘ al qalb congestive cardiac failure disorder tm2 b ūrttuva vātam cardiac disease due to aẕal with vomiting giddiness profuse sweating disorder tm2 b pitta tamaraka nōy heart pain disorder tm2 a hṛdrogaḥ b tamaraka nōy c waja‘ al qalb congestive cardiac failure disorder tm2 b ūrttuva vātam cardiac disease due to aẕal with vomiting giddiness profuse sweating disorder tm2 b pitta tamaraka nōy heart pain disorder tm2 a hṛdrogaḥ b tamaraka nōy c waja‘ al qalb congestive cardiac failure disorder tm2 b ūrttuva vātam cardiac disease due to aẕal with vomiting giddiness profuse sweating disorder tm2 b pitta tamaraka nōy
SL62,palpitation disorder tm2,,,,,palpitation disorder tm2 a hṛddravaḥ b tuṭi pittam c khafaqān b naadi padappu palpitation disorder due to cold morbid temperament of heart tm2 c khafaqān bārid palpitation disorder due to rīḥ and bukhār tm2 c khafaqān rīḥī o bukhārī palpitation disorder due to hot morbid temperament of heart tm2 c khafaqān ḥārr palpitation disorder due to increased sensitivity of heart tm2 c khafaqān ḥissī palpitation disorder due to obstruction tm2 c khafaqān suddī palpitation disorder due to secondary causes tm2 c khafaqān shirkī palpitation disorder due to weakness of heart tm2 c khafaqān ḍu‘fī,,palpitation disorder tm2 palpitation disorder tm2 palpitation disorder tm2 palpitation disorder tm2 a hṛddravaḥ b tuṭi pittam c khafaqān b naadi padappu palpitation disorder due to cold morbid temperament of heart tm2 c khafaqān bārid palpitation disorder due to rīḥ and bukhār tm2 c khafaqān rīḥī o bukhārī palpitation disorder due to hot morbid temperament of heart tm2 c khafaqān ḥārr palpitation disorder due to increased sensitivity of heart tm2 c khafaqān ḥissī palpitation disorder due to obstruction tm2 c khafaqān suddī palpitation disorder due to secondary causes tm2 c khafaqān shirkī palpitation disorder due to weakness of heart tm2 c khafaqān ḍu‘fī palpitation disorder tm2 a hṛddravaḥ b tuṭi pittam c khafaqān b naadi padappu palpitation disorder due to cold morbid temperament of heart tm2 c khafaqān bārid palpitation disorder due to rīḥ and bukhār tm2 c khafaqān rīḥī o bukhārī palpitation disorder due to hot morbid temperament of heart tm2 c khafaqān ḥārr palpitation disorder due to increased sensitivity of heart tm2 c khafaqān ḥissī palpitation disorder due to obstruction tm2 c khafaqān suddī palpitation disorder due to secondary causes tm2 c khafaqān shirkī palpitation disorder due to weakness of heart tm2 c khafaqān ḍu‘fī palpitation disorder tm2 a hṛddravaḥ b tuṭi pittam c khafaqān b naadi padappu palpitation disorder due to cold morbid temperament of heart tm2 c khafaqān bārid palpitation disorder due to rīḥ and bukhār tm2 c khafaqān rīḥī o bukhārī palpitation disorder due to hot morbid temperament of heart tm2 c khafaqān ḥārr palpitation disorder due to increased sensitivity of heart tm2 c khafaqān ḥissī palpitation disorder due to obstruction tm2 c khafaqān suddī palpitation disorder due to secondary causes tm2 c khafaqān shirkī palpitation disorder due to weakness of heart tm2 c khafaqān ḍu‘fī
SL70,varicose veins disorder tm2,,,,,varicose veins disorder tm2 a sirāgranthiḥ b nāḷa vipāta puṭaippu c dawālī b naalavibatham,,varicose veins disorder tm2 varicose veins disorder tm2 varicose veins disorder tm2 varicose veins disorder tm2 a sirāgranthiḥ b nāḷa vipāta puṭaippu c dawālī b naalavibatham varicose veins disorder tm2 a sirāgranthiḥ b nāḷa vipāta puṭaippu c dawālī b naalavibatham varicose veins disorder tm2 a sirāgranthiḥ b nāḷa vipāta puṭaippu c dawālī b naalavibatham
SL71,varicose ulcer disorder tm2,,,,,varicose ulcer disorder tm2 a sirāgatavraṇaḥ b nāḷa vipāta puṇ c qarḥa dawāliyya b naalavibatha viranam,,varicose ulcer disorder tm2 varicose ulcer disorder tm2 varicose ulcer disorder tm2 varicose ulcer disorder tm2 a sirāgatavraṇaḥ b nāḷa vipāta puṇ c qarḥa dawāliyya b naalavibatha viranam varicose ulcer disorder tm2 a sirāgatavraṇaḥ b nāḷa vipāta puṇ c qarḥa dawāliyya b naalavibatha viranam varicose ulcer disorder tm2 a sirāgatavraṇaḥ b nāḷa vipāta puṇ c qarḥa dawāliyya b naalavibatha viranam
SL72,thickened arteries disorder tm2,,,,,thickened arteries disorder tm2 a dhamanīpraticayaḥ b vacu vātam c tasaddud shaḥmī kilsī,,thickened arteries disorder tm2 thickened arteries disorder tm2 thickened arteries disorder tm2 thickened arteries disorder tm2 a dhamanīpraticayaḥ b vacu vātam c tasaddud shaḥmī kilsī thickened arteries disorder tm2 a dhamanīpraticayaḥ b vacu vātam c tasaddud shaḥmī kilsī thickened arteries disorder tm2 a dhamanīpraticayaḥ b vacu vātam c tasaddud shaḥmī kilsī
SL80,anaemia disorder tm2,,,,,anaemia disorder tm2 a pāṇḍurogaḥ b veḷuppu nōy c faqr al dam b veluppu noi anaemia disorder caused by increased aiyam tm2 b nañcu veḷuppu nōy anaemia disorder caused by increased aẕal tm2 b aẕal veḷuppu nōy pernicious anaemia disorder tm2 b makā vātam anaemia disorder with hypoproteineamia tm2 c sū’ al qinya anaemia disorder due to pica tm2 c maṇṇuṉ veḷuppu,,anaemia disorder tm2 anaemia disorder tm2 anaemia disorder tm2 anaemia disorder tm2 a pāṇḍurogaḥ b veḷuppu nōy c faqr al dam b veluppu noi anaemia disorder caused by increased aiyam tm2 b nañcu veḷuppu nōy anaemia disorder caused by increased aẕal tm2 b aẕal veḷuppu nōy pernicious anaemia disorder tm2 b makā vātam anaemia disorder with hypoproteineamia tm2 c sū’ al qinya anaemia disorder due to pica tm2 c maṇṇuṉ veḷuppu anaemia disorder tm2 a pāṇḍurogaḥ b veḷuppu nōy c faqr al dam b veluppu noi anaemia disorder caused by increased aiyam tm2 b nañcu veḷuppu nōy anaemia disorder caused by increased aẕal tm2 b aẕal veḷuppu nōy pernicious anaemia disorder tm2 b makā vātam anaemia disorder with hypoproteineamia tm2 c sū’ al qinya anaemia disorder due to pica tm2 c maṇṇuṉ veḷuppu anaemia disorder tm2 a pāṇḍurogaḥ b veḷuppu nōy c faqr al dam b veluppu noi anaemia disorder caused by increased aiyam tm2 b nañcu veḷuppu nōy anaemia disorder caused by increased aẕal tm2 b aẕal veḷuppu nōy pernicious anaemia disorder tm2 b makā vātam anaemia disorder with hypoproteineamia tm2 c sū’ al qinya anaemia disorder due to pica tm2 c maṇṇuṉ veḷuppu
SL81,bleeding disorder disorder tm2,,,,,bleeding disorder disorder tm2 a raktapittam b iratta pittam c qatma,,bleeding disorder disorder tm2 bleeding disorder disorder tm2 bleeding disorder disorder tm2 bleeding disorder disorder tm2 a raktapittam b iratta pittam c qatma bleeding disorder disorder tm2 a raktapittam b iratta pittam c qatma bleeding disorder disorder tm2 a raktapittam b iratta pittam c qatma
SM00,lymphadenopathy disorder tm2,,,,,lymphadenopathy disorder tm2 a apacī b akkuḷ nilappūcaṇi kaṭṭi,,lymphadenopathy disorder tm2 lymphadenopathy disorder tm2 lymphadenopathy disorder tm2 lymphadenopathy disorder tm2 a apacī b akkuḷ nilappūcaṇi kaṭṭi lymphadenopathy disorder tm2 a apacī b akkuḷ nilappūcaṇi kaṭṭi lymphadenopathy disorder tm2 a apacī b akkuḷ nilappūcaṇi kaṭṭi
SM01,elephantiasis disorder tm2,,,,,elephantiasis disorder tm2 a ślīpadaḥ b yāṉaikkāl c dā’ al fīl filariasis tm2 elephantiasis of the scrotum disorder tm2 b catai vitai nōy filarial scrotum disorder tm2 b acuva vātam burning sensation disorder due to trauma to vulnerable area tm2 a marmābhighātajadāhaḥ,,elephantiasis disorder tm2 elephantiasis disorder tm2 elephantiasis disorder tm2 elephantiasis disorder tm2 a ślīpadaḥ b yāṉaikkāl c dā’ al fīl filariasis tm2 elephantiasis of the scrotum disorder tm2 b catai vitai nōy filarial scrotum disorder tm2 b acuva vātam burning sensation disorder due to trauma to vulnerable area tm2 a marmābhighātajadāhaḥ elephantiasis disorder tm2 a ślīpadaḥ b yāṉaikkāl c dā’ al fīl filariasis tm2 elephantiasis of the scrotum disorder tm2 b catai vitai nōy filarial scrotum disorder tm2 b acuva vātam burning sensation disorder due to trauma to vulnerable area tm2 a marmābhighātajadāhaḥ elephantiasis disorder tm2 a ślīpadaḥ b yāṉaikkāl c dā’ al fīl filariasis tm2 elephantiasis of the scrotum disorder tm2 b catai vitai nōy filarial scrotum disorder tm2 b acuva vātam burning sensation disorder due to trauma to vulnerable area tm2 a marmābhighātajadāhaḥ
SM10,stomatitis disorder tm2,,,,,stomatitis disorder tm2 a mukhpākaḥ c qorheh ye dahan a āsyavipākaḥ b akkaram c qulā‘ stomatitis disorder due to derangement of ṣafrā tm2 c qulā‘ ṣafrāwī stomatitis disorder due to derangement of sawdā tm2 c qulā‘ sawdāwī stomatitis disorder due to derangement of balgham tm2 c qulā‘ balghamī stomatitis disorder due to derangement of dam tm2 c qulā‘ damawī,,stomatitis disorder tm2 stomatitis disorder tm2 stomatitis disorder tm2 stomatitis disorder tm2 a mukhpākaḥ c qorheh ye dahan a āsyavipākaḥ b akkaram c qulā‘ stomatitis disorder due to derangement of ṣafrā tm2 c qulā‘ ṣafrāwī stomatitis disorder due to derangement of sawdā tm2 c qulā‘ sawdāwī stomatitis disorder due to derangement of balgham tm2 c qulā‘ balghamī stomatitis disorder due to derangement of dam tm2 c qulā‘ damawī stomatitis disorder tm2 a mukhpākaḥ c qorheh ye dahan a āsyavipākaḥ b akkaram c qulā‘ stomatitis disorder due to derangement of ṣafrā tm2 c qulā‘ ṣafrāwī stomatitis disorder due to derangement of sawdā tm2 c qulā‘ sawdāwī stomatitis disorder due to derangement of balgham tm2 c qulā‘ balghamī stomatitis disorder due to derangement of dam tm2 c qulā‘ damawī stomatitis disorder tm2 a mukhpākaḥ c qorheh ye dahan a āsyavipākaḥ b akkaram c qulā‘ stomatitis disorder due to derangement of ṣafrā tm2 c qulā‘ ṣafrāwī stomatitis disorder due to derangement of sawdā tm2 c qulā‘ sawdāwī stomatitis disorder due to derangement of balgham tm2 c qulā‘ balghamī stomatitis disorder due to derangement of dam tm2 c qulā‘ damawī
SM11,dental abscess disorder tm2,,,,,dental abscess disorder tm2 a dantavidradhiḥ b pallaṭi kaṭṭi c fārūlas apical abscess root abscess disorder tm2 a śauṣiraḥ dental root disorder tm2 a mahāśauṣiraḥ,,dental abscess disorder tm2 dental abscess disorder tm2 dental abscess disorder tm2 dental abscess disorder tm2 a dantavidradhiḥ b pallaṭi kaṭṭi c fārūlas apical abscess root abscess disorder tm2 a śauṣiraḥ dental root disorder tm2 a mahāśauṣiraḥ dental abscess disorder tm2 a dantavidradhiḥ b pallaṭi kaṭṭi c fārūlas apical abscess root abscess disorder tm2 a śauṣiraḥ dental root disorder tm2 a mahāśauṣiraḥ dental abscess disorder tm2 a dantavidradhiḥ b pallaṭi kaṭṭi c fārūlas apical abscess root abscess disorder tm2 a śauṣiraḥ dental root disorder tm2 a mahāśauṣiraḥ
SM12,bruxism disorder tm2,,,,,bruxism disorder tm2 a dantaghātaḥ c ṣarīr al asnān,,bruxism disorder tm2 bruxism disorder tm2 bruxism disorder tm2 bruxism disorder tm2 a dantaghātaḥ c ṣarīr al asnān bruxism disorder tm2 a dantaghātaḥ c ṣarīr al asnān bruxism disorder tm2 a dantaghātaḥ c ṣarīr al asnān
SM13,pyorrhoea disorder tm2,,,,,pyorrhoea disorder tm2 a dantaveṣṭakaḥ c taqayyuḥ al litha b paṟcuṟṟu,,pyorrhoea disorder tm2 pyorrhoea disorder tm2 pyorrhoea disorder tm2 pyorrhoea disorder tm2 a dantaveṣṭakaḥ c taqayyuḥ al litha b paṟcuṟṟu pyorrhoea disorder tm2 a dantaveṣṭakaḥ c taqayyuḥ al litha b paṟcuṟṟu pyorrhoea disorder tm2 a dantaveṣṭakaḥ c taqayyuḥ al litha b paṟcuṟṟu
SM14,gingivitis disorder tm2,,,,,gingivitis disorder tm2 a upakuśaḥ b pallaṭi vīkkam c waram al litha,,gingivitis disorder tm2 gingivitis disorder tm2 gingivitis disorder tm2 gingivitis disorder tm2 a upakuśaḥ b pallaṭi vīkkam c waram al litha gingivitis disorder tm2 a upakuśaḥ b pallaṭi vīkkam c waram al litha gingivitis disorder tm2 a upakuśaḥ b pallaṭi vīkkam c waram al litha
