Code,title,Fully Specified Name,Description,Inclusions,Exclusions,Index Terms
01,Certain infectious or parasitic diseases,,"This chapter includes certain conditions caused by pathogenic organisms or microorganisms, such as bacteria, viruses, parasites or fungi.",,"Infection arising from device, implant or graft, not elsewhere classified",
1A00,Cholera,Intestinal infection due to Vibrio cholerae,"Cholera is a potentially epidemic and life-threatening infection of the intestine, characterised by extreme watery (secretory) diarrhoea often accompanied by vomiting, with rapid depletion of body fluids and salt that may result in hypovolemic shock and acidosis. Cholera outbreaks are caused by toxigenic strains of Vibrio cholerae serogroups O1 and O139. Serogroup O1 has two biovars; classical and eltor. Vibrio cholerae O1, biovar cholerae is classical type. Vibrio cholerae O1, biovar eltor is eltor type.",cholera syndrome,,"Cholera; asiatic cholera; cholera syndrome; epidemic cholera; Intestinal infection due to Vibrio cholerae; Enteritis due to cholera due to Vibrio cholerae, non-O1 strains; Cholera due to Vibrio cholerae O1, biovar cholerae; classical cholera; Enteritis due to Cholera due to Vibrio cholerae O1, biovar cholerae; Enteritis due to classical cholera; Cholera due to Vibrio cholerae O1, biovar eltor; cholera - vibrio cholerae 01 eltor biotype; cholera due to Cholera eltor; cholera due to Vibrio cholerae 01, Cholera eltor; Enteritis due to cholera due to Vibrio cholerae O1, biovar eltor; Enteritis due to cholera due to Cholera eltor; eltor enteritis; infectious enteritis due to vibrio cholerae 01, biovar eltor; Cholera due to Vibrio cholerae O139"
1A01,Intestinal infection due to other Vibrio,,,,,Intestinal infection due to other Vibrio; Infections due to Vibrio parahaemolyticus; Infections due to Vibrio vulnificus
1A02,Intestinal infections due to Shigella,,"A disease caused by an infection with the gram-negative bacteria genus Shigella. This disease is characterised by an acute onset of small volume diarrhoea, accompanied by fever and nausea. This disease may also present with toxaemia, vomiting, cramps, and tenesmus. Transmission is by ingestion of contaminated food, or direct contact. Confirmation is by identification of Shigella in a faecal sample.",,,Intestinal infections due to Shigella; bacillary colitis; bacillary dysentery NOS; shigella enteritis; shigellosis; Shigellosis due to Shigella dysenteriae; Group A shigellosis; Schmitz dysentery; Shiga-Kruse dysentery; bacillary dysentery due to shigella dysenteriae; bacillary dysentery due to shigella group A; dysentery due to bacillus schmitz; dysentery due to bacillus schmitz-stutzer; dysentery due to bacillus shiga; dysentery due to bacillus shiga-kruse; infection due to bacillus shiga; infection due to bacillus shiga-kruse; infection due to shigella dysenteriae; infection due to shigella group A; infection due to shigella schmitzii; shiga dysentery; Enteritis in shigellosis due to Shigella dysenteriae; Enteritis in Shigellosis due to Group A shigellosis; Enteritis in Shigellosis due to Shiga-Kruse dysentery; Colitis in shigellosis due to Shigella dysenteriae; Shigellosis due to Shigella flexneri; Flexner dysentery; Group B shigellosis; Hiss-Russell dysentery; bacillary dysentery due to shigella flexneri; bacillary dysentery due to shigella group B; bacillus flexner infection (deprecated); dysentery due to bacillus flexneri; infection due to group B shigella; shigella flexneri infection; Enteritis in shigellosis due to Shigella flexneri; Group B shigellosis resulting in enteritis; Colitis in shigellosis due to Shigella flexneri; Shigellosis due to Shigella boydii; Boyd dysentery; Group C shigellosis; bacillary dysentery due to shigella boydii; bacillary dysentery due to shigella group C; infection due to group C shigella; infection due to shigella boydii; Enteritis in shigellosis due to Shigella boydii; Group C shigellosis resulting in enteritis; Colitis in shigellosis due to Shigella boydii; Shigellosis due to Shigella sonnei; Group D shigellosis; Sonne dysentery; bacillary dysentery due to shigella group D; bacillary dysentery due to shigella sonnei; infection due to group D shigella; infection due to shigella sonnei; Enteritis in shigellosis due to Shigella sonnei; Group D shigellosis resulting in enteritis; Colitis in shigellosis due to Shigella sonnei; Bacterial colitis due to Shigella; Bacterial enteritis due to Shigella; Sepsis due to shigella without mention of septic shock; Sepsis due to shigella NOS; Sepsis due to shigella with septic shock
1A03,Intestinal infections due to Escherichia coli,,"Any condition of the gastrointestinal system, caused by an infection with the gram-negative bacteria Escherichia coli.",,,
1A03.0,Enteropathogenic Escherichia coli infection,,"An infection of the gastrointestinal system, caused by the gram-negative bacteria Escherichia coli. It is characterised by acute, profuse, watery diarrhoea. Transmission is by the faecal-oral route from contaminated food, water, or fomites. Confirmation is by identification of enteropathogenic Escherichia coli (EPEC) in a faecal sample.",,,Enteropathogenic Escherichia coli infection; EPEC - [Enteropathogenic Escherichia coli] infection; Enteritis in enteropathogenic Escherichia coli infection; Colitis in enteropathogenic Escherichia coli infection
1A03.1,Enterotoxigenic Escherichia coli infection,,"A condition of the gastrointestinal system, caused by an infection with the gram-negative bacteria Escherichia coli. This condition is characterised by acute, watery diarrhoea due to toxins released from the bacteria. Transmission is by the faecal-oral route from ingestion of contaminated food, water, or fomites. Confirmation is by identification of enterotoxigenic Escherichia coli (ETEC) in faecal sample.",,,Enterotoxigenic Escherichia coli infection; ETEC - [Enterotoxigenic Escherichia coli] infection; enterotoxic Escherichia coli infection; Enteritis in enterotoxigenic Escherichia coli infection; Colitis in enterotoxigenic Escherichia coli infection
1A03.2,Enteroinvasive Escherichia coli infection,,"A condition of the gastrointestinal system, caused by an infection with the gram-negative bacteria Escherichia coli. This condition is characterised by acute and profuse diarrhoea (that may be haemorrhagic), fever, and abdominal cramps. Transmission is by the faecal-oral route from ingestion of contaminated food or water. Confirmation is by identification of enteroinvasive Escherichia coli (EIEC) in a faecal sample.",,,Enteroinvasive Escherichia coli infection; EIEC - [Enteroinvasive Escherichia coli] infection; Enteritis in enteroinvasive Escherichia coli infection; Colitis in enteroinvasive Escherichia coli infection
1A03.3,Enterohaemorrhagic Escherichia coli infection,,,,,Enterohaemorrhagic Escherichia coli infection; EHEC - [Enterohaemorrhagic Escherichia coli] infection; Enteritis in enterohaemorrhagic Escherichia coli infection; Colitis in enterohaemorrhagic Escherichia coli infection
1A04,Intestinal infections due to Clostridioides difficile,,"A disease of the colon, caused by an infection with toxigenic strains of the gram-positive bacteria Clostridioides difficile (formerly known as Clostridium difficile). This disease is characterised by colitis, diarrhoea, abdominal pain, and fever. Transmission is commonly by direct or indirect contact. A disturbance of the normal bacterial flora of the colon, e.g. due to antibiotic treatment, facilitates the development of an intestinal infection with Clostridioides difficile. Confirmation is by identification of Clostridioides difficile in a faecal sample.",Pseudomembranous colitis,Necrotising enterocolitis of newborn,Intestinal infections due to Clostridioides difficile; C diff colitis; C difficile; C difficile infection; C. difficile colitis; CDAD – [clostridioides difficile associated diarrhoea]; CDAD – [clostridium difficile associated diarrhoea]; Clostridium difficile colitis; Clostridium difficile diarrhoea; Clostridium difficile gastroenteritis; colitis due to Clostridium difficile; enterocolitis due to Clostridium difficile; foodborne clostridium difficile infection; necrotizing enterocolitis due to clostridium difficile infection; Pseudomembranous colitis; PMC - [pseudomembranous colitis]; Megacolon due to Clostridioides difficile; megacolon due to Clostridium difficile
