Code,title,Fully Specified Name,Description,Inclusions,Exclusions,Index Terms
24,Factors influencing health status or contact with health services,,"!markdown
Categories in this chapter are provided for occasions when circumstances other than a disease, injury or external cause classifiable elsewhere are recorded as ""diagnoses"" or ""problems"". This can arise in two main ways: 

1.	When a person who may or may not be sick encounters the health services for some specific purpose, such as to receive limited care or service for a current condition, to donate an organ or tissue, to receive prophylactic vaccination or to discuss a problem which is in itself not a disease or injury. 

2.	When some circumstance or problem is present which influences the person's health status but is not in itself a current illness or injury. Such circumstance or problem may be elicited during population surveys, when the person may or may not be currently sick, or be recorded as additional information to be borne in mind when the person is receiving care for some illness or injury.",,,
QA00,General examination or investigation of persons without complaint or reported diagnosis,,,,Special screening examination for neoplasms; Special screening examination for other diseases or disorders; Examination or encounter for administrative purposes; Special screening examination for infectious diseases,
QA00.0,General adult medical examination,,Encounter for periodic examination (annual) (physical) and any associated laboratory and radiologic examinations on adult.,,"Routine newborn health examination; Symptoms, signs or clinical findings, not elsewhere classified; Routine general health check-up of defined subpopulation; Routine child health examination","General adult medical examination; adult general health checkup; adult health checkup; adult medical examination; annual health examination; check-up adult; general adult health examination; health check-up, adult NOS; periodic adult medical examination; periodic adult physical examination"
QA00.1,Routine child health examination,,Routine health check for child over 28 days of age through 19 years of age.,,Health supervision or care of other healthy infant or child; Health supervision or care of abandoned infant,Routine child health examination; development testing of infant or child; examination of infant or child; health check-up of infant or child over 28 days of age; medical examination of infant or child over 28 days of age; observation of development state of infant or child; routine health examination for child over 28 days of age
QA00.2,Routine newborn health examination,,Health examination for infant under 29 days of age,,Routine child health examination,"Routine newborn health examination; Routine newborn health examination for newborn under 8 days of age; health check for newborn under 8 days old; Routine newborn health examination for newborn 8 days through 28 days of age; health check for newborn 8 through 28 days old, newborn weight check"
QA00.3,General mental examination,,,,examination requested for medicolegal reasons,General mental examination; general psychiatric examination; mental health evaluation
QA00.4,Examination of potential donor of organ or tissue,,,,,Examination of potential donor of organ or tissue; donor examination; medical examination of donor; potential donor examination
QA00.5,Examination for normal comparison or control in clinical research programme,,,,,Examination for normal comparison or control in clinical research programme; medical examination of control subject in clinical research
QA00.6,Examination of eyes or vision,,,,Examination for driving license,
QA00.61,Normal Visual Field,,,,,Normal Visual Field; No Impairment of Visual Field
QA00.62,No vision impairment,,,,,No vision impairment
QA00.7,Examination of ears or hearing,,,,,Examination of ears or hearing; examination of ear; hearing examination; hearing test
QA00.8,Dental examination,,,,,Dental examination; examination of teeth
QA00.9,Gynaecological examination,,,,Pregnancy examination or test; routine examination for contraceptive maintenance,Gynaecological examination; annual gynaecological examination; annual pelvic examination; cervical papanicolaou smear as part of routine gynaecological examination; general gynaecological examination; papanicolaou smear of cervix; periodic pelvic examination; routine cervical papanicolaou smear; routine gynaecological examination
QA00.A,Skin or other sensitisation tests,,,,,Skin or other sensitisation tests; diagnostic skin or sensitisation tests; general skin examination; Skin tests for bacterial disease; Skin tests for hypersensitivity; allergy examination; allergy tests; investigation of allergens; test for allergens
QA00.B,Radiological examination,,,,Special screening examination for neoplasm of breast,Radiological examination; Routine chest X-ray
QA00.C,Laboratory examination,,,,,Laboratory examination; laboratory test
