Code,title,Fully Specified Name,Description,Inclusions,Exclusions,Index Terms
18,"Pregnancy, childbirth or the puerperium",,"A group of conditions characterised as occurring during the period of time from conception to delivery (pregnancy), during labour and delivery (childbirth) or during the approximately six weeks after delivery during which the uterus returns to the original size (puerperium).",,"Injury, poisoning or certain other consequences of external causes; Obstetrical tetanus; Postpartum necrosis of pituitary gland; External causes (for mortality); Mental or behavioural disorders associated with pregnancy, childbirth or the puerperium",
JA00,Abortion,,,,,Abortion
JA00.0,Spontaneous abortion,,"Spontaneous abortion (also referred to as miscarriage) is a spontaneous loss of pregnancy (i.e. embryo or fetus) before 22 completed weeks of gestation. When information on gestational age is unavailable, use birthweight less than 500 grams as the criteria.
Spontaneous abortions (miscarriages) are distinct from cases of induced abortion.",,,Spontaneous abortion; vaginal expulsion of fetus; vaginal expulsion of product of conception
JA00.00,"Spontaneous abortion, incomplete, complicated by genital tract or pelvic infection",,"A condition caused by immunological factors, abnormal ovum or uterine body, maternal disease or infection, or cervical incompetence and complicated by genital tract or pelvic infection. This condition is characterised by the incomplete passage of products of conception prior to 22 weeks gestation or weighing less than 500 grams.",,,"Spontaneous abortion, incomplete, complicated by genital tract or pelvic infection"
JA00.01,"Spontaneous abortion, incomplete, complicated by delayed or excessive haemorrhage",,"A condition caused by immunological factors, abnormal ovum or uterine body, maternal disease or infection, or cervical incompetence and complicated by delayed or excessive bleeding. This condition is characterised by incomplete passage of products of conception prior to 22 weeks gestation or weighing less than 500 grams.",,,"Spontaneous abortion, incomplete, complicated by delayed or excessive haemorrhage"
JA00.02,"Spontaneous abortion, incomplete, complicated by embolism",,"A condition caused by immunological factors, abnormal ovum or uterine body, maternal disease or infection, or cervical incompetence and complicated by embolism. This condition is characterised by incomplete passage of products of conception prior to 22 weeks gestation or weighing less than 500 grams.",,,"Spontaneous abortion, incomplete, complicated by embolism"
JA00.03,"Spontaneous abortion, incomplete, with other or unspecified complications",,,,,"Spontaneous abortion, incomplete, with other or unspecified complications"
JA00.04,"Spontaneous abortion, incomplete, without complication",,"A condition caused by immunological factors, abnormal ovum or uterine body, maternal disease or infection, or cervical incompetence without any associated complications. This condition is characterised by incomplete passage of products of conception prior to 22 weeks gestation or weighing less than 500 grams.",,,"Spontaneous abortion, incomplete, without complication"
JA00.05,"Spontaneous abortion, complete or unspecified, complicated by genital tract or pelvic infection",,,,,"Spontaneous abortion, complete or unspecified, complicated by genital tract or pelvic infection"
JA00.06,"Spontaneous abortion, complete or unspecified, complicated by delayed or excessive haemorrhage",,"A condition caused by immunological factors, abnormal ovum or uterine body, maternal disease or infection, or cervical incompetence, and complicated by delayed or excessive bleeding. This condition is characterised by complete or unspecified non-induced embryonic or fetal death or passage of products of conception prior to 22 weeks' gestation or weighing less than 500 grams.",,,"Spontaneous abortion, complete or unspecified, complicated by delayed or excessive haemorrhage"
JA00.07,"Spontaneous abortion, complete or unspecified, complicated by embolism",,"A condition caused by immunological factors, abnormal ovum or uterine body, maternal disease or infection, or cervical incompetence, and complicated by embolism. This condition is characterised by complete or unspecified non-induced embryonic or fetal death or passage of products of conception prior to 22 weeks gestation or weighing less than 500 grams.",,,"Spontaneous abortion, complete or unspecified, complicated by embolism"
JA00.08,"Spontaneous abortion, complete or unspecified, with other or unspecified complications",,,,,"Spontaneous abortion, complete or unspecified, with other or unspecified complications"
JA00.09,"Spontaneous abortion, complete or unspecified, without complication",,,,,"Spontaneous abortion, complete or unspecified, without complication; accidental abortion; miscarriage NOS; spontaneous abortion NOS; spontaneous miscarriage"
JA00.1,Induced abortion,,"Induced abortion (also referred to as Artificial termination of pregnancy) is a complete expulsion or extraction from a woman of an embryo or a fetus (irrespective of the duration of the pregnancy), following a deliberate interruption of an ongoing pregnancy by medical or surgical means, which is not intended to result in a live birth. Induced abortions are distinct from cases of spontaneous abortion and stillbirth.",therapeutic abortion,,Induced abortion; APLA - [abortus provocatus lege artis]; Illegal abortion; Nonmedical induced abortion; abortion induced for legal indications; abortion induced for medical indications; abortion induced for psychiatric indications; artificial termination of pregnancy; legal Interruption of pregnancy; legal abortion; legal termination of pregnancy; legally induced abortion; medical abortion; therapeutic abortion; therapeutic termination of pregnancy
JA00.10,"Induced abortion, incomplete, complicated by genital tract or pelvic infection",,,,,"Induced abortion, incomplete, complicated by genital tract or pelvic infection"
JA00.11,"Induced abortion, incomplete, complicated by delayed or excessive haemorrhage",,,,,"Induced abortion, incomplete, complicated by delayed or excessive haemorrhage"
JA00.12,"Induced abortion, incomplete, complicated by embolism",,,,,"Induced abortion, incomplete, complicated by embolism"
JA00.13,"Induced abortion, incomplete, with other or unspecified complications",,,,,"Induced abortion, incomplete, with other or unspecified complications"
JA00.14,"Induced abortion, incomplete, without complication",,,,,"Induced abortion, incomplete, without complication"
JA00.15,"Induced abortion, complete or unspecified, complicated by genital tract or pelvic infection",,,,,"Induced abortion, complete or unspecified, complicated by genital tract or pelvic infection"
JA00.16,"Induced abortion, complete or unspecified, complicated by delayed or excessive haemorrhage",,"A condition caused by surgical, pharmacological, mechanical, artificial, or other unspecified interventions and complicated by delayed or excessive bleeding. This condition is characterised by termination of pregnancy and intentional embryonic or fetal death with complete or unspecified expulsion of products of conception from the uterus before the fetus is viable.",,,"Induced abortion, complete or unspecified, complicated by delayed or excessive haemorrhage"
JA00.17,"Induced abortion, complete or unspecified, complicated by embolism",,"A condition caused by surgical, pharmacological, mechanical, artificial, or other unspecified interventions and complicated by embolism. This condition is characterised by termination of pregnancy and intentional embryonic or fetal death with complete or unspecified expulsion of products of conception from the uterus before the fetus is viable.",,,"Induced abortion, complete or unspecified, complicated by embolism"
JA00.18,"Induced abortion, complete or unspecified, with other or unspecified complication",,,,,"Induced abortion, complete or unspecified, with other or unspecified complication; Medical abortion, complete or unspecified, with other complication"
JA00.19,"Induced abortion, complete or unspecified, without complication",,,,,"Induced abortion, complete or unspecified, without complication; Medical abortion, complete or unspecified, without complication"
JA00.2,Unspecified abortion,,,,,Unspecified abortion
JA00.20,"Unspecified abortion, incomplete, complicated by genital tract or pelvic infection",,,,,"Unspecified abortion, incomplete, complicated by genital tract or pelvic infection"
JA00.21,"Unspecified abortion, incomplete, complicated by delayed or excessive haemorrhage",,,,,"Unspecified abortion, incomplete, complicated by delayed or excessive haemorrhage"
JA00.22,"Unspecified abortion, incomplete, complicated by embolism",,,,,"Unspecified abortion, incomplete, complicated by embolism"
JA00.23,"Unspecified abortion, incomplete, with other or unspecified complications",,,,,"Unspecified abortion, incomplete, with other or unspecified complications"
JA00.24,"Unspecified abortion, incomplete, without complication",,,,,"Unspecified abortion, incomplete, without complication; incomplete abortion NOS"
JA00.25,"Unspecified abortion, complete or unspecified, complicated by genital tract or pelvic infection",,,,,"Unspecified abortion, complete or unspecified, complicated by genital tract or pelvic infection"
JA00.26,"Unspecified abortion, complete or unspecified, complicated by delayed or excessive haemorrhage",,,,,"Unspecified abortion, complete or unspecified, complicated by delayed or excessive haemorrhage"
