Code,title,Fully Specified Name,Description,Inclusions,Exclusions,Index Terms
25,Codes for special purposes,,,,,
RA00,Conditions of uncertain aetiology and emergency use,,,,,Conditions of uncertain aetiology and emergency use
RA00.0,Vaping related disorder,,"Disorder resulting from inhaling a vaporized solution (aerosol) which frequently contains flavourants, usually dissolved into Propylene Glycol or Glycerin, or both, and may or may not contain doses of nicotine, and other substances and additives with the use of electronic nicotine delivery systems (ENDS) or electronic non-nicotine delivery systems (ENNDS).
In the affected individual, infections as cause of the damage are unlikely or should have been excluded.
Relevant findings include proof of presence of pulmonary infiltrate, such as opacities, on plain film chest radiograph or ground-glass opacities on chest CT.",,,"Vaping related disorder; EVALI - [e-cigarette, or vaping, product use associated lung injury]; dabbing related disorder; dabbing related lung damage; dabbing related lung injury; e-cigarette - [electronic] cigarette related disorder; electronic cigarette related lung damage; electronic cigarette related lung injury"
RA01,COVID-19,,"As definition may evolve, the URL for the Global surveillance document will be added as the short description",,,COVID-19; novel coronavirus disease
RA01.0,"COVID-19, virus identified",Coronavirus disease 2019,,COVID-19 NOS; Coronavirus disease 2019,"Coronavirus infection, unspecified site; Middle East respiratory syndrome; Severe acute respiratory syndrome","COVID-19, virus identified; 2019-nCoV acute respiratory disease [temporary name] (deprecated); 2019-new Coronavirus acute respiratory disease (deprecated); COVID-19 NOS; COVID-19 confirmed with laboratory testing with symptoms; Coronavirus disease 2019; SARS-CoV-2 disease; confirmed COVID-19; confirmed COVID-19 with symptoms; covid; lab confirmed covid; laboratory confirmed COVID-19; novel coronavirus disease, virus identified; Coronavirus disease 2019; COVID-19 with pneumonia, SARS-CoV-2 identified; novel coronavirus disease with pneumonia, SARS-CoV-2 identified"
RA01.1,"COVID-19, virus not identified",,,,"COVID-19, virus identified; Coronavirus infection, unspecified site; Special screening examination for other viral diseases; suspected but ruled out by negative laboratory results; confirmed by laboratory testing","COVID-19, virus not identified; clinical COVID-19; clinically diagnosed COVID-19; epidemilogically diagnosed COVID-19; novel coronavirus disease, virus not identified; probable COVID-19; suspected COVID-19; COVID-19 with pneumonia, SARS-CoV-2 not identified; novel coronavirus disease with pneumonia, SARS-CoV-2 not identified"
RA02,Post COVID-19 condition,,"Post COVID-19 condition occurs in individuals with a history of probable or confirmed SARS CoV-2 infection, usually 3 months from the onset of COVID-19 with symptoms, and that last for at least 2 months and cannot be explained by an alternative diagnosis. Common symptoms include fatigue, shortness of breath, cognitive dysfunction but also others, and generally have an impact on everyday functioning. Symptoms may be new onset following initial recovery from an acute COVID-19 episode or persist from the initial illness. Symptoms may also fluctuate or relapse over time.",,,Post COVID-19 condition; long COVID; post-COVID-19 condition; postCOVID condition
RA03,Multisystem inflammatory syndrome associated with COVID-19,,,Cytokine storm temporally associated with COVID-19; Kawasaki-like syndrome temporally associated with COVID-19; Multisystem inflammatory syndrome in children temporally associated with COVID-19,Kawasaki syndrome; Mucocutaneous lymph node syndrome,Multisystem inflammatory syndrome associated with COVID-19; Cytokine storm temporally associated with COVID-19; hypercytokinemia temporally associated with COVID-19; Kawasaki-like syndrome temporally associated with COVID-19; Multisystem inflammatory syndrome in children temporally associated with COVID-19; MIS-C - [Multisystem inflammatory syndrome in children] temporally associated with COVID-19; PIMS - [Paediatric inflammatory multisystem syndrome]; Paediatric inflammatory multisystem syndrome temporally associated with COVID-19
RA04,International emergency code 05,,,,,International emergency code 05
RA05,International emergency code 06,,,,,International emergency code 06
RA06,International emergency code 07,,,,,International emergency code 07
RA07,International emergency code 08,,,,,International emergency code 08
RA08,International emergency code 09,,,,,International emergency code 09
RA09,International emergency code 10,,,,,International emergency code 10
RA20,National emergency code 01,,,,,National emergency code 01
RA21,National emergency code 02,,,,,National emergency code 02
RA22,National emergency code 03,,,,,National emergency code 03
RA23,National emergency code 04,,,,,National emergency code 04
RA24,National emergency code 05,,,,,National emergency code 05
RA25,National emergency code 06,,,,,National emergency code 06
RA26,National emergency code 07,,,,,National emergency code 07
