Code,title,Fully Specified Name,Description,Inclusions,Exclusions,Index Terms
20,Developmental anomalies,,This chapter includes conditions caused by failure of a particular body site or body system to develop correctly during the antenatal period.,,Inborn errors of metabolism,
LA00,Anencephaly or similar anomalies,,"A malformation of the nervous system caused by the failure of neuropore closure. Infants are born with intact spinal cord, cerebellum, and brainstem, but lack formation of neural structures above this level. The skull is only partially formed but the eyes are usually normal.",,,
LA00.0,Anencephaly,,"Anencephaly is a neural tube defect, characterised by the total or partial absence of the cranial vault and the covering skin, the brain being missing or reduced to a small mass. Most cases are stillborn, although some infants have been reported to survive for a few hours. In most cases autopsy findings reveal absence of adrenal glands. Anencephaly is likely to be multifactorial, the result of gene-environment interactions. Familial cases with a seemingly autosomal recessive mode of inheritance have been described but most cases are sporadic. Folic acid and zinc deficiencies, as well as maternal obesity, have been shown to be risk factors.",,,
LA00.00,Craniorachischisis,,"A condition caused by failure of the neural tube to close completely during the antenatal period. This condition is characterised by complete absence of the skull, extensive defects in the vertebrae and skin, and absence of the brain.",,,Craniorachischisis; Anencephaly with rachischisis
LA00.1,Iniencephaly,,"Iniencephaly is a rare form of neural tube defect in which a malformation of the cervico-occipital junction is associated with a malformation of the central nervous system. The cardinal features are occipital bone defect, partial or total absence of cervicothoracic vertebrae, fetal retroflexion of the head and characteristic absence of the neck. It is associated with malformations of the central nervous (spina bifida and/or anencephaly), gastrointestinal (omphalocele) and cardiovascular systems.",,,Iniencephaly; Iniencephalus; Open iniencephaly; Open iniencephalus; Closed iniencephaly; Close iniencephalus
LA00.2,Acephaly,,,,,Acephaly; Acephalia; Acephalism; Congenital absence of head
LA00.3,Amyelencephaly,,Amyelencephaly is the absence of both the brain and spinal cord.,,,Amyelencephaly; Amyelencephalus
LA01,Cephalocele,,"A condition caused by failure of the skull to correctly close during the antenatal period. This condition is characterised by herniation of the meninges. This condition may present with herniation of brain, or developmental delay. Confirmation is through observation of herniated meninges by imaging.",,,Cephalocele; Craniocele; Cranial meningocele; Encephalocele; Cranium bifidum; cerebral meningocele; encephalomyelocele; meningoencephalocele; Frontal encephalocele; Fronto-ethmoidal encephalocele; Nasal encephalocele; nasofrontal encephalocele; Occipital encephalocele; occipital meningocele; Parietal encephalocele; Basal encephalocele; Orbital encephalocele; Nasopharyngeal encephalocele; Hydroencephalocele; cranial hydromeningocele; hydroencephalomeningocele
LA02,Spina bifida,,"Spina bifida is the most common of a group of birth defects called neural tube defects. Spina bifida affects the backbone and, sometimes, the spinal cord. Aperta spina bifida defines the dorsal malclosure of vertebrae, associated with various degrees of spine defects. A pocket of skin may form, containing meninges (meningocele) or spinal cord and meninges (myelomeningocele). Different subtypes are distinguished according to the location of the defect. Consequences are paraplegia (paralysed lower limbs), hydrocephaly, Chiari malformation (result of the attached spine during life in utero), urinary and anorectal incontinence. The intensity of signs varies greatly with the level and extent of the lesion.",Rachischisis; Spinal dysraphism,Occult spinal dysraphism; Arnold-Chiari malformation type I; Arnold-Chiari malformation type II,
LA02.0,Spina bifida cystica,,A condition caused by failure of the neural tube to correctly develop during the antenatal period. This condition is characterised by nerve damage and the presence of meningoceles on the back. This condition may present with physical or mental impairment.,,,
LA02.00,Myelomeningocele with hydrocephalus,,"A condition caused by failure of the neural tube to correctly develop during the antenatal period. This condition is characterised by nerve damage and hydrocephalus. This condition may also present with syringomyelia, hip dislocation, headache, nausea, vomiting, blurry vision, balance problems, bladder control problems, meningitis, or mental impairment.",,,Myelomeningocele with hydrocephalus; Meningomyelocele; Total spina bifida cystica with hydrocephalus; Total closed spina bifida; Total spina bifida with hydrocephalus; Thoracolumbosacral spina bifida cystica with hydrocephalus; Thoracic spina bifida with hydrocephalus; Thoracolumbosacral closed spina bifida; Thoracolumbosacral spina bifida with hydrocephalus; congenital dorsal spina bifida with hydrocephalus; dorsal spina bifida with hydrocephalus; thoracolumbar spina bifida with hydrocephalus; Lumbosacral spina bifida cystica with hydrocephalus; Lumbar spina bifida with hydrocephalus; Lumbosacral closed spina bifida; Lumbosacral spina bifida with hydrocephalus; congenital lumbar spina bifida with hydrocephalus; congenital lumbosacral spina bifida with hydrocephalus; Cervical spina bifida cystica with hydrocephalus; Cervical closed spina bifida; cervical spina bifida with hydrocephalus; congenital cervical spina bifida with hydrocephalus; Cervicothoracic spina bifida cystica with hydrocephalus; Cervicothoracic closed spina bifida; Cervicothoracic spina bifida with hydrocephalus; Upper thoracic spina bifida cystica with hydrocephalus; Upper thoracic closed spina bifida; Upper thoracic spina bifida with hydrocephalus
