Code,title,Fully Specified Name,Description,Inclusions,Exclusions,Index Terms
19,Certain conditions originating in the perinatal period,,This chapter includes conditions that have their origin in the perinatal period even though death or morbidity occurs later.,,"Congenital gonococcal infection; Certain infectious or parasitic diseases - acquired after birth; Gastroenteritis or colitis of infectious origin; Hereditary haemolytic anaemia; Transient hypogammaglobulinaemia of infancy; Certain congenital diseases of the nervous system; congenital cardiomyopathy; Paralytic ileus; Pemphigus neonatorum; Cradle cap; Congenital malformations, deformations and chromosomal abnormalities; Endocrine, nutritional or metabolic diseases; Injury, poisoning or certain other consequences of external causes; Neoplasms; Retinopathy of prematurity",
KA00,Fetus or newborn affected by maternal conditions that may be unrelated to present pregnancy,,A group of conditions characterised by findings in the fetus or newborn due to conditions associated with the mother which are unrelated to the present pregnancy.,,Fetus or newborn affected by maternal complications of pregnancy; fetus and newborn affected by maternal endocrine and metabolic disorders; Fetus or newborn affected by noxious influences transmitted via placenta or breast milk,
KA00.0,Fetus or newborn affected by maternal hypertensive disorders,,"Maternal hypertensive disorders (chronic hypertension, preeclampsia, eclampsia, preeclampsia superimposed on chronic hypertension, or gestational hypertension).",,,"Fetus or newborn affected by maternal hypertensive disorders; fetus or newborn affected by unspecified maternal hypertension; Fetus or newborn affected by maternal gestational hypertension with significant proteinuria; Fetus or newborn affected by maternal eclampsia; pre-eclampsia affecting fetus or newborn; Fetus or newborn affected by maternal gestational hypertension without significant proteinuria; Fetus or newborn affected by pre-existing maternal hypertension complicating pregnancy, childbirth or the puerperium; Fetus or newborn affected by pre-existing maternal hypertensive disorder with superimposed proteinuria; Pre-eclamptic albuminuria affecting fetus or newborn; severe pre-eclamptic albuminuria affecting fetus or newborn; Pre-eclamptic proteinuria affecting fetus or newborn; Toxaemia of pregnancy affecting fetus or newborn"
KA00.1,Fetus or newborn affected by gestational oedema or proteinuria without hypertension,,,,,Fetus or newborn affected by gestational oedema or proteinuria without hypertension; Fetus and newborn affected or suspected to be affected by pregnancy-induced oedema and proteinuria without hypertension
KA00.2,Fetus or newborn affected by maternal renal or urinary tract diseases,,A group of conditions characterised by findings in the fetus or newborn due to conditions in the mother associated with the kidneys or urinary tract.,,,"Fetus or newborn affected by maternal renal or urinary tract diseases; fetus or newborn affected by other maternal diseases of urinary system; Cystitis complicating pregnancy, affecting fetus or newborn; Kidney abscess complicating pregnancy, affecting fetus or newborn; Tubular kidney necrosis complicating pregnancy, affecting fetus or newborn; Kidney infection complicating pregnancy, affecting fetus or newborn; Nephritis complicating pregnancy, childbirth or puerperium, affecting fetus or newborn; Pyelitis complicating pregnancy, affecting fetus or newborn; Pyelonephritis complicating pregnancy, affecting fetus or newborn"
KA00.3,Fetus or newborn affected by maternal infectious diseases,,"A condition affecting fetuses or newborns, that is (or suspected to be) caused by a maternal infection with a bacterial, viral, fungal, or parasitic source.",,Infections of the genital tract in pregnancy,"Fetus or newborn affected by maternal infectious diseases; Gonorrhoea complicating pregnancy, childbirth or puerperium, affecting fetus or newborn; Maternal rubella affecting fetus or newborn; Syphilis complicating pregnancy, childbirth or puerperium, affecting fetus or newborn; Tuberculosis complicating pregnancy, childbirth or puerperium, affecting fetus or newborn"
KA00.4,Fetus or newborn affected by periodontal disease in mother,,,,,Fetus or newborn affected by periodontal disease in mother
KA00.5,Fetus or newborn affected by maternal respiratory diseases,,,,,Fetus or newborn affected by maternal respiratory diseases
KA00.6,Fetus or newborn affected by maternal nutritional disorders,,A group of conditions characterised by findings in the fetus or newborn due to conditions in the mother that are directly or indirectly associated with a lack of essential nutrients in the diet.,,,
KA00.60,Fetus or newborn affected by maternal malnutrition,,,,,Fetus or newborn affected by maternal malnutrition
KA00.61,Fetus or newborn affected by maternal overweight or obesity,,,,,"Fetus or newborn affected by maternal overweight or obesity; Fetus or newborn affected by maternal obesity with body mass index, adult 30 to less than 40; Fetus or newborn affected by maternal obesity with body mass index, adult equal to or greater than 40"
KA00.7,Fetus or newborn affected by abnormal maternal chemistry,,,,,Fetus or newborn affected by abnormal maternal chemistry
KA00.8,Fetus or newborn affected by maternal injury,,A group of conditions characterised by findings in the fetus or newborn due to conditions in the mother resulting from physical damage or harm.,"Fetus or newborn affected by maternal injury, poisoning or certain other consequences of external causes",,"Fetus or newborn affected by maternal injury; Fetus or newborn affected by maternal injury, poisoning or certain other consequences of external causes"
KA00.9,Fetus or newborn affected by maternal chemotherapy,,,,,Fetus or newborn affected by maternal chemotherapy
KA00.A,Fetus or newborn affected by surgical procedure on mother,,A group of conditions characterised by findings in the fetus or newborn due to conditions in the mother resulting from surgical health intervention.,,"Fetus or newborn affected by caesarean delivery; damage to placenta from amniocentesis, caesarean section or surgical induction; previous surgery to uterus or pelvic organs; Termination of pregnancy, affecting surviving fetus or newborn",Fetus or newborn affected by surgical procedure on mother
KA00.B,Fetus or newborn affected by maternal anaemia,,,,,Fetus or newborn affected by maternal anaemia; Anaemia complicating pregnancy affecting fetus or newborn; Anaemia of pregnancy affecting fetus or newborn
KA01,Fetus or newborn affected by maternal complications of pregnancy,,Any other condition characterised by findings in the fetus or newborn due to any condition of the mother due to an adverse evolution (complication) which may arise associated with the time period from conception through childbirth.,,,
KA01.0,Fetus or newborn affected by incompetence of cervix uteri,,"Cervical incompetence refers to a weakness of the cervix and lower uterine segment, which can lead to recurrent second-trimester or early third-trimester loss of pregnancy due to an inability of the uterine cervix to retain a pregnancy until term. It is associated with a premature shortening of the cervix, dilatation, and opening of the cervical os during pregnancy. Ultrasound changes that suggest cervical incompetence include a cervical length < 1.5 cm, cervical width > 3 cm, and an expanded cervical canal > 8 mm.",,,Fetus or newborn affected by incompetence of cervix uteri; Patent cervix complicating pregnancy affecting fetus or newborn
KA01.1,Fetus or newborn affected by premature rupture of membranes,,"Preterm premature rupture of membranes (PPROM) refers to a patient who is at less than 37 weeks’ gestation and has presented with a rupture of membranes prior to the onset of labour. Complications include pre-term delivery, ascending infection, umbilical cord prolapse, oligohydramnios, placental abruption, retained placenta, postpartum haemorrhage, or rupture of the vasa praevia.",,,Fetus or newborn affected by premature rupture of membranes; premature rupture of membranes affecting fetus or newborn
KA01.2,Fetus or newborn affected by oligohydramnios,,"Oligohydramnios is defined as a decrease in the volume of amniotic fluid. It is diagnosed if the diameter of the largest amniotic fluid depot is < 2 cm, or if the amniotic fluid index (AFI) is < 5 cm.",,Fetus or newborn affected by premature rupture of membranes,Fetus or newborn affected by oligohydramnios; oligohydramnios affecting fetus
KA01.3,Fetus or newborn affected by polyhydramnios,,"Polyhydramnios is defined as an abnormally large volume of amniotic fluid within the uterus. An amount of 2 litres at term, any single pool >8cm or an amniotic fluid index (AFI) > 24 cm is considered to be polyhydramnios.",fetus or newborn affected by hydramnios,,Fetus or newborn affected by polyhydramnios; fetus or newborn affected by hydramnios
KA01.4,Fetus or newborn affected by ectopic pregnancy,,"An ectopic pregnancy occurs when a pregnancy begins outside of the uterus. The most common site is within one of the fallopian tubes, although in rare cases, ectopic pregnancies can occur in the stomach region, cervix, or ovary. It is often caused by a condition that slows or blocks the movement of a fertilised egg through the fallopian tube to the uterus. Ectopic pregnancies cannot continue to term and the developing cells must be removed to prevent rupture of the ectopic area, which can lead to shock and danger the life of the mother.",Abdominal pregnancy affecting fetus or newborn,,Fetus or newborn affected by ectopic pregnancy; Abdominal pregnancy affecting fetus or newborn; fetus or neonate affected by ectopic pregnancy
KA01.5,Fetus or newborn affected by multiple pregnancy,,A condition characterised by findings in the fetus or newborn due to any condition associated with the presence of a multiple pregnancy.,,,"Fetus or newborn affected by multiple pregnancy; Fetus or newborn affected by twin pregnancy; fetus or neonate affected by twin pregnancy; Triplet pregnancy, affecting fetus or newborn; Quadruplet pregnancy affecting fetus or newborn; Quintuplet pregnancy, affecting fetus or newborn; Sextuplet pregnancy affecting fetus or newborn"
KA01.6,Fetus or newborn affected by maternal death,,A condition characterised by findings in the fetus or newborn due to death of the mother.,,,Fetus or newborn affected by maternal death
KA01.7,Fetus or newborn affected by malpresentation before labour,,"Malpresentations are all presentations of the fetus other than the vertex, and includes breech, transverse, shoulder, compound, face, and brow presentations. They may pose risks to the fetus and mother and may necessitate operative vaginal or caesarean delivery, or other interventions to accomplish delivery. Breech presentation, the most common malpresentation, results when the fetal buttocks, legs, feet, or a combination of these presents first into the maternal pelvis.",,,"Fetus or newborn affected by malpresentation before labour; abnormal presentation before labour, affecting fetus or newborn; fetus affected by malpresentation; fetus or neonate affected by malpresentation before labour; malpresentation before labour affecting fetus or newborn; Fetus or neonate affected by breech presentation before labour; Breech presentation before labour affecting fetus or neonate; fetus or newborn affected by breech presentation before labour; Breech presentation, with external version before labour, affecting fetus or newborn; Version with extraction, affecting fetus or newborn; Unstable lie of fetus or newborn, before labour; unstable lie before labour; Fetus or newborn affected by transverse lie before labour; Fetus or newborn affected by face presentation before labour; Fetus or newborn affected by external version before labour"
KA01.8,Fetus or newborn affected by maternal blood loss,,,,,"Fetus or newborn affected by maternal blood loss; fetus and newborn affected by accidental haemorrhage; Antepartum haemorrhage affecting fetus or newborn; Antepartum coagulation defect with haemorrhage, affecting fetus or newborn; Early haemorrhage in pregnancy, affecting fetus or newborn; Haemorrhage complicating delivery, affecting fetus or newborn; Haemorrhage with coagulation defect, affecting fetus or newborn"
KA02,Fetus or newborn affected by complications of placenta,,"A group of conditions characterised by findings in the fetus or newborn due to an adverse evolution (complication) associated with the placenta, umbilical cord, or chorioamniotic membranes.",,,
KA02.0,Fetus or newborn affected by placenta praevia,,"Placenta praevia exists when the placenta lies wholly or in part in the lower segment of the uterus. Diagnosis has evolved from the clinical I-IV grading system, and is determined by ultrasonic imaging techniques relating the leading edge of the placenta to the cervical os. Grade I is a low lying placenta, Grade II is a placenta that meets the edge of the cervical os, Grade III is a placenta that partially covers the os, and Grade IV is a placenta that completely covers the os.",,,"Fetus or newborn affected by placenta praevia; fetus or neonate affected by placenta praevia; Transient neonatal neutropaenia due to placental insufficiency, including maternal HELLP syndrome"
KA02.1,Fetus or newborn affected by placental oedema or large placenta,,"A large placenta, also known as placentomegaly, is one that weighs > 750 g. Placentomegaly can be seen in the following conditions: fetal hydrops, maternal diabetes mellitus, Rh incompatibility, chronic infections (e.g. syphilis, cytomegalovirus), maternal anaemia, or acute placental oedema with acute chorioamnionitis.",,,Fetus or newborn affected by placental oedema or large placenta
KA02.2,Fetus or newborn affected by placental infarction,,"Placental infarction is the formation of localised areas of ischemic villous necrosis, usually due to vasospasm of the maternal circulation. The affected regions of the placenta are incompetent, and lead to placental insufficiency if the infarcts are severe.",,,Fetus or newborn affected by placental infarction
KA02.3,Fetus or newborn affected by placental insufficiency or small placenta,,"Placental insufficiency is defined as the inability of the placenta to deliver a sufficient supply of oxygen and nutrients to the fetus, and therefore, is unable to sustain the growth of the developing baby until term. Placental insufficiency can result in intrauterine growth restriction (IUGR), pre-eclampsia, abruption, or preterm labour and delivery. A small placenta is defined as a placenta that weighs less than the lower limit of normal for the gestational period. A low placental weight can be the result of a maternal or fetal conditions. Among maternal conditions belong those causing underperfusion of the placenta, such as pre-eclampsia or maternal hypertension. Among fetal conditions belong fetal malformations or chromosomal anomalies.",,,Fetus or newborn affected by placental insufficiency or small placenta; Fetus or newborn affected by placental insufficiency
