Code,title,Fully Specified Name,Description,Inclusions,Exclusions,Index Terms
22,"Injury, poisoning or certain other consequences of external causes",,"!markdown
In the ICD, injury means physical or physiological bodily harm resulting from interaction of the body with energy (mechanical, thermal, electrical, chemical or radiant, or due to extreme pressure) in an amount, or at a rate of transfer, that exceeds physical or physiological tolerance. Injury can also result from lack of vital elements, such as oxygen. Poisoning by and toxic effects of substances are included, as is damage of or due to implanted devices.  

Injury usually has rapid onset in response to a well-defined event (e.g. a car crash, striking the ground after falling, drinking a strongly alkaline liquid, an overdose of a medication, a burn sustained during a surgical procedure). These events are often referred to as external causes of injury. The injurious energy can, however, originate from the injured person and/or from his or her immediate environment (e.g. a person running on a hot day sustains heat exhaustion), and injury can be caused by the injured person (i.e. intentional self-harm).

Injury includes manifestations that are evident immediately after onset, which may persist or not, and manifestations that first become evident at a later date.",,"Birth injury; Certain specified obstetric trauma; Malunion of fracture; Nonunion of fracture; Pathological fracture; Stress fracture, not elsewhere classified",
NA00,Superficial injury of head,,"Damage inflicted on the surface or shallow tissues of the head as the direct or indirect result of an external force, with or without disruption of structural continuity.",,Focal brain injury; Injury of eye or orbit,
NA00.0,Superficial injury of scalp,,,,,
NA00.00,Abrasion of scalp,,,,,Abrasion of scalp
NA00.01,Contusion of scalp,,,,,Contusion of scalp; bruise of scalp; Contusion of occipital region; Contusion of parietal region; Contusion of temporal region; contusion of temple; temple contusion
NA00.02,Superficial foreign body in scalp,,,,,Superficial foreign body in scalp; Splinter in scalp
NA00.1,Superficial injury of eyelid or periocular area,,,,,
NA00.10,Abrasion of eyelid or periocular area,,,,,Abrasion of eyelid or periocular area
NA00.11,Contusion of eyelid or periocular area,,,black eye,Contusion of eyeball or orbital tissues,Contusion of eyelid or periocular area; black eye; Contusion of eyelid; eyelid contusion; Contusion of periocular area
NA00.2,Superficial injury of ear,,"Damage inflicted on the surface or shallow tissues of the ear as the direct or indirect result of an external force, with or without disruption of structural continuity.",,,Superficial injury of ear; Abrasion of ear; Contusion of ear; Nonthermal blister of ear; Nonvenomous insect bite of ear; Superficial foreign body in ear; Splinter in ear; Superficial injury of ear auricle; superficial injury of pinna; Haematoma of auricle; haematoma of pinna; Superficial injury of auditory canal; Superficial injury of external auditory canal; Superficial injury of tympanic membrane
NA00.3,Superficial injury of nose,,,,,Superficial injury of nose; Contusion of nose; Abrasion of nose; Nonthermal blister of nose; Nonvenomous insect bite of nose; Superficial foreign body in nose; Splinter in nose; Superficial injury of nasal septum; Haematoma of nose; nasal haematoma
NA00.4,Superficial injury of lip or oral cavity,,,,,Superficial injury of lip or oral cavity; Abrasion of lip or oral cavity; Abrasion of buccal mucosa; Contusion of lip or oral cavity; Nonthermal blister of lip or oral cavity; Nonvenomous insect bite of lip or oral cavity; Superficial foreign body in lip or oral cavity; Splinter in lip or oral cavity; Superficial injury of alveolar process; Superficial injury of gum; Superficial injury of internal cheek; Superficial injury of lip; Haematoma of lip; Lip haematoma; Superficial injury of mouth; Haematoma of mouth; mouth haematoma; Superficial injury of oral cavity; Superficial injury of palate; Superficial injury of tongue; Superficial injury of uvula
NA00.5,Multiple superficial injuries of head,,,,,Multiple superficial injuries of head
NA00.6,Abrasion of other or unspecified sites of head,,,,,Abrasion of other or unspecified sites of head; Abrasion of supraorbital region; Abrasion of temple
NA00.7,Contusion of other or unspecified sites of head,,,,,Contusion of other or unspecified sites of head; head contusion; Contusion of supraorbital region; Contusion of forehead; Contusion of cheek; Sequelae of contusion of head
NA01,Open wound of head,,,,Decapitation; Injury of eye or orbit; Traumatic amputation of part of head; Complex wounds to the head with through and through perforation,
NA01.2,Laceration without foreign body of head,,,laceration of skin of head,,"Laceration without foreign body of head; cranial laceration; laceration of skin of head; skin tear without foreign body of head; Laceration without foreign body of ear; skin tear without foreign body of ear; Laceration without foreign body of nose; skin tear without foreign body of nose; Laceration without foreign body of cheek or temporomandibular area; skin tear without foreign body of cheek or temporomandibular area; Laceration without foreign body of lip or oral cavity; skin tear without foreign body of lip or oral cavity; Laceration without foreign body of eyelid or periocular area; laceration of eyelid; skin tear without foreign body of eyelid or periocular area; Laceration of eyebrow; skin tear of eyebrow; Laceration of jaw, not elsewhere classified; skin tear of jaw, not elsewhere classified; Laceration of scalp"
NA01.3,Laceration with foreign body of head,,,,,Laceration with foreign body of head; skin tear with foreign body of head; Laceration with foreign body of ear; skin tear with foreign body of ear; Laceration with foreign body of nose; skin tear with foreign body of nose; Laceration with foreign body of cheek or temporomandibular area; skin tear with foreign body of cheek or temporomandibular area; Laceration with foreign body of lip or oral cavity; skin tear with foreign body of lip or oral cavity; Laceration with foreign body of eyelid or periocular area; skin tear with foreign body of eyelid or periocular area
NA01.4,Puncture wound without foreign body of head,,,,,Puncture wound without foreign body of head; punctured head; punctured skull; Puncture wound without foreign body of ear; Puncture wound without foreign body of nose; Puncture wound without foreign body of cheek or temporomandibular area; Puncture wound without foreign body of lip or oral cavity; Puncture wound without foreign body of eyelid or periocular area
NA01.5,Puncture wound with foreign body of head,,,,,Puncture wound with foreign body of head; Puncture wound with foreign body of ear; Puncture wound with foreign body of nose; Puncture wound with foreign body of cheek or temporomandibular area; Puncture wound with foreign body of lip or oral cavity; Puncture wound with foreign body of eyelid or periocular area
NA01.6,Open bite of head,,,,,Open bite of head; Open bite of ear; Open bite of nose; Open bite of cheek or temporomandibular area; Open bite of lip or oral cavity; Open bite of eyelid or periocular area
NA01.7,Multiple open wounds of head,,,,,Multiple open wounds of head
NA02,Fracture of skull or facial bones,,,,,
NA02.0,Fracture of vault of skull,,,,,
NA02.00,Fracture of squama of frontal bone of skull,,,,,Fracture of squama of frontal bone of skull; fracture of frontal bone of skull; frontal skull fracture
NA02.01,Fracture of parietal bone of skull,,,,,Fracture of parietal bone of skull
NA02.02,Fracture of squama of temporal bone of skull,,,,,Fracture of squama of temporal bone of skull
NA02.03,Fracture of squama of occipital bone of skull,,,,,Fracture of squama of occipital bone of skull
NA02.1,Fracture of base of skull,,"Fractures which extend through the base of the skull, usually involving the petrous bone.",,fracture of orbit NOS; Fracture of orbital floor,
NA02.10,Fracture of anterior fossa of base of skull,,,,,Fracture of anterior fossa of base of skull; fracture of anterior fossa
NA02.11,Fracture of middle fossa of base of skull,,,,,Fracture of middle fossa of base of skull; fracture of middle fossa
NA02.12,Fracture of posterior fossa of base of skull,,,,,Fracture of posterior fossa of base of skull; fracture of posterior fossa
NA02.13,Fracture of sinus of ethmoid bone of skull,,,,,Fracture of sinus of ethmoid bone of skull; ethmoidal fracture; fracture of ethmoid bone; fracture of ethmoid sinus
NA02.14,Fracture of frontal sinus of skull,,,,,Fracture of frontal sinus of skull; fracture of frontal sinus; frontal sinus bone fracture
NA02.15,Fracture of sphenoid bone of skull,,,,,Fracture of sphenoid bone of skull; fracture of sphenoid bone; sphenoid sinus fracture
NA02.16,"Fracture of occipital condyle of skull, type I",,,,,"Fracture of occipital condyle of skull, type I"
NA02.17,"Fracture of occipital condyle of skull, type II",,,,,"Fracture of occipital condyle of skull, type II"
NA02.18,"Fracture of occipital condyle of skull, type III",,,,,"Fracture of occipital condyle of skull, type III"
NA02.19,Fracture of other part of occipital bone of skull,,,,,Fracture of other part of occipital bone of skull
NA02.1A,Other fractures of base of skull,,,,,Other fractures of base of skull; Fracture of occiput without further specification; occipital fracture; Fracture of temporal bone without further specification; styloid temporal bone fracture
