Code,title,Fully Specified Name,Description,Inclusions,Exclusions,Index Terms
21,"Symptoms, signs or clinical findings, not elsewhere classified",,"!markdown
Clinical findings include those found using physical, laboratory and imaging techniques. 

Diseases can manifest in many ways and in different body systems. Such specific manifestations may be a reason for treatment or encounter, with or without identifying or addressing the underlying condition.  
Categories in this chapter include the less well-defined conditions and symptoms that, without the necessary study of the case to establish a final diagnosis, could be designated 'not otherwise specified', 'unknown aetiology' or 'transient'.

The conditions and signs or symptoms included in this chapter consist of:

  - cases for which no more specific diagnosis can be made even after all the facts bearing on the case have been investigated
  - signs or symptoms existing at the time of initial encounter that proved to be transient and whose causes could not be determined;
  - provisional diagnoses in a patient who failed to return for further investigation or care;
  - cases referred elsewhere for investigation or treatment before the diagnosis was made;
  - cases in which a more precise diagnosis was not available for any other reason; 
  - certain symptoms, for which supplementary information is provided, that represent important problems in medical care in their own right.

These categories should be used in conjunction with a code from another chapter that identifies the underlying condition.",,Clinical findings on antenatal screening of mother; Certain conditions originating in the perinatal period,
MA00,Symptom or complaint of the blood,,,,,Symptom or complaint of the blood
MA01,Enlarged lymph nodes,,Enlarged lymph node is called lymphadenopathy which means the abnormal enlargement of lymph nodes.,Lymphadenopathy,lymphadenitis NOS; Chronic lymphadenitis; Nonspecific mesenteric lymphadenitis,
MA01.0,Localised lymph node enlargement,,,,,Localised lymph node enlargement; Localised lymphadenopathy; regional lymphadenopathy; Occipital lymph node enlargement; Occipital lymphadenopathy; Cervical lymph node enlargement; Cervical lymphadenopathy; Axillary lymph node enlargement; Axillary lymphadenopathy; Mediastinal lymph node enlargement; Hilar lymphadenopathy; Tracheobronchial lymphadenopathy; Mesenteric lymph node enlargement; Abdominal lymphadenopathy; Mesenteric lymphadenopathy; Retroperitoneal lymph node enlargement; Retroperitoneal lymphadenopathy; Pelvic lymph node enlargement; Pelvic lymphadenopathy; Inguinal lymph node enlargement; Inguinal lymphadenopathy; Hilar gland enlargement; hilar gland hyperplasia
MA01.1,Generalised lymph node enlargement,,,,Human immunodeficiency virus disease associated with generalised lymphadenopathy,Generalised lymph node enlargement; generalised lymphadenopathy
MA10,Abnormal serum enzyme levels,,,,,Abnormal serum enzyme levels
MA10.0,Elevation of levels of transaminase or lactic acid dehydrogenase,,,,,Elevation of levels of transaminase or lactic acid dehydrogenase; Elevation of levels of transaminase and LDH - [lactic acid dehydrogenase]; Increased level of transaminase
MA10.1,Abnormal levels of other specified serum enzymes,,,,,Abnormal levels of other specified serum enzymes; Abnormal level of acid phosphatase; abnormal serum level of acid phosphatase; Abnormal level of alkaline phosphatase; abnormal serum level of alkaline phosphatase; Increased blood alkaline phosphatase; Abnormal level of amylase; abnormal serum level of amylase; Abnormal level of lipase; abnormal serum level of lipase; Abnormal level of triacylglycerol lipase; abnormal serum level of triacylglycerol lipase
MA10.2,Abnormal level of unspecified serum enzyme,,,,,Abnormal level of unspecified serum enzyme; Abnormal liver enzymes
MA11,"Clinical findings of hormones in blood, blood-forming organs, or the immune system",,,,,"Clinical findings of hormones in blood, blood-forming organs, or the immune system"
