Code,title,Fully Specified Name,Description,Inclusions,Exclusions,Index Terms
11,Diseases of the circulatory system,,"This refers to diseases of the organ system that passes nutrients (such as amino acids, electrolytes and lymph), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases, stabilize body temperature and pH, and to maintain homeostasis.",,"Certain conditions originating in the perinatal period; Certain infectious or parasitic diseases; Complications of pregnancy, childbirth and the puerperium; Congenital malformations, deformations and chromosomal abnormalities; Endocrine, nutritional or metabolic diseases; Injury, poisoning or certain other consequences of external causes",
BA00,Essential hypertension,,"Essential (primary) hypertension, accounting for 95% of all cases of hypertension, is defined as high blood pressure for which a secondary cause cannot be found.",high blood pressure,Cerebrovascular diseases; Background retinopathy and retinal vascular changes,
BA00.0,Combined diastolic and systolic hypertension,,,,,Combined diastolic and systolic hypertension; diastolic and systolic HTN - [hypertension]; diastolic and systolic hypertension; diastolic hypertension with systolic hypertension
BA00.1,Isolated diastolic hypertension,,,,,Isolated diastolic hypertension; diastolic HTN - [hypertension]; diastolic hypertension
BA00.2,Isolated systolic hypertension,,,,,Isolated systolic hypertension; systolic HTN - [hypertension]; systolic hypertension
BA01,Hypertensive heart disease,,"Hypertensive heart disease is a term applied generally to heart diseases, such as left ventricular hypertrophy, coronary artery disease, cardiac arrhythmias, and congestive heart failure, that are caused by direct or indirect effects of hypertension. Uncontrolled and prolonged hypertension can lead to a variety of changes in the myocardial structure, coronary vasculature, and conduction system of the heart.",,,"Hypertensive heart disease; Hypertensive heart disease with heart failure; Congestive heart failure due to hypertension; Hypertensive heart disease with congestive heart failure; Hypertensive heart failure; Left ventricular failure due to hypertension; benign hypertensive heart disease with congestive cardiac failure; benign hypertensive heart disease with congestive heart failure; benign hypertensive heart disease with heart failure; hypertensive CCF - [congestive cardiac failure]; hypertensive cardiorespiratory failure; hypertensive congestive heart failure; hypertensive left ventricular failure; malignant hypertensive heart disease with congestive cardiac failure; malignant hypertensive heart disease with congestive heart failure; malignant hypertensive heart disease with heart failure; Hypertensive heart disease without heart failure; HCVD - [hypertensive cardiovascular disease]; HHD - [hypertensive heart disease]; Hypertensive heart disease without congestive heart failure; Hypertensive heart disease, not otherwise specified; benign hypertensive cardiovascular disease; benign hypertensive heart disease; cardiovascular hypertension disease; essential hypertensive cardiovascular disease; hypertensive arteriosclerotic cardiovascular disease; hypertensive cardiac disease NOS; hypertensive cardiac hypertrophy; hypertensive cardiomyopathy; hypertensive cardiopathy; hypertensive cardiovascular collapse; hypertensive cardiovascular disease; hypertensive heart; hypertensive myocardial degeneration; hypertensive myocardial insufficiency; hypertensive myocarditis; hypertensive myocardium degeneration; hypertensive myocardium insufficiency; malignant hypertensive heart disease"
BA02,Hypertensive renal disease,,Hypertensive renal disease is a medical condition referring to damage to the kidney due to chronic high blood pressure.,hypertensive nephropathy,Secondary hypertension,"Hypertensive renal disease; hypertension with nephropathy; hypertension with renal disease; hypertensive nephropathy; Hypertensive renal disease with renal failure; Hypertensive renal failure; hypertensive chronic renal insufficiency; hypertensive renal sclerosis with renal failure; kidney hypertension with renal failure; renal insufficiency with hypertension; Hypertensive uraemia; Hypertensive renal disease without renal failure; Hypertensive renal disease NOS; arteriosclerotic kidney; arteriosclerotic kidney disease; renal arteriosclerosis; renal arteriosclerotic disease; renal sclerosis, unspecified; renal vascular insufficiency; renovascular disease; sclerosis of kidney; sclerotic kidney; Arteriolar nephrosclerosis; arterionephrosclerosis; arteriosclerotic nephrosclerosis; chronic nephrosclerosis; hyaline arteriolar nephrosclerosis; Arteriosclerotic Bright disease; arteriolar nephritis; arteriosclerotic nephritis; interstitial arteriosclerotic nephritis; Arteriolar sclerosis of renal arterioles; arteriosclerosis of renal arterioles; renal arterioles arteriosclerosis; renal arterioles arteriosclerotic disease; Chronic arteriosclerotic nephritis; Chronic kidney disease due to hypertension; Glomerular diseases due to hypertension; Nephrosclerosis; Unspecified contracted kidney due to hypertension"
BA03,Hypertensive crisis,,,,,Hypertensive crisis; Hypertensive emergency; hypertensive crisis with acute organ damage; severely elevated blood pressure with acute organ damage; Hypertensive urgency; hypertensive crisis without acute organ damage; severely elevated blood pressure without acute organ damage
BA04,Secondary hypertension,,Defined through the measurement of the blood pressure using cuff method with a sitting systolic blood pressure above 140 mmHg or a sitting diastolic blood pressure above 90 mmHg in three consequent measurements with an identifiable cause.,,involving vessels of brain; involving vessels of eye,
BA04.0,Combined diastolic and systolic secondary hypertension,,,,,Combined diastolic and systolic secondary hypertension
