Code,title,Fully Specified Name,Description,Inclusions,Exclusions,Index Terms
03,Diseases of the blood or blood-forming organs,,This chapter includes diseases of the blood as well as diseases of blood forming organs.,,"Other diseases of the blood or blood-forming organs or certain disorders involving the immune mechanism complicating pregnancy, childbirth or the puerperium; Congenital malformations, deformations or chromosomal abnormalities; Diseases of the immune system; Certain conditions originating in the perinatal period; Complications of pregnancy, childbirth or the puerperium; Endocrine, nutritional or metabolic diseases; Human immunodeficiency virus disease; Injury, poisoning or certain other consequences of external causes",
3A00,Iron deficiency anaemia,,"A disease caused by chronic or acute bleeding, excessive menstrual bleeding, inadequate intake, substances (in diet or drugs) interfering with iron absorption, malabsorption syndromes, inflammation, infection or blood donation. This disease is characterised by decreased levels of iron present in the body. This disease may present with fatigue, pallor or dizziness. Confirmation is by identification of decreased levels of iron in a blood sample.",,,
3A00.0,Acquired iron deficiency anaemia due to blood loss,,"Chronic blood loss is a possible cause in every case of iron-deficiency anaemia. Iron deficiency anaemia may be caused by acute bleeding in gastrointestinal tract, uterus or genitourinary system, copious menstrual blood losses (menorrhagia) and multiple blood donations. In many tropical countries, infestations with hookworms lead to intestinal blood losses that in some individuals can be considerable. Iron deficiency may also be caused by several circumstances related to “chronic posthaemorrhagic anaemia”. A diagnosis of iron deficiency should always lead to a search for pathologic causes of blood loss (e.g. tumours in the gastrointestinal tract or uterus, especially if uterine bleedings have increased or changed in regularity).",,congenital anaemia from fetal blood loss,
3A00.01,Chronic posthaemorrhagic anaemia,,"Chronic iron-deficiency anaemia from bleeding may be caused by colon cancer, gastric cancer, peptic ulcer, Meckel diverticulum, hiatal hernia with linear erosions, colonic vascular ectasia, colonic polyps, haemangioma, inflammatory bowel disease, tumours in the gastrointestinal tract or uterus, and chronic menorrhagia. Some infants with severe iron deficiency have chronic intestinal blood loss induced by exposure to cow's milk protein. Repeated phlebotomy for blood tests is a cause of anaemia of prematurity.",,,Chronic posthaemorrhagic anaemia; Chronic posthaemorrhagic iron deficiency anaemia; anaemia due to chronic blood loss; chronic haemorrhagic anaemia; chronic iron deficiency anaemia secondary to blood loss; iron deficiency anaemia due to chronic blood loss
3A00.1,Acquired iron deficiency anaemia due to low intake,,"Iron deficiency is probably the most common nutritional deficiency disorder in the world. Iron deficiency anaemia during pregnancy increases perinatal risks for mothers and neonates; and increases overall infant mortality. Severe anaemia is a major risk factor associated with greatly increased morbidity and mortality for young children and pregnant women. Prompt recognition of the condition, treatment and clinical follow-up of individuals are crucial in avoiding complications such as high-output heart failure. Maternal iron deficiency during pregnancy increases the risk of iron deficiency in the infant. In less developed countries, the prevalence of iron deficiency during pregnancy is higher than in developed countries, and iron supplementation during pregnancy is beneficial.",,,Acquired iron deficiency anaemia due to low intake; Acquired anaemia due to iron deficiency secondary to dietary deficiency; Dietary Iron deficiency anaemia; Iron deficiency anaemia due to malnutrition
3A00.2,Acquired iron deficiency anaemia due to decreased absorption,,,,,"Acquired iron deficiency anaemia due to decreased absorption; Acquired iron deficiency anaemia due to decreased absorption, not otherwise specified; Acquired iron deficiency anaemia due to gastrectomy; Acquired iron deficiency anaemia due to coeliac disease"
3A00.3,Acquired iron deficiency anaemia due to increased requirement,,,,,"Acquired iron deficiency anaemia due to increased requirement; Acquired iron deficiency anaemia due to increased requirement, not otherwise specified; Acquired iron deficiency anaemia due to increased requirement in infancy; Acquired iron deficiency anaemia due to increased requirement in adolescence; Acquired iron deficiency anaemia due to increased requirement in pregnancy"
3A01,Megaloblastic anaemia due to vitamin B12 deficiency,,"A disease caused by inadequate dietary intake of vitamin B12, impaired absorption of vitamin B12, surgical removal of the small bowel, coeliac disease or inherited mutations affecting absorption of vitamin B12. This disease is characterised by decreased levels of vitamin B12 in the body presenting with or without anaemia. This disease may present with fatigue, pallor, dizziness, seizures, or symptoms of dementia. Confirmation is by identification of decreased levels of vitamin B12 in a blood sample.",,,
3A01.0,Hereditary vitamin B12 deficiency anaemia,,"This is a hereditary low blood level of vitamin B12. It can cause permanent damage to nervous tissue if left untreated long enough. Vitamin B12 itself was discovered through investigation of pernicious anaemia, which is an autoimmune disease that destroys parietal cells in the stomach that secrete intrinsic factor.",,,Hereditary vitamin B12 deficiency anaemia; congenital intrinsic factor deficiency; defects of cobalamin metabolism; megaloblastic anaemia due to hereditary vitamin B12 deficiency; Hereditary megaloblastic anaemia due to transcobalamin deficiency; Congenital megaloblastic anaemia due to transcobalamin II deficiency; TCN2 - [transcobalamin II deficiency]; transcobalamin II deficiency; transcobalamin II deficiency anaemia; transcobalamin deficiency; Anaemia due to selective hereditary vitamin B12 malabsorption with proteinuria
3A01.1,Neonatal vitamin B12 deficiency anaemia,,"A disease caused by a lack of vitamin B12 in the mother, which is passed onto the fetus in the antenatal period or to the neonate during breast feeding. This disease is characterised by decreased levels of vitamin B12. This disease may present with increased risk of birth defects or preterm delivery, anaemia, irritability, failure to thrive or apathy. Confirmation is by identification of low levels of vitamin B12 in a blood sample.",Congenital nutritional vitamin B12 deficiency due to maternal vitamin B12 deficiency,Hereditary vitamin B12 deficiency anaemia,Neonatal vitamin B12 deficiency anaemia; Megaloblastic anaemia due to congenital non-hereditary vitamin B12 deficiency; Congenital nutritional vitamin B12 deficiency due to maternal vitamin B12 deficiency; Nutritional vitamin B12 deficiency due to maternal vitamin B12 deficiency in breast-fed infants
3A01.2,Vitamin B12 deficiency anaemia due to low intake,,"A disease caused by insufficient intake of vitamin B12 into the body. This disease is characterised by low levels of vitamin B12 leading to low levels of red blood cells. This disease may present with pallor, fatigue, or shortness of breath. Confirmation is by identification of low levels of vitamin B12 and red blood cell count in a blood sample.",,,Vitamin B12 deficiency anaemia due to low intake; Dietary vitamin B12 deficiency anaemia; Megaloblastic anaemia due to vitamin B12 deficiency due to low intake; Vegan anaemia due to Vitamin B12 deficiency; vegan anaemia NOS
3A01.3,Vitamin B12 deficiency anaemia due to intrinsic factor deficiency,,,,Vitamin B12 deficiency anaemia due to congenital intrinsic factor deficiency,
3A01.30,Pernicious anaemia,,"Acquired pernicious anaemia, also called Biermer's disease, is a disorder in vitamin B12 (cobalamin) absorption characterised by megaloblastic anaemia and gastrointestinal symptoms, and that can lead to neurological abnormalities.",,,Pernicious anaemia; Biermer disease; Biermer-Addison disease; Pernicious anaemia associated with other autoimmune disorders
3A01.4,Vitamin B12 deficiency anaemia due to intestinal disease,,"A number of intestinal disorders can also cause vitamin B12 (cobalamin) deficiency. These include severe pancreatic diseases and small bowel diseases such as malabsorption, ileal disease (including tuberculous ileitis, lymphoma, amyloid, long-term survivors of pelvic irradiation), extensive small bowel resection or bypass, gastric surgery/reconstruction for obesity (bariatric surgery) and Crohn's disease. When jejunal blind loops are present, bacterial overgrowth within the loops competes for cobalamin, leading to cobalamin deficiency. Although not as common currently, infestation with the fish tapeworm, Diphyllobothrium latum, was once a classic cause of cobalamin deficiency.",,,Vitamin B12 deficiency anaemia due to intestinal disease; Acquired megaloblastic anaemia due to vitamin B12 deficiency secondary to intestinal disease
3A01.5,Drug-induced vitamin B12 deficiency anaemia,,,,,Drug-induced vitamin B12 deficiency anaemia; Megaloblastic anaemia due to drug-induced vitamin B12 deficiency
3A02,Folate deficiency anaemia,,,,,
3A02.0,Hereditary folate deficiency anaemia,,,,,Hereditary folate deficiency anaemia
3A02.1,Folate deficiency anaemia due to low intake,,,,,Folate deficiency anaemia due to low intake; Acquired megaloblastic anaemia due to nutritional folate deficiency; dietary folate deficiency anaemia; dietary folic acid deficiency anaemia; folate deficiency anaemia due to dietary causes; goat's milk anaemia; Nutritional macrocytic anaemia; Nutritional megaloblastic anaemia; megaloblastic anaemia due to poor nutrition
3A02.2,Folate deficiency anaemia due to increased requirements,,,,,Folate deficiency anaemia due to increased requirements; Acquired megaloblastic anaemia due to folate deficiency secondary to increased requirement; Megaloblastic anaemia due to increased requirements of folate; Acquired megaloblastic anaemia due to folate deficiency in pregnancy or lactation; Acquired megaloblastic anaemia due to folate deficiency in prematurity; Acquired megaloblastic anaemia associated with haemolytic anaemia; Acquired megaloblastic anaemia associated with dermatologic disorders; Acquired megaloblastic anaemia associated with psoriasis
3A02.3,Folate deficiency anaemia due to decreased intestinal absorption,,"A disease caused by determinants affecting intestinal absorption of folate arising after birth. This disease is characterised by low levels of folate in the body leading to incomplete formation of red blood cells resulting in large numbers of immature and incompletely developed red blood cells. This disease may present with fatigue, muscle weakness, loss of appetite, weight loss, diarrhoea, nausea, tachycardia or extremity paraesthesia. Confirmation is by identification of low folate levels in a blood sample.",,,Folate deficiency anaemia due to decreased intestinal absorption; Acquired megaloblastic anaemia due to decreased intestinal absorption of folate; Acquired megaloblastic anaemia due to folate deficiency secondary to intestinal disorders; Megaloblastic anaemia due to decreased intestinal absorption of folate
3A02.4,Drug-induced folate deficiency anaemia,,,,,Drug-induced folate deficiency anaemia; drug-induced megaloblastic anaemia due to folate deficiency; megaloblastic anaemia due to drug-induced folate deficiency
3A03,Certain nutritional or metabolic anaemias,,"A disease caused by nutritional and metabolic determinants leading to anaemia. This disease is characterised by decreased levels of red blood cells within the body. This disease may present with fatigue, pallor or dizziness. Confirmation is by identification of a decreased red blood cell count in a blood sample.",,,Certain nutritional or metabolic anaemias
3A03.0,Hereditary orotic aciduria,,"Hereditary orotic aciduria is an extremely rare (less than 20 cases identified worldwide) autosomal recessive disorder characterised by retarded growth, anaemia and excessive urinary excretion of orotic acid. It is due to a severe deficiency in the activity of the pyrimidine pathway enzyme uridine 5'-monophosphate (UMP) synthase (bifunctional enzyme containing two activities: orotate phosphoribosyltransferase and orotidine 5'-monophosphate decarboxylase), coded by a single gene (UMPS) localised to chromosome 3q13.",,,Hereditary orotic aciduria; Orotaciduric anaemia; orotic aciduria NOS; orotic aciduria anaemia; orotic aciduria megaloblastic anaemia; Hereditary orotic aciduria type 1; Combined orotate phosphoribosyltransferase and orotate-5-phosphate decarboxylase deficiency; Uridine monophosphate synthase deficiency; deficiency of orotate phosphoribosyltransferase; deficiency of orotidylic acid phosphorylase; Hereditary orotic aciduria type 2; Orotidine-5-phosphate decarboxylase deficiency; Orotidylic decarboxylase deficiency
3A03.1,Protein deficiency anaemia,,"A disease caused by low levels of protein within the body. This disease is characterised by a low red blood cell count in the blood. This disease may present with pallor, fatigue, or shortness of breath. Confirmation is by identification of a low red blood cell count in a blood sample.",,Lesch-Nyhan syndrome,Protein deficiency anaemia; Amino-acid deficiency anaemia; anaemia due to amino-acid disorder
3A03.2,Scorbutic anaemia,,"Scorbutic anaemia is a common finding in infants and young children with scurvy and is related to impaired iron absorption and coexistent haematopoietic nutrient deficiencies including iron, vitamin B12 and folate.",,,Scorbutic anaemia; anaemia due to ascorbic acid deficiency; anaemia due to scurvy; anaemia due to vitamin c deficiency; scorbutus anaemia
3A03.3,Copper deficiency anaemia,,Anaemia due to copper deficiency arises from impaired utilization of iron and is therefore a conditioned form of iron deficiency anaemia.,,,Copper deficiency anaemia; Anaemia due to copper deficiency
3A03.4,Acquired other vitamin B deficiency anaemia,,"A disease caused by a lack of B vitamins in the body arising after birth. This disease is characterised by low levels of B vitamins leading to low levels of red blood cells in the body. This disease may present with pallor, fatigue, or shortness of breath. Confirmation is by identification of low red blood cell count and low B vitamin counts in a blood sample.",,,Acquired other vitamin B deficiency anaemia
3A03.40,Acquired pyridoxine deficiency anaemia,,"A disease caused by determinants arising after birth. This disease is characterised by low levels of pyridoxine (vitamin B6) leading to low levels of red blood cells in the body. This disease may present with fatigue, muscle weakness, loss of appetite, weight loss, diarrhoea, nausea, fast heartbeat or numbness in extremities. Confirmation is by identification of low levels of pyridoxine and low red blood cell count in a blood sample.",,,Acquired pyridoxine deficiency anaemia; Acquired vitamin B6 deficiency anaemia
3A03.41,Acquired riboflavin deficiency anaemia,,"A disease caused by determinants arising after birth. This disease is characterised low levels of riboflavin (vitamin B2) leading to low levels of red blood cells in the body. This disease may present with fatigue, muscle weakness, loss of appetite, weight loss, diarrhoea, nausea, fast heartbeat or numbness in extremities. Confirmation is by identification of low levels of riboflavin and low red blood cell count in a blood sample.",,,Acquired riboflavin deficiency anaemia; Acquired vitamin B2 deficiency anaemia
3A03.42,Acquired thiamine deficiency anaemia,,"A disease caused by a lack of thiamine arising after birth. This disease is characterised low levels of thiamine in the body leading to low levels of red blood cells. This disease may present with fatigue, muscle weakness, loss of appetite, weight loss, diarrhoea, nausea, fast heartbeat or numbness in extremities. Confirmation is by identification of low levels of thiamine and low red blood cell count in a blood sample.",,,Acquired thiamine deficiency anaemia; Acquired vitamin B1 deficiency anaemia
3A03.5,Acquired vitamin A deficiency anaemia,,,,,Acquired vitamin A deficiency anaemia
3A03.6,Acquired vitamin E deficiency anaemia,,,Haemolytic anaemia due to vitamin E deficiency,,Acquired vitamin E deficiency anaemia; Haemolytic anaemia due to vitamin E deficiency
3A10,Hereditary haemolytic anaemia,,,,,
3A10.0,Haemolytic anaemias due to hexose monophosphate shunt or glutathione metabolism anomalies,,"This is a form of anaemia due to haemolysis, the abnormal breakdown of red blood cells (RBCs), either in the blood vessels (intravascular haemolysis) or elsewhere in the human body (extravascular). This diagnosis is due to a process that generates NADPH and pentoses (5-carbon sugars) and glutathione metabolism anomalies.",,,
3A10.00,Haemolytic anaemia due to glucose-6-phosphate dehydrogenase deficiency,,"Glucose-6-phosphate dehydrogenase (G6PD) deficiency is the most common hereditary erythrocyte enzyme deficiency that can manifest with severe neonatal jaundice which can lead to serious neurological consequences, or, most often, with acute haemolytic anaemia following ingestion of certain foods (fava beans), common drugs (some antimalaria drugs, sulphamides, analgesics), or in the course of an infection, in otherwise asymptomatic individuals.",,,"Haemolytic anaemia due to glucose-6-phosphate dehydrogenase deficiency; Chronic non spherocytic anaemia; Favism; G6PD - [glucose-6-phosphate dehydrogenase deficiency] anaemia; Haemolytic anaemia due toG6PD deficiency; anaemia due to glucose-6-phosphate dehydrogenase deficiency; anaemia due to pentose phosphate pathway defect; favism anaemia; glucose-6-phosphate dehydrogenase deficiency anaemia; glucose-6-phosphate dehydrogenase deficiency with anaemia; pentose phosphate pathway disorder anaemia; Baghdad spring anaemia; Hereditary haemolytic nonspherocytic type 1 anaemia; anaemia due to haemolytic nonspherocytic (hereditary), type 1; haemolytic nonspherocytic type 1 anaemia"
3A10.1,Haemolytic anaemia due to adenosine deaminase excess,,,,,Haemolytic anaemia due to adenosine deaminase excess
3A10.2,Hereditary elliptocytosis,,"Hereditary elliptocytosis is a group of rare conditions caused by abnormalities in the red cell cytoskeleton and marked by the presence on blood smears of numerous elliptical red blood cells, called elliptocytes. Clinical presentations are highly heterogeneous ranging from asymptomatic forms to more severe forms associated with variable anaemia, from moderate to severe and with pyropoikilocytosis including fragmented red cells, microelliptocytes and microspherocytes.",Common hereditary elliptocytosis; Homozygous hereditary elliptocytosis; Spherocytic elliptocytosis; Hereditary pyropoikilocytosis,,Hereditary elliptocytosis; HE - [hereditary elliptocytosis]; Hereditary elliptocytosis with infantile poikilocytosis; congenital elliptocytosis; congenital ovalocytosis; elliptocytosis; elliptocytosis anaemia; hereditary ovalocytosis; oval erythrocytosis; ovalocytosis; Common hereditary elliptocytosis; Common heterozygous hereditary elliptocytosis; Homozygous hereditary elliptocytosis; Spherocytic elliptocytosis; Hereditary pyropoikilocytosis
3A10.3,Familial pseudohyperkalaemia,,A disease caused by a genetically inherited mutation. This disease is characterised by a temperature-dependent defect in red cell membrane permeability to potassium that leads to high in vitro potassium levels in samples stored below 37°C leading to elevated potassium levels in the blood that does not reflect the true potassium level. Confirmation is by identification of genetic mutation through genetic testing.,,,"Familial pseudohyperkalaemia; Hereditary pseudohyperkalaemia; Familial pseudohyperkalaemia type 1; Familial pseudohyperkalaemia type 2; Familial pseudohyperkalaemia, Cardiff type"
3A20,"Acquired haemolytic anaemia, immune",,"A condition characterised by antibodies that are directed against red blood cells in an autoimmune reaction leading to low levels of red blood cells. This condition may present with pallor, fatigue, shortness of breath. Confirmation is by identification of antibodies in a blood sample and positive Coombs test result.",,,
3A20.0,"Autoimmune haemolytic anaemia, warm type",,"Autoimmune haemolytic anaemia (AIHA) is an autoimmune disorder in which various types of auto-antibodies are directed against red blood cells causing their survival to be shortened and resulting in haemolytic anaemia. AIHA can be primary (idiopathic), secondary to infection or associated with diseases such as B-cell lymphomas, other systemic or organ-specific autoimmune diseases, Hodgkin's disease, hepatitis or primary immunodeficiencies, or, in the case of drug-induced AIHA, caused by a reaction to drugs.",,Evans syndrome; Haemolytic disease of fetus or newborn; Paroxysmal cold haemoglobinuria,"Autoimmune haemolytic anaemia, warm type; AHA - [autoimmune haemolytic anaemia]; Autoimmune haemolytic anaemia due to warm antibodies; Autoimmune haemolytic disease warm type; acquired autoimmune haemolytic anaemia; autoimmune haemolytic anaemia; haemolytic anaemia due to warm antibody; other autoimmune haemolytic anaemias; secondary autoimmune haemolytic anaemia; secondary warm type haemolytic anaemia; symptomatic autoimmune haemolytic anaemia; symptomatic warm type haemolytic anaemia; warm AIHA - [autoimmune haemolytic anaemia]; warm autoimmune haemolytic anaemia; warm type autoimmune haemolytic disease; warm type haemolytic anaemia; warm type secondary haemolytic anaemia; warm type symptomatic haemolytic anaemia; Dyke Young type anaemia; secondary Dyke Young type anaemia; Lederer anaemia; acute Lederer haemolytic anaemia"
3A20.1,"Autoimmune haemolytic anaemia, cold type",,"Cold autoimmune haemolytic anaemia comprises two types of autoimmune haemolytic anaemia (AIHA) defined by the presence of cold autoantibodies (autoantibodies which are active at temperatures below 30°C): cold agglutinin disease (CAD), which is the more common, and paroxysmal cold haemoglobinuria (PCH). CAD is more common in people over the age of 55 years, while PCH typically presents in young children. CAD is caused by IgM autoantibodies while PCH is caused by an IgG immunoglobulin.",Cold haemagglutinin disease,Immune thrombocytopenic purpura; Haemolytic disease of fetus or newborn,"Autoimmune haemolytic anaemia, cold type; autoimmune cold sense; autoimmune cold sensitivity; autoimmune haemolytic anaemia due to cold antibodies; cold antibody haemolytic anaemia; cold autoimmune haemolytic anaemia; cold haemolytic disease; cryopathic haemolytic anaemia; idiopathic cold autoimmune haemolytic anaemia; secondary cold type haemolytic anaemia; symptomatic cold type haemolytic anaemia; Cold haemagglutinin disease; CHAD - [cold hemagglutinin disease]; Cold agglutinin disease; Cold agglutinin haemoglobinuria; cold agglutinin disease or haemoglobinuria; cold hemagglutinin disease"
3A20.2,"Autoimmune haemolytic anaemia, mixed type, cold and warm",,"Mixed autoimmune haemolytic anaemia is a type of autoimmune haemolytic anaemia (AIHA) defined by the presence of both warm and cold autoantibodies, which have a deleterious effect on red blood cells at either body temperature or at lower temperatures.",,,"Autoimmune haemolytic anaemia, mixed type, cold and warm"
3A20.3,Paroxysmal cold haemoglobinuria,,"Paroxysmal cold hemoglobinuria is a very rare subtype of autoimmune haemolytic anaemia (AIHA), caused by the presence of cold-reacting autoantibodies in the blood and characterised by the sudden presence of hemoglobinuria, typically after exposure to cold temperatures. PCH is thought to account for at most 2-10% of cases of AIHA.",,,Paroxysmal cold haemoglobinuria; Donath-Landsteiner syndrome
3A20.4,Alloimmune haemolytic anaemia,,"A disease caused by determinants such as a blood transfusion that lead to an immune response directed against the person's own red blood cells. This disease is characterised by low levels of red blood cells in the body due to abnormal destruction of the red blood cells. This disease may present with pallor, fatigue, or shortness of breath. Confirmation is by identification of low red blood cell count in a blood sample.",,Haemolytic disease of fetus or newborn,"Alloimmune haemolytic anaemia; Lymphocyte passenger syndrome, following organ transplantation"
3A20.5,Evans syndrome,,"Evans syndrome is characterised by the association of autoimmune haemolytic anaemia with another haematological anomaly. The thrombocytopaenia may precede, occur concurrently with, or secondary to the autoimmune haemolytic anaemia.",,,Evans syndrome
3A21,"Acquired haemolytic anaemia, non-immune",,"A disease caused by determinants such as infection, toxic chemicals, drugs and trauma arising after birth. This disease is characterised by haemolysis of red blood cells. This disease may present with pallor, fatigue, or shortness of breath. Confirmation is by identification of decreased red blood cell count in a blood sample and negative Coombs test result.",,,
3A21.0,Paroxysmal nocturnal haemoglobinuria,,"Paroxysmal nocturnal hemoglobinuria (PNH) is an acquired clonal hematopoietic stem cell disorder characterised by corpuscular haemolytic anaemia, bone marrow failure and frequent thrombotic events.",,Aplastic anaemia with paroxysmal nocturnal haemoglobulinuria; haemoglobinuria NOS,Paroxysmal nocturnal haemoglobinuria; Marchiafava-Micheli disease; Marchiafava-Micheli syndrome; nocturnal haemoglobinuria; nocturnal paroxysmal haematuria; nocturnal paroxysmal haemoglobinaemia
3A21.1,Microangiopathic haemolytic anaemia,,This is a microangiopathic subgroup of haemolytic anaemia (loss of red blood cells through destruction) caused by factors in the small blood vessels. It is identified by the finding of anaemia and schistocytes on microscopy of the blood film.,,,Microangiopathic haemolytic anaemia; Neoplastic microangiopathic haemolytic anaemia
3A21.2,Haemolytic uraemic syndrome,,,,Hereditary haemolytic uraemic syndrome,Haemolytic uraemic syndrome; Gasser syndrome; HUS - [haemolytic uraemic syndrome]; Typical haemolytic uraemic syndrome; Glomerular disorders in haemolytic uraemic syndrome
3A50,Thalassaemias,,"A disease caused by genetically inherited autosomal recessive mutations leading to abnormal production of haemoglobin. This disease is characterised by destruction of red blood cells leading to anaemia and abnormal production of haemoglobin. This disease may present with pallor, jaundice, iron overload, fatigue, or shortness of breath. Confirmation is by identification of mutations through genetic testing.",,,
3A50.0,Alpha thalassaemia,,"Alpha-thalassemia is an inherited haemoglobinopathy characterised by impaired synthesis of alpha-globin chains leading to a variable clinical picture depending on the number of affected alleles, and encompassing the alpha thalassaemia trait, haemoglobin H disease (HbH) and Bart's hydrops fetalis.",,Hydrops fetalis due to haemolytic disease,
3A50.00,Mild alpha thalassaemia diseases,,"A disease caused by genetically inherited factors affecting the alpha chain of the haemoglobin molecule. This disease is characterised by structural abnormalities of the haemoglobin molecule. This disease may present with mild anaemia: pallor, fatigue, shortness of breath. Confirmation is by identification of changes to the alpha chain by genetic testing.",,,Mild alpha thalassaemia diseases; Alpha thalassaemia minor; Mild alpha thalassaemia syndromes; Heterozygous alpha+ thalassaemia (– α/αα) (thalassaemia trait); Heterozygous alpha thalassaemia (––/ααα) (thalassaemia trait); Homozygous alpha+ thalassaemia (– α/– α) (thalassaemia trait); Heterozygous non-deletional alpha thalassaemia (αTα/αα and ααT/αα included)
3A50.01,Thalassaemic alpha-chain variants,,,,,Thalassaemic alpha-chain variants; Haemoglobin Koya Dora; Haemoglobin Pakse; Haemoglobin Seal Rock; Haemoglobin Constant Spring
3A50.02,Haemoglobin H disease (– α/– – included),,Haemoglobin H (HbH) disease is a moderate to severe form of alpha-thalassemia characterised by pronounced microcytic hypochromic haemolytic anaemia.,,,Haemoglobin H disease (– α/– – included); HbH - [haemoglobin H] disease; alpha - /- - or mutational forms of alpha-thalassaemia; alpha thalassaemia intermedia
3A50.03,Hemoglobin Bart's fetalis syndrome,,"Hb Bart's hydrops fetalis (HBFS) is the most severe form of alpha-thalassemia and is almost always lethal. It is characterised by fetal onset of generalised oedema, pleural and pericardial effusions, and severe hypochromic anaemia. 
HBFS can be caused by either homozygous or compound heterozygous alpha0 (alpha zero) thalassaemia, resulting in zero functional alpha haemoglobin genes.",,,Hemoglobin Bart's fetalis syndrome; BHFS - [Bart's hydrops fetalis syndrome]; HBHF - [Hb Bart's hydrops fetalis]; Haemoglobin Bart's disease; Hb Bart's hydrops fetalis; Hb Bart's hydrops fetalis syndrome; alpha thalassaemia hydrops fetalis; alpha-thalassemia major; haemoglobin Bart hydrops fetalis; homozygous alpha0-thalassemia
