Code,title,Fully Specified Name,Description,Inclusions,Exclusions,Index Terms
8E41.0,Pachymeningitis due to infection,,"Inflammation of the pachymeninges resulting in localised or diffuse thickening of the dura mater caused by chronic infection such as tuberculosis. The cranial and/or the spinal dura may be affected. Neurological features include headache, visual disturbance, cranial nerve palsies, ataxia and, with spinal involvement, limb weakness, sensory impairment and sphincter disturbances. Diagnosis may be aided by neuroimaging, spinal fluid analysis and dural biopsy.",,,Pachymeningitis due to infection
8E41.1,Idiopathic hypertrophic pachymeningitis,,"Inflammation of the pachymeninges resulting in localised or diffuse thickening of the dura mater for which no identifiable cause is found. The cranial and/or the spinal dura may be affected. Neurological features include headache, visual disturbance, cranial nerve palsies, ataxia and with spinal involvement, limb weakness, sensory impairment and sphincter disturbances. Diagnosis may be aided by neuroimaging and spinal fluid analysis and dural biopsy.",,,Idiopathic hypertrophic pachymeningitis
8E42,Superficial siderosis of the nervous system,,"Superficial siderosis is the deposition of haemosiderin in the central nervous system as a result of chronic or recurrent subarachnoid haemorrhage due to vascular anomalies, aneurysms, vascular tumours, neurosurgery, cervical root lesions, head injury and trauma. Clinical feature of Superficial siderosis include sensorineural deafness, cerebellar ataxia, pyramidal weakness and less frequently dementia, loss of sphincter control, anosmia, anisocoria, sensory disturbance, extra-ocular motor palsies, sciatica and lower motor neuron signs. The diagnosis may be confirmed by pure tone audiometry, neuroimaging, spinal fluid analysis, angiography to identify a potential bleeding source and where appropriate genetic testing.",,,Superficial siderosis of the nervous system; Superficial siderosis due to vascular anomalies; Superficial siderosis due to an aneurysm; Superficial siderosis due to an arteriovenous malformation; Superficial siderosis due to a cavernoma; Superficial siderosis due to other vascular anomalies; Superficial siderosis due to central nervous system tumours; Superficial siderosis due to nerve root avulsion; Superficial siderosis due to previous neurosurgery; Superficial siderosis due to head injury or trauma; Superficial siderosis due to cerebral amyloid angiopathy; Superficial siderosis due to other causes; Superficial siderosis of unknown aetiology
8E43,Pain disorders,,,,Chronic neuropathic pain,
8E43.0,Neuropathic pain,,"Neuropathic pain is described as electric, burning, or shock like, caused by metabolic, nutritional, infectious, genetic, autoimmune, and/or vasculitic processes. The pain may occur spontaneously, without provocation, or be provoked by noxious or nonnoxious stimuli. Pain is characteristic of small fibre neuropathy, but even in large fibre neuropathies, a sufficient number of small fibres may be damaged to cause pain. Neuropathic pain usually affects distal skin and subcutaneous structures. The pain may be constant or intermittent, and may be described as searing, burning, or icy cold. 

Complex regional pain syndrome follows trauma and comprises regional pain, sensory changes, abnormalities of temperature, sudomotor activity, colour changes of the skin, and oedema.",,Chronic neuropathic pain,
8E43.00,Phantom limb syndrome,,"Phantom limb pain is the perception of sensations, including pain, in a limb that has been amputated or a body part that has been removed. These sensations may include a specific position, shape, or movement of the phantom, feelings of warmth or cold, itching, tingling, or electric sensations, and other paraesthesias.",,,"Phantom limb syndrome; Phantom limb; Phantom limb syndrome with pain; Phantom limb pain; chronic phantom pain; Phantom limb syndrome without pain; Phantom limb syndrome, not otherwise specified"
8E44,Post anoxic brain damage,,"Post anoxic brain damage refers to the variable severity of encephalopathy that results from circulatory arrest, hypotension or asphyxia.",,,"Post anoxic brain damage; Complicating cardiac arrest; Complicating severe, prolonged hypotension; Complicating asphyxia; Complicating event, not elsewhere classified; Complicating respiratory arrest"
8E45,Locked-in syndrome,,,,,Locked-in syndrome
8E46,Reye syndrome,,"Reye syndrome is sudden (acute) brain damage (encephalopathy) and liver function problems of unknown cause. The syndrome has occurred with the use of aspirin to treat chickenpox or the flu in children. However, it has become very uncommon since aspirin is no longer recommended for routine use in children. Reye syndrome often begins with vomiting, which lasts for many hours. The vomiting is quickly followed by irritable and aggressive behaviour. There is no specific treatment for this condition. The health care provider will monitor the pressure in the brain, blood gases, and blood acid-base balance (pH).",,,Reye syndrome; Reye encephalopathy; fatty liver with encephalopathy; liver fatty metamorphosis--acute encephalopathy syndrome
8E47,"Encephalopathy, not elsewhere classified",,Global brain dysfunction,,,"Encephalopathy, not elsewhere classified; encephalopathy NEC; encephalopathy NOS; encephalopathy disease; encephalopathy syndrome; Metabolic encephalopathy; toxic metabolic encephalopathy; Cystic encephalopathy, not elsewhere classified; cystic cerebral encephalopathy; Vascular encephalopathy, not elsewhere classified"
8E48,"Encephalitis, not elsewhere classified",,,,,"Encephalitis, not elsewhere classified; encephalitis NEC; idiopathic encephalitis"
8E49,Postviral fatigue syndrome,,,chronic fatigue syndrome; myalgic encephalomyelitis,Fatigue,Postviral fatigue syndrome; Akureyri disease; Benign myalgic encephalomyelitis; CFS - [chronic fatigue syndrome]; Iceland disease; Icelandic disease; ME - [myalgic encephalomyelitis]; ME/CFS – [myalgic encephalomyelitis/chronic fatigue syndrome]; PVFS - [postviral fatigue syndrome]; chronic fatigue syndrome; epidemic neuromyasthenia; myalgic encephalomyelitis; myalgic encephalomyelitis syndrome; myalgic encephalomyelitis/chronic fatigue syndrome; neuromyasthenia
8E4A,Paraneoplastic or autoimmune disorders of the nervous system,,"Paraneoplastic and autoimmune disorders of the nervous system result from a targeted immune attack on neurons or glial cells in the central (e.g. encephalopathy, ataxia, myelitis) or peripheral nervous systems (peripheral or autonomic neuropathies, neuromuscular junction disorders or myopathy). In the paraneoplastic context, this attack is a consequence of a potentially effective tumour immune response initiated by onco-neural antigens derived from a systemic cancer. In the non-paraneoplastic context termed autoimmune the etiology remains elusive though increasing evidence indicates a preceding infectious trigger in at least some cases. These disorders are commonly multifocal causing injury and symptoms arising from involvement at many levels of the nervous system. A personal or family history of autoimmunity is often found. Accompanying neural and non-organ specific (thyroid peroxidase [TPO] antibodies) autoantibodies may be found. The neural autoantibody profile may be predictive of a specific cancer type and may be associated with a particular neurological phenotype. Exclusion of alternative etiologies (e.g. infections) is important. Response to immunotherapy may support the diagnosis.",,,
8E4A.0,"Paraneoplastic or autoimmune disorders of the central nervous system, brain or spinal cord",,"Paraneoplastic and autoimmune disorders of the central nervous system, brain and spinal cord nervous system result from a targeted immune attack on neurons or glial cells in the central (e.g. encephalopathy, ataxia, myelopathy, myelitis) nervous system. In the paraneoplastic context, this attack is a consequence of a potentially effective tumour immune response initiated by onco-neural antigens derived from a systemic cancer. In the non-paraneoplastic context termed ‘autoimmune’ the etiology remains elusive though increasing evidence indicates a preceding infectious trigger in at least some cases. These disorders are commonly multifocal causing injury and symptoms arising from involvement at many levels of the central nervous system. A personal or family history of autoimmunity is often found. Accompanying neural and non-organ specific (thyroid peroxidase [TPO] antibodies) autoantibodies may be found. The neural autoantibody profile may be predictive of a specific cancer type and may be associated with a particular neurological phenotype. Exclusion of alternative etiologies (e.g. infections) is important. Response to immunotherapy may support the diagnosis.",,,"Paraneoplastic or autoimmune disorders of the central nervous system, brain or spinal cord; Paraneoplastic encephalitis; Paraneoplastic encephalitis, neural autoantibody positive; Paraneoplastic encephalitis, neural autoantibody negative; Autoimmune encephalitis; Hashimoto encephalitis; non-vasculitic autoimmune meningoencephalitis; Autoimmune encephalitis, neural autoantibody positive; Autoimmune encephalitis, neural autoantibody negative; Paraneoplastic encephalopathy; Autoimmune encephalopathy; Hashimoto’s encephalopathy; SREAT - [steroid-responsive-encephalopathy-associated with autoimmune thyroiditis]; autoimmune dementia; immunotherapy responsive encephalopathy; Paraneoplastic limbic encephalitis; Paraneoplastic limbic encephalitis, neural autoantibody positive; Paraneoplastic limbic encephalitis, neural autoantibody negative; Autoimmune limbic encephalitis; Autoimmune limbic encephalitis, Neural autoantibody positive; Autoimmune limbic encephalitis, Neural autoantibody negative; Paraneoplastic brainstem encephalitis; Paraneoplastic rhomboencephalitis; paraneoplastic brain stem syndrome; Paraneoplastic brainstem encephalitis, neural autoantibody positive; Paraneoplastic brainstem encephalitis, neural autoantibody negative; Autoimmune brainstem encephalitis; autoimmune rhomboencephalitis; Autoimmune brainstem encephalitis, neural autoantibody positive; Autoimmune brainstem encephalitis, neural autoantibody negative; Paraneoplastic cerebellar degeneration; paraneoplastic ataxia; Paraneoplastic cerebellar degeneration, neural autoantibody positive; Paraneoplastic cerebellar degeneration, neural autoantibody negative; Autoimmune cerebellar degeneration or cerebellitis; autoimmune ataxia; Autoimmune cerebellar degeneration or cerebellitis, neural autoantibody positive; Autoimmune cerebellar degeneration or cerebellitis, neural autoantibody negative; Paraneoplastic encephalomyelitis; Paraneoplastic encephalomyelitis, neural autoantibody positive; Paraneoplastic encephalomyelitis, neural autoantibody negative; Paraneoplastic movement disorder; Paraneoplastic movement disorder, autoantibody positive; Paraneoplastic movement disorder, autoantibody negative; Paraneoplastic chorea; Paraneoplastic dyskinesia; Autoimmune movement disorder; paediatric autoimmune neuropsychiatric disorders associated with streptococcal infections [PANDAS]; Autoimmune movement disorder, autoantibody positive; Autoimmune movement disorder, autoantibody negative; Autoimmune chorea; Autoimmune dyskinesia; Autoimmune dystonia; Autoimmune myoclonus; Paraneoplastic myelopathy; Paraneoplastic myelitis; Paraneoplastic myelopathy, neural autoantibody positive; Paraneoplastic myelopathy, neural autoantibody negative; Autoimmune myelopathy; autoimmune myelitis; Autoimmune myelopathy, neural autoantibody positive; Autoimmune myelopathy, neural autoantibody negative; Stiff person syndrome; Moersch-Woltman syndrome; stiff man syndrome; Stiff person syndrome classic form; Stiff person syndrome classic form, glutamic acid decarboxylase-autoantibody positive; Stiff person syndrome classic form, other neural autoantibody negative; Stiff person syndrome classic form, other neural autoantibody positive; Paraneoplastic stiff person syndrome classic form; Stiff person syndrome variant form; Stiff person syndrome variant form, glutamic acid decarboxylase autoantibody positive; Stiff person syndrome variant form, other neural antibody positive; Stiff person syndrome variant form, neural antibody negative; Paraneoplastic stiff person syndrome variant form; Neuromyelitis optica spectrum disorder; Certain specified neurological disorder aquaporin-4 antibody positive; Chronic lymphocytic inflammation with pontine perivascular enhancement responsive to steroids; CLIPPERS - [Chronic lymphocytic inflammation with pontine perivascular enhancement responsive to steroids]; Anti-NMDA receptor encephalitis; Paraneoplastic dystonia"
8E4A.1,Paraneoplastic or autoimmune disorders of the peripheral or autonomic nervous system,,"Paraneoplastic and autoimmune disorders of the peripheral and autonomic nervous system result from a targeted immune attack on neurons or glial cells in the peripheral nervous systems (peripheral or autonomic neuropathies). In the paraneoplastic context, this attack is a consequence of a potentially effective tumour immune response initiated by onco-neural antigens derived from a systemic cancer. In the non-paraneoplastic context termed autoimmune the etiology remains elusive though increasing evidence indicates a preceding infectious trigger in at least some cases. Onset may be subacute or insidious and these disorders may be limited, multifocal or generalised. Autoimmune somatic peripheral nerve disorders may affect the nerve at multiple levels including root, nerve and plexus and may be axonal, demyelinating or both. Autoimmune autonomic disorders result in autonomic failure that can be partial or generalised. The prototypic autonomic neuropathy is the autoimmune ganglionopathy associated with antibodies targeting the ganglionic nicotinic acetylcholine receptor (α3 gAChR). Screening for cancer is appropriate for those with specific neural antibody profiles and other risk factors.

Associated neural antibodies in peripheral neuropathies include anti neuronal nuclear antibody type 1 or anti-Hu, CASPR2, gAChR, ganglioside (GM1 IgG and IGM) antibodies.",,,"Paraneoplastic or autoimmune disorders of the peripheral or autonomic nervous system; Paraneoplastic sensory ganglionopathy; Paraneoplastic sensory neuronopathy; Paraneoplastic sensory ganglionopathy, neural autoantibody negative; Autoimmune sensory ganglionopathy; Autoimmune sensory ganglionopathy, neural autoantibody negative; Autoimmune sensory ganglionopathy, neural autoantibody positive; Autoimmune neuritis; Autoimmune brachial neuritis; Autoimmune radiculoplexoneuropathy; Radiculoplexoneuropathy; Nondiabetic radiculoplexoneuropathy; Chronic immune demyelinating polyradiculoneuropathy; Brachial variant of chronic immune demyelinating polyradiculoneuropathy; Post surgical plexitis; Postsurgical plexitis; Post surgical brachial plexitis; Post surgical lumbosacral plexitis; Paraneoplastic sensorimotor neuropathy; Paraneoplastic sensorimotor neuropathy, neural autoantibody negative; Paraneoplastic sensorimotor neuropathy, neural autoantibody positive; Vasculitis or vasculitic neuropathy; Systemic multiple mononeuropathy vasculitis; Multiple mononeuropathy vasculitis with mixed cryoglobulinemia; Multiple mononeuropathy vasculitis with perinuclear antineutrophil cytoplasmic antibody-associated vasculitis; Multiple mononeuropathy vasculitis with Churg-Strauss syndrome; Multiple mononeuropathy vasculitis with Wegener granulomatosis; Non-systemic multiple mononeuropathy vasculitis; Nerve restricted multiple mononeuropathy vasculitis; Autoimmune sensorimotor neuropathy; Autoimmune sensorimotor neuropathy, neural autoantibody negative; Autoimmune sensorimotor neuropathy, neural autoantibody positive; Autoimmune autonomic neuropathy; autoimmune autonomic ganglionopathy; autoimmune dysautonomia; autoimmune pure autonomic failure; Pandysautonomia; Pandysautonomia neural autoantibody positive; Pandysautonomia neural autoantibody negative; Autoimmune autonomic neuropathy, ganglionic acetylcholine receptor antibody positive; Autoimmune autonomic neuropathy, other neural autoantibody positive; Autoimmune autonomic neuropathy, neural autoantibody negative; Limited autoimmune autonomic neuropathy; Limited autoimmune autonomic neuropathy, ganglionic acetylcholine receptor antibody positive; Limited autoimmune autonomic neuropathy, neural autoantibody positive; Limited autoimmune autonomic neuropathy, neural autoantibody negative; Paraneoplastic autonomic intussusception; Autoimmune acquired autonomic encephalomyelitis; Paraneoplastic sensory neuropathy; Denny Brown; Paraneoplastic sensory neuropathy, neural autoantibody negative; Paraneoplastic sensory neuropathy, neural autoantibody positive; Autoimmune sensory neuropathy; Autoimmune sensory neuropathy, neural autoantibody negative; Autoimmune sensory neuropathy, neural autoantibody positive; Paraneoplastic motor neuropathy; Paraneoplastic motor neuropathy, neural autoantibody negative; Autoimmune motor neuropathy; Autoimmune motor neuropathy, neural autoantibody negative; Autoimmune motor neuropathy, neural autoantibody positive; Monoclonal gammopathy of undetermined significance-associated neuropathies; MGUS - [monoclonal gammopathy of undetermined significance] associated neuropathies; Castleman disease with IgM-associated neuropathy; Myelin-associated glycoprotein; MAG - [Myelin-associated glycoprotein]; Distal acquired demyelinating neuropathy; DADS - [Distal acquired demyelinating neuropathy]; IgG, IgA or IgM-associated osteosclerotic myeloma with polyneuropathy organomegaly endocrinopathy M-spike and skin changes; Paraneoplastic neuromyopathy and neuropathy; Carcinomatous neuromyopathy; Sensorial paraneoplastic neuropathy [Denny Brown]; carcinomatous neuropathy; Paraneoplastic disorders of the spinal cord; Paraneoplastic autonomic neuropathy; Paraneoplastic neuropathy of unspecified site"
