Code,title,Fully Specified Name,Description,Inclusions,Exclusions,Index Terms
10,Diseases of the ear or mastoid process,,This chapter contains diseases of the ear and diseases of the mastoid process.,,"Certain conditions originating in the perinatal period; Certain infectious or parasitic diseases; Complications of pregnancy, childbirth and the puerperium; Endocrine, nutritional or metabolic diseases; Injury, poisoning or certain other consequences of external causes; Neoplasms",
AA00,Abscess of external ear,,"A fluctuant collection of purulent exudate and necrotic tissue located in the external auditory canal or in the soft tissues of the pinna, most commonly due to Staphylococcus aureus.",,,Abscess of external ear; Abscess of pinna; Abscess of external auditory canal
AA01,Cellulitis of external ear,,"A diffuse subacute bacterial infection of the soft tissues of the external ear, most commonly due to beta-haemolytic streptococci. It may arise within an apparently healthy external ear but may complicate both inflammatory and infective forms of otitis externa.",,Erysipelas of external ear; Staphylococcal cellulitis of skin; Streptococcal cellulitis of skin,Cellulitis of external ear; Cellulitis of external auditory canal; Cellulitis of pinna; Cellulitis of auricle
AA02,Malignant otitis externa,,"Malignant otitis externa is a rare life-threatening infective complication of otitis externa. It is due in the majority of cases to Pseudomonas aeruginosa. Organisms penetrate from the external ear canal into the surrounding deeper tissues resulting in osteomyelitis of the temporal bone and risks of damage to adjacent cranial nerves and septic thrombo-emboli to the brain. Advanced age, uncontrolled diabetes mellitus and immunosuppression are risk factors.",,,Malignant otitis externa; Necrotising otitis externa; Pseudomonas aeruginosa osteomyelitis of the temporal bone
AA03,Otomycosis,,"Fungal infection of the ear. Otomycosis is due to Aspergillus spp., especially A. niger, in 75% or more of cases and Candida in most of the remainder.",,,Otomycosis
AA04,Perichondritis of external ear,,"Perichondritis is an infection of the tissue surrounding the cartilage of the outer ear, the perichondrium. It usually results from injury to the ear from ear surgery, ear piercing (especially piercing of the cartilage), or trauma from contact sports. The most common bacterium causing perichondritis is Pseudomonas aeruginosa. Presenting features include pain, redness and swelling of the auricle, and fever.",,,Perichondritis of external ear; Perichondritis of auricle; Perichondritis of external auditory canal; Perichondritis of pinna
AA10,Seborrhoeic otitis externa,,"Seborrhoeic dermatitis affecting the skin of the external ear. It is usually accompanied by evidence of seborrhoeic dermatitis at other sites. In mild cases it may be asymptomatic but it can present acutely with severe pain, oedema and exudation. Longstanding cases may be complicated by chronic lymphoedema and occlusion of the external auditory canal.",,Seborrhoea,Seborrhoeic otitis externa; Seborrhoeic dermatitis of external ear; Acute seborrhoeic otitis externa; Chronic seborrhoeic otitis externa
AA11,Acute noninfectious otitis externa,,Rapid onset of eczematous inflammation of the outer ear the cause of which cannot be more precisely classified.,,Acute seborrhoeic otitis externa; Allergic contact dermatitis of external ear; Irritant contact dermatitis of external ear,Acute noninfectious otitis externa; acute eczematoid otitis externa; non-infective acute otitis externa
AA12,Chondrodermatitis nodularis,,A common pressure-induced painful nodule or ulcer affecting the external ear. It results from ischaemia of skin and underlying cartilage from a focal point of high pressure from the weight of the recumbent head. The site of involvement is dependent on the shape of the pinna (most commonly the helix is involved but in some individuals it is the antihelix which is more prominent) and whether the sufferer is limited to sleeping on one side and is thus unable to spare the ear from constant pressure when lying in bed.,,,Chondrodermatitis nodularis; Chondrodermatitis nodularis helicis
AA13,Chronic otitis externa,,This is a chronic inflammation of the outer ear and external ear canal (external auditory canal).,,,Chronic otitis externa
AA40,Acquired deformity of external auditory canal,,,,,
AA40.0,Exostosis of external auditory canal,,,,,Exostosis of external auditory canal; Exostosis of external ear canal
AA40.1,Acquired stenosis of external auditory canal,,"Acquired stenosis of external auditory canal was described as resulting from a number of different causes. Since then, histology and imaging studies of this disease have shown that a common cascade of inflammatory changes resulting from these different causes is the primary pathogenesis leading to medial canal fibrosis. Once there is complete obstruction of the external auditory canal, surgery is the primary treatment.",,,Acquired stenosis of external auditory canal; Auditory canal narrowing; acquired stricture of external auditory canal; Collapse of external ear canal
AA40.2,Cholesteatoma of external auditory canal,,,,,Cholesteatoma of external auditory canal; cholesteatoma of external ear
AA41,Acquired deformity of pinna,,Acquired deformities involving the external ear.,acquired deformity of auricle,,
