Code,title,Fully Specified Name,Description,Inclusions,Exclusions,Index Terms
14,Diseases of the skin,,"Diseases of the skin incorporate conditions affecting the epidermis, its appendages (hair, hair follicle, sebaceous glands, apocrine sweat gland apparatus, eccrine sweat gland apparatus and nails) and associated mucous membranes (conjunctival, oral and genital), the dermis, the cutaneous vasculature and the subcutaneous tissue (subcutis).","Diseases of cutaneous vasculature; Diseases of subcutaneous tissue; Diseases of the dermis; Diseases of the epidermal appendages (hair, hair follicle, sebaceous glands, apocrine sweat gland apparatus, eccrine sweat gland apparatus and nails); Diseases of the epidermis",,
EA00,Viral exanthem due to unknown or unspecified agent,,An exanthematic rash with symptoms suggestive of a viral aetiology where the agent is either unknown or unspecified.,,,"Viral exanthem due to unknown or unspecified agent; Viral exanthem; nonspecific exanthematous viral infection; nonspecific viral exanthem; nonspecific viral rash; viral disease characterised by exanthem; viral enanthema NOS; viral exanthem, unspecified; viral exanthema NOS; viral exanthemata; viral rash NOS; virus exanthema"
EA10,Pityriasis rosea,,"Pityriasis rosea is an acute, self-limiting skin disease, probably infective in origin, affecting mainly children and young adults, and characterised by a distinctive skin eruption and minimal constitutional symptoms. The cause of pityriasis rosea is uncertain, but many epidemiological and clinical features suggest that an infective agent may be implicated. In the majority of cases the disease follows a characteristic course whereby a so-called herald patch, larger than subsequent lesions, appears several days before the eruption of multiple oval scaly pink macules over the trunk and proximal limbs predominantly.",,,Pityriasis rosea; Gibert pityriasis; Pityriasis circinata
EA11,Papular purpuric gloves and socks syndrome,,"This acute acral dermatosis is characterised by an intensely pruritic papular and often purpuric eruption affecting the hands, wrists, feet and ankles. This is frequently accompanied by oral inflammation and ulceration, malaise and fever. It affects adults predominantly and had been linked to a range of viral infections, most commonly to parvovirus B19.",,,Papular purpuric gloves and socks syndrome
EA12,Infantile papular acrodermatitis,,"Infantile papular acrodermatitis (Gianotti-Crosti syndrome) is a cutaneous reaction pattern to a range of infective agents affecting predominantly young children aged from six months to two years. Agents implicated include hepatitis B virus, Epstein-Barr virus and a number of enteroviruses. The rash consists in a profuse eruption of 5-10 mm diameter dull red flat-topped papules which appear first on the thighs and buttocks, then on the extensor aspects of the arms, and finally on the face. There may be lymphadenopathy but the child is usually otherwise well and the eruption fades over the course of a few weeks.",,Acrodermatitis chronica atrophicans; Acrodermatitis continua of Hallopeau; Acrodermatitis enteropathica; Acrodermatitis perstans,Infantile papular acrodermatitis; Acrodermatitis papulosa infantum; Gianotti-Crosti syndrome; Papular acrodermatitis of childhood
EA20,Necrolytic acral erythema,,Necrolytic acral erythema is a distinctive acrally-located dermatosis affecting patients with active viral hepatitis C. It manifests principally on the dorsal surfaces of the feet and hands as well circumscribed dusky erythematous areas with flaccid blisters in its early stages and elevated scaly psoriasiform plaques in its chronic form. Microscopically there is keratinocyte necrosis in the upper epidermis.,,,Necrolytic acral erythema
EA40,Tropical phagedaenic ulcer,,"Tropical (phagedaenic) ulcer is an acute or chronic skin disease seen in the tropics and subtropics that is characterised by necrosis of the epidermis and underlying superficial tissue. Ulcers may heal spontaneously, leaving regular depressed scars, but sometimes enlarge to enter a chronic phase. Chronic ulcers are often large and irregular in shape and may involve the whole circumference of a limb. Pseudoepitheliomatous changes can develop which may proceed to the development of frank squamous carcinoma. Vincent's organisms (Fusobacterium nucleatum and Borrelia vincentii) are thought to play a pathogenic role.",,,Tropical phagedaenic ulcer; Phagedaenic ulcer; Tropical ulcer
EA50,Toxin-mediated cutaneous reactions to distant or systemic bacterial infection,,,,,
EA50.0,Erythema marginatum rheumaticum,,A cutaneous exanthem occurring in up to 10% of cases of rheumatic fever. The rash appears as widespread pink or red macules or papules that expand centrifugally with central clearing to form annular or polycyclic erythematous plaques. The exanthem may persist intermittently for weeks to months.,,,Erythema marginatum rheumaticum
EA50.1,Streptococcal toxin-mediated perineal erythema,,Streptococcal toxin-mediated perineal erythema is characterised by a striking diffuse macular erythema in the perineum occurring abruptly after a streptococcal pharyngitis. It is often recurrent.,,,Streptococcal toxin-mediated perineal erythema
EA50.2,Staphylococcal scalded skin syndrome,,"A syndrome caused by an infection with the gram-positive bacteria Staphylococcus. This syndrome is characterised by fever, blisters, erythema, large areas of skin peel, or Nikolsky’s sign. Transmission is by direct or indirect contact with an infected individual, through fomites, or by iatrogenic transmission. Confirmation is by identification of Staphylococcus in a blood or skin sample.",,Toxic epidermal necrolysis,Staphylococcal scalded skin syndrome; Ritter disease; SSSS - [staphylococcal scalded skin syndrome]; Pemphigus neonatorum
EA50.3,Staphylococcal scarlatina,,"An exanthem mediated by staphylococcal toxins from distant Staphylococcus aureus infection but without the systemic complications seen in staphylococcal toxic shock syndrome, of which it may be regarded as a mild form. Clinically it resembles scarlet fever.",,Scarlatina NOS,Staphylococcal scarlatina
EA51,Skin complications of BCG immunisation,,Complications secondary to immunization with attenuated Mycobacterium bovis (Bacillus Calmette-Guérin or BCG).,,Cutaneous tuberculosis,Skin complications of BCG immunisation; BCG granuloma; BCG ulcer; BCG-induced lupus vulgaris; BCG-induced regional lymphadenopathy; BCG-induced scrofuloderma
