Code,title,Fully Specified Name,Description,Inclusions,Exclusions,Index Terms
02,Neoplasms,,"An abnormal or uncontrolled cellular proliferation which is not coordinated with an organism's requirements for normal tissue growth, replacement or repair.",,,
2A00,Primary neoplasms of brain,,,,,Primary neoplasms of brain
2A00.0,Gliomas of brain,,,,,
2A00.00,Glioblastoma of brain,,"Glioblastomas are malignant astrocytic tumours (grade IV according to the WHO classification). They represent the most frequent brain tumours in adults. They may occur at any age, but 70% of cases are seen in patients between 45 and 70 years of age. The tumours are usually located in the brain hemispheres, but can be found anywhere in the central nervous system.",glioblastoma NOS,,Glioblastoma of brain; glioblastoma NOS; Giant cell glioblastoma; giant cell glioblastoma of unspecified site; Monstrocellular sarcoma of unspecified site; Gliosarcoma of brain; glioblastoma with sarcomatous component of unspecified site; Glioblastoma multiforme of brain; Spongioblastoma of unspecified site; Primitive polar spongioblastoma of unspecified site; polar spongioblastoma; spongioblastoma polare of unspecified site; Spongioblastoma multiforme of unspecified site
2A00.1,Embryonal tumours of brain,,,,,
2A00.10,Medulloblastoma of brain,,"A malignant, invasive embryonal neoplasm arising from the cerebellum. It occurs predominantly in children and has the tendency to metastasize via the cerebrospinal fluid pathways. Signs and symptoms include truncal ataxia, disturbed gait, lethargy, headache, and vomiting. There are four histologic variants: anaplastic medulloblastoma, desmoplastic/nodular medulloblastoma, large cell medulloblastoma, and medulloblastoma with extensive nodularity.",,,Medulloblastoma of brain; medulloblastoma of unspecified site; medullomyoblastoma of unspecified site; Anaplastic large cell medulloblastoma; Classic medulloblastoma; Desmoplastic nodular medulloblastoma; Medulloblastoma with extensive nodularity of brain; Neuroepithelioma
2A00.11,Central primitive neuroectodermal tumour,,A malignant neoplasm that originates in the neuroectoderm. The neuroectoderm constitutes the portion of the ectoderm of the early embryo that gives rise to the central and peripheral nervous systems and includes some glial cell precursors.,,,Central primitive neuroectodermal tumour; central nervous system primitive neuroectodermal tumour; cpnet - [central primitive neuroectodermal tumour]; pnet - [primitive neuroectodermal tumour]; Brain neuroblastoma; Ependymoblastoma of brain; ependymoblastoma of unspecified site; Ganglioneuroblastoma of brain; Medulloepithelioma; Teratoid medulloepithelioma of unspecified site
2A00.2,Tumours of neuroepithelial tissue of brain,,,,,
2A00.20,Tumours of the pineal gland or pineal region,,,,,"Tumours of the pineal gland or pineal region; Malignant miscellaneous tumours of pineal gland; Papillary tumour of the pineal region; Pineal parenchymal tumour of intermediate differentiation; Malignant epithelial neoplasms of pineal gland, unspecified type; Primary neoplasm of brain, Pineoblastoma; pinealoblastoma; Pineocytoma"
2A00.21,Mixed neuronal-glial tumours,,,,,Mixed neuronal-glial tumours; Anaplastic ganglioglioma of brain; Desmoplastic infantile astrocytoma or ganglioglioma; Dysembryoplastic neuroepithelial tumour of brain; Papillary glioneuronal tumour of brain; Rosette-forming glioneuronal tumour of the fourth ventricle; Gangliocytoma of brain; Ganglioglioma; glioneuroma of unspecified site; Nasal ganglioglioma; Ganglioneuroma of brain; neuroastrocytoma of unspecified site; Dysplastic cerebellar gangliocytoma; Lhermitte-Duclos disease
2A00.22,Choroid plexus tumours,,,,,Choroid plexus tumours; anaplastic choroid plexus papilloma; choroid plexus papilloma NOS; choroid plexus papilloma in fourth ventricle; papilloma of choroid plexus; plexus choroideus papilloma; plexus choroideus papilloma in fourth ventricle; Choroid plexus papilloma; choroid plexus papilloma (grade 1 lesion); Atypical choroid plexus papilloma; Atypical papilloma of choroid plexus; atypical choroid plexus papilloma (grade 2 lesion); Choroid plexus carcinoma; choroid plexus carcinoma (grade 3 lesion)
2A00.3,Central neurocytoma of brain,,Central neurocytoma is a very rare brain tumour of young adults. It is typically found in the lateral ventricles and occasionally in the third ventricle. Symptoms are those of increased intracranial pressure.,,,Central neurocytoma of brain
2A00.4,Astroblastoma of the brain,,"A rare glial neoplasm more commonly found in young adults. It is characterised by tumour cells with characteristics suggestive of an astrocytic origin (positive for GFAP), arranged perivascularly. The cells have broad, non-tapering processes radiating towards a central blood vessel. The biologic behaviour of astroblastomas is variable, so no WHO grade has been established, yet.",,,Astroblastoma of the brain; astroblastoma of unspecified site
2A00.5,Primary neoplasm of brain of unknown or unspecified type,,,,,"Primary neoplasm of brain of unknown or unspecified type; brain tumour NOS; cerebral neoplasia NOS; cerebrum neoplasia NOS; Hypothalamic neoplasm; Brain hemangiopericytoma; Malignant neoplasms of brain; brain cancer; malignant brain tumour NOS; malignant neoplasm of brain NOS; Malignant neoplasm of cerebrum, except lobes and ventricles; cerebral cancer; cerebral cortex cancer; cerebral cortical cancer; cerebral hemisphere cancer; cerebrum cancer; cerebrum cortex cancer; cerebrum cortical cancer; cerebrum hemisphere cancer; corpus striatum cancer; hypothalamic cancer; malignant neoplasm of cerebrum; primary malignant neoplasm of cerebrum; White matter cancer; Thalamic cancer; Malignant neoplasm of frontal lobe of brain; frontal lobe cancer; primary malignant neoplasm of frontal lobe; Malignant neoplasm of temporal lobe of brain; primary malignant neoplasm of temporal lobe; temporal lobe cancer; Malignant neoplasm of parietal lobe of brain; parietal lobe cancer; primary malignant neoplasm of parietal lobe; Malignant neoplasm of occipital lobe of brain; occipital lobe cancer; primary malignant neoplasm of occipital lobe; Malignant neoplasm of cerebral ventricle; cerebral ventricle cancer; ventricle cancer; ventricular cancer; Malignant neoplasm of cerebellum; cancer of the cerebellum; cerebellar cancer; cerebellum cancer; malignant neoplasm of cerebellum NOS; primary malignant neoplasm of cerebellum; Malignant neoplasm of brain stem; Infratentorial cancer NOS; medulla oblongata cancer; midbrain cancer; pons cancer; pontine cancer; Malignant neoplasm involving overlapping sites of brain; Benign neoplasm of brain, supratentorial; Benign neoplasm of cerebrum; Benign cerebral neoplasm; benign cerebral tumour; Benign neoplasm of cerebral ventricle; Benign neoplasm of choroid plexus; benign choroid plexus neoplasm; benign tumour of choroid plexus; Benign neoplasm of hypothalamus; benign hypothalamic neoplasm; Benign neoplasm of frontal lobe; Benign neoplasm of occipital lobe; Benign neoplasm of parietal lobe; Benign neoplasm of temporal lobe; Benign neoplasm of the thalamus; benign thalamic neoplasm; benign thalamus neoplasm; Benign neoplasm of brain, infratentorial; Benign neoplasm of cerebellum; benign cerebellar neoplasm; Benign neoplasm of medulla oblongata; Benign neoplasm of pons; Neoplasm of uncertain or unknown behaviour of brain; Giant cell subependymal astrocytoma, unspecified site; Subependymal astrocytoma, unspecified site; Papillary ependymoma, unspecified site; Mixed subependymoma-ependymoma of unspecified site; Myxopapillary ependymoma, unspecified site; Subependymoma, unspecified site; Metastatic brain cancer [primary brain cancer spreading elsewhere]; Benign brain tumour; benign brain tumour NOS; nonmalignant brain tumour"
2A01,Primary neoplasms of meninges,,,,,Primary neoplasms of meninges; primary neoplasm of spinal meninges
2A01.0,Meningiomas,,,,,
2A01.00,Primary malignant meningioma,,,,,Primary malignant meningioma; meningeal sarcoma of unspecified site; meningothelial sarcoma of unspecified site; Familial multiple meningioma
2A01.1,Mesenchymal tumour of meninges,,,,,Mesenchymal tumour of meninges
2A01.2,Primary neoplasm of meninges of unknown or unspecified type,,,,,"Primary neoplasm of meninges of unknown or unspecified type; Neoplasm of meninges of uncertain or unknown behaviour; Malignant neoplasms of meninges; Malignant neoplasm of cerebral meninges; brain meninges cancer; cerebral meningeal cancer; cerebral meninges cancer; cerebrum meningeal cancer; cranial meningeal cancer; cranial meninges cancer; cranium meningeal cancer; cranium meninges cancer; primary malignant neoplasm of cerebral meninges; tentorial cancer; Malignant neoplasm of spinal meninges; primary malignant neoplasm of spinal meninges; spinal arachnoid cancer; spinal meningeal cancer; Malignant neoplasm of meninges, unspecified; arachnoid cancer; cancer of the meninges; malignant meningeal neoplasm; malignant neoplasm of meninges NOS; malignant tumour of meninges; meningeal cancer; primary malignant neoplasm of meninges; subdural cancer; Benign neoplasm of meninges, unspecified; benign meningeal neoplasm; benign meninges neoplasm; benign neoplasm of meninges NOS; benign tumour of meninges; Psammoma of unspecified site; Neoplasm of uncertain or unknown behaviour of cerebral meninges; Neoplasm of uncertain or unknown behaviour of spinal meninges"
2A02,"Primary neoplasm of spinal cord, cranial nerves, paraspinal nerves or remaining parts of central nervous system",,,,,
2A02.0,"Gliomas of spinal cord, cranial or paraspinal nerves",,,,,
2A02.00,"Glioblastoma of spinal cord, cranial or paraspinal nerves",,,,,"Glioblastoma of spinal cord, cranial or paraspinal nerves"
2A02.1,Tumours of cranial or paraspinal nerves,,,,,
2A02.10,Malignant peripheral nerve sheath tumour of cranial or paraspinal nerves,,Malignant schwannoma is a tumour of the peripheral nervous system that arises in the nerve sheath.,,"Malignant nerve sheath tumour of peripheral nerves or autonomic nervous system, primary site",Malignant peripheral nerve sheath tumour of cranial or paraspinal nerves; neurofibrosarcoma
2A02.11,Paraspinal neuroblastoma,,,,,Paraspinal neuroblastoma; neuroblastoma of sympathetic nervous system; paraspinous neuroblastoma
2A02.12,Malignant neoplasm of the optic nerve,,,,,Malignant neoplasm of the optic nerve; primary malignant neoplasm of optic nerve; Malignant ependymomas or choroid plexus tumours of optic nerve; Malignant astrocytomas of optic nerve; Other malignant gliomas of optic nerve; Malignant nerve sheath tumours of optic nerve; Other specified malignant neoplasms of optic nerve
2A02.2,Primary neoplasm of spinal cord of unknown or unspecified type,,,,,Primary neoplasm of spinal cord of unknown or unspecified type; primary malignant neoplasm of spinal cord of unknown or unspecified type; Malignant neoplasm of spinal cord; primary malignant neoplasm of spinal cord; spinal cord cancer; Cervical spinal cord cancer; Lumbar spinal cord cancer; Thoracic spinal cord cancer; thorax spinal cord cancer; Malignant neoplasm of cauda equina; primary malignant neoplasm of cauda equina
2A02.3,Benign neoplasm of cranial nerves,,This is a tumour of cranial nerves having none of the characteristics of a malignant neoplasm.,Vestibular schwannoma,,Benign neoplasm of cranial nerves; neurinoma of unspecified site; Vestibular schwannoma; acoustic schwannoma; Benign neoplasm of abducens nerve; Benign neoplasm of accessory nerve; Benign neoplasm of facial nerve; Benign neoplasm of glossopharyngeal nerve; Benign neoplasm of hypoglossal nerve; Benign neoplasm of oculomotor nerve; Benign neoplasm of olfactory nerve; Benign neoplasm of optic nerve; benign tumour of optic nerve; neuroma of optic nerve; Benign neoplasm of trigeminal nerve; Benign neoplasm of trochlear nerve; Benign neoplasm of vagus nerve; Acoustic neuroma; acoustic neurilemmoma; acoustic neurinoma; benign neoplasm of acoustic nerve
2A02.4,Benign neoplasm of spinal cord,,,,,Benign neoplasm of spinal cord; benign tumour of spinal cord; Benign neoplasm of cauda equina
2A20,Non mast cell myeloproliferative neoplasms,,,,,
2A20.0,"Chronic myelogenous leukaemia, BCR-ABL1-positive",,,,"Chronic myeloid leukaemia, not elsewhere classified; Atypical chronic myeloid leukaemia, BCR-ABL1-negative; Chronic myelomonocytic leukaemia",
2A20.00,Chronic myelogenous leukaemia with blast crisis,,,,,Chronic myelogenous leukaemia with blast crisis
2A20.01,"Chronic myelogenous leukaemia, Philadelphia chromosome (Ph1) positive",,,,,"Chronic myelogenous leukaemia, Philadelphia chromosome (Ph1) positive"
2A20.02,"Chronic myelogenous leukaemia, t(9:22)(q34; q11)",,,,,"Chronic myelogenous leukaemia, t(9:22)(q34; q11)"
2A20.03,Naegeli-type monocytic leukaemia,,,,,Naegeli-type monocytic leukaemia
2A20.1,Chronic neutrophilic leukaemia,,"A rare chronic myeloproliferative neoplasm characterised by sustained peripheral blood neutrophilia, bone marrow hypercellularity due to neutrophilic granulocyte proliferation, and hepatosplenomegaly. The neutrophils lack dysplasia and often show toxic granulations. There is no detectable Philadelphia chromosome or BCR/ABL1 fusion gene.",,,Chronic neutrophilic leukaemia
2A20.2,Primary myelofibrosis,,,chronic idiopathic myelofibrosis,Acute panmyelosis with myelofibrosis,Primary myelofibrosis; chronic idiopathic myelofibrosis; myelofibrosis NOS; Myelofibrosis with myeloid metaplasia; idiopathic myelofibrosis with myeloid metaplasia; megakaryocytic myeloid metaplasia; megakaryocytic myelosclerosis with myeloid metaplasia
2A20.3,"Chronic eosinophilic leukaemia, not elsewhere classified",,"A chronic myeloproliferative neoplasm characterised by persistent eosinophilia in the blood, bone marrow and peripheral tissues. Organ damage occurs as a result of leukaemic infiltration or the release of cytokines, enzymes or other proteins by the eosinophils. Chronic eosinophilic leukaemia, not otherwise specified excludes patients with a Ph chromosome, BCR-ABL1 fusion gene or rearrangement of PDGFRA, PDGFRB or FGFR1.",,,"Chronic eosinophilic leukaemia, not elsewhere classified"
2A20.4,Polycythaemia vera,,"Polycythaemia vera (PV) is a clonal myeloproliferative neoplasm characterized by erythrocytosis frequently accompanied by leukocytosis, and/or thrombocytosis, and an associated increased risk of haemorrhagic and thrombotic (venous and arterial) complications. JAK2 p.V617F and JAK2 (Janus kinase 2) exon12 mutations have been strongly associated with PV.",,,Polycythaemia vera; Heilmeyer-Schoner disease; Vaquez Osler disease; Vaquez disease; polycythaemia rubra vera; primary polycythaemia
2A20.5,"Non mast cell myeloproliferative neoplasm, unclassifiable",,"Cases that have definite features of myeloproliferative neoplasms (MPN), but fail to meet the criteria of a specific MPN subtype.",,,"Non mast cell myeloproliferative neoplasm, unclassifiable"
2A21,Mastocytosis,,"Mastocytosis is due to a clonal, neoplastic proliferation of mast cells that accumulate in one or more organ systems. Activating mutations of KIT are frequently found. It is characterised by the presence of multifocal compact clusters or cohesive aggregates/infiltrates of abnormal mast cells. The disorder is heterogeneous, ranging from skin lesions that may spontaneously regress to highly aggressive neoplasms associated with multiorgan failure and short survival. Subtypes of mastocytosis are recognised mainly by the distribution of the disease and clinical manifestations. In cutaneous mastocytosis (CM), the mast cell infiltration remains confined to the skin, whereas systemic mastocytosis (SM) is characterised by involvement of at least one extracutaneous organ with or without evidence of skin lesions. Mastocytosis should be strictly separated from mast cell hyperplasia or mast cell activation states without morphological and/or molecular abnormalities that characterize the neoplastic proliferation.",,,
2A21.0,Systemic mastocytosis,,"Systemic mastocytosis (SM) comprises a heterogeneous group of rare acquired and chronic haematological malignancies that are related to an abnormal proliferation of mast cells in tissue, including bone marrow, with or without skin involvement. SM can be divided into indolent SM (ISM) and aggressive SM (ASM).",,,
2A21.00,Mast cell leukaemia,,,,,Mast cell leukaemia; mast cell leukaemia NOS; mast cell leukaemia without mention of remission; Aleukaemic mast cell leukaemia; Classic mast cell leukaemia; Mast cell leukaemia in complete remission
2A21.1,Cutaneous mastocytosis,,"Cutaneous mastocytosis is characterised by abnormal accumulation and proliferation of cutaneous mast cells. Most types are isolated but cutaneous mastocytosis can occur in association with systemic disease. Clinical forms include cutaneous mastocytoma, urticaria pigmentosa (the most frequent form), pseudoxanthomatous nodular cutaneous mastocytosis, telangiectasia macularis eruptiva perstans and diffuse cutaneous mastocytosis.",,,
2A21.10,Urticaria pigmentosa,,,Maculopapular cutaneous mastocytosis,,Urticaria pigmentosa; Maculopapular cutaneous mastocytosis
2A21.2,Mast cell sarcoma,,"A rare entity characterised by localised but destructive growth of a tumour consisting of highly atypical, immature mast cells.",,,Mast cell sarcoma
2A21.3,Extracutaneous mastocytoma,,A localised tumour consisting of mature mast cells.,,,Extracutaneous mastocytoma
2A30,Refractory anaemia,,,,,Refractory anaemia; refractory anaemia without sideroblasts
2A31,Refractory neutropaenia,,A myelodysplastic syndrome characterised by the presence of at least 10% dysplastic neutrophils in the bone marrow or the peripheral blood.,,,Refractory neutropaenia
2A32,Refractory thrombocytopenia,,"A myelodysplastic syndrome characterised by the presence of at least 10% dysplastic megakaryocytes, found within at least 30 megakaryocytes examined in the bone marrow.",,,Refractory thrombocytopenia
2A33,Refractory anaemia with ring sideroblasts,,A myelodysplastic syndrome characterised by an anaemia in which 15% or more of the erythroid precursors are ringed sideroblasts. The ring sideroblast is an erythroid precursor in which one third or more of the nucleus is encircled by granules which are positive for iron stain.,,,Refractory anaemia with ring sideroblasts; RARS - [refractory anaemia with ringed sideroblasts]; acquired idiopathic sideroblastic anaemia; primary acquired sideroblastic anaemia; refractory anaemia with sideroblasts; refractory sideroblastic anaemia; Refractory anaemia with hemochromatosis
2A34,Refractory cytopenia with multi-lineage dysplasia,,A myelodysplastic syndrome characterised by bi-cytopenia or pancytopenia and dysplastic changes in 10% or more of the cells in two or more of the myeloid cell lines.,,,Refractory cytopenia with multi-lineage dysplasia; Refractory anaemia with multi-lineage dysplasia; Refractory anaemia with excess blasts in transformation; refractory anaemia with sideroblasts with transformation
