Code,title,Fully Specified Name,Description,Inclusions,Exclusions,Index Terms
05,"Endocrine, nutritional or metabolic diseases",,"This chapter includes endocrine diseases, nutritional diseases as well as metabolic diseases.",,"Pregnancy, childbirth or the puerperium; Transitory endocrine or metabolic disorders specific to fetus or newborn",
5A00,Hypothyroidism,,,,,
5A00.0,Congenital hypothyroidism,,"Hypothyroidism is a condition where the thyroid gland produces too little or no thyroid hormone, and the condition arises at birth. Common clinical features include decreased activity and increased sleep, feeding difficulty and constipation, prolonged jaundice, myxedematous facies, large fontanels (especially posterior), macroglossia, a distended abdomen with umbilical hernia, and hypotonia.",,,
5A00.00,Permanent congenital hypothyroidism with diffuse goitre,,"A condition caused by a partial or complete loss of thyroid function due to failure of the thyroid to correctly develop during the antenatal period. This condition is characterised by a swollen, smooth thyroid gland, and in infants by a dull look, puffy face, and thick tongue that sticks out. This condition may also present with choking episodes, constipation, dry brittle hair, jaundice, lack of muscle tone, low hairline, poor feeding, short height, sleepiness, or sluggishness.",,transitory congenital goitre with normal function,Permanent congenital hypothyroidism with diffuse goitre; congenital diffuse goitre; congenital diffuse struma; congenital goitre NOS; congenital hypothyroidism with diffuse goitre; congenital nontoxic goitre; congenital nontoxic parenchymatous goitre; congenital parenchymatous goitre; congenital parenchymatous struma; congenital plunging goitre; congenital struma; congenital substernal goitre; goitrous cretin; neonatal struma; Primary congenital hypothyroidism due to impaired hormone production; Dyshormonogenetic hypothyroidism; Familial dyshormonogenetic goitre; Familial thyroid dyshormonogenesis; Hereditary thyroid dyshormonogenesis; dyshormogenetic goitre; dyshormogenetic struma; familial dyshormogenetic goitre; Congenital hypothyroidism due to iodotyrosine deiodinase; Congenital hypothyroidism due to dual oxidase 2 mutation; Congenital hypothyroidism due to dual oxidase maturation factor 2; Congenital hypothyroidism due to iodine or sodium symporter mutations; Congenital hypothyroidism due to thyroglobulin mutations; Congenital hypothyroidism due to thyroid deiodinase mutations; Congenital hypothyroidism due to thyroid peroxidase mutations; Hypothyroidism with sensorineural deafness; Genetic defect in thyroid hormonogenesis 2B; thyroid hormone organification defect ii b; Hypothyroidism due to peripheral resistance to thyroid hormones; Mutation of the thyroid receptor beta
5A00.01,Permanent congenital hypothyroidism without goitre,,This is a permanent congenital state in which the thyroid gland does not make enough thyroid hormone. This diagnosis is without swelling of the thyroid gland.,,,Permanent congenital hypothyroidism without goitre; Congenital atrophy of thyroid; aplasia of thyroid; congenital hypothyroidism without goitre; congenital subthyroidism; congenital thyroid aplasia; congenital thyroid atrophy; congenital thyroid gland insufficiency; congenital thyroid insufficiency; thyroid atrophy with cretinism; Primary congenital hypothyroidism due to a developmental anomaly; Hypothyroidism due to agenesis or dysgenesis of the thyroid gland; Thyroid dysgenesis; Thyroid ectopia; Thyroid agenesis; congenital absence of thyroid; congenital absence of thyroid gland; congenital athyreosis; Thyroid hemiagenesis; Thyroid hypoplasia; hypoplastic thyroid gland; Primary congenital hypothyroidism due to TSH receptor mutations; Resistance to TSH binding or signalling; Congenital thyroid atrophy with myxoedema; aplasia of thyroid with myxoedema
5A00.02,Pendred syndrome,,"Pendred syndrome is characterised by the association of congenital bilateral neurosensory deafness, thyroid goitre, cochleovestibular malformation and potential vestibular dysfunction.",,,Pendred syndrome; Goitre deafness; goitre-deafness syndrome
5A00.03,Transient congenital hypothyroidism,,"Transient congenital hypothyroidism is defined as transient thyroid dysfunction with mildly elevated thyroid-stimulating hormone (TSH) and low thyroxine (FT4) levels which return to normal either very promptly and spontaneously, or after several months of thyroxine therapy. The disorder is due to a variety of causes including iodine deficiency or exposure to iodine-containing compounds, transplacental passage of blocking maternal antibodies, and dyshormonogenesis.",,Transitory congenital goitre with normal function,Transient congenital hypothyroidism; Transient congenital hypothyroidism due to monoallelic or biallelic mutations of dual oxidase 2 mutation; Transient congenital hypothyroidism due to heterozygous mutations of monoallelic or biallelic mutations of DUOX2 mutation; Transient congenital hypothyroidism due to maternal intake of antithyroid drugs; Transient congenital hypothyroidism due to maternal iodine deficiency or excess; Fetal iodine syndrome; Transient congenital hypothyroidism due to neonatal iodine deficiency or excess; Transient congenital hypothyroidism due to neonatal iodine exposure; Transient congenital hypothyroidism due to transplacental passage of maternal TSH receptor blocking antibodies; Transient congenital hypothyroidism due to heterozygous mutations of THOX2
5A00.04,Congenital hypothyroidism due to iodine deficiency,,Hypothyroidism is a condition which arises at birth where the thyroid gland produces too little or no thyroid hormone and it can be induced by iodine-deficiency.,,Subclinical iodine-deficiency hypothyroidism,"Congenital hypothyroidism due to iodine deficiency; Congenital iodine-deficiency hypothyroidism NOS; congenital iodine-deficiency syndrome; fetal iodine deficiency syndrome; Arthropathy in congenital iodine-deficiency syndrome; Congenital iodine-deficiency syndrome, neurological type; Endemic hypothyroidism, neurological type; endemic cretinism - neurological type; neurological cretin; Congenital iodine-deficiency syndrome, myxoedematous type; Endemic hypothyroidism, myxoedematous type; congenital iodine deficiency syndrome - myxoedematous type; congenital myxoedema; congenital myxoedema coma; endemic congenital iodine deficiency syndrome of myxoedematous type; endemic cretinism - myxoedematous type; hypothyroid cretin; hypothyroid endemic cretinism; hypothyroid endemic hypothyroidism; myxoedematous cretin; myxoedematous form of cretinism; Congenital iodine-deficiency syndrome, mixed type; Endemic hypothyroidism, mixed type; mixed cretin; mixed type endemic cretinism"
5A00.1,Iodine-deficiency-related thyroid disorders or allied conditions,,Any condition caused by aberrant thyroid function due to a deficiency of iodine. Confirmation is by blood test.,,congenital iodine-deficiency syndrome; Subclinical iodine-deficiency hypothyroidism,
5A00.10,Iodine-deficiency-related diffuse goitre,,Diffuse enlargement of the thyroid gland due to iodine deficiency.,,,Iodine-deficiency-related diffuse goitre; Iodine-deficiency-related diffuse endemic goitre; iodine deficiency goitre; iodine-deficiency struma
