Code,title,Fully Specified Name,Description,Inclusions,Exclusions,Index Terms
04,Diseases of the immune system,,,,"Complications of pregnancy, childbirth and the puerperium; Neoplasms; Developmental anomalies",
4A00,Primary immunodeficiencies due to disorders of innate immunity,,,,,
4A00.0,Functional neutrophil defects,,,Congenital dysphagocytosis,,
4A00.00,Neutrophil immunodeficiency syndrome,,"Neutrophil immunodeficiency syndrome is a primary immunodeficiency characterised by neutrophilia with severe neutrophil dysfunction, leukocytosis, a predisposition to bacterial infections and poor wound healing, including an absence of pus in infected areas.",,,Neutrophil immunodeficiency syndrome; Rac 2 deficiency
4A00.1,Defects in the complement system,,,,Atypical haemolytic uraemic syndrome; Paroxysmal nocturnal haemoglobinuria,
4A00.10,Immunodeficiency with an early component of complement deficiency,,,,,Immunodeficiency with an early component of complement deficiency; Deficiency of complement initial pathway; Complement component C1q deficiency; Complement component C1r/C1s deficiency; Complement component C2 deficiency; Complement component C4 deficiency
4A00.11,Immunodeficiency with a late component of complement deficiency,,,,,Immunodeficiency with a late component of complement deficiency; Deficiency of complement terminal pathway; Complement component C5 deficiency; Complement component C6 deficiency; Complement component C7 deficiency; Complement component 7 deficiency; Complement component C8 deficiency; Complement component C9 deficiency
4A00.12,Immunodeficiency with factor B deficiency,,,,,Immunodeficiency with factor B deficiency
4A00.13,Immunodeficiency with factor D anomaly,,"Factor D deficiency is an autosomal recessive immunologic disorder characterised by increased susceptibility to bacterial infections, particularly Neisseria infections, due to a defect in the alternative complement pathway.",,,Immunodeficiency with factor D anomaly; CFDD - [Complement factor D deficiency]
4A00.14,Hereditary angioedema,,"Hereditary angioedema is caused in the majority of cases by genetically determined low absolute (type I) or functional (type II) levels of C1 inhibitor, a plasma proteinase inhibitor involved in regulation of complement activation. It is characterised clinically by recurrent subcutaneous and/or submucosal oedema and can result in life-threatening laryngeal obstruction. Involvement of the digestive tract commonly causes abdominal pain. This and the absence of accompanying urticarial weals or itch distinguish it from the common form of angioedema, which is part of the spectrum of urticaria.",,,"Hereditary angioedema; Bannister disease, hereditary; Familial angioedema; HAE - [hereditary angioneurotic oedema]; Hereditary angioneurotic oedema; Quincke disease or oedema; hereditary Quincke oedema; Hereditary angioedema type I; C1 esterase inhibitor [C1-INH] quantitative deficiency; C1 esterase inhibitor deficiency - type 1; HAE-I - [Hereditary angioedema type I]; Hereditary angioneurotic oedema type 1; deficiency of c1 esterase inhibitor; Hereditary angioedema type II; C1 esterase inhibitor [C1-INH] qualitative deficiency; C1-INH - [C1 esterase inhibitor] deficiency; HAE-II - [Hereditary angioedema type II]; Hereditary angioneurotic oedema type 2; Hereditary angioedema type III; HAE-III - [Hereditary angioedema type III]; Hereditary angioedema with FXII mutation; Hereditary angioneurotic oedema type 3; Inherited oestrogen-dependent angioedema; Inherited oestrogen-dependent angioneurotic oedema; Acute hereditary circumscribed oedema; Acute hereditary essential oedema; Hereditary giant urticaria; Periodic hereditary oedema; Hereditary allergic angioedema; Hereditary angioneurotic oedema urticaria"
4A00.15,Acquired angioedema,,Acquired angioedema is clinically similar to hereditary angioedema and is not associated with urticaria. It may be associated with a lymphoproliferative disorder (type I) or may be an isolated phenomenon due to an autoantibody directed against C1 inhibitor (type II).,,,Acquired angioedema; AAE - [Acquired angioneurotic oedema]; Acquired angioneurotic oedema; Acquired angioedema type I; AAE - [Acquired angioedema type I]; Acquired angioedema type II; AAE-II - [Acquired angioedema type II]
