Code,title,Fully Specified Name,Description,Inclusions,Exclusions,Index Terms
16,Diseases of the genitourinary system,,Any disease characterised by pathological changes to the genitourinary system and the breast.,,"Certain infectious or parasitic diseases; Complications of pregnancy, childbirth and the puerperium; Endocrine, nutritional or metabolic diseases; Injury, poisoning or certain other consequences of external causes",
GA00,Vulvitis,Infectious and non-infectious inflammatory disorders of the vulva,,,senile (atrophic) vaginitis,
GA00.0,Acute vulvitis,,,,Streptococcal cellulitis of skin; Staphylococcal cellulitis of skin,Acute vulvitis; Allergic vulvitis; Atrophic vulvitis; Inflammation of labium; Labial infection; Radiodermatitis of the vulva; Vulval cellulitis; Vulval infection
GA00.1,"Subacute, chronic or recurrent vulvitis",,,,,"Subacute, chronic or recurrent vulvitis; chronic vulvitis; recurrent vulvitis; subacute or chronic vulvitis; subacute vulvitis"
GA00.2,Abscess of vulva,,"A condition of the vulva, caused by an infection with a bacterial, viral, or fungal source. This condition is characterised by a focal accumulation of purulent material in the vulva. This condition may present with pain and swelling of the vulva, pain on sexual intercourse, or fever. Confirmation is by gynaecological examination.",,,Abscess of vulva; vulval abscess; Abscess of labia; labial abscess; Furuncle of vulva; Boil of vulva; vulval boil; Carbuncle of vulva; Carbuncle of labium; Cellulitis of labium; Labial furuncle
GA00.3,Genital ulcer of vulva,,"Ulceration of the vulva of unknown or uncertain aetiology but where a sexually transmitted infection, especially Herpes simplex, primary syphilis or chancroid, is suspected. This is a provisional diagnosis which should be amended once the cause of the ulceration is known.",,,Genital ulcer of vulva; genital ulcer disease of vulva; ulcer NOS of vulva; ulceration of vulva; vulval ulcer of uncertain nature; vulval ulceration; Aphthous ulcer of female genital organ; Labial ulceration; Phagedena of vulva
GA00.4,Vulvovaginal ulceration or inflammation,,,,,Vulvovaginal ulceration or inflammation
GA00.40,Vulvovaginal ulceration,,,,,Vulvovaginal ulceration
GA00.41,Vulvovaginal inflammation,,,,,Vulvovaginal inflammation; Mucositis of vagina or vulva; mucositis (ulcerative) of vagina or vulva; mucositis of vagina; mucositis of vulva
GA01,"Inflammatory disorders of the uterus, except cervix",,A spectrum of inflammations involving the Uterus and the supporting tissues. It is usually caused by an ascending infection of organisms from the endocervix. Such inflammation can lead to functional impairment and infertility.,,,
GA01.0,Acute inflammatory disease of uterus,,,,,
GA01.00,Acute endometritis,,"A disease of the endometrium, caused by an infection with a bacterial or viral source. This condition is characterised by fever, lower abdominal pain, abnormal vaginal bleeding, or vaginal discharge. Confirmation is by a pelvic exam and identification of the bacteria or virus from a cervical swab, endometrial biopsy, or laparoscopy.",,,Acute endometritis; Subacute endometritis
GA01.01,Acute inflammatory disease of uterus with pyometra,,,,,Acute inflammatory disease of uterus with pyometra; Acute inflammatory disease of uterus with uterine abscess; acute purulent endometritis; acute septic endometritis
GA01.1,Chronic inflammatory disease of uterus,,A condition characterised by inflammation of the uterus which lasts for more than 3 months.,,,
GA01.10,Chronic endometritis,,,,,Chronic endometritis
GA01.11,Chronic inflammatory disease of uterus with pyometra,,,,,Chronic inflammatory disease of uterus with pyometra; chronic inflammatory disease of uterus with uterine abscess; chronic purulent endometritis; chronic septic endometritis
GA02,Vaginitis,,,,,
GA02.0,Acute vaginitis,,,,,Acute vaginitis; Acute vulvovaginitis; Vulvovaginitis NOS; Colpocystitis; Infective vaginitis; vaginal infection; Paravaginal abscess; Vaginorectal abscess; Vaginal abscess; Pyocolpos; Perivaginitis; Paravaginitis
GA02.1,Inflammatory vaginitis,,"Clinical syndrome characterised by diffuse exudative vaginitis, epithelial cell exfoliation and a profuse purulent vaginal discharge, associated with vulvovaginal burning or irritation and dyspareunia. Signs may include vulvovaginal erythema and ecchymotic spots.",,,Inflammatory vaginitis; inflammation of vagina; vaginal inflammation; Gangrene of vulva; noma pudendi; noma vulvae
GA02.2,Subacute or chronic vaginitis,,"Chronic vulvovaginal candidiasis, marked by chronic irritative symptoms of vestibule, vulva and vagina, with burning replacing itching as the prominent symptom. Differential diagnosis with chronic atopic dermatitis or atrophic vulvovaginitis.",,,Subacute or chronic vaginitis; Chronic vaginitis; Subacute vaginitis; Subacute vulvovaginitis; Chronic vulvovaginitis
GA02.3,Genital ulcer disease of vagina,,,,,Genital ulcer disease of vagina; ulceration of vagina
GA03,Diseases of Bartholin gland,,Any disease characterised by inflammation of the Bartholin gland.,,,
GA03.0,Abscess of Bartholin gland,,"A condition of the Bartholin gland, caused by an infection with a bacterial, viral, or fungal source. This condition is characterised by focal accumulation of purulent material in the Bartholin gland, located on either side of the vaginal opening. This condition may present with swelling on either side of the vagina, pain on sexual intercourse, or fever. Confirmation is by gynaecological examination.",,,Abscess of Bartholin gland; Bartholin abscess; vulvovaginal gland abscess
