Code,title,Fully Specified Name,Description,Inclusions,Exclusions,Index Terms
09,Diseases of the visual system,,"This refers to any diseases of the visual system, which includes the eyes and adnexa, the visual pathways and brain areas, which initiate and control visual perception and visually guided behaviour.",,"Posterior cortical atrophy; Certain conditions originating in the perinatal period; Certain infectious or parasitic diseases; Complications of pregnancy, childbirth and the puerperium; Endocrine, nutritional or metabolic diseases; Injury, poisoning or certain other consequences of external causes",
9A00,Congenital malposition of eyelids,,,,,
9A00.0,Dystopia canthorum,,,,,Dystopia canthorum
9A00.1,Telecanthus,,,,,Telecanthus
9A01,Infectious disorders of eyelid,,,,,
9A01.0,Preseptal cellulitis,,,,,Preseptal cellulitis
9A01.1,Abscess of eyelid,,,,,Abscess of eyelid; lid abscess; Abscess of upper eyelid; Abscess of lower eyelid
9A01.2,Hordeolum,,"An acute focal infection usually by Staphylococcus aureus involving the eyelash follicle and its associated meibomian and Zeis glands. If the principal focus of infection is the follicle, it presents with a painful boil which discharges pus at the eyelid margin (external hordeolum or stye). If the infection is centred on the meibomian gland (internal hordeolum) then suppuration onto the conjunctival surface occurs.",,,
9A01.20,Hordeolum externum,,An acute focal pyogenic infection of the eyelash follicle commonly known as a stye and caused predominantly by Staphylococcus aureus. It presents as an acute painful inflammatory eyelid swelling which subsequently discharges at the eyelid margin.,,,Hordeolum externum; Boil involving eyelash follicle; External hordeolum; Follicular abscess of eyelash; Folliculitis of eyelash; Stye; Hordeolum externum upper eyelid; Hordeolum externum lower eyelid
9A01.21,Hordeolum internum,,"A focal acute pyogenic infection, usually by Staphylococcus aureus, of a meibomian gland, the normal secretion from which into the eyelash follicle is blocked. It presents as an acute inflammatory swelling which may discharge onto the conjunctival surface of the eyelid, or rarely anteriorly through the eyelid skin. It may predispose to formation of a chalazion.",,Chalazion,Hordeolum internum; Acute meibomitis; Internal hordeolum; Meibomian gland abscess; Hordeolum internum upper eyelid; Hordeolum internum lower eyelid
9A01.3,Infectious blepharitis,,"A condition of the eyelid, commonly caused by an infection with a bacterial source. This condition is characterised by pruritus, burning, scratchiness, excessive tearing, or crusty debris around the eyelashes. This condition may also present with lid erythema, collarettes, madarosis, trichiasis, or plugged meibomian glands. Transmission is by direct or indirect contact with an infected individual, endogenous spread, or through fomites.",,Blepharoconjunctivitis,"Infectious blepharitis; anterior lid margin disease; anterior squamous lid disease; blepharitis, nonulcerative; ciliary blepharitis; marginal blepharitis"
9A01.4,Infestation of eyelid,,,,,Infestation of eyelid
9A02,Inflammatory disorders of eyelid,,,,,
9A02.0,Chalazion,,A chalazion is a small cyst on the eyelid caused by blockage of a meibomian gland.,,,
9A02.00,Chalazion externum,,,,,Chalazion externum
9A02.01,Chalazion internum,,,,,Chalazion internum
9A02.1,Posterior blepharitis,,Posterior blepharitis is inflammation of the eyelids secondary to dysfunction of the meibomian glands. Like anterior blepharitis it is a bilateral chronic condition and manifested by a broad spectrum of symptoms involving the lids including inflammation and plugging of the meibomian orifices and production of abnormal secretion upon pressure over the glands. It may be associated with skin rosacea.,,,Posterior blepharitis; rosacea posterior blepharitis; rosacea-associated blepharitis
9A02.2,Ligneous conjunctivitis,,Ligneous conjunctivitis (LC) is a rare form of chronic conjunctivitis characterised by the recurrent formation of pseudomembranous lesions most commonly on the palpebral surfaces. It is most frequently reported as a clinical manifestation of severe homozygous or compound-heterozygous hypoplasminogenaemia. Most cases involve infants and children.,,,Ligneous conjunctivitis
9A02.4,Meibomian gland dysfunction,,"This refers to the dysfunction of a special kind of sebaceous gland at the rim of the eyelids inside the tarsal plate, responsible for the supply of meibum, an oily substance that prevents evaporation of the eye's tear film. Meibum prevents tear spillage onto the cheek, trapping tears between the oiled edge and the eyeball, and makes the closed lids airtight.",,,Meibomian gland dysfunction
9A03,Acquired malposition of eyelid,,,,,
9A03.0,Blepharoptosis,,Drooping of the upper lid due to deficient development or paralysis of the levator palpebrae muscle.,,,
9A03.00,Marcus-Gunn syndrome,,"Marcus-Gunn syndrome is characterised by ptosis associated with maxillopalpebral synkinesis. The syndrome is generally unilateral and sporadic, but bilateral and autosomal dominant inherited cases have been reported.",,,Marcus-Gunn syndrome; Jaw-winking syndrome; Marcus Gunn Jaw-Winking Syndrome; Marcus Gunn phenomenon; Inverse Marcus-Gunn phenomenon; Marin-Amat syndrome
9A03.01,Mechanical ptosis of eyelid,,,,,Mechanical ptosis of eyelid; Mechanical ptosis of upper eyelid; Mechanical ptosis of lower eyelid
9A03.02,Myogenic ptosis of eyelid,,"This refers to a contraction initiated by the myocyte cell itself instead of an outside occurrence or stimulus such as nerve innervation, causing drooping or falling of the eyelid. The drooping may be worse after being awake longer, when the individual's muscles are tired.",,,Myogenic ptosis of eyelid; Myogenic ptosis of upper eyelid; Myogenic ptosis of lower eyelid
9A03.03,Paralytic ptosis of eyelid,,,,,Paralytic ptosis of eyelid
9A03.1,Entropion of eyelid,,,,,
9A03.10,Cicatricial entropion of eyelid,,,,,Cicatricial entropion of eyelid; entropion due to scar; Cicatricial entropion of upper eyelid; Cicatricial entropion of lower eyelid
9A03.11,Mechanical entropion of eyelid,,,,,Mechanical entropion of eyelid; Mechanical entropion of upper eyelid; Mechanical entropion of lower eyelid
9A03.12,Senile entropion of eyelid,,"This is a senile condition in which the eyelid (usually the lower lid) folds inward. It is very uncomfortable, as the eyelashes constantly rub against the cornea and irritate it. Entropion is usually caused by genetic factors and very rarely it may be congenital when an extra fold of skin grows with the lower eyelid (epiblepharon). Entropion can also create secondary pain of the eye (leading to self trauma, scarring of the eyelid, or nerve damage).",,,Senile entropion of eyelid; Senile entropion of upper eyelid; Senile entropion of lower eyelid
9A03.13,Spastic entropion of eyelid,,"This is a spastic condition in which the eyelid (usually the lower lid) folds inward. It is very uncomfortable, as the eyelashes constantly rub against the cornea and irritate it. Entropion is usually caused by genetic factors and very rarely it may be congenital when an extra fold of skin grows with the lower eyelid (epiblepharon). Entropion can also create secondary pain of the eye (leading to self trauma, scarring of the eyelid, or nerve damage).",,,Spastic entropion of eyelid; Spastic entropion of upper eyelid; Spastic entropion of lower eyelid
9A03.2,Ectropion of eyelid,,"The turning outward (eversion) of the edge of the eyelid, resulting in the exposure of the palpebral conjunctiva.",,,
9A03.20,Cicatricial ectropion of eyelid,,,,,Cicatricial ectropion of eyelid; Cicatricial ectropion of upper eyelid; Cicatricial ectropion of lower eyelid
9A03.21,Mechanical ectropion of eyelid,,,,,Mechanical ectropion of eyelid; Mechanical ectropion of upper eyelid; Mechanical ectropion of lower eyelid
9A03.22,Senile ectropion of eyelid,,,,,Senile ectropion of eyelid; Senile ectropion of upper eyelid; Senile ectropion of lower eyelid
9A03.23,Spastic ectropion of eyelid,,,,,Spastic ectropion of eyelid; Spastic ectropion of upper eyelid; Spastic ectropion of lower eyelid
9A03.24,Floppy eyelid syndrome,,"Acquired disorder of unknown origin, manifested by an easily everted floppy upper eyelid and papillary conjunctivitis of the upper palpebral conjunctiva. It is primarily associated with obese men and obstructive sleep apnoea. The tarsus of the upper eyelid becomes softer and looser probably due to mechanical forces and enzymatical changes. The upper eyelid everts during sleep, resulting in irritation, papillary conjunctivitis, and conjunctival keratinization. Effective treatment consists of preventing the upper eyelid from everting while the patient is sleeping.",,,Floppy eyelid syndrome
9A03.3,Eyelid retraction,,,,,"Eyelid retraction; Eyelid retraction upper eyelid; Eyelid retraction lower eyelid; Eyelid retraction unspecified eye, unspecified lid"
9A03.4,Lagophthalmos,,,,,
9A03.40,Cicatricial lagophthalmos,,,,,Cicatricial lagophthalmos; Cicatricial lagophthalmos upper eyelid; Cicatricial lagophthalmos lower eyelid
9A03.41,Mechanical lagophthalmos,,,,,Mechanical lagophthalmos; Mechanical lagophthalmos upper eyelid; Mechanical lagophthalmos lower eyelid
9A03.42,Paralytic lagophthalmos,,,,,Paralytic lagophthalmos; Paralytic lagophthalmos upper eyelid; Paralytic lagophthalmos lower eyelid
9A03.5,Dermatochalasis of eyelid,,,,,Dermatochalasis of eyelid; Dermatochalasis of eyelid with fat prolapse; Dermatochalasis of upper eyelid; Dermatochalasis of lower eyelid
9A04,Acquired disorders of eyelashes,,,,Distichiasis; Structural developmental anomalies of eyelids,
9A04.0,Trichiasis without entropion,,"This refers to abnormally positioned eyelashes that grow back toward the eye, touching the cornea or conjunctiva. This can be caused by infection, inflammation, autoimmune conditions, congenital defects, eyelid agenesis and trauma such as burns or eyelid injury. This diagnosis is without a condition in which the eyelid (usually the lower lid) folds inward. It is very uncomfortable, as the eyelashes constantly rub against the cornea and irritate it.",,,Trichiasis without entropion; Trichiasis without entropion upper eyelid; Trichiasis without entropion lower eyelid
9A04.1,Madarosis of eyelid or periocular area,,Partial or complete loss of eyelashes and/or eyebrow hairs. Alopecia areata and chronic cutaneous lupus erythematosus are well recognised causes. If the underlying cause is known this should be coded as well.,,,Madarosis of eyelid or periocular area; Superciliary madarosis; Ciliary madarosis
9A05,Movement disorders of eyelid,,,,Tic disorders,
9A05.0,Myokymia of eyelid,,"Myokymia is used to describe an involuntary eyelid muscle contraction, typically involving the lower eyelid or less often the upper eyelid. It occurs in normal individuals and typically starts and disappears spontaneously. However, it can sometimes last up to three weeks. Since the condition typically resolves itself, medical professionals do not consider it to be serious or a cause for concern.",,Facial myokymia; Myokymia,Myokymia of eyelid
9A05.1,Eyelid apraxia,,,,,Eyelid apraxia
9A06,Certain specified disorders of eyelid,,,,,Certain specified disorders of eyelid
9A06.0,Involvement of eyelid by dermatosis classified elsewhere,,Involvement of eyelid by skin diseases such as psoriasis or lichen planus.,,,Involvement of eyelid by dermatosis classified elsewhere
9A06.1,Vitiligo of eyelid or periocular area,,,,,Vitiligo of eyelid or periocular area; Vitiligo of upper eyelid or periocular area; Vitiligo of lower eyelid or periocular area
9A06.2,"Symblepharon, acquired",,,,,"Symblepharon, acquired"
9A06.3,Traumatic scar of eyelid,,,,,Traumatic scar of eyelid
9A06.4,Xanthelasma of eyelid,,"Xanthelasmata are a form of plane xanthoma which manifest as sharply demarcated yellowish deposits of lipid within the skin of the eyelid. While they are neither harmful nor painful, these minor growths may be disfiguring and may be the presenting sign of hypercholesterolaemia. They are common in people of Asian origin and those from the Mediterranean region.",,,Xanthelasma of eyelid; Xanthelasma palpebrarum; Xanthoma of eyelid
9A06.5,Tear Trough Deformity,,,,,Tear Trough Deformity
9A06.6,Sunken Sulcus Deformity,,,,,Sunken Sulcus Deformity
9A06.7,Dermatitis or eczema of eyelids,,Eczematous blepharitis and contact dermatitis affecting the eyelids.,,,
9A06.70,Atopic eczema of eyelids,,Atopic eczema affecting the eyelids. This is a common manifestation of atopic eczema and can result in a significant impact on normal vision and on well-being.,,,Atopic eczema of eyelids
9A06.71,Seborrhoeic dermatitis of eyelids,,Seborrhoeic dermatitis of eyelids (seborrhoeic blepharitis) is common. It is characterised by redness and scaling on the skin of the eyelids with variable involvement of the eyelid margins.,,Seborrhoea,Seborrhoeic dermatitis of eyelids; Seborrhoeic blepharitis; blepharitis in seborrhoeic eczema
9A06.72,Allergic contact blepharoconjunctivitis,,Allergic contact dermatitis affecting the eyelid and conjunctivae.,,,Allergic contact blepharoconjunctivitis; Allergic contact dermatitis of eyelid; Allergic contact eczema of eyelid
9A06.8,Blepharochalasis,,"This is a malposition of the eyelid caused either by involution or by inflammation of the eyelid. The inflammation is characterised by exacerbations and remissions of eyelid oedema, which results in a stretching and subsequent atrophy of the eyelid tissue resulting in redundant folds over the lid margins. It typically affects only the upper eyelids, and may be unilateral as well as bilateral.",,,Blepharochalasis; Dermatolysis palpebrarum; adiposa ptosis; Blepharochalasis upper eyelid; Blepharochalasis lower eyelid
9A10,Disorders of lacrimal gland,,,,,
9A10.0,Infections of the lacrimal gland,,,,,Infections of the lacrimal gland; Viral infections of lacrimal gland; Epstein-Barr dacryoadenitis; Echovirus dacryoadenitis; Bacterial infections of lacrimal gland; Staphylococcus aureus dacryoadenitis; Streptococcus dacryoadenitis; Treponema pallidum dacryoadenitis; Chlamydia trachomatis dacryoadenitis; Fungal infections of lacrimal gland; Parasitic infections of lacrimal gland; Protozoa dacryoadenitis; Acanthamoeba keratitis associated dacryoadenitis
9A10.1,Orbital inflammatory syndrome,,"This refers to a marginated mass-like enhancing soft tissue involving any area of the orbit. It is the most common painful orbital mass in the adult population, and is associated with proptosis, cranial nerve palsy (Tolosa-Hunt syndrome), uveitis, and retinal detachment.",,,Orbital inflammatory syndrome
9A10.2,Benign lymphoepithelial lesion of lacrimal gland,,"This is a type of benign enlargement of the parotid and/or lacrimal glands. This pathologic state is sometimes, but not always, associated with Sjögren's syndrome. This diagnosis is of paired almond-shaped glands, one for each eye, that secrete the aqueous layer of the tear film.",,,Benign lymphoepithelial lesion of lacrimal gland
9A10.3,Hyperlacrimation,,"Overflow of tears due to excessive secretion by the lacrimal gland. It may be caused by drugs (e.g. pilocarpine), strong emotion; or as a reflex from trigeminal stimulation by an inflamed eye; or irritation of the cornea or conjunctiva by a chemical irritant in the air; cold wind; or a foreign body in the eye. The main symptoms are discomfort and blurring of vision and sometimes embarrassment. Management depends on the cause.",,,Hyperlacrimation
9A10.4,Underproduction of tears,,Underproduction of tears causes keratoconjunctivitis sicca and can be caused by disorders that interrupt the neural control of lacrimation.,,,Underproduction of tears; Hypolacrimation; underproduction of tears
9A11,Disorders of lacrimal drainage system,,,,,
9A11.0,Eversion of lacrimal punctum,,,Punctal ectropion,,Eversion of lacrimal punctum; Punctal ectropion
9A11.1,Canaliculitis,,,,,Canaliculitis; Acute lacrimal canaliculitis; Chronic lacrimal canaliculitis
9A11.2,Dacryocystitis,,,,,Dacryocystitis; Nasolacrimal sac infection; Acute dacryocystitis; Chronic dacryocystitis
9A11.3,Conjunctivochalasis,,,,,Conjunctivochalasis
9A11.4,Punctal stenosis,,,,,Punctal stenosis
9A11.5,Nasolacrimal canalicular stenosis,,,,,Nasolacrimal canalicular stenosis; Cicatricial nasolacrimal canalicular stenosis; Nasolacrimal canalicular stenosis secondary to drug toxicity
9A11.6,Dacryolith,,,,,Dacryolith
9A11.7,Nasolacrimal sac stenosis,,,,,Nasolacrimal sac stenosis
9A11.8,Nasolacrimal duct obstruction,,,,,Nasolacrimal duct obstruction; Acquired nasolacrimal duct obstruction; Functional Nasolacrimal duct obstruction; Neonatal obstruction of nasolacrimal duct
9A20,Displacement of eyeball,,,,,
9A20.0,Axial displacement of eyeball,,,,,
9A20.00,Outward displacement of eyeball,,,Exophthalmos; Proptosis,,Outward displacement of eyeball; Exophthalmos; Exorbitism; Proptosis; Exophthalmic conditions; exophthalmia; eye displaced forwards; ocular proptosis; orbital congestion; orbital swelling; swollen orbit; Benign exophthalmos syndrome; Constant exophthalmos; Intermittent exophthalmos; Pulsating exophthalmos; pulsatile exophthalmos; pulsatile proptosis; Dysthyroid exophthalmos; Exophthalmos due to lateral displacement of globe
9A20.01,Inward displacement of eyeball,,,Enophthalmos,,"Inward displacement of eyeball; Enophthalmos; enophthalmia; enophthalmos, unspecified as to cause; Enophthalmos due to atrophy of orbital tissue; Enophthalmos due to trauma or surgery"
9A20.1,Non-axial displacement of eyeball,,,,,Non-axial displacement of eyeball; Downward displacement of eyeball; Hypoglobus; Upward displacement of eyeball; Hyperglobus; Lateral displacement of eyeball; Medial displacement of eyeball; Complex displacement of eyeball
9A21,Orbital infection,,,,,
9A21.0,Orbital cellulitis,,,,Streptococcal cellulitis of skin; Staphylococcal cellulitis of skin,Orbital cellulitis; cellulitis of orbit
9A21.1,Orbital subperiosteal abscess,,"A condition of the eye and adnexa, caused by an infection with a bacterial source. This condition is characterised by a focal accumulation of purulent material in the bones that support the globe, fever, crusting of the eye, swelling of the eye, or proptosis. Confirmation is by identification of the bacterial agent.",,,Orbital subperiosteal abscess
9A21.2,Orbital abscess,,,,,Orbital abscess; Intraorbital abscess; Retrobulbar abscess
9A21.3,Periostitis of orbit,,,,,Periostitis of orbit; orbital periostitis
9A22,Orbital inflammation,,,,,
9A22.0,Dysthyroid orbitopathy,,,,,Dysthyroid orbitopathy; dysthyroid eye disease; endocrine ophthalmopathy; endocrine orbitopathy
9A22.1,Diffuse orbital inflammation,,,,,Diffuse orbital inflammation
9A22.2,Granulomatous orbital inflammation,,,,,Granulomatous orbital inflammation; granuloma of orbit; Wegener’s granulomatosis of orbit; Tuberculosis of orbit; tuberculous orbit; Sarcoidosis of orbit
9A23,Orbital cyst,,,,,
9A23.0,Congenital orbital cyst,,,,,Congenital orbital cyst; Colobomatous cyst of orbit; Meningocele of orbit; Meningoencephalocele of orbit
9A23.1,Acquired orbital cyst,,,,,Acquired orbital cyst; Hydatic cyst; Primary optic nerve sheath cyst; Mucocele of orbit; Hematic cyst of orbit; Parasitic cyst of orbit; Simple epithelial cyst of orbit; Cholesteatoma of orbit; Sudoriferous cyst of orbit; Dentigerous cyst of orbit; Respiratory cyst of orbit
9A24,Bony deformity of orbit,,,,,
9A24.0,Contraction of orbit,,,,,Contraction of orbit; Posttrauma contraction of orbit; Postradiation contraction of orbit; Postsurgery contraction of orbit
9A24.1,Expansion of orbit,,,,,Expansion of orbit; Posttrauma expansion of orbit; Postradiation expansion of orbit; Postsurgery expansion of orbit
9A24.3,Enlargement of bony orbit,,,,,Enlargement of bony orbit
9A24.4,Exostosis of orbit,,,,,Exostosis of orbit; orbital exostosis
9A25,Soft tissue deformity of orbit,,,,,
9A25.0,Anophthalmic socket,,,,,Anophthalmic socket; Congenital anophthalmic socket; Congenital anophthalmic socket with orbital implant; Acquired anophthalmic socket; Acquired anophthalmic socket with orbital implant
9A25.1,Microphthalmic socket,,,,,Microphthalmic socket
9A25.2,Contracted socket,,,,,"Contracted socket; Superior sulcus deformity; Lower fornix contraction; Upper fornix contraction; Medial fornix contraction; Lateral fornix contraction; Diffuse contraction, with surface loss; Diffuse contraction, with volume loss; Diffuse contraction, with surface and volume loss"
9A25.3,Oedema of orbit,,,,,Oedema of orbit
9A25.4,Haemorrhage of orbit,,"This is the loss of blood or blood escaping from the circulatory system. This diagnosis is of the cavity or socket of the skull in which the eye and its appendages are situated. ""Orbit"" can refer to the bony socket, or it can also be used to imply the contents.",,,Haemorrhage of orbit; orbital haematoma
9A25.5,Atrophy of soft tissue of orbit,,,,,Atrophy of soft tissue of orbit
9A26,Combined bony and soft tissue deformity of orbit,,,,,Combined bony and soft tissue deformity of orbit; Posttrauma combined bony and soft tissue deformity of orbit; Postradiation combined bony and soft tissue deformity of orbit; Postsurgery combined bony and soft tissue deformity of orbit
9A60,Conjunctivitis,,,,keratoconjunctivitis,
9A60.0,Papillary conjunctivitis,,,,,
9A60.00,Giant papillary conjunctivitis,,"Giant papillary conjunctivitis is a nonallergic hypersensitivity inflammation of the ocular surface, most frequently to contact lenses, ocular prostheses, postoperative sutures, and scleral buckles.",,,Giant papillary conjunctivitis; Chronic giant papillary conjunctivitis; Chronic papillary conjunctivitis
9A60.01,Acute atopic conjunctivitis,,"This is the allergic inflammation of the conjunctiva (mucous membrane that covers the posterior surface of the eyelids and the anterior pericorneal surface of the eyeball) of the immediate type, due to airborne allergens such as pollens, dusts, spores, and animal hair.",,,Acute atopic conjunctivitis; Angelucci's syndrome; allergic ophthalmia; atopic conjunctivitis; critical allergic conjunctivitis syndrome; spring catarrh; spring ophthalmia
