Code,title,Fully Specified Name,Description,Inclusions,Exclusions,Index Terms
26,Supplementary Chapter Traditional Medicine Conditions,,,,,
SA00,Hypochondrium pain disorder (TM1),,,,,Hypochondrium pain disorder (TM1)
SA01,Jaundice disorder (TM1),,,Acute jaundice; Yang jaundice; Yin jaundice,,Jaundice disorder (TM1); Acute jaundice; Yang jaundice; Yin jaundice
SA02,Liver distension disorder (TM1),,,,,Liver distension disorder (TM1)
SA03,Tympanites disorder (TM1),,,,,Tympanites disorder (TM1); Tympanism disorder (TM1); Tympany disorder (TM1)
SA04,Liver abscess disorder (TM1),,,,,Liver abscess disorder (TM1)
SA05,Gallbladder distension disorder (TM1),,,,,Gallbladder distension disorder (TM1)
SA10,Inducible palpitation disorder (TM1),,,Fright palpitation disorder (TM1),,Inducible palpitation disorder (TM1); Fright palpitation disorder (TM1)
SA11,Spontaneous palpitation disorder (TM1),,,Fearful throbbing disorder (TM1),,Spontaneous palpitation disorder (TM1); Fearful throbbing disorder (TM1)
SA20,True heart pain disorder (TM1),,,,,True heart pain disorder (TM1); Severe heart pain disorder (TM1)
SA50,Dysphagia disorder (TM1),,,Choke disorder (TM1),,Dysphagia disorder (TM1); Choke disorder (TM1)
SA51,Stomach ache disorder (TM1),,,,,Stomach ache disorder (TM1)
SA52,Epigastric distension disorder (TM1),,,,,Epigastric distension disorder (TM1); Epigastric fullness disorder (TM1)
SA53,Epigastric upset disorder (TM1),,,,,Epigastric upset disorder (TM1)
SA54,Food retention disorder (TM1),,,,,Food retention disorder (TM1); Food accumulation disorder (TM1); Food reverse flow disorder (TM1); Indigestion disorder (TM1)
SA55,Diarrhea disorder (TM1),,,,,Diarrhea disorder (TM1)
SA56,Dysentery disorder (TM1),,,,,Dysentery disorder (TM1)
SA57,Constipation disorder (TM1),,,,,Constipation disorder (TM1)
SA58,Abdominal pain disorder (TM1),,,,Lower abdominal colic disorder (TM1),Abdominal pain disorder (TM1)
SA59,Intestinal abscess disorder (TM1),,,,,Intestinal abscess disorder (TM1)
SA60,Common cold disorder (TM1),,,,Seasonal cold disorder (TM1),Common cold disorder (TM1)
SA70,Cough with dyspnea disorder (TM1),,,,Panting disorder (TM1); Dyspnea disorder (TM1),Cough with dyspnea disorder (TM1)
SA80,Dyspnea disorder (TM1),,,,Cough with dyspnea disorder (TM1),Dyspnea disorder (TM1); Panting disorder (TM1)
SA81,Wheezing disorder (TM1),,,,,Wheezing disorder (TM1)
SA82,Lung distension disorder (TM1),,,,,Lung distension disorder (TM1)
SA83,Pleural fluid retention disorder (TM1),,,,,Pleural fluid retention disorder (TM1)
SA84,Lung heat disorder (TM1),,,,,Lung heat disorder (TM1)
SA85,Lung withering disorder (TM1),,,,,Lung withering disorder (TM1)
SA86,Chest bind disorder (TM1),,,,,Chest bind disorder (TM1)
SA90,Stony stranguria disorder (TM1),,,,,Stony stranguria disorder (TM1)
SA91,Heat stranguria disorder (TM1),,,,,Heat stranguria disorder (TM1)
SB00,Kidney stagnation disorder (TM1),,,,,Kidney stagnation disorder (TM1)
SB01,Flooding urine disorder (TM1),,,,,Flooding urine disorder (TM1)
SB02,Enuresis disorder (TM1),,,,,Enuresis disorder (TM1)
SB03,Turbid urine disorder (TM1),,,,,Turbid urine disorder (TM1)
SB04,Dribbling urinary block disorder (TM1),,,,,Dribbling urinary block disorder (TM1); Ischuria disorder (TM1)
SB05,Block and repulsion disorder (TM1),,,,,Block and repulsion disorder (TM1); Dysuria and frequent vomiting disorder (TM1)
SB06,Edema disorders (TM1),,,,,
SB06.0,Kidney edema disorder (TM1),,,,,Kidney edema disorder (TM1)
SB06.1,Wind edema disorder (TM1),,,,,Wind edema disorder (TM1)
SB07,Lower abdominal colic disorder (TM1),,,Hernia (TM1),Abdominal pain disorder (TM1),Lower abdominal colic disorder (TM1); Hernia (TM1)
SB08,Premature ejaculation disorder (TM1),,,,,Premature ejaculation disorder (TM1)
SB09,Involuntary ejaculation disorder (TM1),,,,,Involuntary ejaculation disorder (TM1)
SB0A,Persistent erection disorder (TM1),,,,,Persistent erection disorder (TM1)
SB0B,Impotence disorder (TM1),,,,,Impotence disorder (TM1)
SB0C,Male infertility disorder (TM1),,,,,Male infertility disorder (TM1); Male Sterility disorder (TM1)
SB30,Dampness sore disorder (TM1),,,,,Dampness sore disorder (TM1); Eczema disorder (TM1)
SB31,Impetigo disorder (TM1),,,,,Impetigo disorder (TM1)
SB40,Septicemic furunculosis disorder (TM1),,,,,Septicemic furunculosis disorder (TM1)
SB50,Bed sore disorder (TM1),,,,,Bed sore disorder (TM1); Decubitus disorder (TM1)
SB60,Deep multiple abscess disorder (TM1),,,,,Deep multiple abscess disorder (TM1); Multiple abscesses disorder (TM1)
SB61,Anal abscess disorder (TM1),,,,,Anal abscess disorder (TM1)
SB70,Headed carbuncle disorder (TM1),,,,,Headed carbuncle disorder (TM1)
SB71,Foot dampness itch disorder (TM1),,,,,Foot dampness itch disorder (TM1); Smelly snail disorder (TM1)
SB72,Tinea circinate disorder (TM1),,,,,Tinea circinate disorder (TM1); Tinea corporis disorder (TM1)
SB73,Dry skin disorder (TM1),,,,,Dry skin disorder (TM1); Ichthyosis disorder (TM1)
SB74,Gangrene disorder (TM1),,,,,Gangrene disorder (TM1); Toe gangrene disorder (TM1)
SB75,Wart disorder (TM1),,,,,Wart disorder (TM1)
SB76,Hand dampness itch disorder (TM1),,,,,Hand dampness itch disorder (TM1); Goose web wind disorder (TM1)
SB77,Erysipelas disorder (TM1),,,,,Erysipelas disorder (TM1)
SB78,Cellulitis disorder (TM1),,,,,Cellulitis disorder (TM1)
SB79,Thrush disorder (TM1),,,,,Thrush disorder (TM1)
SB7A,Herpes zoster disorder (TM1),,,,,"Herpes zoster disorder (TM1); Herpes zoster around the waist and hypochondrium disorder (TM1); Snake-clustered sores disorder (TM1); Snake-shaped herpes zoster, herpes zoster around the waist and hypochondria (TM1)"
SB7B,Interior haemorrhoid disorder (TM1),,,,,Interior haemorrhoid disorder (TM1)
SB7C,Fissured anus disorder (TM1),,,,,Fissured anus disorder (TM1)
SB80,Advanced menstruation disorder (TM1),,,,,Advanced menstruation disorder (TM1)
SB81,Delayed menstruation disorder (TM1),,,,,Delayed menstruation disorder (TM1)
SB82,Irregular menstruation disorders (TM1),,,,,Irregular menstruation disorders (TM1)
SB90,Menorrhagia disorder (TM1),,,,,Menorrhagia disorder (TM1); Hypermenorrhea disorder (TM1)
SB91,Decreased menstruation disorder (TM1),,,,,Decreased menstruation disorder (TM1); Scanty menstruation disorder (TM1)
SB92,Prolonged menstruation disorder (TM1),,,,,Prolonged menstruation disorder (TM1)
SB93,Metrorrhagia disorder (TM1),,,,,Metrorrhagia disorder (TM1)
SB94,Amenorrhea disorder (TM1),,,,,Amenorrhea disorder (TM1); No periods disorder (TM1)
SB95,Menopausal disorder (TM1),,,,,Menopausal disorder (TM1)
SB96,Dysmenorrhea disorder (TM1),,,,,Dysmenorrhea disorder (TM1); Menstrual cramp disorder (TM1); Painful periods disorder (TM1)
SC00,Morning sickness disorder (TM1),,,,,Morning sickness disorder (TM1); Vomiting during pregnancy disorder (TM1)
SC01,Unstable fetus disorder (TM1),,,,,Unstable fetus disorder (TM1)
SC02,Bladder pressure disorder (TM1),,,Bladder colic disorder (TM1); Shifted bladder disorder (TM1); Shifted colic disorder (TM1),,Bladder pressure disorder (TM1); Bladder colic disorder (TM1); Shifted bladder disorder (TM1); Shifted colic disorder (TM1)
SC03,Eclampsia disorder (TM1),,,,,Eclampsia disorder (TM1)
SC04,Floating sensation pregnancy disorder (TM1),,,,,Floating sensation pregnancy disorder (TM1); Gravid oppression disorder (TM1); Pregnancy suspension disorder (TM1)
SC10,Puerperal abdominal pain disorder (TM1),,,,,Puerperal abdominal pain disorder (TM1); Postpartum abdominal pain disorder (TM1)
SC11,Puerperal wind disorder (TM1),,,,,Puerperal wind disorder (TM1); Convulsions after childbirth disorder (TM1); Postpartum spasm disorder (TM1)
SC12,Hypogalactia disorder (TM1),,,,,Hypogalactia disorder (TM1)
SC13,Postpartum lochiorrhea disorder (TM1),,,,,Postpartum lochiorrhea disorder (TM1)
SC20,Leukorrhea disorder (TM1),,,,,Leukorrhea disorder (TM1); Vaginal discharge disorder (TM1)
SC21,Vaginal flatus disorder (TM1),,,,,Vaginal flatus disorder (TM1)
