Code,title,Fully Specified Name,Description,Inclusions,Exclusions,Index Terms
13,Diseases of the digestive system,,,,"Mental, behavioural or neurodevelopmental disorders; Certain infectious or parasitic diseases; Complications of pregnancy, childbirth and the puerperium; Endocrine, nutritional or metabolic diseases; Injury, poisoning or certain other consequences of external causes; Neoplasms",
DA00,Disorders of lips,,A group of any derangement or condition affecting the normal structure and function of the lips resulting from traumatic factors or systemic disease.,,Genetic or developmental disorders involving lips or oral mucosa; Infections of lips or oral mucosa,
DA00.0,Cheilitis,,Cheilitis is the generic term given to inflammatory conditions of the lip.,,,Cheilitis; Atopic cheilitis; atopic eczema of the lips; Contact cheilitis; Eczematous cheilitis; eczema of lips; lip eczema; Angular cheilitis; angular stomatitis; Angular cheilitis due to bacterial infection; Angular cheilitis exacerbated by mechanical factors; Angular cheilitis exacerbated by nutritional deficiency; Chapping of the lips; Exfoliative cheilitis; Idiopathic exfoliative cheilitis; Drug-induced cheilitis; medicament-induced cheilitis; Retinoid cheilitis; Plasma cell cheilitis; Granulomatous cheilitis; cheilitis granulomatosa; Glandular cheilitis; cheilitis glandularis
DA00.1,Self-induced lip trauma,,"Self-inflicted damage to lips by biting, picking, chewing etc.",,,Self-induced lip trauma; Lip-biting; Tic de lèvres
DA00.2,Pigmentary abnormalities of lips,,"This is an abnormality in the material that changes the colour of reflected or transmitted light as the result of wavelength-selective absorption, of the lips.",,,Pigmentary abnormalities of lips; Labial melanin incontinence; Labial melanotic macule; Labial lentigo
DA00.3,Lip fissure,,,,,Lip fissure
DA01,Disorders of oral mucosa,,"Inflammation of the soft tissues of the mouth, such as mucosa or palate as well as any associated pathological or traumatic discontinuity of tissue.",,Gingival diseases; cancrum oris; Cheilitis; gangrenous stomatitis; Noma,
DA01.0,Disturbances of oral epithelium,,,,,
DA01.00,Oral leukoplakia,,"Leukoplakia is a condition where areas of keratosis appear as adherent white patches on the mucous membranes of the oral cavity. Leukoplakia may affect other gastrointestinal tract mucosal sites, or mucosal surfaces of the urinary tract and genitals.",Leukoplakia of gingiva,Hairy leukoplakia,Oral leukoplakia; Leukoplakia of gingiva; leucoplakia of oral mucosa; leukokeratosis of oral mucosa; leukoplakia of oral epithelium; Homogeneous leukoplakia; Thick leukoplakia; Non-homogeneous leukoplakia; Speckled leukoplakia; Nodular leukoplakia; Verrucous leukoplakia; Leukoplakia of tongue
DA01.01,Hairy leukoplakia,,"Oral hairy leukoplakia is a focal epithelial hyperplasia of the oral mucosa associated with Epstein-Barr virus. It is closely associated with HIV and occurs in both immunocompromised and immunocompetent HIV-infected individuals. It is also, however, found in uninfected people who are immunosuppressed, e.g. organ transplant recipients. It presents as white patches with a corrugated or hairy appearance affecting particularly the lateral borders of the tongue.",,,Hairy leukoplakia; Hairy leucoplakia; Oral hairy leukoplakia; Hairy leukoplakia of tongue
DA01.02,Wandering rash of the mouth,,The counterpart of geographic tongue affecting other parts of the oral epithelium. It is less common than geographic tongue.,,,Wandering rash of the mouth; Oral erythema migrans
DA01.1,Noninfectious erosive or ulcerative disorders of oral mucosa,,A group of erosive and ulcerative disorders of oral mucosa without infection.,,,
DA01.10,Oral aphthae or aphtha-like ulceration,,"This is a frequent small, shallow, painful ulceration in the oral mucosa. Recurrent oral ulceration that clinically resembles recurrent aphthous stomatitis but presents atypically, including commencement after adolescence, with fever, with a strong family history, or failing to resolve with age.",,,Oral aphthae or aphtha-like ulceration; Recurrent aphthous stomatitis; Recurrent oral aphthae; Major recurrent aphthous stomatitis; major aphthous stomatitis; Minor recurrent aphthous stomatitis; minor aphthous stomatitis; Herpetiform recurrent aphthous stomatitis; herpetiform aphthous stomatitis; Periodic fever - aphthous stomatitis - pharyngitis - adenopathy; Marshall syndrome with periodic fever; PFAPA - [Periodic fever - aphthous stomatitis - pharyngitis - adenopathy] syndrome; Oral aphthae; Aphthous stomatitis; Aphthous ulcer; Oral aphthous ulcers
DA01.11,Oral mucositis,,"Ulcerative mucositis is the inflammation of the oral mucosa with inflammation, ulceration and frequently with bleeding.",,,Oral mucositis; Oral ulcerative mucositis; oral mucositis NOS; oropharyngeal mucositis NOS; Oral mucositis due to radiotherapy; radiation induced oral mucositis; radiation-induced oropharyngeal mucositis; Oral mucositis due to cancer chemotherapy; Oral mucositis due to graft-versus-host disease; Oral mucositis due to other specified cause; Drug-induced oral mucositis; drug-induced oropharyngeal mucositis; Viral oral mucositis; viral oropharyngeal mucositis
