code,title,fully specified name,description,inclusions,exclusions,index terms,chapter
JA24,Pre-eclampsia,,"This condition is characterised by systolic blood pressure greater than 140 mmHg and/or diastolic greater or equal to 90 mmHg on two occasions 4 hours or more apart in the presence of either proteinuria or other new onset maternal organ dysfunction characterised by one thrombocytopenia, elevated serum creatinine or liver transaminases, or neurological conditions or fetal growth restriction.",,Pre-eclampsia superimposed on chronic hypertension,,chapter18
JA24.0,Mild to moderate pre-eclampsia,,"This condition is characterised by systolic blood pressure greater than 140 mmHg and/or diastolic greater or equal to 90 mmHg on two occasions 4 hours or more apart in the presence of either proteinuria or other new onset maternal organ dysfunction characterised by one thrombocytopenia, elevated serum creatinine or liver transaminases, or neurological conditions or fetal growth restriction.",,,Mild to moderate pre-eclampsia; Mild pre-eclampsia; Moderate pre-eclampsia; moderate proteinuric hypertension of pregnancy,chapter18
JA24.1,Severe pre-eclampsia,,"This condition is characterised by systolic blood pressure greater than 160 mmHg and/or diastolic greater or equal to 110 mmHg on two occasions 4 hours or more apart in the presence of either proteinuria or other new onset maternal organ dysfunction characterised by one thrombocytopenia, elevated serum creatinine or liver transaminases, or neurological conditions or fetal growth restriction.",,,Severe pre-eclampsia; severe PET - [pre-eclamptic toxaemia]; severe pre-eclamptic toxaemia; severe puerperal pre-eclampsia; Severe pre-eclamptic albuminuria; Severe proteinuric hypertension of pregnancy,chapter18
JA24.2,HELLP syndrome,Haemolysis - elevated liver enzymes - low platelets,"Severe preeclampsia associated with haemolysis, elevated liver enzymes, or low platelets",,,"HELLP syndrome; HELLP - [haemolysis, elevated liver enzymes and low platelet] syndrome; haemolysis-elevated liver enzymes-low platelet count syndrome; syndrome of haemolysis, elevated liver enzymes and low platelet [HELLP]; Haemolysis - elevated liver enzymes - low platelets",chapter18
JA25,Eclampsia,,"Any condition affecting pregnant females, characterised by seizure or convulsions newly arising in pregnancy. The condition is often associated with pregnancy-induced hypertension, convulsions, seizure, anxiety, epigastric pain, severe headache, blurred vision, proteinuria, and oedema that may occur during pregnancy, labour, or the puerperium.",,,Eclampsia,chapter18
JA25.0,Eclampsia in pregnancy,,"This condition is characterised by seizure or convulsions newly arising in pregnancy. The condition is often associated with pregnancy-induced hypertension, convulsions, seizure, anxiety, epigastric pain, severe headache, blurred vision, proteinuria, and oedema that occurs during pregnancy.",,,Eclampsia in pregnancy,chapter18
JA25.1,Eclampsia in labour,,"This condition is characterised by seizure or convulsions newly arising in pregnancy. The condition is often associated with pregnancy-induced hypertension, convulsions, seizure, anxiety, epigastric pain, severe headache, blurred vision, proteinuria, and oedema that occurs during labour.",,,Eclampsia in labour,chapter18
JA25.2,Eclampsia in the puerperium,,"This condition is characterised by seizure or convulsions newly arising in pregnancy. The condition is often associated with pregnancy-induced hypertension, convulsions, seizure, anxiety, epigastric pain, severe headache, blurred vision, proteinuria, and oedema that occurs during the puerperium.",,,Eclampsia in the puerperium; postpartum eclampsia; puerperal eclampsia,chapter18
JA25.3,"Eclampsia, time period unspecified",,Onset of convulsions in a woman with pre-eclampsia not attributable to other causes without a specific onset time.,,,"Eclampsia, time period unspecified; Eclampsia NOS; eclamptic coma; eclamptic toxaemia; toxaemia with convulsions; Convulsions following gestational [pregnancy-induced] hypertension with significant proteinuria; Convulsions following gestational [pregnancy-induced] hypertension without significant proteinuria; Convulsions following gestational [pregnancy-induced] oedema and proteinuria without hypertension; Convulsions following pre-existing hypertension complicating pregnancy, childbirth and the puerperium; Convulsions following pre-existing hypertensive disorder with superimposed proteinuria; Convulsions following unspecified maternal hypertension; Eclampsia with pregnancy-induced or pre-existing hypertension",chapter18
JA40,Haemorrhage in early pregnancy,,,,Abortive outcome of pregnancy,,chapter18
