code,title,fully specified name,description,inclusions,exclusions,index terms,chapter
01,Certain infectious or parasitic diseases,,"This chapter includes certain conditions caused by pathogenic organisms or microorganisms, such as bacteria, viruses, parasites or fungi.",,"Infection arising from device, implant or graft, not elsewhere classified",,chapter1
1A00,Cholera,Intestinal infection due to Vibrio cholerae,"Cholera is a potentially epidemic and life-threatening infection of the intestine, characterised by extreme watery (secretory) diarrhoea often accompanied by vomiting, with rapid depletion of body fluids and salt that may result in hypovolemic shock and acidosis. Cholera outbreaks are caused by toxigenic strains of Vibrio cholerae serogroups O1 and O139. Serogroup O1 has two biovars; classical and eltor. Vibrio cholerae O1, biovar cholerae is classical type. Vibrio cholerae O1, biovar eltor is eltor type.",cholera syndrome,,"Cholera; asiatic cholera; cholera syndrome; epidemic cholera; Intestinal infection due to Vibrio cholerae; Enteritis due to cholera due to Vibrio cholerae, non-O1 strains; Cholera due to Vibrio cholerae O1, biovar cholerae; classical cholera; Enteritis due to Cholera due to Vibrio cholerae O1, biovar cholerae; Enteritis due to classical cholera; Cholera due to Vibrio cholerae O1, biovar eltor; cholera - vibrio cholerae 01 eltor biotype; cholera due to Cholera eltor; cholera due to Vibrio cholerae 01, Cholera eltor; Enteritis due to cholera due to Vibrio cholerae O1, biovar eltor; Enteritis due to cholera due to Cholera eltor; eltor enteritis; infectious enteritis due to vibrio cholerae 01, biovar eltor; Cholera due to Vibrio cholerae O139",chapter1
1A01,Intestinal infection due to other Vibrio,,,,,Intestinal infection due to other Vibrio; Infections due to Vibrio parahaemolyticus; Infections due to Vibrio vulnificus,chapter1
1A02,Intestinal infections due to Shigella,,"A disease caused by an infection with the gram-negative bacteria genus Shigella. This disease is characterised by an acute onset of small volume diarrhoea, accompanied by fever and nausea. This disease may also present with toxaemia, vomiting, cramps, and tenesmus. Transmission is by ingestion of contaminated food, or direct contact. Confirmation is by identification of Shigella in a faecal sample.",,,Intestinal infections due to Shigella; bacillary colitis; bacillary dysentery NOS; shigella enteritis; shigellosis; Shigellosis due to Shigella dysenteriae; Group A shigellosis; Schmitz dysentery; Shiga-Kruse dysentery; bacillary dysentery due to shigella dysenteriae; bacillary dysentery due to shigella group A; dysentery due to bacillus schmitz; dysentery due to bacillus schmitz-stutzer; dysentery due to bacillus shiga; dysentery due to bacillus shiga-kruse; infection due to bacillus shiga; infection due to bacillus shiga-kruse; infection due to shigella dysenteriae; infection due to shigella group A; infection due to shigella schmitzii; shiga dysentery; Enteritis in shigellosis due to Shigella dysenteriae; Enteritis in Shigellosis due to Group A shigellosis; Enteritis in Shigellosis due to Shiga-Kruse dysentery; Colitis in shigellosis due to Shigella dysenteriae; Shigellosis due to Shigella flexneri; Flexner dysentery; Group B shigellosis; Hiss-Russell dysentery; bacillary dysentery due to shigella flexneri; bacillary dysentery due to shigella group B; bacillus flexner infection (deprecated); dysentery due to bacillus flexneri; infection due to group B shigella; shigella flexneri infection; Enteritis in shigellosis due to Shigella flexneri; Group B shigellosis resulting in enteritis; Colitis in shigellosis due to Shigella flexneri; Shigellosis due to Shigella boydii; Boyd dysentery; Group C shigellosis; bacillary dysentery due to shigella boydii; bacillary dysentery due to shigella group C; infection due to group C shigella; infection due to shigella boydii; Enteritis in shigellosis due to Shigella boydii; Group C shigellosis resulting in enteritis; Colitis in shigellosis due to Shigella boydii; Shigellosis due to Shigella sonnei; Group D shigellosis; Sonne dysentery; bacillary dysentery due to shigella group D; bacillary dysentery due to shigella sonnei; infection due to group D shigella; infection due to shigella sonnei; Enteritis in shigellosis due to Shigella sonnei; Group D shigellosis resulting in enteritis; Colitis in shigellosis due to Shigella sonnei; Bacterial colitis due to Shigella; Bacterial enteritis due to Shigella; Sepsis due to shigella without mention of septic shock; Sepsis due to shigella NOS; Sepsis due to shigella with septic shock,chapter1
1A03,Intestinal infections due to Escherichia coli,,"Any condition of the gastrointestinal system, caused by an infection with the gram-negative bacteria Escherichia coli.",,,,chapter1
1A03.0,Enteropathogenic Escherichia coli infection,,"An infection of the gastrointestinal system, caused by the gram-negative bacteria Escherichia coli. It is characterised by acute, profuse, watery diarrhoea. Transmission is by the faecal-oral route from contaminated food, water, or fomites. Confirmation is by identification of enteropathogenic Escherichia coli (EPEC) in a faecal sample.",,,Enteropathogenic Escherichia coli infection; EPEC - [Enteropathogenic Escherichia coli] infection; Enteritis in enteropathogenic Escherichia coli infection; Colitis in enteropathogenic Escherichia coli infection,chapter1
1A03.1,Enterotoxigenic Escherichia coli infection,,"A condition of the gastrointestinal system, caused by an infection with the gram-negative bacteria Escherichia coli. This condition is characterised by acute, watery diarrhoea due to toxins released from the bacteria. Transmission is by the faecal-oral route from ingestion of contaminated food, water, or fomites. Confirmation is by identification of enterotoxigenic Escherichia coli (ETEC) in faecal sample.",,,Enterotoxigenic Escherichia coli infection; ETEC - [Enterotoxigenic Escherichia coli] infection; enterotoxic Escherichia coli infection; Enteritis in enterotoxigenic Escherichia coli infection; Colitis in enterotoxigenic Escherichia coli infection,chapter1
1A03.2,Enteroinvasive Escherichia coli infection,,"A condition of the gastrointestinal system, caused by an infection with the gram-negative bacteria Escherichia coli. This condition is characterised by acute and profuse diarrhoea (that may be haemorrhagic), fever, and abdominal cramps. Transmission is by the faecal-oral route from ingestion of contaminated food or water. Confirmation is by identification of enteroinvasive Escherichia coli (EIEC) in a faecal sample.",,,Enteroinvasive Escherichia coli infection; EIEC - [Enteroinvasive Escherichia coli] infection; Enteritis in enteroinvasive Escherichia coli infection; Colitis in enteroinvasive Escherichia coli infection,chapter1
1A03.3,Enterohaemorrhagic Escherichia coli infection,,,,,Enterohaemorrhagic Escherichia coli infection; EHEC - [Enterohaemorrhagic Escherichia coli] infection; Enteritis in enterohaemorrhagic Escherichia coli infection; Colitis in enterohaemorrhagic Escherichia coli infection,chapter1
1A04,Intestinal infections due to Clostridioides difficile,,"A disease of the colon, caused by an infection with toxigenic strains of the gram-positive bacteria Clostridioides difficile (formerly known as Clostridium difficile). This disease is characterised by colitis, diarrhoea, abdominal pain, and fever. Transmission is commonly by direct or indirect contact. A disturbance of the normal bacterial flora of the colon, e.g. due to antibiotic treatment, facilitates the development of an intestinal infection with Clostridioides difficile. Confirmation is by identification of Clostridioides difficile in a faecal sample.",Pseudomembranous colitis,Necrotising enterocolitis of newborn,Intestinal infections due to Clostridioides difficile; C diff colitis; C difficile; C difficile infection; C. difficile colitis; CDAD – [clostridioides difficile associated diarrhoea]; CDAD – [clostridium difficile associated diarrhoea]; Clostridium difficile colitis; Clostridium difficile diarrhoea; Clostridium difficile gastroenteritis; colitis due to Clostridium difficile; enterocolitis due to Clostridium difficile; foodborne clostridium difficile infection; necrotizing enterocolitis due to clostridium difficile infection; Pseudomembranous colitis; PMC - [pseudomembranous colitis]; Megacolon due to Clostridioides difficile; megacolon due to Clostridium difficile,chapter1
1A05,Intestinal infections due to Yersinia enterocolitica,,"A disease of the intestinal tract, caused by an infection with the gram-negative bacteria Yersinia enterocolitica. This disease commonly presents with a fever, diarrhoea, or abdominal pain. This disease may also lead to a systemic infection. Transmission is by the faecal-oral route from the ingestion of contaminated food or water, or direct contact with infected individuals or animal. Confirmation is by identification of Yersinia enterocolitica in a faecal sample.",,,Intestinal infections due to Yersinia enterocolitica; Intestinal yersiniosis; Enteritis due to Yersinia enterocolitica; infectious enteritis due to yersinia enterocolitica; Postinfectious arthropathy in enteritis due to Yersinia enterocolitica; Colitis due to Yersinia enterocolitica,chapter1
1A06,Gastroenteritis due to Campylobacter,,,,,Gastroenteritis due to Campylobacter; Enteritis due to Campylobacter; campylobacter diarrhoea; enteric campylobacteriosis; infectious enteritis due to campylobacter; intestinal infection due to campylobacter; Colitis due to Campylobacter,chapter1
1A07,Typhoid fever,,"A condition caused by an infection with the gram-negative bacteria Salmonella typhi. This condition is characterised by an acute sustained fever. This condition may present with weakness, stomach pains, headache, loss of appetite, or flat, rose-coloured spots. Transmission is by the faecal-oral route from the ingestion of contaminated food or water. Confirmation is by identification of Salmonella typhi in a faecal or blood sample.",,,,chapter1
1A07.0,Typhoid peritonitis,,,,,Typhoid peritonitis; typhoperitonitis,chapter1
1A08,Paratyphoid fever,,"A condition caused by an infection with the gram-negative bacteria Salmonella paratyphi. This condition is characterised by an acute sustained fever. The individual may feel weak, have stomach pains, headache, loss of appetite, or a rash of flat, rose-coloured spots. Transmission is by ingestion of contaminated food or water. Confirmation is by identification of Salmonella paratyphi in a faecal or blood sample.",,,Paratyphoid fever; Infection due to Salmonella paratyphi; Paratyphoid fever A; paratyphoid A; salmonella infection paratyphi A; salmonella paratyphoid fever A; Enteritis due to paratyphoid fever A; Colitis due to paratyphoid fever A; Paratyphoid fever B; paratyphoid b; salmonella infection paratyphi B; salmonella paratyphoid fever B; salmonella schottmuelleri infection; Enteritis due to paratyphoid fever B; Colitis due to paratyphoid fever B; Paratyphoid fever C; paratyphoid C; salmonella hirschfeldii infection; salmonella infection paratyphi C; salmonella paratyphoid fever C; Enteritis due to paratyphoid fever C; Colitis due to paratyphoid fever C,chapter1
1A09,Infections due to other Salmonella,,,,,,chapter1
1A09.0,Salmonella enteritis,,"This refers to inflammation of the small intestine due to infection with nontyphoidal Salmonella, bacteria of the genus Salmonella, a member of the family Enterobacteriaceae. Bacteria of the genus Salmonella are rod-shaped, Gram-negative, non-spore-forming and predominantly motile.",,,Salmonella enteritis; Bacterial enteritis due to salmonella; enteric paratyphosis; food poisoning due to salmonella; food poisoning due to salmonella with gastroenteritis; salmonella dysentery; salmonella enterica subspecies arizonae infection; salmonella food poisoning; salmonella gastroenteritis; salmonella infection with enteritis; salmonella poisoning; salmonellosis,chapter1
1A10,Foodborne staphylococcal intoxication,,,,,Foodborne staphylococcal intoxication; food poisoning due to staphylococcus; staphylococcal food poisoning; staphylococcal toxaemia due to food; staphylococcus poisoning,chapter1
1A11,Botulism,,"A disease caused by an infection with the gram-positive bacteria Clostridium botulinum. This disease commonly presents with abdominal pain, vomiting, acute paralysis, blurred vision, diplopia, and may be fatal. Transmission is by ingestion of contaminated food, direct contact, or from accidental overdose. Confirmation is by identification of Clostridium botulinum in a faecal or food sample.",,,,chapter1
1A11.0,Foodborne intoxication by botulinum toxin,Foodborne Clostridium botulinum toxin intoxication,,,,Foodborne intoxication by botulinum toxin; foodborne intoxication due to Clostridium botulinum; Foodborne Clostridium botulinum toxin intoxication,chapter1
1A11.1,Other forms of botulism,,,,,Other forms of botulism; Inhalational botulism; Iatrogenic botulism; Wound botulism; Adult intestinal botulism; Infant intestinal botulism; infant botulism; infantile botulism; Toxin-mediated infectious botulism,chapter1
1A12,Foodborne Clostridium perfringens intoxication,,,enteritis necroticans; foodborne Clostridium welchii intoxication,,Foodborne Clostridium perfringens intoxication; enteritis necroticans; foodborne Clostridium welchii intoxication; foodborne intoxication due to Clostridium perfringens; foodborne intoxication due to Clostridium welchii; pig-bel; pigbel,chapter1
1A13,Foodborne Bacillus cereus intoxication,,,,,Foodborne Bacillus cereus intoxication; Foodborne intoxication due to Bacillus cereus,chapter1
1A20,Enteritis due to Adenovirus,,"A disease of the intestinal tract, caused by an infection with adenovirus. This disease is characterised by a fever, diarrhoea, or vomiting. Transmission is by the faecal-oral route.",,,Enteritis due to Adenovirus; Adenoviral enteritis,chapter1
1A21,Gastroenteritis due to Astrovirus,,,,,Gastroenteritis due to Astrovirus; astrovirus gastroenteritis; enteritis due to Astrovirus; infections due to Astrovirus; viral gastroenteritis due to Astrovirus,chapter1
1A22,Gastroenteritis due to Rotavirus,,"A disease of the gastrointestinal tract, caused by an infection with rotavirus. This disease is characterised by acute onset of vomiting, non-haemorrhagic diarrhoea, and abdominal pain. Transmission is by ingestion of contaminated food or water, direct contact, or through fomites. Confirmation is by identification of rotavirus.",,,Gastroenteritis due to Rotavirus; rotaviral gastroenteritis; viral gastroenteritis due to rotavirus; Enteritis due to Rotavirus; rotaviral enteritis,chapter1
1A23,Enteritis due to Norovirus,,"A disease of the gastrointestinal tract, caused by an infection with norovirus. This disease is characterised by acute onset of vomiting, non-haemorrhagic diarrhoea, and abdominal pain. Transmission is by ingestion of contaminated food or water, direct contact, or through fomites. Confirmation is by identification of norovirus.",,,Enteritis due to Norovirus; Noroviral enteritis; acute gastroenteropathy due to Norwalk agent; epidemic nausea; epidemic viral gastroenteritis due to Norwalk virus; epidemic vomiting; epidemic vomiting syndrome; epidemic winter vomiting disease; small round structured virus enteritis; viral gastroenteritis due to Norwalk agent; winter vomiting,chapter1
1A24,Intestinal infections due to Cytomegalovirus,,"A condition of the intestinal tract, caused by an infection with cytomegalovirus. The condition is characterised by diarrhoea, fever, abdominal pain, or haematochezia. Transmission is by direct contact with infected body fluids.",,,Intestinal infections due to Cytomegalovirus; Duodenitis due to Cytomegalovirus; Cytomegaloviral duodenitis; Gastritis due to Cytomegalovirus; Cytomegaloviral gastritis; Enteritis due to Cytomegalovirus; Cytomegaloviral enteritis; Colitis due to Cytomegalovirus; Cytomegaloviral colitis; Gastroenteritis due to Cytomegalovirus,chapter1
1A30,Infections due to Balantidium coli,,Any condition caused by an infection with the protozoan parasite Balantidium coli.,,,Infections due to Balantidium coli; Balantidiasis; Balantidium coli infection; Dysentery due to Balantidium coli; Balantidial dysentery; Balantidium coli dysentery; ciliary dysentery; ciliate dysentery; Colitis due to Balantidium coli; balantidial colitis; Balantidium coli anaemia,chapter1
1A31,Giardiasis,,"A condition caused by an infection with the protozoan parasite Giardia. This condition is characterised by gastroenteritis, or may be asymptomatic. Transmission is by the faecal-oral route from the ingestion of contaminated food or water. Confirmation is by identification of Giardia in a faecal sample.",,,Giardiasis; giardia duodenalis dysentery; giardia intestinalis dysentery; giardia lamblia dysentery; giardial diarrhoea; lamblia dysentery; lambliasis; Duodenitis due to Giardia lamblia; Duodenitis due to Giardia intestinalis; Giardiasis of duodenum; Enteritis due to Giardia lamblia; Flagellate diarrhoea; giardia enteritis; giardial infectious enteritis; Colitis due to Giardia lamblia,chapter1
1A32,Cryptosporidiosis,,Any condition caused by an infection with the protozoan parasite Cryptosporidium.,,,Cryptosporidiosis; cryptosporidial infection; gastroenteritis due to cryptosporidium; intestinal cryptosporidiosis; Cryptosporidial gastritis; Cryptosporidial enteritis; Cryptosporidial colitis,chapter1
1A33,Cystoisosporiasis,,"A disease caused by the protozoan parasite Cystoisospora belli. This disease is characterised by watery diarrhoea, fever, abdominal pain, nausea, or malaise. Transmission is by the faecal-oral route, commonly through the ingestion of contaminated food or water. Confirmation is by identification of Cystoisospora belli in a faecal sample.",,,,chapter1
1A33.0,Cystoisosporiasis of small intestine,,,Infection due to Isopora belli; Infection due to Isopora hominis,,Cystoisosporiasis of small intestine; Infection due to Isopora belli; Infection due to Isopora hominis; coccidial enteritis; enteric coccidiosis,chapter1
1A33.1,Cystoisosporiasis of colon,,Isosporiasis of colon is a large intestinal inflammation caused by the protozoan Isospora belli.,,,Cystoisosporiasis of colon; coccidial colitis,chapter1
1A34,Sarcocystosis,,Any condition caused by an infection with the protozoan parasite Sarcocystis.,Sarcosporidiosis,,Sarcocystosis; Sarcosporidiosis; sarcosporidiasis,chapter1
1A35,Blastocystosis,,,,,Blastocystosis,chapter1
1A36,Amoebiasis,,,infection due to Entamoeba histolytica,,,chapter1
1A36.0,Intestinal infections due to Entamoeba,,,,,,chapter1
1A36.00,Acute amoebiasis,,"A disease caused by an infection with the protozoan parasite Entamoeba histolytica. This disease is characterised by fever, abdominal pain, tenesmus, or diarrhoea containing blood. Transmission is by the faecal-oral route or ingestion of contaminated food or water. Confirmation is by identification of Entamoeba histolytica in a faecal or blood sample.",amoebic dysentery,,Acute amoebiasis; acute amoebic rectocolitis; amoebic diarrhoea; amoebic dysentery; amoebic proctitis; dysentery due to Entamoeba histolytica; intestinal amoebiasis NOS; Acute amoebic enteritis; Enteritis due to Entamoeba; amoebic enteritis; Acute nondysenteric amebic enteritis,chapter1
1A36.01,Amoeboma of intestine,,,,,Amoeboma of intestine; Amoeboma NOS; amoeba of intestine; amoebic granuloma; Amoeboma of large intestine,chapter1
1A36.1,Extraintestinal infections due to Entamoeba,,,,,Extraintestinal infections due to Entamoeba,chapter1
1A36.10,Amoebic liver abscess,,,Hepatic amoebiasis,,Amoebic liver abscess; Hepatic amoebiasis; amoebic hepatitis; amoebic liver infection,chapter1
1A36.11,Amoebic lung abscess,,,,,Amoebic lung abscess; Amoebic abscess of lung; Amoebic abscess of lung and liver,chapter1
1A36.12,Cutaneous amoebiasis,,,,,Cutaneous amoebiasis; Amoebiasis of skin; Amoebic ulcer of skin,chapter1
1A40,Gastroenteritis or colitis without specification of infectious agent,,,enteritis septic; gastroenteritis septic,noninfective diarrhoea; Noninfectious neonatal diarrhoea,,chapter1
1A40.0,Gastroenteritis or colitis without specification of origin,,There is no mention whether the gastroenteritis or colitis is infectious or non-infectious.,,,Gastroenteritis or colitis without specification of origin; gastroenteritis NOS; neonatal diarrhoea NOS; Colon inflammation; colitis NOS; colonic inflammation; inflammation of colon; Acute colitis; haemorrhagic colitis; septic colitis; Acute caecitis; caecal inflammation; Sigmoiditis; sigmoid inflammation; sigmoiditis NOS; Ileum inflammation; ileitis; ileitis NOS; ileocolitis; Jejunitis; jejunal inflammation; jejunitis NOS,chapter1
1A60,Congenital syphilis,,A disease caused by an infection with the gram-negative bacteria Treponema pallidum pallidum in utero. This disease may present with clinical signs depending on the stage of disease. Transmission is by vertical transmission.,,,,chapter1
1A60.0,"Early congenital syphilis, symptomatic",,"A disease affecting newborns or children up to 2 years of age, caused by an infection with the gram-negative bacteria Treponema pallidum pallidum in utero. This disease is characterised by premature birth, hepatosplenomegaly, skeletal abnormalities, and bullous skin disease. Transmission is by vertical transmission.",,,"Early congenital syphilis, symptomatic; Mucocutaneous early congenital syphilis; Congenital syphilitic mucous patches; Congenital syphilitic condylomata lata; Syphilitic pemphigus; Early congenital syphilitic osteochondropathy; Congenital syphilitic epiphysitis; Congenital syphilitic rhinitis; Early congenital syphilitic rhinitis; Early congenital syphilitic laryngitis; Early congenital syphilitic pharyngitis; Congenital syphilitic pneumonia; early congenital syphilitic pneumonia; Congenital syphilitic splenomegaly; Congenital syphilitic synovitis; early congenital syphilitic synovitis; Early congenital syphilitic oculopathy; Congenital syphilitic chorioretinitis; Congenital syphilitic choroiditis; Early congenital visceral syphilis",chapter1
1A60.1,"Early congenital syphilis, latent",,,,,"Early congenital syphilis, latent",chapter1
1A60.2,Late congenital syphilitic oculopathy,,"This is a late congenital, sexually transmitted infection caused by the spirochete bacterium Treponema pallidum subspecies pallidum. This diagnosis is with oculopathy.",,,Late congenital syphilitic oculopathy; Late congenital syphilitic interstitial keratitis; congenital syphilitic interstitial keratitis; Late congenital syphilitic optic atrophy; Late congenital syphilitic chorioretinitis,chapter1
1A60.3,Late congenital neurosyphilis,,"Neurological sequelae of longstanding (> 2 years) untreated congenital neurosyphilis include mental delay, hydrocephalus, seizures, cerebral infarction and cranial nerve palsies.",,,Late congenital neurosyphilis; Congenital neurosyphilis; Juvenile neurosyphilis; juvenile central nervous system syphilis; Congenital meningovascular syphilis; Late congenital meningovascular syphilis; Late congenital syphilitic meningitis; Juvenile syphilis of central nervous system with general paralysis; juvenilis dementia paralytica; Juvenile syphilis of central nervous system with taboparesis; Juvenile tabes dorsalis; Juvenile taboparetic neurosyphilis; juvenile syphilis tabes dorsalis; juvenile syphilitic tabes dorsalis; juvenile taboparesis; juvenile taboparesis neurosyphilis; Late congenital syphilitic encephalitis; Late congenital syphilitic polyneuropathy,chapter1
1A60.4,"Other late congenital syphilis, symptomatic",,,,,"Other late congenital syphilis, symptomatic; Late congenital syphilitic sensorineural deafness; Late congenital cardiovascular syphilis; congenital syphilitic heart disease; Congenital syphilitic aortitis; Congenital syphilitic endarteritis; Congenital syphilitic aneurysm; Congenital ruptured syphilitic aneurysm; Congenital syphilitic aortic aneurysm; Late congenital syphilitic osteochondropathy; Late congenital syphilitic arthropathy; Clutton joints; congenital syphilitic arthritis; Gummatous late congenital syphilis; Congenital syphilitic gumma; congenital gumma; congenital syphilis with gumma; Syphilitic craniotabes; syphilis craniotabes; Syphilitic saddle nose deformity; congenital syphilitic nose deformity; saddle nose due to syphilis; syphilis saddle nose; Hutchinson triad; Hutchinson teeth or incisors; mulberry molars; Congenital syphilitic leontiasis; Congenital syphilitic sarcocele; Congenital syphilitic palatine vault perforation; Congenital syphilitic stigmata",chapter1
1A60.5,"Late congenital syphilis, latent",,,,,"Late congenital syphilis, latent",chapter1
1A61,Early syphilis,,"A disease caused by an infection with the gram-negative bacteria Treponema pallidum pallidum, including primary and secondary stages of syphilis, and early latent syphilis of less than 2 years duration. This disease is characterised by a single chancre in the primary stage, and diffuse rash in the secondary stage. Transmission is commonly by sexual contact.",,Early congenital syphilis,,chapter1
1A61.0,Primary genital syphilis,,A disease caused by an infection with the gram-negative bacteria Treponema pallidum pallidum. This disease is characterised by a single chancre in the genital region. Transmission is commonly by sexual contact.,,,Primary genital syphilis; Genital syphilitic chancre; Syphilitic chancre NOS; chancre; genital chancre; genital syphilis; mixed chancre; primary syphilis; primary syphilitic chancre; syphilitic bubo; syphilitic chancre; syphilitic rollet chancre; venereal inguinal bubo; Syphilis of penis; syphilitic chancre of penis; syphilitic penis; Syphilis of vagina; syphilitic vagina; syphilitic vaginitis; Syphilitic vulvitis; Urethral chancre,chapter1
1A61.1,Primary anal syphilis,,,,,Primary anal syphilis; Anal syphilitic chancre; primary syphilis of anus,chapter1
1A61.2,Primary syphilis of other sites,,,,,Primary syphilis of other sites; Primary syphilitic extragenital chancre; Extragenital syphilitic chancre; Intraoral syphilitic chancre; Primary syphilis of nipple; chancre of nipple; Primary syphilis of fingers; primary syphilitic fingers; Primary syphilis of lip; primary syphilitic lip; Primary syphilis of tonsils; primary syphilitic tonsils,chapter1
1A61.3,Secondary syphilis of skin or mucous membranes,,A disease caused by an infection with Treponema pallidum pallidum. This disease is characterised by lesions of the skin and mucous membranes. Transmission is commonly by sexual contact.,,,Secondary syphilis of skin or mucous membranes; Mucocutaneous secondary syphilis; Macular syphilide; Papular syphilide; Oral mucosal secondary syphilis; Secondary syphilis of mouth; Syphilitic mucous patches; Syphilitic snail-track ulcers; Condylomata lata; Condyloma latum; Secondary syphilis of anus; Secondary syphilis of vulva; Cutaneous complications of secondary syphilis; Lues maligna; Syphilitic leukoderma; Syphilitic alopecia,chapter1
1A61.4,Secondary syphilis of other sites,,"A disease caused by an infection with the gram-negative bacteria Treponema pallidum pallidum. This disease is characterised by less common symptoms of syphilis, including hepatitis, kidney disease, arthritis, periostitis, optic neuritis, uveitis, or interstitial keratitis. Transmission is commonly by sexual contact.",,,Secondary syphilis of other sites; Early syphilis involving the eye; Secondary syphilitic anterior uveitis; Secondary syphilitic iridocyclitis; Early syphilis involving the digestive tract; Secondary syphilitic proctocolitis; Secondary syphilitic hepatitis; Secondary syphilitic gastritis; Treponema pallidum-associated gastritis; Early syphilis involving the musculoskeletal system; Secondary syphilitic synovitis or tenosynovitis; Secondary syphilitic periostitis; Symptomatic early neurosyphilis; Acute syphilitic meningitis; Secondary syphilitic female pelvic inflammatory disease; Secondary syphilitic lymphadenitis,chapter1
1A61.5,Latent early syphilis,,A disease caused by an infection with the gram-negative bacteria Treponema pallidum pallidum. This disease is characterised by serologic proof of infection without symptoms of disease less than 1 year after secondary syphilis. Transmission is commonly by sexual contact.,,,"Latent early syphilis; latent syphilis, positive serology, early or less than 2 years after infection",chapter1
1A62,Late syphilis,,"A disease caused by an infection with the gram-negative bacteria Treponema pallidum pallidum. This disease is characterised by gummas, neurological abnormalities, or cardiac abnormalities. Clinical signs normally manifest approximately 3-15 years after initial infection. Transmission is commonly by sexual contact.",,Late congenital syphilis,,chapter1
1A62.0,Neurosyphilis,,"A disease of the brain or spinal cord caused by an infection with the gram-negative bacteria Treponema pallidum pallidum. This disease is characterised by four different forms: meningovascular, tabes dorsalis, general paresis, or may be asymptomatic. Clinical signs normally manifest approximately 4-25 years after initial infection. Transmission is commonly by sexual contact.",,,,chapter1
1A62.00,Asymptomatic neurosyphilis,,,,,Asymptomatic neurosyphilis,chapter1
1A62.01,Symptomatic late neurosyphilis,,"A diverse constellation of neuropsychiatric signs resulting from prolonged untreated or inadequately treated syphilis. The protean clinical manifestations include chronic, insidious meningeal inflammation with cranial nerve palsy, cognitive and/or behavioural impairment, ataxia, stroke, seizures and visual or auditory impairment.",,,Symptomatic late neurosyphilis; symptomatic neurosyphilis; Meningovascular syphilis; Late syphilitic encephalitis; Syphilitic parkinsonism; Late syphilitic acoustic neuritis; Acoustic neuritis in syphilis; Syphilitic Argyll Robertson pupil; Late syphilitic polyneuropathy; Tabes dorsalis; neurosyphilis taboparesis; tabes paresis; Myelitis due to Treponema pallidum; spinal cord syphilis; Meningomyelitis due to Syphilis; Syphilitic meningomyelitis; cerebrospinal syphilis; Bulbar palsy syphilis; General syphilitic paralysis; neurosyphilis general paresis; Late syphilitic paresis; neurosyphilis paresis; paretic neurosyphilis; syphilitic paraesthesia; syphilitic paralysis; syphilitic paresis; Neurosyphilitic ataxia; syphilitic ataxia; syphilitic locomotor ataxia; Progressive syphilitic spinal ataxia; Spastic spinal syphilitic paralysis; Syphilitic arthritis; syphilitica deformans arthritis; Syphilitic posterior spinal sclerosis; Syphilitic hemiplegia; syphilis hemianesthesia; syphilitic hemiparesis; Syphilitic monoplegia; syphilis monoplegia; Syphilitic paraplegia,chapter1
1A62.1,Cardiovascular late syphilis,,"This is a late, sexually transmitted infection caused by the spirochete bacterium Treponema pallidum subspecies pallidum. This diagnosis is involving the cardiovascular area.",Syphilitic aortic incompetence; Syphilitic pulmonary regurgitation; Syphilitic endocarditis; Syphilitic myocarditis; Syphilitic aortitis; Syphilitic aneurysm of aorta; Syphilitic cerebral arteritis,,Cardiovascular late syphilis; syphilitic cardiopathy; Syphilitic aortic incompetence; Syphilitic aortic stenosis; Syphilitic pulmonary regurgitation; Syphilitic endocarditis; endocardial involvement in syphilis; Syphilitic endocarditis of aortic valve; Syphilitic endocarditis of pulmonary valve; Syphilitic myocarditis; chronic syphilitic myocarditis; myocardial gumma; myocardial syphilis; Syphilitic aortitis; Doehle-Heller aortitis; late quaternary syphilitic aortitis; luetic aortitis; syphilitic aortic arteritis; Syphilitic aneurysm of aorta; Syphilitic cerebral arteritis; Syphilitic coronary aneurysm; Syphilitic arteritis; Syphilitic carotid aneurysm; Syphilitic coronary arteritis; Syphilitic endarteritis; Syphilitic heart disease; Syphilitic mediastinal aneurysm; Syphilitic mitral valve stenosis; Syphilitic ostial coronary disease; Syphilitic pericarditis; syphilitic hydropericarditis; syphilitic hydropneumopericarditis; Syphilitic phlebitis; Syphilitic valvulitis; Pericardial gumma; Syphilitic pulmonary aneurysm,chapter1
1A62.2,Symptomatic late syphilis of other sites,,,,,,chapter1
1A62.20,Ocular late syphilis,,"This is a late, sexually transmitted infection caused by the spirochete bacterium Treponema pallidum subspecies pallidum. This diagnosis is with ocular.",,,Ocular late syphilis; Late syphilitic episcleritis; Late syphilitic posterior uveitis; Late syphilitic retrobulbar neuritis; Late syphilitic optic atrophy; Syphilitic retinitis; Syphilitic uveitis; Late syphilitic chorioretinitis,chapter1
