metric,correlation,p_value
pearson_terms,0.007505838575585989,0.8487596639771757
spearman_terms,0.03706901680732516,0.34612861919954274
pearson_doc_length,0.01024365422602955,0.7946599578381803
spearman_doc_length,-0.025038879824550053,0.5246102566226545
